사업장명칭,주사육업종,사업장소재지(지번),사육두수,동수,면적,데이터기준일자,관리부서 전화번호
용반농장,한우,전라남도 곡성군 석곡면 연반리 496번지  ,10,1,162.8,2024-08-28,061-360-8363
참다운농장,한우,전라남도 곡성군 입면 송전리 704번지  ,5,1,664.7,2024-08-28,061-360-8363
가족농장,한우,전라남도 곡성군 오곡면 오지리 750번지 5호  ,75,2,1160,2024-08-28,061-360-8363
우리손곡성농장,한우,전라남도 곡성군 곡성읍 서계리 산 30번지  ,480,5,6780.5,2024-08-28,061-360-8363
화목농장,육계,전라남도 곡성군 삼기면 괴소리 247번지 3호  ,84500,3,4043,2024-08-28,061-360-8363
태봉농장,한우,전라남도 곡성군 겸면 대명리 685번지 1호  ,4,1,400,2024-08-28,061-360-8363
영농농장,한우,전라남도 곡성군 석곡면 능파리 123번지 1호  ,80,2,358.4,2024-08-28,061-360-8363
곡은농장,한우,전라남도 곡성군 오산면 운곡리 205번지 1호  ,24,1,221.7,2024-08-28,061-360-8363
현곡농장,한우,전라남도 곡성군 겸면 가정리 818번지 1호  ,56,1,600,2024-08-28,061-360-8363
해피농장,육계,전라남도 곡성군 겸면 가정리 288번지  ,57000,3,3173.79,2024-08-28,061-360-8363
천우축산2농장,한우,전라남도 곡성군 고달면 목동리 1110번지 5호  ,70,1,1200,2024-08-28,061-360-8363
동진농장,한우,전라남도 곡성군 입면 창정리 292번지 5호  ,48,1,816,2024-08-28,061-360-8363
태성농장,오리,전라남도 곡성군 곡성읍 대평리 1282번지 1호  ,16000,6,3600,2024-08-28,061-360-8363
길농장,오리,전라남도 곡성군 곡성읍 대평리 1188번지 8호  ,22000,6,5522.8,2024-08-28,061-360-8363
선해농장,한우,전라남도 곡성군 겸면 평장리 239번지 8호  ,18,1,300,2024-08-28,061-360-8363
강변축산 제1농장,종계/산란계,전라남도 곡성군 입면 제월리 720번지 1호 외 4필지 ,50000,8,6612,2024-08-28,061-360-8363
은빛농장,오리,전라남도 곡성군 목사동면 대곡리 414번지 3호  ,10000,8,3200.8,2024-08-28,061-360-8363
대봉농장,오리,전라남도 곡성군 겸면 남양리 237번지  ,5200,7,1521.4,2024-08-28,061-360-8363
다현농장,오리,전라남도 곡성군 겸면 현정리 4번지 13호  ,3120,4,3120,2024-08-28,061-360-8363
명산농장,한우,전라남도 곡성군 오곡면 명산리 19번지 1호  ,27,1,600,2024-08-28,061-360-8363
묘천농장,오리,전라남도 곡성군 곡성읍 묘천리 412번지  ,19000,4,4928,2024-08-28,061-360-8363
제천농장,한우,"전라남도 곡성군 곡성읍 대평리 1189번지 3호 , 1189-5 ",38,1,700,2024-08-28,061-360-8363
광주농장,한우,전라남도 곡성군 겸면 마전리 20번지 10호  ,0,1,1464.96,2024-08-28,061-360-8363
다산농장,한우,전라남도 곡성군 삼기면 의암리 344번지  ,88,1,1133,2024-08-28,061-360-8363
태은농장,종계/산란계,전라남도 곡성군 석곡면 석곡리 527번지  ,3000,2,642.6,2024-08-28,061-360-8363
소리봉농장,한우,전라남도 곡성군 죽곡면 원달리 산 158번지  ,48,3,540,2024-08-28,061-360-8363
옥과농장,육계,전라남도 곡성군 옥과면 소룡리 931번지 4호  ,90000,4,3362.4,2024-08-28,061-360-8363
명성농장,한우,전라남도 곡성군 석곡면 유정리 694번지 3호  ,12,1,400,2024-08-28,061-360-8363
율곡농장,한우,전라남도 곡성군 삼기면 금반리 261번지 1호  ,2,1,200,2024-08-28,061-360-8363
유성2농장,한우,전라남도 곡성군 겸면 평장리 238번지 3호  ,50,1,1845.92,2024-08-28,061-360-8363
소연농장,한우,전라남도 곡성군 고달면 목동리 235번지 7호  ,19,1,386.1,2024-08-28,061-360-8363
금오농장,한우,전라남도 곡성군 죽곡면 고치리 500번지 1호  ,16,1,246.4,2024-08-28,061-360-8363
우공농장,한우,전라남도 곡성군 겸면 송강리 402번지  ,35,1,756,2024-08-28,061-360-8363
지정축산,한우,전라남도 곡성군 옥과면 설옥리 500번지  ,42,2,1552,2024-08-28,061-360-8363
동막농장,한우,전라남도 곡성군 곡성읍 구원리 232번지 6호  ,27,1,400,2024-08-28,061-360-8363
죽암농장,한우,전라남도 곡성군 겸면 산정리 520번지  ,24,1,303,2024-08-28,061-360-8363
황룡목장,한우,전라남도 곡성군 겸면 평장리 663번지 22호  ,60,1,632,2024-08-28,061-360-8363
야곱목장,한우,전라남도 곡성군 옥과면 무창리 813번지  ,60,1,810,2024-08-28,061-360-8363
태영농장,한우,전라남도 곡성군 오산면 조양리 221번지 4호  ,52,1,1000,2024-08-28,061-360-8363
금당농장,한우,전라남도 곡성군 옥과면 주산리 594번지 1호  ,20000,3,1123,2024-08-28,061-360-8363
오산농장,사슴,전라남도 곡성군 오산면 봉동리 449번지 1호 448-1 ,60,2,704.6,2024-08-28,061-360-8363
언덕농장,한우,전라남도 곡성군 삼기면 괴소리 215번지  ,24,1,300,2024-08-28,061-360-8363
영마등농장,한우,전라남도 곡성군 겸면 마전리 516번지 2호  ,9,1,96,2024-08-28,061-360-8363
청계농장,한우,전라남도 곡성군 고달면 대사리 525번지  ,17,1,499,2024-08-28,061-360-8363
참샘골농장,오리,"전라남도 곡성군 오산면 운곡리 616번지 4호 616-5,616-14,616-3 ",16000,8,5120,2024-08-28,061-360-8363
재형농장,한우,전라남도 곡성군 고달면 고달리 316번지 1호  ,18,1,399.5,2024-08-28,061-360-8363
성실농장,육계,전라남도 곡성군 옥과면 설옥리 90번지 1호  ,30000,3,1688,2024-08-28,061-360-8363
고란농장,한우,전라남도 곡성군 고달면 고달리 324번지 2호  ,32,1,400,2024-08-28,061-360-8363
자미원농장,산양,전라남도 곡성군 죽곡면 봉정리 771번지  ,35,1,176.4,2024-08-28,061-360-8363
성현농장,한우,전라남도 곡성군 겸면 남양리 201번지  ,22,1,164,2024-08-28,061-360-8363
종방농장,한우,전라남도 곡성군 입면 송전리 1350번지 3호  ,59,1,1374.7,2024-08-28,061-360-8363
진영농장,한우,"전라남도 곡성군 옥과면 무창리 943번지 13호 943-6, 943-13 ",50,1,1500,2024-08-28,061-360-8363
황등1농장,한우,전라남도 곡성군 옥과면 소룡리 933번지 3호  ,102,2,2016,2024-08-28,061-360-8363
오산흑염소농장,산양,전라남도 곡성군 오산면 가곡리 473번지  ,400,2,787.6,2024-08-28,061-360-8363
고지농장,산양,전라남도 곡성군 오산면 청단리 산 86번지  ,300,3,613.6,2024-08-28,061-360-8363
평산농장,한우,전라남도 곡성군 겸면 평장리 234번지 2호  ,85,1,770,2024-08-28,061-360-8363
태양2농장,한우,전라남도 곡성군 곡성읍 서계리 160번지 1호  ,75,1,1000,2024-08-28,061-360-8363
재광농장,한우,전라남도 곡성군 죽곡면 봉정리 54번지 5호  ,5,1,250,2024-08-28,061-360-8363
대사농장,한우,전라남도 곡성군 고달면 뇌죽리 331번지 14호 331-15 ,12,1,352,2024-08-28,061-360-8363
신촌농장,한우,"전라남도 곡성군 오산면 운곡리 602번지 602-5, 602-6 ",840,3,5328,2024-08-28,061-360-8363
코리아농장,메추리,전라남도 곡성군 오산면 조양리 69번지 4호  ,100020,3,992.5,2024-08-28,061-360-8363
부성농장,한우,전라남도 곡성군 옥과면 무창리 944번지 2호  ,42,1,1071,2024-08-28,061-360-8363
고달흑염소 농장,염소,    ,40,1,67.2,2024-08-28,061-360-8363
별이농장,종계/산란계,전라남도 곡성군 겸면 평장리 754-11 ,300,2,792,2024-08-28,061-360-8363
대명축산,산양,전라남도 곡성군 삼기면 농소리 391번지 1호  ,200,1,140,2024-08-28,061-360-8363
천년 농장,산양,전라남도 곡성군 오산면 율천리 123번지  ,10,1,611.15,2024-08-28,061-360-8363
국사봉 흑염소,산양,전라남도 곡성군 석곡면 염곡리 1791번지 1호  ,50,1,160,2024-08-28,061-360-8363
강변축산 제2농장,종계/산란계,전라남도 곡성군 입면 제월리 669번지 2호  ,40000,5,3829,2024-08-28,061-360-8363
심청골 흑염소,산양,전라남도 곡성군 고달면 호곡리 245번지  ,150,2,151.17,2024-08-28,061-360-8363
겨자씨 1농장,육계,    ,38000,3,3328,2024-08-28,061-360-8363
김훈석,한우,전라남도 곡성군 옥과면 소룡리 904번지 7호  ,0,1,1228.5,2024-08-28,061-360-8363
더바른 농장,한우,전라남도 곡성군 옥과면 수리 249번지 2호  ,43,1,1100,2024-08-28,061-360-8363
매산농원,한우,전라남도 곡성군 입면 매월리 681번지 5호  ,42,1,1488.93,2024-08-28,061-360-8363
꼬꼬농장(곡성),육계,전라남도 곡성군 목사동면 죽정리 296번지  ,60000,2,2925.7,2024-08-28,061-360-8363
두레목장,한우,전라남도 곡성군 목사동면 죽정리 766번지 5호  ,70,1,588,2024-08-28,061-360-8363
두원목장,젖소,전라남도 곡성군 죽곡면 화양리 25번지 12호  ,85,1,1656,2024-08-28,061-360-8363
금예농장,한우,전라남도 곡성군 곡성읍 대평리 1180번지 9호  ,78,1,950.4,2024-08-28,061-360-8363
만금 2농장,한우,"전라남도 곡성군 목사동면 대곡리 1025번지 15호 ,13 ",0,2,2754,2024-08-28,061-360-8363
선재목장,한우,전라남도 곡성군 겸면 마전리 31번지 10호  ,300,5,2365.2,2024-08-28,061-360-8363
태송농원,산양,전라남도 곡성군 죽곡면 태평리 629번지 2호  ,9,1,51,2024-08-28,061-360-8363
오정축산,한우,전라남도 곡성군 옥과면 황산리 317번지  ,17,1,99,2024-08-28,061-360-8363
곡주2농장,한우,전라남도 곡성군 고달면 뇌죽리 519번지 1호  ,20,1,250,2024-08-28,061-360-8363
배감농장,한우,전라남도 곡성군 옥과면 주산리 1003번지 3호  ,47,1,976,2024-08-28,061-360-8363
관용농장,한우,전라남도 곡성군 옥과면 주산리 397번지  ,5,1,75,2024-08-28,061-360-8363
새 하나농장,한우,전라남도 곡성군 옥과면 소룡리 908번지 3호  ,200,1,2016,2024-08-28,061-360-8363
대성농장,한우,전라남도 곡성군 목사동면 공북리 481번지  ,80,1,736,2024-08-28,061-360-8363
보광 제2농장,한우,전라남도 곡성군 오산면 가곡리 835번지 1호  ,40,1,364.5,2024-08-28,061-360-8363
천마영농조합법인,한우,전라남도 곡성군 고달면 목동리 344번지 6호 외 1필지 ,100,1,1848,2024-08-28,061-360-8363
진현건 제 2농장,한우,전라남도 곡성군 고달면 목동리 223번지 2호  ,75,1,810,2024-08-28,061-360-8363
지민축산,한우,전라남도 곡성군 목사동면 범계리 165번지 4호  ,6,1,128,2024-08-28,061-360-8363
남양축산,한우,전라남도 곡성군 겸면 평장리 245번지 2호  ,20,1,117,2024-08-28,061-360-8363
동명축산,한우,전라남도 곡성군 죽곡면 동계리 360번지 1호  ,2,1,41.25,2024-08-28,061-360-8363
주성축산,돼지,전라남도 곡성군 겸면 마전리 85번지 5호 85-2 ,9500,4,7292.4,2024-08-28,061-360-8363
동악농원,산양,전라남도 곡성군 입면 서봉리 124번지 7호  ,60,1,192,2024-08-28,061-360-8363
고산흑염소,산양,    ,45,1,106,2024-08-28,061-360-8363
명림농장,육계,전라남도 곡성군 곡성읍 신기리 1079번지 17호 285 ,70,3,96,2024-08-28,061-360-8363
햇살2농장,오리,전라남도 곡성군 석곡면 능파리 304번지 14호 외 4필지 ,8000,1,2455.08,2024-08-28,061-360-8363
유밀농장,육계,전라남도 곡성군 삼기면 근촌리 389번지 7호  ,24000,3,3632.62,2024-08-28,061-360-8363
성현2농장,한우,전라남도 곡성군 겸면 송강리 400번지 1호  ,30,1,391.5,2024-08-28,061-360-8363
광덕,산양,전라남도 곡성군 오산면 청단리 642번지  ,150,1,403.2,2024-08-28,061-360-8363
덕림농장,산양,전라남도 곡성군 오산면 청단리 642번지  ,10,1,315,2024-08-28,061-360-8363
친풀농장,한우,전라남도 곡성군 겸면 운교리 468번지 3호  ,12,1,1316.25,2024-08-28,061-360-8363
서연농장,한우,전라남도 곡성군 고달면 백곡리 648번지  ,13,1,272.4,2024-08-28,061-360-8363
미륵농장,한우,전라남도 곡성군 오곡면 미산리 446번지 1호  ,6,1,400,2024-08-28,061-360-8363
오대한우,한우,전라남도 곡성군 옥과면 주산리 278번지 2호  ,50,1,1300,2024-08-28,061-360-8363
장미흑염소,산양,전라남도 곡성군 오산면 청단리 632번지 4호  ,150,1,283.5,2024-08-28,061-360-8363
이가목장,한우,전라남도 곡성군 입면 서봉리 908번지 5호 외 2필지 ,100,3,3000,2024-08-28,061-360-8363
미우랑농장,한우,전라남도 곡성군 목사동면 용봉리 640번지 2호  ,79,3,1141.25,2024-08-28,061-360-8363
오대목장한우,한우,전라남도 곡성군 옥과면 주산리 277번지  ,5,1,49,2024-08-28,061-360-8363
성유농장,육계,전라남도 곡성군 겸면 칠봉리 620번지  ,80000,3,3888,2024-08-28,061-360-8363
하늘재농장,한우,전라남도 곡성군 겸면 운교리 451번지 4호  ,27,1,810,2024-08-28,061-360-8363
지리마을축산,한우,전라남도 곡성군 겸면 현정리 467번지 1호  ,4,1,21.7,2024-08-28,061-360-8363
강산농장,산양,전라남도 곡성군 삼기면 농소리 184번지  ,180,2,168,2024-08-28,061-360-8363
만우농장,한우,전라남도 곡성군 석곡면 연반리 387번지 외 1필지 ,8,1,252,2024-08-28,061-360-8363
견우와 직녀농장,한우,전라남도 곡성군 석곡면 죽산리 12번지 2호  ,26,1,900,2024-08-28,061-360-8363
금호농장,젖소,전라남도 곡성군 죽곡면 화양리 10번지 3호 외 1 ,91,1,2592,2024-08-28,061-360-8363
청계농장,육계,전라남도 곡성군 곡성읍 대평리 1276번지 9호  ,200,1,200,2024-08-28,061-360-8363
선해농장,한우,전라남도 곡성군 겸면 평장리 239번지 8호  ,31,1,1100,2024-08-28,061-360-8363
용봉농장,육계,전라남도 곡성군 목사동면 용봉리 633번지 외 1 ,45000,3,1402.3,2024-08-28,061-360-8363
조은터농장,한우,전라남도 곡성군 입면 송전리 1245번지 18호  ,3,1,1500,2024-08-28,061-360-8363
오리온농장,한우,전라남도 곡성군 겸면 현정리 215번지 12호  ,4,1,900,2024-08-28,061-360-8363
태영목장,한우,전라남도 곡성군 목사동면 용봉리 540번지 3호  ,15,2,520,2024-08-28,061-360-8363
믿음축산,한우,전라남도 곡성군 곡성읍 대평리 1182번지 14호  ,0,1,1000,2024-08-28,061-360-8363
만수농장,육계,전라남도 곡성군 삼기면 금반리 632번지  ,30000,2,686,2024-08-28,061-360-8363
대성농장,한우,전라남도 곡성군 죽곡면 신풍리 270번지 6호  ,3,1,224,2024-08-28,061-360-8363
구적골농원,종계/산란계,전라남도 곡성군 석곡면 염곡리 539번지 1호 외 1 ,160,2,68,2024-08-28,061-360-8363
오산사슴제2농장,사슴,전라남도 곡성군 오산면 봉동리 162번지 1호  ,29,1,439.1,2024-08-28,061-360-8363
돌실농장,한우,전라남도 곡성군 석곡면 죽산리 13번지 1호  ,36,2,978.54,2024-08-28,061-360-8363
경현농장,한우,전라남도 곡성군 석곡면 구봉리 671번지 7호  ,9,1,340,2024-08-28,061-360-8363
6091농장,한우,전라남도 곡성군 옥과면 주산리 917번지 4호  ,2,1,160,2024-08-28,061-360-8363
가현농장,한우,전라남도 곡성군 고달면 백곡리 980번지  ,9,1,360,2024-08-28,061-360-8363
제2 관용농장,한우,전라남도 곡성군 옥과면 주산리 930번지 7호  ,8,1,352,2024-08-28,061-360-8363
농원농장,칠면조,전라남도 곡성군 옥과면 옥과리 595번지  ,7,1,232,2024-08-28,061-360-8363
옥천농장,한우,전라남도 곡성군 곡성읍 장선리 114번지 13호  ,12,1,800,2024-08-28,061-360-8363
4공주농장,한우,전라남도 곡성군 목사동면 용봉리 909번지 12호  ,30,1,526.5,2024-08-28,061-360-8363
덕림농장,산양,전라남도 곡성군 오산면 청단리 642번지  ,160,2,378,2024-08-28,061-360-8363
대현농장,산양,전라남도 곡성군 목사동면 용봉리 800번지 외 1필지 ,300,3,725.5,2024-08-28,061-360-8363
늘푸른농장,육계,"전라남도 곡성군 석곡면 유정리 682-7, 682-8, 682-13, 682-15 ",0,2,2873.6,2024-08-28,061-360-8363
문광축사,한우,전라남도 곡성군 오산면 운곡리 487번지 10호  ,34,1,600,2024-08-28,061-360-8363
태양농장,한우,전라남도 곡성군 고달면 목동리 239번지 4호  ,33,1,500,2024-08-28,061-360-8363
옥과흑염소농장,산양,전라남도 곡성군 옥과면 주산리 688번지  ,190,1,720,2024-08-28,061-360-8363
중뫼농장,한우,전라남도 곡성군 삼기면 금반리 574번지 5호  ,12,1,650,2024-08-28,061-360-8363
천지봉농장,한우,전라남도 곡성군 입면 입석리 582번지 3호  ,8,1,200,2024-08-28,061-360-8363
홍이농장,한우,전라남도 곡성군 옥과면 소룡리 917번지 15호  ,23,1,810,2024-08-28,061-360-8363
희망농장,한우,전라남도 곡성군 곡성읍 대평리 1196번지 1호  ,39,1,1502,2024-08-28,061-360-8363
성공농장,한우,전라남도 곡성군 고달면 백곡리 960번지  ,6,2,920,2024-08-28,061-360-8363
신일농장,한우,전라남도 곡성군 곡성읍 신기리 506번지 3호  ,35,1,187.2,2024-08-28,061-360-8363
임재농장,한우,전라남도 곡성군 입면 만수리 303번지 22호  ,4,1,40,2024-08-28,061-360-8363
창욱농장,한우,전라남도 곡성군 옥과면 무창리 1010번지 20호  ,8,1,98.1,2024-08-28,061-360-8363
영복농장,한우,"전라남도 곡성군 오산면 봉동리 44번지 44-2,44-3 ",16,1,110,2024-08-28,061-360-8363
구원농장,한우,전라남도 곡성군 입면 만수리 58번지  ,1,1,10.5,2024-08-28,061-360-8363
천우랑농장,한우,전라남도 곡성군 옥과면 무창리 943번지 5호  ,20,1,800,2024-08-28,061-360-8363
J,한우,전라남도 곡성군 겸면 마전리 1243번지 7호  ,11,1,800,2024-08-28,061-360-8363
설산농장,한우,전라남도 곡성군 오산면 운곡리 787번지  ,15,1,162,2024-08-28,061-360-8363
일웅축산,한우,전라남도 곡성군 삼기면 월경리 224번지 3호  ,4,1,300,2024-08-28,061-360-8363
황룡농장,한우,전라남도 곡성군 옥과면 리문리 423번지 9호  ,0,1,1400,2024-08-28,061-360-8363
아방절축산농장,한우,전라남도 곡성군 오곡면 오지리 316번지 4호  ,9,1,92.22,2024-08-28,061-360-8363
설옥농장,한우,전라남도 곡성군 옥과면 설옥리 376번지 1호 376-6 ,2,1,300,2024-08-28,061-360-8363
산들농장,한우,전라남도 곡성군 입면 송전리 1356번지 11호  ,0,1,2100,2024-08-28,061-360-8363
영광농장,한우,전라남도 곡성군 입면 송전리 1254번지 4호  ,10,1,252.77,2024-08-28,061-360-8363
새은2농장,한우,전라남도 곡성군 곡성읍 신기리 1150번지 8호  ,3,1,1300,2024-08-28,061-360-8363
현정농장,한우,전라남도 곡성군 겸면 현정리 526번지  ,30,1,224,2024-08-28,061-360-8363
영광농장,한우,전라남도 곡성군 옥과면 합강리 120번지 5호  ,4,1,200,2024-08-28,061-360-8363
플러스농장,한우,전라남도 곡성군 고달면 목동리 87번지 7호  ,70,1,396,2024-08-28,061-360-8363
구봉농장,한우,전라남도 곡성군 석곡면 구봉리 522번지 외 2필지 ,15,1,85.2,2024-08-28,061-360-8363
정가네 목장,한우,전라남도 곡성군 오산면 조양리 737번지 27호  ,8,1,1480.92,2024-08-28,061-360-8363
남부농장,개,전라남도 곡성군 겸면 칠봉리 640번지  ,600,3,576,2024-08-28,061-360-8363
금산농장,한우,전라남도 곡성군 입면 금산리 192번지 2호  ,12,1,86,2024-08-28,061-360-8363
종식2농장,한우,전라남도 곡성군 입면 삼오리 760번지  ,60,1,900,2024-08-28,061-360-8363
동원목장,한우,전라남도 곡성군 겸면 대명리 696번지 1호  ,2,1,1400,2024-08-28,061-360-8363
봉정농장,한우,전라남도 곡성군 죽곡면 신풍리 258번지 2호 122-3 ,3,1,243,2024-08-28,061-360-8363
청산농장,산양,전라남도 곡성군 오곡면 봉조리 103번지 1호  ,4,1,150,2024-08-28,061-360-8363
곡성염소나라,한우,전라남도 곡성군 곡성읍 학정리 256번지  ,54,3,410.76,2024-08-28,061-360-8363
백화농장,육계,전라남도 곡성군 곡성읍 죽동리 364번지 1호  ,37000,2,1807,2024-08-28,061-360-8363
미산한우목장 2,한우,전라남도 곡성군 오곡면 미산리 695번지 1호  ,3,2,805,2024-08-28,061-360-8363
푸른2농장,한우,전라남도 곡성군 옥과면 죽림리 211번지 6호  ,100,1,1400,2024-08-28,061-360-8363
선이농장,한우,전라남도 곡성군 겸면 산정리 525번지 외 6필지 ,300,1,2304,2024-08-28,061-360-8363
심정농장,한우,전라남도 곡성군 겸면 가정리 829번지 2호  ,16,1,261.36,2024-08-28,061-360-8363
CM목장,한우,전라남도 곡성군 겸면 마전리 1243번지 9호  ,0,1,648,2024-08-28,061-360-8363
충만목장,한우,전라남도 곡성군 겸면 마전리 1243번지 10호  ,38,1,1260,2024-08-28,061-360-8363
GS농장,한우,전라남도 곡성군 죽곡면 화양리 13번지 7호  ,4,1,800,2024-08-28,061-360-8363
아인농장,산양,전라남도 곡성군 오곡면 침곡리 산 8번지 3호  ,40,0,600,2024-08-28,061-360-8363
다복축산2농장,한우,전라남도 곡성군 옥과면 무창리 944번지 7호  ,45,1,650,2024-08-28,061-360-8363
묘천농장,한우,전라남도 곡성군 오곡면 미산리 132번지  ,20,1,192,2024-08-28,061-360-8363
청정2농장,한우,전라남도 곡성군 곡성읍 대평리 1191번지 6호  ,50,1,1100,2024-08-28,061-360-8363
아랑농장,한우,전라남도 곡성군 목사동면 범계리 64번지 1호 외 2필지 ,10,1,225.09,2024-08-28,061-360-8363
삼오리축산,한우,전라남도 곡성군 입면 삼오리 332번지 1호  ,14,1,320,2024-08-28,061-360-8363
희망축산,한우,전라남도 곡성군 겸면 송강리 77번지 4호  ,6,1,968,2024-08-28,061-360-8363
라온농장,한우,전라남도 곡성군 목사동면 신전리 45번지 2호  ,89,1,891,2024-08-28,061-360-8363
형제농장,한우,전라남도 곡성군 목사동면 평리 17번지  ,13,2,725,2024-08-28,061-360-8363
청정농장,산양,전라남도 곡성군 오곡면 봉조리 103번지  ,50,1,165,2024-08-28,061-360-8363
백일농장,한우,전라남도 곡성군 고달면 백곡리 1054번지 2호  ,48,1,1176.12,2024-08-28,061-360-8363
만호농장,한우,전라남도 곡성군 목사동면 수곡리 450번지  ,1,1,198.4,2024-08-28,061-360-8363
동막골 농장,한우,전라남도 곡성군 곡성읍 서계리 140번지 5호 외 1필지 ,30,1,337.56,2024-08-28,061-360-8363
청산농장,한우,전라남도 곡성군 석곡면 구봉리 679번지 16호  ,4,1,792,2024-08-28,061-360-8363
드림농장,한우,전라남도 곡성군 목사동면 신전리 653번지 1호  ,5,1,700,2024-08-28,061-360-8363
거산농장,한우,전라남도 곡성군 오곡면 봉조리 104번지 6호 외 1필지 ,7,1,700,2024-08-28,061-360-8363
오성농장,한우,전라남도 곡성군 고달면 목동리 216번지  ,0,1,600,2024-08-28,061-360-8363
부부목장,한우,전라남도 곡성군 곡성읍 묘천리 371번지 4호 외 3 ,6,1,300,2024-08-28,061-360-8363
미랭이농장,한우,전라남도 곡성군 입면 대장리 56번지 외 1필지 ,11,1,192,2024-08-28,061-360-8363
수산농장,한우,전라남도 곡성군 삼기면 수산리 465번지 466 ,1,1,160,2024-08-28,061-360-8363
만재농장,한우,전라남도 곡성군 삼기면 금반리 574번지 6호  ,1,1,640,2024-08-28,061-360-8363
청수농장,한우,전라남도 곡성군 겸면 칠봉리 36번지 1호 36-2 ,0,1,864,2024-08-28,061-360-8363
곡성찐한우농장,한우,전라남도 곡성군 겸면 칠봉리 52번지 4호 52-3 ,14,1,1320,2024-08-28,061-360-8363
순정농장,한우,전라남도 곡성군 목사동면 죽정리 126번지  ,6,1,165,2024-08-28,061-360-8363
동악한우농장,한우,전라남도 곡성군 입면 서봉리 9번지 2호  ,20,1,600,2024-08-28,061-360-8363
다희농원,한우,전라남도 곡성군 목사동면 용봉리 513번지  ,2,1,237.3,2024-08-28,061-360-8363
다올농장,한우,전라남도 곡성군 곡성읍 대평리 1179번지 2호  ,10,1,2000,2024-08-28,061-360-8363
선주농장,한우,전라남도 곡성군 겸면 대명리 687번지 6호  ,4,1,891,2024-08-28,061-360-8363
승인농장,한우,전라남도 곡성군 겸면 마전리 1243번지 8호  ,11,1,900,2024-08-28,061-360-8363
대동축산,한우,"전라남도 곡성군 겸면 마전리 22-4, 22-5, 22-6 ",72,1,2240,2024-08-28,061-360-8363
백일농장,한우,"전라남도 곡성군 고달면 백곡리 799번지 ,800 ",13,1,210.7,2024-08-28,061-360-8363
소연농장,한우,전라남도 곡성군 오산면 운곡리 617번지 7호  ,6,1,1215,2024-08-28,061-360-8363
SKY 한우2농장,한우,전라남도 곡성군 겸면 송강리 76-7 ,40,1,920,2024-08-28,061-360-8363
예찬농장,한우,전라남도 곡성군 옥과면 주산리 1132번지 6호  ,0,1,1100,2024-08-28,061-360-8363
부자축산,한우,전라남도 곡성군 목사동면 신전리 14번지 1호  ,0,1,700,2024-08-28,061-360-8363
매월농장,한우,전라남도 곡성군 입면 매월리 871번지 5호  ,0,1,900,2024-08-28,061-360-8363
웃소,한우,전라남도 곡성군 삼기면 원등리 735번지 4호  ,26,1,1183,2024-08-28,061-360-8363
원등농장,한우,전라남도 곡성군 삼기면 원등리 737번지 2호  ,0,1,1400,2024-08-28,061-360-8363
시우네농장,한우,"전라남도 곡성군 옥과면 황산리 3번지 2호 , 리문리 420-3 ",0,1,900,2024-08-28,061-360-8363
밀알농장,한우,"전라남도 곡성군 옥과면 황산리 2번지 2호 ,2-3 ",0,1,900,2024-08-28,061-360-8363
연화농장,한우,"전라남도 곡성군 겸면 평장리 795-8, 795-28 ",0,1,650,2024-08-28,061-360-8363
연심방 농원,한우,전라남도 곡성군 입면 제월리 1194번지 1호  ,0,4,1056,2024-08-28,061-360-8363
규성 2농장,한우,전라남도 곡성군 목사동면 용봉리 582 ,0,1,950,2024-08-28,061-360-8363
다연축사,한우,전라남도 곡성군 입면 대장리 286번지 8호  ,0,1,36,2024-08-28,061-360-8363
새 은혜농장,산양,"전라남도 곡성군 목사동면 동암리 259-1, 260-4, 265-1 ",0,4,1386,2024-08-28,061-360-8363
다정농장,한우,전라남도 곡성군 옥과면 소룡리 918번지 1호  ,0,1,1100,2024-08-28,061-360-8363
조양농장,한우,"전라남도 곡성군 오산면 조양리 69-4, 69-5, 232-1 ",11,1,223.56,2024-08-28,061-360-8363
우하하농장,한우,전라남도 곡성군 목사동면 용봉리 914번지 6호  ,0,1,1265,2024-08-28,061-360-8363
대황축산 2,한우,"전라남도 곡성군 죽곡면 신풍리 166-1, 166-4, 166-5 ",0,1,2217,2024-08-28,061-360-8363
청송농장,한우,전라남도 곡성군 입면 금산리 507번지 1호  ,0,1,1000,2024-08-28,061-360-8363
황금농장,한우,전라남도 곡성군 겸면 마전리 19번지 20호  ,0,1,704,2024-08-28,061-360-8363
태경농장,한우,전라남도 곡성군 오곡면 오지리 316번지 1호  ,0,1,191,2024-08-28,061-360-8363
금천농장,한우,"전라남도 곡성군 오곡면 미산리 158-1, 158-5, 158-6 ",0,1,321,2024-08-28,061-360-8363
가나안농장,한우,전라남도 곡성군 곡성읍 대평리 1192-2번지  ,0,1,1178,2024-08-28,061-360-8363
형제농장,한우,전라남도 곡성군 옥과면 주산리 1137번지 7호  ,0,1,700,2024-08-28,061-360-8363
신수한우농장,한우,전라남도 곡성군 옥과면 수리 1015번지 5호  ,0,1,1000,2024-08-28,061-360-8363
종록원,사슴,"전라남도 곡성군 오산면 단사리 263-1, 263-5 ",10,2,352.35,2024-08-28,061-360-8363
국민농장 2,한우,전라남도 곡성군 옥과면 소룡리 907번지 3호  ,0,1,700,2024-08-28,061-360-8363
대일목장,한우,전라남도 곡성군 옥과면 합강리 243번지 4호  ,0,1,700,2024-08-28,061-360-8363
