연번,사업장명칭,축종,사업장소재지,사육면적(제곱미터)
342,초평농장,종계/산란계,충청북도 진천군 초평면 신통리 211번지  ,8432
343,태경농장,육계,충청북도 진천군 초평면 용산리 1010번지  ,2940
344,운호 염소농장,염소,충청북도 진천군 광혜원면 월성리 144번지 4호  ,160
345,대국농장,종계/산란계,충청북도 진천군 진천읍 문봉리 185번지  ,3304
346,단원농장,종계/산란계,"충청북도 진천군 이월면 삼용리 1184번지 외 2필지(1185, 917) ",5872
347,에코팜,종계/산란계,충청북도 진천군 초평면 중석리 1390번지  ,616
348,순영농장,한우,충청북도 진천군 초평면 용정리 376번지 2호  ,1024
349,이삭농장,육계,충청북도 진천군 이월면 중산리 631번지 외 1필지 ,3638
350,해승 농장2,돼지,충청북도 진천군 이월면 사곡리 134번지 2호  ,313
351,디딤돌농장,오리,충청북도 진천군 이월면 삼용리 874번지 1호  ,2822
352,이**사슴농장,사슴,충청북도 진천군 광혜원면 구암리 575번지  ,42
353,실원농장,사슴,충청북도 진천군 광혜원면 실원리 331번지 5호  ,932
354,예서농장,육계,충청북도 진천군 덕산읍 구산리 137번지  ,3576
355,다온농장,한우,충청북도 진천군 초평면 용기리 113번지  ,1053
356,숲속농장,한우,충청북도 진천군 이월면 신월리 399번지 2호  ,1323
357,위드목장,한우,충청북도 진천군 이월면 사곡리 437번지 1호 외 1필지(437) ,2076
358,구정농장,한우,충청북도 진천군 초평면 진암리 326번지 1호  ,4309
359,꿍이네농장,종계/산란계,충청북도 진천군 덕산읍 한천리 495번지 3호  ,3350
360,별이네농장,종계/산란계,충청북도 진천군 덕산읍 한천리 495번지  ,3351
361,용염소농장,염소,충청북도 진천군 초평면 용기리 511번지  ,1208
362,황금농장,염소,충청북도 진천군 초평면 진암리 227번지  ,540
363,문화농장,한우,충청북도 진천군 문백면 계산리 256번지 1호  ,557
364,하늘샘농장,산란육성계,충청북도 진천군 초평면 오갑리 81번지  ,2082
365,영훈목장,젖소,"충청북도 진천군 문백면 평산리 306번지 ,307,310 ",2094
366,하늘농장,육계,충청북도 진천군 초평면 용산리 1005번지 외 2필지 ,2289
367,허브목장,젖소,충청북도 진천군 이월면 동성리 951번지 외 2필지 ,3468
368,도장 흑염소,염소,충청북도 진천군 덕산읍 구산리 192번지  ,95
369,대박기원농장,한우,"충청북도 진천군 덕산읍 용몽리 977번지 ,975 ",3005
370,원산농장,돼지,충청북도 진천군 초평면 용산리 123번지 3호 원산농장(충북대학교 협력농장)-돈사 ,2456
371,장수굴농장,한우,충청북도 진천군 이월면 사곡리 1186번지  ,1117
372,구수 염소농장,염소,충청북도 진천군 백곡면 구수리 537번지  ,90
373,농업회사법인(주)재유농원 진천지점,종계/산란계,"충청북도 진천군 초평면 중석리 1828번지 ,1829 ",4436
374,행복한 돼지 대영농장,돼지,충청북도 진천군 초평면 용기리 749번지 3호  ,423
375,부림2농장,육계,충청북도 진천군 진천읍 상신리 594번지  ,757
376,어썸농장,한우,충청북도 진천군 덕산읍 인산리 590번지 2호  ,2206
377,인산목장,한우,    ,970
378,내기농장,한우,    ,396
379,상현농장,한우,충청북도 진천군 덕산읍 인산리 630번지  ,1497
380,장수농장,염소,충청북도 진천군 초평면 연담리 315번지 1호  ,60
381,황금농장,한우,충청북도 진천군 초평면 용기리 534번지  ,1665
382,구억말 농장,한우,충청북도 진천군 백곡면 갈월리 467번지  ,18
383,현승목장,한우,충청북도 진천군 초평면 신통리 250번지  ,2299
384,유경 농장,한우,충청북도 진천군 초평면 진암리 287번지  ,1196
385,문안산 흑염소,염소,충청북도 진천군 진천읍 사석리 464번지 2호  ,130
386,효진농장,한우,충청북도 진천군 덕산읍 용몽리 277번지 3호  ,264
387,YK팜,한우,충청북도 진천군 초평면 용기리 684번지  ,2847
388,지원농장,돼지,충청북도 진천군 이월면 사곡리 727번지  ,700
389,송원농장,육계,충청북도 진천군 이월면 중산리 631번지 1호  ,4006
390,황금목장,한우,충청북도 진천군 광혜원면 월성리 318번지  ,768
391,영중농장,한우,충청북도 진천군 문백면 옥성리 129번지  ,378
392,형제농장,한우,충청북도 진천군 덕산읍 신척리 780번지  ,1183
393,양산농장,한우,충청북도 진천군 초평면 용기리 709번지 1호  ,1516
394,우송농장,한우,충청북도 진천군 덕산읍 한천리 507번지  ,1574
395,한아름농장,한우,충청북도 진천군 초평면 오갑리 81번지 1호  ,924
396,수지 농장,한우,"충청북도 진천군 덕산읍 인산리 1031번지 1032,1033 ",3640
397,석장 종합 농장,염소,충청북도 진천군 덕산읍 석장리 362번지 7호  ,162
398,정남 목장,한우,충청북도 진천군 진천읍 문봉리 147번지 1호  ,474
399,신월목장,한우,충청북도 진천군 이월면 신월리 538번지 3호  ,932
400,상월 농장,한우,충청북도 진천군 광혜원면 월성리 160번지  ,625
401,도원 농장,한우,충청북도 진천군 덕산읍 인산리 423번지 7호  ,656
402,덕암농장,염소,충청북도 진천군 덕산읍 석장리 362번지 11호  ,336
403,영민 농장,육계,충청북도 진천군 백곡면 대문리 590번지 591번지 592번지 ,1512
404,햇살 농장,육계,충청북도 진천군 이월면 동성리 840번지  ,4375
405,소락 농장,한우,충청북도 진천군 백곡면 구수리 508번지  ,236
406,금봉 농장,한우,충청북도 진천군 광혜원면 금곡리 138번지  ,180
407,규리 농장,한우,충청북도 진천군 초평면 용기리 384번지  ,2668
408,황골 흑염소 농장,염소,충청북도 진천군 초평면 신통리 476번지 1호  ,416
409,대일 농장,한우,충청북도 진천군 이월면 사곡리 883번지  ,560
410,황금농장,종계/산란계,"충청북도 진천군 문백면 계산리 508번지 506, 507, 509, 555, 601, 504 ",3009
411,다온 농장,한우,충청북도 진천군 초평면 진암리 233번지  ,1814
412,서경 농장,육계,충청북도 진천군 이월면 동성리 828번지  ,2291
413,한천 농장,한우,충청북도 진천군 덕산읍 용몽리 972번지  ,729
414,두산농장,육우,충청북도 진천군 덕산읍 산수리 5번지 3호  ,474
415,찬구농장,한우,충청북도 진천군 초평면 진암리 208번지  ,2040
416,새터 농장,한우,충청북도 진천군 진천읍 송두리 산 97번지 14호 청봉농장 ,709
417,농업회사법인(주)다산육종 지암농장,돼지,충청북도 진천군 진천읍 지암리 560번지 1호  ,949
418,구현 농장Ⅲ,한우,충청북도 진천군 진천읍 지암리 596번지 3호  ,384
419,제장농장,한우,충청북도 진천군 광혜원면 금곡리 804번지  ,4419
420,죽현 농장,한우,충청북도 진천군 초평면 영구리 440번지 2호  ,388
421,연호농장,한우,충청북도 진천군 덕산읍 인산리 607번지 1호  ,247
422,원 농장,염소,충청북도 진천군 이월면 사곡리 731번지  ,751
423,YK팜,한우,충청북도 진천군 초평면 용기리 696번지  ,3370
424,걸포 목장,젖소,충청북도 진천군 진천읍 가산리 666번지  ,2512
425,루다목장,한우,충청북도 진천군 진천읍 지암리 1197번지  ,727
426,중미목장,육우,충청북도 진천군 이월면 신월리 395번지 5호  ,330
427,용마 농장,한우,충청북도 진천군 광혜원면 금곡리 143번지  ,316
428,예민꿩농장,꿩,충청북도 진천군 문백면 태락리 529번지 3호  ,420
429,동열 한우 농장,한우,충청북도 진천군 덕산읍 신척리 217번지  ,120
430,상수농장,한우,충청북도 진천군 덕산읍 인산리 588번지 1호  ,1596
431,황골 사슴 농장,사슴,충청북도 진천군 초평면 신통리 281번지  ,90
432,기영농장,한우,충청북도 진천군 초평면 용기리 683번지  ,2170
433,우성 농장,한우,충청북도 진천군 덕산읍 인산리 1233번지  ,1680
434,금한농장2,한우,충청북도 진천군 초평면 금곡리 349번지 5호  ,800
435,칠성 농장,한우,충청북도 진천군 초평면 용기리 699번지  ,2070
436,대삼 한우축산,한우,충청북도 진천군 백곡면 대문리 570번지  ,360
437,수정농장,한우,충청북도 진천군 진천읍 사석리 408번지  ,101
438,이** 농장,한우,충청북도 진천군 이월면 사곡리 887번지 2호  ,3701
439,서** 농장,한우,충청북도 진천군 초평면 용기리 967번지 33호  ,47
440,병화 농장,한우,충청북도 진천군 이월면 사곡리 181번지  ,292
441,덕성 농장,한우,충청북도 진천군 광혜원면 실원리 482번지  ,787
442,김** 농장,한우,충청북도 진천군 초평면 중석리 1830번지  ,2800
443,이** 농장,한우,충청북도 진천군 이월면 사곡리 1113번지  ,48
444,가락골 농장,한우,충청북도 진천군 문백면 사양리 631번지  ,1960
445,상현 제2농장,한우,충청북도 진천군 덕산읍 인산리 425번지 2호  ,1280
446,남매농장,한우,충청북도 진천군 진천읍 지암리 535번지  ,2285
447,금성농장,한우,충청북도 진천군 초평면 용기리 116번지 2호  ,720
448,유진농장,한우,충청북도 진천군 덕산읍 인산리 629번지  ,1972
449,재영농장,한우,충청북도 진천군 진천읍 지암리 1198번지  ,1404
450,두레목장Ⅱ,젖소,충청북도 진천군 이월면 신월리 676번지  ,2776
451,덕문이 농장,한우,충청북도 진천군 진천읍 삼덕리 56번지  ,128
452,소나농장,한우,충청북도 진천군 초평면 용산리 991번지  ,1867
453,승범목장,육우,충청북도 진천군 진천읍 상신리 588번지  ,2310
454,구름송이,젖소,충청북도 진천군 광혜원면 실원리 423번지 1호  ,753
455,삼연목장,한우,충청북도 진천군 백곡면 사송리 514번지  ,385
456,흥동 농장,한우,충청북도 진천군 초평면 용기리 650번지  ,143
457,구수리 농장,한우,충청북도 진천군 백곡면 구수리 537번지  ,42
458,미건목장,육우,충청북도 진천군 백곡면 사송리 623번지 2호  ,1232
459,김** 염소농장,염소,충청북도 진천군 진천읍 상계리 12번지 3호  ,94
460,아담 목장,한우,충청북도 진천군 광혜원면 월성리 336번지  ,1921
461,뉴그린 농장,한우,충청북도 진천군 광혜원면 월성리 335번지  ,1720
462,금성농장,한우,충청북도 진천군 초평면 용산리 447번지 1호  ,786
463,일비농장,돼지,충청북도 진천군 진천읍 지암리 560번지 1호  ,961
464,이** 농장,한우,충청북도 진천군 진천읍 문봉리 142번지  ,105
465,솔밭농장,한우,충청북도 진천군 이월면 동성리 829번지  ,2132
466,행복한 소 대영농장,한우,충청북도 진천군 초평면 용기리 700번지  ,1686
467,완영농장,한우,충청북도 진천군 문백면 계산리 27번지  ,360
468,배티로 사슴농장,사슴,충청북도 진천군 백곡면 양백리 23번지 3호  ,1380
469,두산목장Ⅲ,젖소,충청북도 진천군 덕산읍 인산리 955번지  ,2750
470,다우농장,한우,충청북도 진천군 덕산읍 인산리 607번지 2호  ,1088
471,명동농장,한우,충청북도 진천군 진천읍 상신리 578번지  ,2376
472,청록목장,한우,"충청북도 진천군 덕산읍 인산리 632번지 2호 외 3필지(632-1,633-2,633-3) ",3970
473,기영농장1,한우,"충청북도 진천군 초평면 용기리 734번지 733-1,984-11 ",702
474,금성목장,한우,충청북도 진천군 초평면 용산리 992번지  ,1944
475,방죽골농장,한우,충청북도 진천군 초평면 용정리 371번지  ,387
476,성심목장,한우,충청북도 진천군 문백면 계산리 110번지  ,472
477,우림목장,한우,충청북도 진천군 덕산읍 인산리 421번지 1호  ,2308
478,낙원농장,한우,충청북도 진천군 초평면 용기리 679번지  ,1836
479,신황금목장,염소,충청북도 진천군 문백면 계산리 산 73번지  ,222
480,눈설농장,젖소,충청북도 진천군 이월면 동성리 789번지  ,1090
481,수지목장,한우,충청북도 진천군 덕산읍 인산리 635번지  ,1392
482,식이농장,염소,충청북도 진천군 진천읍 사석리 511번지 3호 외 2필지 ,1650
483,원천농장,종계/산란계,충청북도 진천군 문백면 계산리 169번지  ,3430
484,청남농장,한우,충청북도 진천군 광혜원면 실원리 208번지  ,416
485,송림농장,육용오리,충청북도 진천군 이월면 송림리 89번지 3호 주식회사 주원산오리 ,7995
486,주석목장,한우,충청북도 진천군 문백면 계산리 410번지 1호 409 ,810
487,만물농장,한우,충청북도 진천군 초평면 금곡리 170번지  ,192
488,쑥먹은 염소,염소,충청북도 진천군 초평면 금곡리 124번지  ,720
489,동근농장,한우,"충청북도 진천군 문백면 문덕리 146번지 외 3필지(146-2, 146-3, 148) ",505
490,모니축산,한우,충청북도 진천군 백곡면 성대리 1194번지 2호  ,75
491,서**농장,한우,충청북도 진천군 백곡면 사송리 785번지 2호  ,45
492,김** 농장,한우,충청북도 진천군 초평면 용기리 730번지 8호 외 1(620-1) ,207
493,정 농원,한우,충청북도 진천군 초평면 진암리 413번지 5호  ,88
494,둥이목장,젖소,충청북도 진천군 초평면 금곡리 505번지  ,988
495,오**농장,한우,충청북도 진천군 광혜원면 구암리 377번지 1호  ,50
496,공**농장,한우,충청북도 진천군 진천읍 문봉리 91번지 1호  ,119
497,동선농장,한우,충청북도 진천군 백곡면 석현리 128번지 8호  ,41
498,대일2농장,한우,"충청북도 진천군 이월면 사곡리 1005번지 7호 외 3필지(1005-2, 1005-14, 산91-4) ",704
499,영농조합법인 정원농장 진천지점,메추리,충청북도 진천군 초평면 오갑리 322번지 322-1 322-2 322-3 ,3260
500,웰빙농장2,한우,충청북도 진천군 초평면 용기리 632번지  ,364
501,초평한우,한우,"충청북도 진천군 초평면 진암리 95번지 ,95-1 ",378
502,우천농장,젖소,충청북도 진천군 이월면 사곡리 752번지  ,504
503,황금목장,한우,충청북도 진천군 광혜원면 실원리 202번지 2호 성정농원 631-23 ,523
504,동인목장,젖소,충청북도 진천군 문백면 은탄리 276번지 외 1필지(279) ,555
505,행정농장,한우,충청북도 진천군 진천읍 행정리 458번지 2호  ,16
506,재경농장,한우,충청북도 진천군 이월면 신계리 532번지  ,48
507,한아름농장2,한우,충청북도 진천군 초평면 오갑리 3번지  ,845
508,충북염소농장,염소,충청북도 진천군 초평면 용산리 436번지 436-1 ,681
509,부암농장,한우,충청북도 진천군 초평면 용정리 204번지  ,382
510,벽암농장,염소,충청북도 진천군 진천읍 벽암리 343번지 1호 외1필지(349-5) ,332
511,박** 농장,육계,충청북도 진천군 이월면 사곡리 28번지  ,3057
512,미소농장,한우,"충청북도 진천군 초평면 신통리 247번지 , 248 ",3322
513,에코팜,사슴,충청북도 진천군 초평면 중석리 1390번지 에코팜 ,2300
514,흑염소세상농장,염소,충청북도 진천군 진천읍 문봉리 54번지 외3필지 ,959
515,하늘목장,사슴,충청북도 진천군 광혜원면 회죽리 182번지  ,1103
