농장명,주사육업종,축종,소재지(지번),소재지(도로명),규모(제곱미터),사육두수,데이터기준일자
청산농장,돼지,돼지,충청남도 부여군 양화면 수원리 29번지  ,충청남도 부여군 양화면 망배로 63,2909.9,2500,2026-01-30
희봉농장,육계,육계,충청남도 부여군 은산면 홍산리 산 10번지 1호  ,,1599.5,25000,2026-01-30
가중농장,한우,한우,충청남도 부여군 은산면 가중리 494번지 1호  ,충청남도 부여군 은산면 은남로 37-11,500.41,40,2026-01-30
야호농장,한우,한우,충청남도 부여군 부여읍 송곡리 355번지 2호  ,충청남도 부여군 부여읍 삼충로216번길 24-47,450,9,2026-01-30
문신한우농장,한우,한우,충청남도 부여군 외산면 문신리 344번지  ,충청남도 부여군 외산면 문신로16번길 100,778.6,35,2026-01-30
택희농장,한우,한우,충청남도 부여군 세도면 동사리 425번지  ,충청남도 부여군 세도면 동수로 14-26,192,12,2026-01-30
계룡축산,한우,한우,충청남도 부여군 은산면 홍산리 402번지  ,,279.71,25,2026-01-30
성림원 축산,한우,한우,충청남도 부여군 은산면 오번리 745번지 2호  ,,287.62,21,2026-01-30
우리농장,한우,한우,충청남도 부여군 은산면 가곡리 산 79번지 1호  ,충청남도 부여군 은산면 지천로 231-19,300,13,2026-01-30
부여 계룡축산,한우,한우,충청남도 부여군 은산면 홍산리 404번지 1호  ,,798,50,2026-01-30
예본축산,한우,한우,충청남도 부여군 내산면 주암리 221번지  ,충청남도 부여군 내산면 녹간로 107,195.7,10,2026-01-30
정축산,한우,한우,충청남도 부여군 구룡면 용당리 87번지 2호  ,충청남도 부여군 구룡면 부두로289번안길 15,384,28,2026-01-30
헌수농장,한우,한우,충청남도 부여군 구룡면 용당리 698번지 2호  ,,1900,30,2026-01-30
대근목장,한우,한우,충청남도 부여군 충화면 팔충리 476번지  ,충청남도 부여군 충화면 충신로 1063,256,16,2026-01-30
충화축산,한우,,충청남도 부여군 충화면 팔충리 510번지  ,,667.86,0,2026-01-30
신진농장,한우,한우,충청남도 부여군 초촌면 산직리 161번지  ,,870,35,2026-01-30
탑산농장,한우,한우,충청남도 부여군 임천면 탑산리 182번지 7호  ,,1149.25,15,2026-01-30
발티농장,한우,한우,충청남도 부여군 장암면 점상리 18번지 1호  ,,246,35,2026-01-30
정모농장,한우,한우,충청남도 부여군 부여읍 저석리 230번지 5호  ,,498,20,2026-01-30
옥우영농조합법인,한우,한우,충청남도 부여군 외산면 전장리 191번지  ,충청남도 부여군 외산면 만수로 604-30,500,9,2026-01-30
둥글제농장,한우,한우,충청남도 부여군 규암면 수목리 391번지  ,충청남도 부여군 규암면 호반로1번길 17-48,197.4,16,2026-01-30
부원농장,한우,한우,충청남도 부여군 옥산면 상기리 3번지 2호  ,,834,30,2026-01-30
재영농장,한우,한우,충청남도 부여군 임천면 점리 768번지 4호  ,충청남도 부여군 임천면 남성로 1049,279.45,36,2026-01-30
수림농원,한우,한우,충청남도 부여군 내산면 금지리 539번지  ,,1190,60,2026-01-30
하나농장,한우,한우,"충청남도 부여군 충화면 복금리 457번지 ,458 ",,396.63,13,2026-01-30
조은농장,한우,한우,충청남도 부여군 임천면 점리 668번지 1호  ,충청남도 부여군 임천면 남성로 1063-3,94.35,20,2026-01-30
상원농장,한우,한우,충청남도 부여군 초촌면 소사리 545번지  ,,315.27,45,2026-01-30
대성농장,한우,한우,충청남도 부여군 초촌면 소사리 538번지  ,충청남도 부여군 초촌면 소호로 95-17,83,11,2026-01-30
정원농장,한우,한우,충청남도 부여군 초촌면 소사리 238번지 1호  ,충청남도 부여군 초촌면 산사로 131,150.1,10,2026-01-30
수목농장,한우,한우,충청남도 부여군 규암면 수목리 487번지 1호  ,,512,30,2026-01-30
M.J.Farm,한우,한우,충청남도 부여군 은산면 오번리 696번지 2호  ,충청남도 부여군 은산면 은북로 306-30,1050,105,2026-01-30
나래목장,젖소,젖소,"충청남도 부여군 은산면 내지리 253-1 외 2(252,253) ",충청남도 부여군 은산면 내대로 197-57,1810.91,52,2026-01-30
조은농장(2),한우,,충청남도 부여군 장암면 점상리 23번지 1호  ,,714.32,0,2026-01-30
반조원축산,한우,한우,충청남도 부여군 세도면 반조원리 291번지 외 2필지 ,,315,25,2026-01-30
원광농장,한우,한우,충청남도 부여군 초촌면 소사리 386번지 2호  ,충청남도 부여군 초촌면 선사로 422,319.5,41,2026-01-30
라복농장,한우,한우,충청남도 부여군 규암면 나복리 669번지 5호  ,,150.45,15,2026-01-30
소사농장,한우,한우,충청남도 부여군 초촌면 소사리 657번지  ,충청남도 부여군 초촌면 국사로93번길 103,414.56,32,2026-01-30
영국농장,한우,한우,충청남도 부여군 석성면 봉정리 866번지  ,충청남도 부여군 석성면 석성로 285-6,151.3,3,2026-01-30
한우리농장,한우,한우,충청남도 부여군 임천면 칠산리 98번지 7호  ,,1400,42,2026-01-30
도지터농장,한우,한우,충청남도 부여군 장암면 석동리 674번지 1호  ,,182.2,11,2026-01-30
금암축산,한우,한우,충청남도 부여군 규암면 금암리 54번지 9호  ,,285.12,25,2026-01-30
부여형제축산,한우,한우,충청남도 부여군 은산면 대양리 136번지 외1(136-1) ,,620.19,50,2026-01-30
거전농장,한우,한우,충청남도 부여군 은산면 거전리 514번지 1호  ,,265.23,18,2026-01-30
번호골농장,한우,한우,충청남도 부여군 충화면 지석리 744번지 1호  ,,45,10,2026-01-30
청등농장,한우,한우,충청남도 부여군 충화면 청남리 287번지  ,충청남도 부여군 충화면 충신로266번길 47-7,572,17,2026-01-30
한아름농장,한우,한우,충청남도 부여군 초촌면 세탑리 368번지 2호  ,,790,145,2026-01-30
금공농장,한우,한우,충청남도 부여군 은산면 금공리 367번지  ,충청남도 부여군 은산면 금공서로73번길 48-11,192,30,2026-01-30
협동농장,한우,한우,충청남도 부여군 규암면 오수리 201번지  ,,201.62,11,2026-01-30
거전농장,한우,한우,충청남도 부여군 은산면 거전리 78번지 2호  ,,307.99,20,2026-01-30
지경목장,한우,한우,충청남도 부여군 부여읍 능산리 15번지  ,,782,35,2026-01-30
중앙농장,한우,한우,충청남도 부여군 은산면 은산리 207번지  ,충청남도 부여군 은산면 충절로2883번길 13,2611,60,2026-01-30
초촌축산,한우,한우,충청남도 부여군 초촌면 추양리 200번지 4호  ,,1010,50,2026-01-30
정순농장,한우,한우,충청남도 부여군 석성면 석성리 811번지 2호  ,충청남도 부여군 석성면 석성남로 48-27,291.35,9,2026-01-30
석영농장,한우,한우,충청남도 부여군 석성면 석성리 430번지 1호  ,충청남도 부여군 석성면 석성로 89,198,7,2026-01-30
상도농장,한우,한우,충청남도 부여군 초촌면 세탑리 92번지 50호  ,충청남도 부여군 초촌면 금백로 965-89,499,28,2026-01-30
운학농장,한우,한우,충청남도 부여군 석성면 봉정리 177번지 7호  ,충청남도 부여군 석성면 석성남로 229,604.93,14,2026-01-30
하염목장,한우,한우,충청남도 부여군 부여읍 현북리 954번지 1호  ,,250,7,2026-01-30
산들농장,육계,육계,충청남도 부여군 세도면 화수리 203번지  ,충청남도 부여군 세도면 세도북로 210-46,2106.81,35000,2026-01-30
오번농장,한우,한우,충청남도 부여군 은산면 오번리 753번지  ,,159.48,15,2026-01-30
부부농장,한우,한우,충청남도 부여군 은산면 가중리 427번지  ,,99.75,18,2026-01-30
남산농장,한우,한우,충청남도 부여군 장암면 상황리 350번지 2호  ,충청남도 부여군 장암면 위덕로 589,350,15,2026-01-30
장산농장,한우,한우,충청남도 부여군 세도면 장산리 산 108번지  ,충청남도 부여군 세도면 인세로81번길 57-5,293.41,20,2026-01-30
만수농장,한우,한우,충청남도 부여군 외산면 만수리 산 3번지 6호  ,,305.5,20,2026-01-30
청송농장,한우,한우,충청남도 부여군 세도면 청송리 427번지 1호  ,,137.9,20,2026-01-30
우평농장,한우,한우,충청남도 부여군 남면 마정리 70번지 3호  ,,176.78,32,2026-01-30
성문농장,한우,,"충청남도 부여군 규암면 신성리 517번지 2호 , 518 ",,600,0,2026-01-30
수목농장,종계/산란계,종계/산란계,충청남도 부여군 규암면 합송리 산 2번지  ,충청남도 부여군 규암면 흥수로561번길 74-27,554.01,10000,2026-01-30
장수농장,한우,한우,충청남도 부여군 규암면 내리 293번지 26호  ,충청남도 부여군 규암면 흥수로 800-56,794.86,43,2026-01-30
김국환,한우,한우,충청남도 부여군 은산면 장벌리 343번지 1호  ,,325.38,40,2026-01-30
거전농장,한우,한우,충청남도 부여군 은산면 거전리 35번지  ,,325.39,23,2026-01-30
청포농장,한우,한우,충청남도 부여군 세도면 청포리 산 14번지 3호  ,,48.5,4,2026-01-30
부자농장,한우,한우,충청남도 부여군 세도면 반조원리 350번지 2호  ,충청남도 부여군 세도면 세도로 417,432,67,2026-01-30
경호축산,한우,한우,충청남도 부여군 은산면 은산리 103번지 5호  ,,214.83,30,2026-01-30
세광축산,한우,한우,충청남도 부여군 남면 금천리 419번지 9호  ,충청남도 부여군 남면 팔충로 207-15,940,103,2026-01-30
흥모농장,한우,한우,충청남도 부여군 장암면 북고리 635번지 2호 외 1필지 ,,449.02,15,2026-01-30
철수농장,한우,한우,충청남도 부여군 홍산면 무정리 332번지  ,충청남도 부여군 홍산면 조무로131번길 95,787.5,110,2026-01-30
이강농장,한우,한우,충청남도 부여군 은산면 가중리 478번지 15호  ,,500,51,2026-01-30
인현목장,한우,한우,충청남도 부여군 임천면 칠산리 106번지  ,,700,80,2026-01-30
이육축산,한우,한우,충청남도 부여군 구룡면 용당리 415번지 9호  ,충청남도 부여군 구룡면 용당로80번길 5,447,12,2026-01-30
호암상민농장,한우,한우,충청남도 부여군 규암면 호암리 58번지 11호  ,,208.78,20,2026-01-30
우리농장,한우,한우,충청남도 부여군 규암면 신성리 304번지  ,충청남도 부여군 규암면 서궁로287번길 34,119.2,15,2026-01-30
두곡목장,한우,한우,충청남도 부여군 임천면 두곡리 30번지  ,,171.1,53,2026-01-30
잠비농장,한우,한우,충청남도 부여군 내산면 운치리 552번지 3호  ,,267.5,25,2026-01-30
가곡농장,한우,"한우, 육우",충청남도 부여군 은산면 가곡리 73번지  ,충청남도 부여군 은산면 매화로7번길 1,944,59,2026-01-30
무정농장,한우,한우,충청남도 부여군 홍산면 무정리 170번지 3호  ,충청남도 부여군 홍산면 조무로176번길 29-3,230,30,2026-01-30
장원농장,한우,한우,충청남도 부여군 부여읍 능산리 37번지  ,충청남도 부여군 부여읍 왕릉로324번길 8-4,350,75,2026-01-30
합수농장,한우,한우,충청남도 부여군 은산면 합수리 518번지 4호  ,,326.16,10,2026-01-30
남산농장,한우,한우,충청남도 부여군 장암면 하황리 435번지 2호  ,충청남도 부여군 장암면 상하로90번길 42,1400.62,40,2026-01-30
부형농장,한우,한우,충청남도 부여군 임천면 구교리 280번지 1호  ,충청남도 부여군 임천면 성흥로 260,307.11,15,2026-01-30
재경농장,염소,염소,충청남도 부여군 내산면 금지리 161번지  ,충청남도 부여군 내산면 금지로 191,392.22,200,2026-01-30
영덕농장,한우,한우,충청남도 부여군 은산면 대양리 252번지 1호  ,충청남도 부여군 은산면 충절로대양4길 26,219.42,17,2026-01-30
오번농장,한우,한우,충청남도 부여군 은산면 오번리 110번지 5호  ,,178.69,6,2026-01-30
태성농장,한우,한우,충청남도 부여군 초촌면 신암리 50번지  ,충청남도 부여군 초촌면 신암로 301-7,535.55,20,2026-01-30
송국농장,한우,한우,충청남도 부여군 초촌면 송국리 118번지 6호  ,충청남도 부여군 초촌면 선사로 256-15,576,48,2026-01-30
계룡축산,한우,,충청남도 부여군 은산면 홍산리 390번지 4호  ,,509.31,0,2026-01-30
가나안농장,한우,한우,충청남도 부여군 규암면 수목리 458번지 1호 외 2필지 ,,450,27,2026-01-30
성수농장,한우,한우,충청남도 부여군 규암면 호암리 10번지 2호  ,충청남도 부여군 규암면 백제문로호암길 86-1,145.59,8,2026-01-30
승학농장,한우,한우,충청남도 부여군 규암면 호암리 60번지 5호  ,,403.35,21,2026-01-30
백준농장,한우,한우,충청남도 부여군 규암면 나복리 563번지 4호  ,,50,10,2026-01-30
유곡농장,한우,한우,충청남도 부여군 남면 회동리 270번지  ,충청남도 부여군 남면 회동로 53-3,227.41,27,2026-01-30
청솔농장,한우,한우,"충청남도 부여군 부여읍 능산리 65번지 3호 외2(65-1,65-5) ",,420,30,2026-01-30
송간농장,한우,,충청남도 부여군 부여읍 송간리 89번지 1호  ,충청남도 부여군 부여읍 송간로 190,225.58,0,2026-01-30
온탑축산,한우,한우,충청남도 부여군 은산면 나령리 478번지  ,,104.69,3,2026-01-30
재선농장,한우,한우,충청남도 부여군 은산면 금공리 378번지  ,충청남도 부여군 은산면 금공서로73번길 36,182.65,10,2026-01-30
금공농장,한우,한우,충청남도 부여군 은산면 금공리 342번지  ,,148.5,22,2026-01-30
곡부농장,한우,한우,충청남도 부여군 은산면 가곡리 142번지  ,,355.5,10,2026-01-30
거전농장,한우,한우,충청남도 부여군 은산면 거전리 139번지  ,,422.4,22,2026-01-30
우주농원,한우,한우,충청남도 부여군 은산면 가곡리 419번지 1호  ,,686.94,15,2026-01-30
호암농장,한우,한우,충청남도 부여군 규암면 호암리 105번지  ,충청남도 부여군 규암면 백제문로호암길 74-22,326,10,2026-01-30
광배농장,한우,한우,충청남도 부여군 은산면 합수리 188번지 1호  ,,391,29,2026-01-30
춘기농장,한우,한우,"충청남도 부여군 은산면 대양리 85-5 외2(86-4,86-9) ",,445.9,40,2026-01-30
각대리농장,한우,한우,충청남도 부여군 은산면 각대리 306번지  ,충청남도 부여군 은산면 은남로 551,400,40,2026-01-30
은산농장,한우,한우,충청남도 부여군 은산면 은산리 54번지 11호  ,충청남도 부여군 은산면 은산로15번길 51,249.69,10,2026-01-30
합수농장,한우,한우,충청남도 부여군 은산면 합수리 279번지  ,충청남도 부여군 은산면 합수로46번길 2-5,80.4,15,2026-01-30
임농장,한우,한우,충청남도 부여군 은산면 신대리 219번지  ,충청남도 부여군 은산면 충의로 753,29.4,7,2026-01-30
승훈축산,한우,한우,충청남도 부여군 은산면 대양리 85번지 2호  ,,1100,110,2026-01-30
조현농장,한우,한우,충청남도 부여군 홍산면 조현리 345번지 1호  ,충청남도 부여군 홍산면 조현로43번길 85-15,165.1,4,2026-01-30
용정농원,한우,한우,충청남도 부여군 옥산면 봉산리 390번지  ,충청남도 부여군 옥산면 봉산로 182-14,234.35,24,2026-01-30
은환농장,한우,한우,충청남도 부여군 옥산면 홍연리 366번지  ,충청남도 부여군 옥산면 홍연로 129,291.04,49,2026-01-30
청성목장,한우,한우,충청남도 부여군 세도면 청송리 305번지 10호  ,,1393.3,139,2026-01-30
금암농장,한우,한우,충청남도 부여군 규암면 금암리 381번지  ,,300,20,2026-01-30
여울농장,한우,한우,충청남도 부여군 규암면 내리 543번지 3호  ,충청남도 부여군 규암면 내동로91번길 38,305,15,2026-01-30
두식농장,한우,한우,충청남도 부여군 규암면 수목리 519번지 1호  ,,71.5,9,2026-01-30
분꽃농장,한우,한우,충청남도 부여군 홍산면 조현리 407번지 1호  ,충청남도 부여군 홍산면 조현로43번길 39,89.49,12,2026-01-30
대야곡농장,한우,한우,충청남도 부여군 홍산면 조현리 287번지 1호  ,충청남도 부여군 홍산면 조무로46번길 9,98,9,2026-01-30
광현농장,한우,한우,충청남도 부여군 은산면 홍산리 411번지 1호  ,충청남도 부여군 은산면 충절로홍산2길 105,640,65,2026-01-30
황산목장,한우,한우,충청남도 부여군 은산면 홍산리 61번지  ,,128,9,2026-01-30
용현농장,한우,한우,충청남도 부여군 세도면 귀덕리 446번지 6호  ,충청남도 부여군 세도면 인세로53번길 13,261.6,20,2026-01-30
언복농장,한우,한우,충청남도 부여군 규암면 수목리 514번지 13호  ,충청남도 부여군 규암면 충의로 167,124.56,14,2026-01-30
선농장,염소,한우,충청남도 부여군 세도면 반조원리 269번지  ,,200,19,2026-01-30
반호농장,한우,한우,충청남도 부여군 세도면 반조원리 501번지  ,,144,17,2026-01-30
권농장,한우,한우,충청남도 부여군 은산면 합수리 289번지  ,충청남도 부여군 은산면 합수로46번길 13,38,5,2026-01-30
금천축산,한우,한우,충청남도 부여군 남면 금천리 338번지 2호  ,,1035,50,2026-01-30
수촌농장,한우,한우,충청남도 부여군 규암면 수목리 10번지  ,,78.72,6,2026-01-30
형호축산,한우,한우,충청남도 부여군 초촌면 진호리 75번지 3호  ,충청남도 부여군 초촌면 소호로 128-20,228,4,2026-01-30
세종축산,한우,한우,충청남도 부여군 은산면 금공리 322번지 3호  ,,316,16,2026-01-30
조현농장,한우,한우,충청남도 부여군 홍산면 조현리 329번지  ,,61.2,2,2026-01-30
구연농장,한우,한우,충청남도 부여군 옥산면 대덕리 101번지  ,충청남도 부여군 옥산면 대백제로일유길 78,135.34,9,2026-01-30
남주농장,한우,한우,충청남도 부여군 남면 금천리 428번지  ,충청남도 부여군 남면 팔충로 207-12,360,11,2026-01-30
순희농장,한우,한우,충청남도 부여군 남면 송학리 293번지  ,,69,2,2026-01-30
가탑리축산,한우,한우,충청남도 부여군 부여읍 가탑리 207번지  ,충청남도 부여군 부여읍 가탑로 103-20,250,14,2026-01-30
규암농장,한우,한우,충청남도 부여군 규암면 규암리 66번지 2호  ,충청남도 부여군 규암면 백제문로 7-17,96,5,2026-01-30
원문농장,한우,한우,충청남도 부여군 장암면 원문리 24번지  ,충청남도 부여군 장암면 장암로 205-2,231,22,2026-01-30
하늘농장,한우,한우,충청남도 부여군 초촌면 응평리 197번지  ,충청남도 부여군 초촌면 초촌로31번길 45,305,28,2026-01-30
일흥농장,한우,한우,충청남도 부여군 장암면 석동리 172번지  ,,421.92,22,2026-01-30
무정농장,한우,한우,충청남도 부여군 홍산면 무정리 237번지  ,,30.08,4,2026-01-30
사비농장,한우,한우,충청남도 부여군 은산면 대양리 86번지 2호  ,,1561.48,100,2026-01-30
대양농장,한우,한우,충청남도 부여군 은산면 대양리 127번지 1호  ,,212,15,2026-01-30
대흥농장,한우,한우,충청남도 부여군 옥산면 수암리 189번지  ,충청남도 부여군 옥산면 안남로135번길 59-3,820.98,10,2026-01-30
상훈농장,한우,한우,충청남도 부여군 임천면 발산리 72번지 1호  ,충청남도 부여군 임천면 만가로273번길 50-41,280,13,2026-01-30
비암농장,한우,,충청남도 부여군 외산면 비암리 296번지 1호  ,,80,0,2026-01-30
충일농장,한우,한우,충청남도 부여군 규암면 나복리 729번지  ,충청남도 부여군 규암면 라복로151번길 135,294.38,23,2026-01-30
나복리농장,한우,한우,충청남도 부여군 규암면 나복리 489번지 4호  ,,75,10,2026-01-30
추양목장,한우,한우,충청남도 부여군 초촌면 추양리 105번지 1호  ,충청남도 부여군 초촌면 응추로104번길 13-24,545.92,52,2026-01-30
제일농장,한우,한우,충청남도 부여군 내산면 저동리 179번지  ,충청남도 부여군 내산면 성충로지우길 12-3,73.1,10,2026-01-30
입석농장,한우,한우,충청남도 부여군 임천면 칠산리 1011번지 6호  ,,558.83,30,2026-01-30
매봉산 농장,한우,한우,충청남도 부여군 장암면 정암리 335번지  ,,267.76,12,2026-01-30
내지농장,한우,한우,충청남도 부여군 은산면 내지리 93번지  ,,269.06,17,2026-01-30
옥가농장,한우,한우,충청남도 부여군 은산면 가곡리 193번지  ,,217.5,20,2026-01-30
원규농장,한우,,충청남도 부여군 남면 금천리 103번지  ,,98,0,2026-01-30
가중농장,한우,한우,충청남도 부여군 은산면 가중리 419번지  ,충청남도 부여군 은산면 은남로130번길 17-9,50.4,7,2026-01-30
하늬프러스농장,한우,한우,충청남도 부여군 은산면 가중리 220번지 5호  ,충청남도 부여군 은산면 은남로 12,396,33,2026-01-30
화랑목장,한우,,충청남도 부여군 부여읍 중정리 420번지  ,충청남도 부여군 부여읍 왕중로104번길 13-22,40,0,2026-01-30
신배농장,한우,한우,충청남도 부여군 외산면 전장리 249번지  ,충청남도 부여군 외산면 만수로 630,181,6,2026-01-30
내곡농장,한우,한우,충청남도 부여군 남면 내곡리 321번지 6호  ,충청남도 부여군 남면 금천로 317-20,98,24,2026-01-30
정일농장,한우,한우,충청남도 부여군 은산면 거전리 327번지  ,,320,13,2026-01-30
두리목장,젖소,젖소,충청남도 부여군 규암면 부여두리 22번지 9호  ,충청남도 부여군 규암면 부두로289번길 141,2835.04,80,2026-01-30
그린농장,한우,한우,충청남도 부여군 남면 내곡리 504번지 6호  ,,283.5,33,2026-01-30
길목장,한우,한우,충청남도 부여군 세도면 장산리 148번지 3호  ,충청남도 부여군 세도면 인세로 213-12,1413,12,2026-01-30
배미실,한우,한우,충청남도 부여군 외산면 비암리 120 외1(118-4) ,충청남도 부여군 외산면 만수로주암길 46,167.85,16,2026-01-30
부여한우농장,한우,한우,충청남도 부여군 규암면 나복리 766번지  ,충청남도 부여군 규암면 라복로151번길 69-5,2495.23,34,2026-01-30
용두농장,한우,한우,충청남도 부여군 은산면 용두리 39번지  ,,79.2,20,2026-01-30
한영목장,한우,한우,충청남도 부여군 석성면 비당리 940번지 13호  ,,350,3,2026-01-30
연무농장,한우,한우,충청남도 부여군 임천면 만사리 629번지 10호  ,충청남도 부여군 임천면 가림로 574,735.46,20,2026-01-30
탑동농장,한우,한우,충청남도 부여군 석성면 현내리 587번지 17호  ,,86,13,2026-01-30
은산협동축산,한우,한우,충청남도 부여군 장암면 정암리 332번지  ,,1000.79,60,2026-01-30
성동목장,한우,"한우, 젖소",충청남도 부여군 임천면 두곡리 449번지  ,충청남도 부여군 임천면 부흥로305번길 87,4356,181,2026-01-30
신성은산골축산농장,한우,한우,"충청남도 부여군 규암면 신성리 513번지 2호 외3필지(513-9, 524, 525) ",,1293.61,129,2026-01-30
얼룩목장,한우,젖소,충청남도 부여군 은산면 내지리 259번지 2호  ,,2299,98,2026-01-30
노화농장,한우,한우,충청남도 부여군 구룡면 구봉리 20번지 2호  ,충청남도 부여군 구룡면 흥수로 472,66,3,2026-01-30
산야유정란,종계/산란계,종계/산란계,충청남도 부여군 초촌면 산직리 366번지  ,,600,2000,2026-01-30
나령농장,한우,한우,충청남도 부여군 은산면 나령리 154번지  ,,349.01,12,2026-01-30
부일농장,육계,육계,충청남도 부여군 부여읍 능산리 479번지  ,,26400,48000,2026-01-30
영희농장,한우,한우,충청남도 부여군 내산면 마전리 166번지  ,충청남도 부여군 내산면 삼바실로76번길 59,528,20,2026-01-30
자선목장,한우,한우,충청남도 부여군 세도면 반조원리 260번지 1호  ,충청남도 부여군 세도면 세도로 436-83,635.46,43,2026-01-30
송이농장,한우,,충청남도 부여군 임천면 두곡리 564번지 5호  ,충청남도 부여군 임천면 두곡로 92-32,416,0,2026-01-30
송곡목장,한우,한우,충청남도 부여군 부여읍 송곡리 334번지 5호  ,충청남도 부여군 부여읍 삼충로216번길 46-17,126,4,2026-01-30
석초농장,한우,,충청남도 부여군 초촌면 연화리 277번지 4호  ,,1080,0,2026-01-30
유하목장,젖소,젖소,충청남도 부여군 장암면 점상리 47번지  ,,2389.19,137,2026-01-30
청송농장,한우,한우,충청남도 부여군 세도면 동사리 591번지  ,,324,17,2026-01-30
금암농장,한우,한우,충청남도 부여군 규암면 금암리 210번지 1호  ,충청남도 부여군 규암면 동궁로 210-7,406,40,2026-01-30
대흥농장,한우,한우,충청남도 부여군 세도면 동사리 616번지  ,,346.5,22,2026-01-30
운학농장,한우,한우,충청남도 부여군 석성면 석성리 1170번지 5호  ,,2081.7,65,2026-01-30
현북농장,한우,한우,충청남도 부여군 부여읍 현북리 516번지  ,충청남도 부여군 부여읍 동문로315번길 17,39.84,12,2026-01-30
청포목장,한우,,충청남도 부여군 세도면 청포리 285번지 4호  ,,1132,0,2026-01-30
산직농장,한우,한우,충청남도 부여군 초촌면 산직리 365번지  ,,691.3,10,2026-01-30
신암축산,한우,한우,충청남도 부여군 초촌면 신암리 184번지 1호 외1 (182) ,충청남도 부여군 초촌면 신암로 214-1,480,10,2026-01-30
능산목장,한우,한우,충청남도 부여군 부여읍 능산리 147번지  ,충청남도 부여군 부여읍 왕릉로 304-20,240,15,2026-01-30
임천군사농장,한우,한우,충청남도 부여군 임천면 군사리 348번지  ,,210,10,2026-01-30
원일축사,한우,한우,충청남도 부여군 부여읍 능산리 147번지  ,충청남도 부여군 부여읍 왕릉로 304-24,80,15,2026-01-30
윤진농장,한우,한우,충청남도 부여군 규암면 신성리 472번지 8호  ,,600,13,2026-01-30
한원목장,한우,한우,충청남도 부여군 석성면 봉정리 827번지 3호  ,,711.9,13,2026-01-30
김삿갓한우농장,한우,한우,충청남도 부여군 석성면 봉정리 735번지 1호  ,,2726,94,2026-01-30
산덕농장,한우,한우,충청남도 부여군 부여읍 염창리 357번지  ,,316,10,2026-01-30
홍산무정축산,한우,한우,충청남도 부여군 홍산면 무정리 134번지 2호  ,,543.6,10,2026-01-30
청송축산,한우,한우,충청남도 부여군 세도면 청송리 72번지 1호  ,충청남도 부여군 세도면 청송로 236,350,5,2026-01-30
미숙농장,한우,한우,충청남도 부여군 세도면 수고리 124번지  ,충청남도 부여군 세도면 대흥로185번길 97-45,144,3,2026-01-30
청송농장,한우,한우,충청남도 부여군 세도면 청송리 485번지 5호  ,충청남도 부여군 세도면 세도로 65-12,96,6,2026-01-30
지수농장,한우,한우,충청남도 부여군 초촌면 세탑리 92번지 46호  ,충청남도 부여군 초촌면 금백로 965-89,330,10,2026-01-30
우리농장,한우,한우,충청남도 부여군 석성면 봉정리 산 42번지  ,충청남도 부여군 석성면 석성남로 144-33,90,18,2026-01-30
은경농장,한우,한우,충청남도 부여군 석성면 증산리 578번지 7호  ,충청남도 부여군 석성면 금백로679번길 30,173,4,2026-01-30
춘남농장,한우,한우,충청남도 부여군 석성면 봉정리 874번지 2호  ,,250,18,2026-01-30
삼거리농장,한우,한우,충청남도 부여군 초촌면 산직리 624번지 2호  ,충청남도 부여군 초촌면 초평로98번길 38-1,49.5,2,2026-01-30
태휘농장,한우,한우,충청남도 부여군 규암면 금암리 207번지 1호  ,,346.5,60,2026-01-30
우평농장2,한우,한우,충청남도 부여군 남면 마정리 1170번지 8호  ,,670,52,2026-01-30
성덕농장,한우,한우,충청남도 부여군 초촌면 초평리 30번지 2호  ,충청남도 부여군 초촌면 초평로216번길 13,200,44,2026-01-30
임천농장,육계,육계,충청남도 부여군 임천면 군사리 466번지  ,,2392.42,35000,2026-01-30
대흥농장,한우,한우,충청남도 부여군 옥산면 수암리 189번지  ,충청남도 부여군 옥산면 안남로135번길 59-3,820,33,2026-01-30
정현농장,한우,한우,충청남도 부여군 세도면 청포리 703번지 3호  ,,399,58,2026-01-30
한우농장,한우,한우,충청남도 부여군 규암면 수목리 102번지  ,충청남도 부여군 규암면 호반로87번길 9-28,396,5,2026-01-30
이레농장,육우,육우,충청남도 부여군 은산면 은산리 195번지 1호  ,충청남도 부여군 은산면 충절로 2861,99,7,2026-01-30
청송농장,한우,한우,충청남도 부여군 세도면 청송리 302번지 1호  ,,2700,10,2026-01-30
수목농장,한우,한우,충청남도 부여군 규암면 수목리 502번지 19통  ,충청남도 부여군 규암면 충의로 181,165,13,2026-01-30
정일농장,한우,한우,충청남도 부여군 임천면 구교리 352번지 6통  ,충청남도 부여군 임천면 구교로75번길 6-9,82,7,2026-01-30
금수목장,한우,,"충청남도 부여군 초촌면 세탑리 92번지 43호 외 4필지(39, 47, 50, 52) ",,930,0,2026-01-30
평안농장,한우,한우,충청남도 부여군 초촌면 소사리 1009번지  ,,1118.8,32,2026-01-30
청송한우농장,한우,한우,충청남도 부여군 초촌면 신암리 798번지 7호  ,,1114.62,123,2026-01-30
동원농장,육계,육계,충청남도 부여군 옥산면 학산리 101번지  ,충청남도 부여군 옥산면 옥산북로 294-36,2515,70000,2026-01-30
종규농장,한우,한우,충청남도 부여군 구룡면 죽절리 64번지  ,,137.5,7,2026-01-30
