농장명,주사육업종,소재지지번주소,소재지도로명주소,사육면적(제곱미터),사육두수(마리),데이터기준일자
우인농장,한우,    ,경상북도 울진군 평해읍 학곡2길 199,90.88,0,2023-12-31
오복농장,한우,    ,경상북도 울진군 북면 맞덕구길 306,150,4,2023-12-31
김주현농장,한우,    ,경상북도 울진군 북면 십이령로 2504,300,29,2023-12-31
전기만농장,한우,경상북도 울진군 금강송면 소광리 424번지  ,경상북도 울진군 금강송면 십이령로 277-23,198,30,2023-12-31
이상률농장,한우,경상북도 울진군 금강송면 왕피리 764번지 1호  ,경상북도 울진군 금강송면 한내길 299,240,12,2023-12-31
산밭골농장,한우,경상북도 울진군 북면 사계리 462번지  ,경상북도 울진군 북면 사계2길 57-40,444,38,2023-12-31
신경화농장,한우,경상북도 울진군 후포면 후포리 652번지 9호  ,,200,18,2023-12-31
지석출농장,한우,    ,경상북도 울진군 후포면 쇠골1길 84-1,0,2,2023-12-31
이재득농장,한우,    ,경상북도 울진군 후포면 정실3길 5-24,100,10,2023-12-31
신상규농장,한우,    ,경상북도 울진군 후포면 중밤터1길 43-1,0,7,2023-12-31
이상목농장,한우,    ,경상북도 울진군 평해읍 월송4길 13,160,9,2023-12-31
정대일농장,한우,경상북도 울진군 평해읍 거일리 123번지  ,경상북도 울진군 평해읍 박실길 59,250,21,2023-12-31
후포농장,종계/산란계,경상북도 울진군 평해읍 학곡리 501번지  ,,0,100,2023-12-31
전도중농장,한우,    ,경상북도 울진군 북면 곡리1길 31-7,0,2,2023-12-31
권순열농장,한우,경상북도 울진군 북면 두천리 548번지  ,,330,11,2023-12-31
남석순농장,한우,    ,경상북도 울진군 죽변면 시정길 118-17,0,20,2023-12-31
장대성농장,한우,경상북도 울진군 북면 소곡리 827번지  ,경상북도 울진군 북면 박금소야로 670-10,205.56,14,2023-12-31
전병호농장,한우,    ,경상북도 울진군 북면 박금소야로 655,162,18,2023-12-31
장인열농장,한우,    ,경상북도 울진군 북면 소야1길 74-18,0,5,2023-12-31
원구농장,한우,    ,경상북도 울진군 울진읍 하죽로 267-20,0,4,2023-12-31
장경연농장,한우,    ,경상북도 울진군 울진읍 고성3길 53-8,593.75,30,2023-12-31
박용길농장,한우,경상북도 울진군 울진읍 읍남리 1105번지 5호  ,경상북도 울진군 울진읍 토일4길 804-1,444,38,2023-12-31
장혁동농장,한우,    ,경상북도 울진군 울진읍 토일2길 173-61,0,3,2023-12-31
주원규농장,한우,경상북도 울진군 죽변면 후정리 975번지  ,,0,3,2023-12-31
대경한우,한우,경상북도 울진군 기성면 황보리 163번지 2호  ,경상북도 울진군 기성면 황보길 274-28,3665.77,171,2023-12-31
달면농장,한우,    ,경상북도 울진군 평해읍 학곡2길 163-17,89.6,21,2023-12-31
준영농장,한우,    ,경상북도 울진군 평해읍 학곡2길 183,181.44,38,2023-12-31
행복농장,한우,    ,경상북도 울진군 평해읍 평오곡길 327-5,95,3,2023-12-31
태식농장,한우,    ,경상북도 울진군 평해읍 오곡2길 136-2,345.96,189,2023-12-31
삼남매농장,한우,    ,경상북도 울진군 평해읍 오곡2길 84-1,2555.62,171,2023-12-31
대영농장,한우,경상북도 울진군 평해읍 오곡리 193번지  ,경상북도 울진군 평해읍 오곡2길 139-5,552.09,17,2023-12-31
최진철농장,한우,경상북도 울진군 북면 상당리 115번지  ,,453.6,17,2023-12-31
남용복농장,한우,경상북도 울진군 북면 상당리 38번지  ,경상북도 울진군 북면 십이령로 2598,105.2,10,2023-12-31
임동기농장,한우,    ,경상북도 울진군 북면 상당1길 38-4,238.6,2,2023-12-31
광모농장,한우,경상북도 울진군 북면 상당리 192번지 8호  ,경상북도 울진군 북면 상당1길 55-33,98,0,2023-12-31
흥부농장,한우,    ,경상북도 울진군 북면 흥부길 35-115,450,0,2023-12-31
봉평한우작목반,한우,    ,경상북도 울진군 죽변면 하죽로 1742-53,217.2,7,2023-12-31
동화농장,돼지,    ,경상북도 울진군 북면 부구검성로 114,953.7,800,2023-12-31
남학수농장,한우,    ,경상북도 울진군 죽변면 봉화길 43-47,250,4,2023-12-31
보람농장,한우,경상북도 울진군 죽변면 화성리 62번지 3호  ,경상북도 울진군 죽변면 성내길 19-1,256,22,2023-12-31
진축사,한우,경상북도 울진군 죽변면 화성리 260번지 2호  ,경상북도 울진군 죽변면 용장길 102-11,202.5,0,2023-12-31
박기봉농장,한우,경상북도 울진군 울진읍 호월리 571번지  ,,388.65,12,2023-12-31
이진광농장,한우,경상북도 울진군 기성면 황보리 65번지  ,,450,3,2023-12-31
장유선농장,한우,경상북도 울진군 북면 상당리 208번지 1호  ,,97.5,11,2023-12-31
소야농장2,한우,경상북도 울진군 북면 소곡리 296번지  ,,937.37,80,2023-12-31
미화농장,한우,경상북도 울진군 매화면 신흥리 263번지  ,경상북도 울진군 매화면 신흥길 253-86,350,20,2023-12-31
푸른농장,한우,경상북도 울진군 매화면 기양리 1007번지  ,경상북도 울진군 매화면 기양지품길 38-26,96,12,2023-12-31
영수농장,한우,경상북도 울진군 매화면 기양리 789번지 1호  ,,224,9,2023-12-31
진복농장,한우,경상북도 울진군 북면 상당리 45번지 3호  ,경상북도 울진군 북면 십이령로 2582,167.85,3,2023-12-31
우리들농장,한우,경상북도 울진군 매화면 매화리 48번지  ,경상북도 울진군 매화면 매화로 668-69,832,10,2023-12-31
행곡농장,한우,경상북도 울진군 근남면 행곡리 786번지  ,경상북도 울진군 근남면 천전길 33-37,96,5,2023-12-31
알이랑꿀이랑,종계/산란계,경상북도 울진군 후포면 후포리 260번지  ,,145.8,400,2023-12-31
석원농장,한우,경상북도 울진군 매화면 기양리 285번지  ,경상북도 울진군 매화면 온매로 2106-98,800,0,2023-12-31
벧엘농장,한우,경상북도 울진군 북면 소곡리 811번지  ,경상북도 울진군 북면 소야2길 1,179.76,12,2023-12-31
용식농장,한우,경상북도 울진군 평해읍 학곡리 962번지 1호  ,,250,8,2023-12-31
홍익농장,한우,경상북도 울진군 기성면 구산리 393번지  ,경상북도 울진군 기성면 기성로 107-46,99,3,2023-12-31
부성농장,한우,경상북도 울진군 평해읍 오곡리 106번지  ,,291.2,25,2023-12-31
원구2농장,한우,경상북도 울진군 근남면 산포리 1276번지  ,경상북도 울진군 근남면 세포2길 96-11,224,0,2023-12-31
신흥농장,한우,경상북도 울진군 매화면 신흥리 246번지  ,경상북도 울진군 매화면 신흥길 253-45,1584,240,2023-12-31
늘푸른농장,한우,경상북도 울진군 온정면 온정리 849번지  ,,296,15,2023-12-31
가는골농장,한우,경상북도 울진군 북면 부구리 1473번지 3호  ,,450,11,2023-12-31
세명2농장,한우,경상북도 울진군 죽변면 화성리 809번지  ,경상북도 울진군 죽변면 용장길 212,1682.4,100,2023-12-31
사계농장,한우,경상북도 울진군 북면 사계리 402번지  ,경상북도 울진군 북면 사계2길 112-26,1136,35,2023-12-31
도래농장,한우,경상북도 울진군 죽변면 화성리 492번지  ,,400,40,2023-12-31
사계2농장,한우,경상북도 울진군 북면 사계리 470번지  ,경상북도 울진군 북면 사계2길 57-22,416,0,2023-12-31
한솔농장,한우,경상북도 울진군 북면 사계리 471번지  ,경상북도 울진군 북면 사계2길 57-18,634,40,2023-12-31
대상농장,한우,경상북도 울진군 후포면 후포리 651번지 2호  ,경상북도 울진군 후포면 고동골길 66,427.73,25,2023-12-31
봉화농장,한우,경상북도 울진군 죽변면 봉평리 981번지 1호  ,경상북도 울진군 죽변면 봉화길 141-1,146.78,8,2023-12-31
정림한우농장,한우,경상북도 울진군 울진읍 정림리 926번지 1호  ,경상북도 울진군 울진읍 하죽로 757-40,330,0,2023-12-31
대용농원,한우,경상북도 울진군 죽변면 봉평리 430번지  ,,400,30,2023-12-31
권기현농장2,한우,"경상북도 울진군 죽변면 봉평리 781번지 , 780, 799, 782-1번지 ",,1893.6,0,2023-12-31
준영농장,한우,경상북도 울진군 평해읍 학곡리 924번지 1호  ,경상북도 울진군 평해읍 학곡2길 163-26,1274,0,2023-12-31
정석화농장,한우,경상북도 울진군 근남면 수산리 246번지 1호  ,,352,30,2023-12-31
하늘농원,육계,경상북도 울진군 매화면 기양리 89번지  ,,120,120,2023-12-31
한성2농장,한우,경상북도 울진군 죽변면 화성리 960번지  ,경상북도 울진군 죽변면 용장길 184-70,1600,0,2023-12-31
우성농장,한우,경상북도 울진군 울진읍 명도리 865번지  ,경상북도 울진군 울진읍 명도3길 240-7,2255,160,2023-12-31
한우농장,한우,경상북도 울진군 온정면 덕산리 718번지  ,,839,70,2023-12-31
하나농장,한우,경상북도 울진군 매화면 매화리 438번지  ,,800,0,2023-12-31
동산농장,한우,경상북도 울진군 죽변면 후정리 457번지  ,,340,30,2023-12-31
유진농장,한우,경상북도 울진군 북면 주인리 산 21번지 3호  ,경상북도 울진군 북면 박금소야로 831,2110.78,140,2023-12-31
진울농장,한우,경상북도 울진군 북면 하당리 414번지 1호  ,경상북도 울진군 북면 하당1길 167,962,17,2023-12-31
정현농장,한우,경상북도 울진군 매화면 금매리 430번지  ,경상북도 울진군 매화면 금매길 222,444,0,2023-12-31
다하농장,한우,경상북도 울진군 평해읍 학곡리 795번지 1호  ,경상북도 울진군 평해읍 학곡2길 143-11,1086,50,2023-12-31
소정농장,한우,경상북도 울진군 평해읍 학곡리 792번지  ,경상북도 울진군 평해읍 학곡2길 143-9,1445.4,0,2023-12-31
호이농장,한우,경상북도 울진군 평해읍 학곡리 791번지  ,경상북도 울진군 평해읍 학곡2길 143-43,400,35,2023-12-31
청곡농장,한우,경상북도 울진군 북면 부구리 953번지  ,경상북도 울진군 북면 남산길 150-28,1490,0,2023-12-31
백두농장,한우,경상북도 울진군 죽변면 화성리 645번지  ,경상북도 울진군 죽변면 꽃방길 53-42,400,30,2023-12-31
대영2농장,한우,"경상북도 울진군 평해읍 학곡리 914-16, 914-45 ",,3672,0,2023-12-31
명수농장,한우,경상북도 울진군 북면 덕구리 445번지  ,,102,28,2023-12-31
연호농장,한우,경상북도 울진군 북면 하당리 420번지  ,경상북도 울진군 북면 하당1길 177,890,50,2023-12-31
성일농장,한우,경상북도 울진군 북면 상당리 256번지 1호  ,경상북도 울진군 북면 십이령로 2660-41,122.96,4,2023-12-31
중당농장,한우,경상북도 울진군 북면 하당리 500번지  ,경상북도 울진군 북면 하당1길 217-11,277.95,16,2023-12-31
채순농장,한우,경상북도 울진군 매화면 갈면리 770번지  ,,179.8,9,2023-12-31
은성농장,육계,경상북도 울진군 매화면 신흥리 358번지  ,,168,1000,2023-12-31
희망농장,한우,경상북도 울진군 북면 주인리 3번지  ,경상북도 울진군 북면 남산길 84,872,60,2023-12-31
내산골농장,한우,경상북도 울진군 북면 검성리 377번지  ,경상북도 울진군 북면 상검성길 178,375.2,16,2023-12-31
용장농장,한우,경상북도 울진군 죽변면 화성리 805번지 4호  ,,240,10,2023-12-31
희망농장,한우,경상북도 울진군 후포면 후포리 716번지  ,경상북도 울진군 후포면 후포삼칠길 110,288,26,2023-12-31
태화2농장,한우,경상북도 울진군 북면 상당리 213번지 3호  ,경상북도 울진군 북면 상당1길 55-28,576.3,20,2023-12-31
덕천농장,한우,경상북도 울진군 북면 덕천리 43번지 15호  ,경상북도 울진군 북면 울진북로 1565-15,1099,75,2023-12-31
두천농장,한우,경상북도 울진군 북면 두천리 263번지  ,경상북도 울진군 북면 두천길 15,99,8,2023-12-31
성보농장,한우,경상북도 울진군 북면 소곡리 862번지  ,경상북도 울진군 북면 박금소야로 641,82.56,4,2023-12-31
학곡농장,한우,경상북도 울진군 평해읍 학곡리 946번지 2호  ,,200,0,2023-12-31
심순희농장,한우,경상북도 울진군 북면 덕구리 665번지 1호  ,경상북도 울진군 북면 맞덕구길 152-11,249.64,20,2023-12-31
한실농장,한우,경상북도 울진군 온정면 덕산리 193번지  ,경상북도 울진군 온정면 원덕산1길 32-19,92.66,0,2023-12-31
장만윤농장,한우,경상북도 울진군 매화면 기양리 999번지 2호  ,경상북도 울진군 매화면 기양지품길 38-56,378,35,2023-12-31
대진농장,한우,경상북도 울진군 평해읍 학곡리 683번지 2호  ,경상북도 울진군 평해읍 학곡2길 77-16,614,50,2023-12-31
반석2농장,한우,경상북도 울진군 매화면 매화리 958번지 14호  ,경상북도 울진군 매화면 매화매실길 40-61,650,0,2023-12-31
청산농장,한우,경상북도 울진군 온정면 덕산리 739번지 4호  ,경상북도 울진군 온정면 삼덕로 1129-1,847.88,32,2023-12-31
심광섭농장,한우,경상북도 울진군 매화면 매화리 254번지  ,경상북도 울진군 매화면 매화동산길 2-70,1190.18,88,2023-12-31
영일농장,한우,경상북도 울진군 북면 부구리 1402번지  ,경상북도 울진군 북면 부구검성로 337,492,40,2023-12-31
황현네축사,한우,경상북도 울진군 후포면 금음리 459번지 3호  ,경상북도 울진군 후포면 만산길 67,484,30,2023-12-31
황춘홍,한우,경상북도 울진군 기성면 황보리 368번지  ,경상북도 울진군 기성면 황보3길 23-42,228.5,13,2023-12-31
사계한우농장,한우,경상북도 울진군 북면 사계리 432번지 1호  ,,98,9,2023-12-31
엄선옥농장,한우,경상북도 울진군 북면 덕구리 673번지  ,,128,14,2023-12-31
수원2농장,한우,경상북도 울진군 온정면 덕산리 675번지 1호  ,경상북도 울진군 온정면 하덕산길 128,252.88,21,2023-12-31
김진선장연자농장,한우,경상북도 울진군 울진읍 정림리 332번지  ,경상북도 울진군 울진읍 박금소야로 90,162,2,2023-12-31
금강송농장,한우,경상북도 울진군 북면 사계리 555번지  ,경상북도 울진군 북면 사계2길 144,250,0,2023-12-31
종선농장,한우,경상북도 울진군 울진읍 정림리 37번지  ,경상북도 울진군 울진읍 명도3길 342,628,31,2023-12-31
새마실농장,한우,경상북도 울진군 죽변면 봉평리 869번지  ,경상북도 울진군 죽변면 박곡길 47-81,600,0,2023-12-31
천일농장,한우,경상북도 울진군 후포면 후포리 746번지  ,경상북도 울진군 후포면 후포삼칠길 61-27,475.3,12,2023-12-31
정림축산농장,한우,경상북도 울진군 울진읍 정림리 61번지  ,경상북도 울진군 울진읍 명도3길 286,1582.5,0,2023-12-31
종대농장,한우,경상북도 울진군 평해읍 학곡리 881번지  ,,576,0,2023-12-31
한솔2농장,한우,경상북도 울진군 북면 사계리 362번지  ,경상북도 울진군 북면 사계2길 56,298.5,0,2023-12-31
유민축산,한우,경상북도 울진군 금강송면 왕피리 427번지 5호  ,경상북도 울진군 금강송면 왕피길 1401,80,0,2023-12-31
홍진철농장,한우,경상북도 울진군 북면 상당리 261번지  ,경상북도 울진군 북면 십이령로 2666-3,486,33,2023-12-31
양지농장,한우,경상북도 울진군 기성면 기성리 15번지  ,경상북도 울진군 기성면 기성2길 76,300,0,2023-12-31
영축산,한우,경상북도 울진군 매화면 금매리 742번지  ,경상북도 울진군 매화면 몽천샘길 100-13,394.52,0,2023-12-31
일출농장,한우,경상북도 울진군 평해읍 오곡리 462번지 41호  ,경상북도 울진군 평해읍 평오곡길 214-13,610,0,2023-12-31
강산에2농장,한우,경상북도 울진군 울진읍 신림리 12번지  ,경상북도 울진군 울진읍 설매길 151-4,304,0,2023-12-31
연동농장,한우,경상북도 울진군 근남면 수산리 247번지 3호  ,경상북도 울진군 근남면 엑스포로 223-59,330,0,2023-12-31
해미리2농장,한우,경상북도 울진군 죽변면 후정리 951번지 1호  ,경상북도 울진군 죽변면 시정길 181,931,0,2023-12-31
성덕2농장,한우,경상북도 울진군 죽변면 화성리 843번지  ,경상북도 울진군 죽변면 용장길 184-107,243,0,2023-12-31
이소진소농장,한우,경상북도 울진군 매화면 매화리 1085번지 2호  ,경상북도 울진군 매화면 매화매실1길 27-17,394.1,0,2023-12-31
안광엽농장,한우,"경상북도 울진군 북면 상당리 342번지 3호 , 342-8번지 ",경상북도 울진군 북면 상당1길 153,289.84,0,2023-12-31
소광리한우,한우,"경상북도 울진군 금강송면 소광리 155번지 1호 , 산36-1번지 ",경상북도 울진군 금강송면 대광천길 1,225.04,0,2023-12-31
승영농장,한우,경상북도 울진군 울진읍 정림리 66번지  ,,1400,0,2023-12-31
장수농장2,한우,경상북도 울진군 울진읍 정림리 62번지  ,,1450,0,2023-12-31
도담농장,한우,경상북도 울진군 북면 소곡리 666번지  ,,1664.5,0,2023-12-31
소야성부골농장,한우,경상북도 울진군 북면 소곡리 303번지 1호 번지 ,,164.71,0,2023-12-31
사또농장,한우,경상북도 울진군 죽변면 화성리 959번지  ,,192,0,2023-12-31
이평농장,한우,경상북도 울진군 기성면 정명리 589번지 4호  ,경상북도 울진군 기성면 정명1길 36-21,376.86,0,2023-12-31
황보농장,한우,경상북도 울진군 기성면 황보리 370번지  ,,285,0,2023-12-31
인우농장,한우,"경상북도 울진군 평해읍 학곡리 883번지 6호 , 883-9번지 ",,350,0,2023-12-31
광전축산,한우,"경상북도 울진군 울진읍 명도리 14번지 7호 번지 외 2필지(14-13,14-14) ",,1300,0,2023-12-31
정상농장,한우,경상북도 울진군 북면 소곡리 980번지  ,,192,0,2023-12-31
상신농원,한우,경상북도 울진군 매화면 매화리 116번지  ,경상북도 울진군 매화면 매화동산길 18-64,400,0,2023-12-31
유수농장,한우,경상북도 울진군 매화면 기양리 997번지  ,경상북도 울진군 매화면 기양지품길 38-51,300,0,2023-12-31
큰별농장,한우,경상북도 울진군 울진읍 정림리 75번지 2호  ,경상북도 울진군 울진읍 명도3길 282-15,650,0,2023-12-31
금구농장,한우,경상북도 울진군 평해읍 학곡리 952번지  ,경상북도 울진군 평해읍 학곡2길 143-21,375,0,2023-12-31
태수농장,한우,경상북도 울진군 근남면 행곡리 565번지 21호  ,경상북도 울진군 근남면 천연2길 90-11,103.68,0,2023-12-31
등마루농장,한우,경상북도 울진군 울진읍 명도리 416번지 1호  ,경상북도 울진군 울진읍 명도온양길 35-76,700,0,2023-12-31
푸른농장,한우,경상북도 울진군 북면 사계리 4번지  ,경상북도 울진군 북면 박금소야로 412-24,364.5,0,2023-12-31
평지축사,한우,경상북도 울진군 북면 상당리 59번지 4호  ,경상북도 울진군 북면 상당1길 29,198,0,2023-12-31
진복축산,한우,경상북도 울진군 근남면 진복리 805번지  ,경상북도 울진군 근남면 매오길 323,196.02,0,2023-12-31
하당축사농장,한우,경상북도 울진군 북면 하당리 314번지  ,경상북도 울진군 북면 하당2길 22-10,200,0,2023-12-31
