사업장명칭,축종분류,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,관리기관명
현대농장,우제류,한우,경기도 양주시 은현면 하패리 631,경기도 양주시 은현면 은현로 13834,42,양주시 농업기술센터 축산과
어등산 농장,우제류,한우,경기도 양주시 봉양동 1053,경기도 양주시 칠봉산로228번길 126188 (봉양동),114,양주시 농업기술센터 축산과
승채목장,우제류,젖소,경기도 양주시 광적면 효촌리 1541,경기도 양주시 광적면 화합로147번길 1676,178,양주시 농업기술센터 축산과
무곳니2목장,우제류,육우,경기도 양주시 남면 매곡리 77,경기도 양주시 남면 휴암로451번길 15625,10,양주시 농업기술센터 축산과
정 농장,우제류,한우,경기도 양주시 옥정동 483,경기도 양주시 청담로84번길 231262 (옥정동),27,양주시 농업기술센터 축산과
재숙목장,우제류,한우,경기도 양주시 은현면 운암리 5161,경기도 양주시 은현면 화합로788번길 160,60,양주시 농업기술센터 축산과
조휘농장,우제류,한우,경기도 양주시 봉양동 7624,경기도 양주시 칠봉산로 38713 (봉양동),26,양주시 농업기술센터 축산과
구인목장,우제류,한우,경기도 양주시 백석읍 오산리 155,경기도 양주시 백석읍 중앙로254번길 22068,  ,양주시 농업기술센터 축산과
대성농장,우제류,한우,경기도 양주시 고읍동 163,경기도 양주시 고덕로355번길 77 (고읍동),3,양주시 농업기술센터 축산과
금란목장,우제류,한우,경기도 양주시 광사동 312,경기도 양주시 부흥로1881번길 29 (광사동),4,양주시 농업기술센터 축산과
안골농장,우제류,한우,경기도 양주시 백석읍 홍죽리 1997,경기도 양주시 백석읍 양주산성로 923,6,양주시 농업기술센터 축산과
형기목장,우제류,한우,경기도 양주시 장흥면 부곡리 4111,경기도 양주시 장흥면 가마골로 85,  ,양주시 농업기술센터 축산과
백홍목장,우제류,한우,경기도 양주시 백석읍 홍죽리 6853,경기도 양주시 백석읍 권율로 111125,4,양주시 농업기술센터 축산과
영화목장,우제류,한우,경기도 양주시 백석읍 홍죽리 372,경기도 양주시 백석읍 월암로11번길 10,6,양주시 농업기술센터 축산과
진일농장,우제류,한우,경기도 양주시 백석읍 오산리 5707,경기도 양주시 백석읍 권율로1398번길 7842,100,양주시 농업기술센터 축산과
경인농장,우제류,한우,경기도 양주시 남면 한산리 555233,경기도 양주시 남면 삼일로 9621,6,양주시 농업기술센터 축산과
고암목장,우제류,한우,경기도 양주시 고암동 4471 ,경기도 양주시 청담로 16922 (고암동),  ,양주시 농업기술센터 축산과
찬만농장,우제류,한우,경기도 양주시 남면 황방리 3171,경기도 양주시 남면 양연로173번길 246,23,양주시 농업기술센터 축산과
태고목장,우제류,한우,경기도 양주시 장흥면 교현리 4371,경기도 양주시 장흥면 북한산로801번길 527,89,양주시 농업기술센터 축산과
원성농장,우제류,한우,경기도 양주시 광적면 덕도리 36,경기도 양주시 광적면 삼일로 29949,17,양주시 농업기술센터 축산과
초록지기목장,우제류,젖소,경기도 양주시 남면 황방리 13,경기도 양주시 남면 양연로 231,29,양주시 농업기술센터 축산과
새진정목장,우제류,한우,경기도 양주시 장흥면 교현리 3351,경기도 양주시 장흥면 북한산로867번길 21,  ,양주시 농업기술센터 축산과
만년목장,우제류,한우,경기도 양주시 장흥면 교현리 51,경기도 양주시 장흥면 북한산로928번길 99,2,양주시 농업기술센터 축산과
민경목장,우제류,한우,경기도 양주시 회암동 4441,경기도 양주시 칠봉산로 8457 (회암동),11,양주시 농업기술센터 축산과
아카시아목장,우제류,한우,경기도 양주시 광적면 덕도리 5943,경기도 양주시 광적면 광적로325번길 83,126,양주시 농업기술센터 축산과
백두2농장,우제류,육우,경기도 양주시 광적면 우고리 4913,경기도 양주시 광적면 부흥로604번길 237,96,양주시 농업기술센터 축산과
하랑농장,우제류,한우,경기도 양주시 은현면 운암리 1565,경기도 양주시 은현면 화합로691번길 23230,113,양주시 농업기술센터 축산과
준기농장,우제류,한우,경기도 양주시 은현면 용암리 4258,경기도 양주시 은현면 화합로1162번길 995,80,양주시 농업기술센터 축산과
지윤제2농장,우제류,젖소,경기도 양주시 남면 입암리 2131,경기도 양주시 남면 삼일로 87543,97,양주시 농업기술센터 축산과
탑골2목장,우제류,육우,경기도 양주시 광적면 우고리 4775,경기도 양주시 광적면 현석로 35311,2,양주시 농업기술센터 축산과
과수농장,우제류,한우,경기도 양주시 백석읍 방성리 842,경기도 양주시 부흥로 137324 (유양동),  ,양주시 농업기술센터 축산과
피난말목장,우제류,한우,경기도 양주시 백석읍 연곡리 1917,경기도 양주시 백석읍 연곡리 187번지 1통 1반  ,6,양주시 농업기술센터 축산과
활농장,우제류,한우,경기도 양주시 백석읍 오산리 429,경기도 양주시 백석읍 권율로1398번길 95,53,양주시 농업기술센터 축산과
훈민농장,우제류,한우,경기도 양주시 백석읍 오산리 544,경기도 양주시 백석읍 중앙로 18922,9,양주시 농업기술센터 축산과
황새농장,우제류,한우,경기도 양주시 은현면 하패리 364,경기도 양주시 은현면 운하로405번길 3724,2,양주시 농업기술센터 축산과
홍골목장,우제류,육우,경기도 양주시 백석읍 홍죽리 555,경기도 양주시 백석읍 월암로77번길 297,12,양주시 농업기술센터 축산과
과수목장,우제류,한우,경기도 양주시 어둔동 4816,경기도 양주시 버들로 133127 (어둔동),3,양주시 농업기술센터 축산과
반야목장,우제류,한우,경기도 양주시 은현면 선암리 404,경기도 양주시 은현면 운하로528번길 352,2,양주시 농업기술센터 축산과
성일 목장,우제류,젖소,경기도 양주시 광적면 석우리 177,경기도 양주시 광적면 광적로188번길 16613,77,양주시 농업기술센터 축산과
용성농장,복합,"한우, 돼지",경기도 양주시 광적면 덕도리 116,경기도 양주시 광적면 현석로720번길 280, 소 29 ,양주시 농업기술센터 축산과
유승농장,우제류,염소,경기도 양주시 은현면 선암리 173,경기도 양주시 은현면 용암로161번길 254304,40,양주시 농업기술센터 축산과
별님2목장,우제류,젖소,경기도 양주시 백석읍 홍죽리 1163,경기도 양주시 백석읍 양주산성로 934107,130,양주시 농업기술센터 축산과
선욱목장,우제류,한우,경기도 양주시 백석읍 가업리 3224,경기도 양주시 백석읍 중앙로223번길 21322,3,양주시 농업기술센터 축산과
바른목장,우제류,젖소,경기도 양주시 은현면 운암리 15628,경기도 양주시 은현면 화합로691번길 202,66,양주시 농업기술센터 축산과
다남목장,우제류,젖소,경기도 양주시 광적면 광석리 190,경기도 양주시 광적면 부흥로618번길 2051,62,양주시 농업기술센터 축산과
낭낙목장,우제류,젖소,경기도 양주시 남면 입암리 1902,경기도 양주시 남면 운하로99번길 16120,63,양주시 농업기술센터 축산과
상수2농장,우제류,돼지,경기도 양주시 남면 상수리 5221,경기도 양주시 남면 감악산로83번길 439,1600,양주시 농업기술센터 축산과
창희2농장,우제류,한우,경기도 양주시 은현면 운암리 4391,경기도 양주시 은현면 화합로691번길 8368,5,양주시 농업기술센터 축산과
탁이목장,우제류,한우,경기도 양주시 광적면 덕도리 97,경기도 양주시 광적면 삼일로 29912,70,양주시 농업기술센터 축산과
종백제2목장,우제류,젖소,경기도 양주시 장흥면 교현리 2751,경기도 양주시 장흥면 북한산로867번길 1421,29,양주시 농업기술센터 축산과
이담농장,우제류,돼지,경기도 양주시 은현면 하패리 7713,경기도 양주시 은현면 은현로 526,1584,양주시 농업기술센터 축산과
수현농장,우제류,한우,경기도 양주시 광적면 덕도리 7341,경기도 양주시 광적면 화합로248번길 60,73,양주시 농업기술센터 축산과
형제농장,우제류,한우,경기도 양주시 남면 입암리 240,경기도 양주시 남면 삼일로849번길 55105,34,양주시 농업기술센터 축산과
김진철농장,우제류,한우,경기도 양주시 율정동 2191,경기도 양주시 율정로165번길 22111 (율정동),  ,양주시 농업기술센터 축산과
수연농장,우제류,한우,경기도 양주시 광적면 덕도리 337,경기도 양주시 광적면 현석로733번길 10039,64,양주시 농업기술센터 축산과
소미농장,우제류,염소,경기도 양주시 백석읍 오산리 3961,경기도 양주시 백석읍 권율로1398번길 43,22,양주시 농업기술센터 축산과
백산농장,가금류,육계,경기도 양주시 광적면 비암리 96,경기도 양주시 광적면 부흥로230번길 26246,18320,양주시 농업기술센터 축산과
호윤농장,우제류,육우,경기도 양주시 은현면 도하리 1202,경기도 양주시 은현면 그루고개로490번길 633,38,양주시 농업기술센터 축산과
환이 농장,우제류,한우,경기도 양주시 남면 매곡리 1683,경기도 양주시 남면 휴암로500번길 15319,74,양주시 농업기술센터 축산과
순환목장,우제류,한우,경기도 양주시 은현면 운암리 3159,경기도 양주시 은현면 운하로101번길 1985,10,양주시 농업기술센터 축산과
먹골농장,우제류,한우,경기도 양주시 광적면 가납리 2611,경기도 양주시 광적면 그루고개로221번길 13332,31,양주시 농업기술센터 축산과
고일농장,우제류,한우,경기도 양주시 회암동 4472,경기도 양주시 칠봉산로 8435 (회암동),58,양주시 농업기술센터 축산과
장수축산농장,복합,"한우, 산란계",경기도 양주시 남면 경신리 205,경기도 양주시 남면 화합로430번길 387, 소 133가금 17800 ,양주시 농업기술센터 축산과
비암농장,우제류,한우,경기도 양주시 광적면 비암리 6383,경기도 양주시 광적면 쇠장이길 75551,66,양주시 농업기술센터 축산과
금화목장2,우제류,육우,경기도 양주시 백석읍 가업리 4182,경기도 양주시 백석읍 중앙로223번길 264,20,양주시 농업기술센터 축산과
진성농장,우제류,한우,경기도 양주시 백석읍 홍죽리 1478,경기도 양주시 백석읍 양주산성로 93490,77,양주시 농업기술센터 축산과
성규농장,가금류,산란계,경기도 양주시 은현면 하패리 8885,경기도 양주시 은현면 은현로257번길 20,20195,양주시 농업기술센터 축산과
현석농장,우제류,육우,경기도 양주시 광적면 비암리 451,경기도 양주시 광적면 현석로 5830,33,양주시 농업기술센터 축산과
순옥농장,우제류,한우,경기도 양주시 장흥면 일영리 435,경기도 양주시 장흥면 호국로73번길 8716,4,양주시 농업기술센터 축산과
한아름한우 농장,우제류,한우,경기도 양주시 남면 구암리 362,경기도 양주시 남면 감악산로216번길 705,4,양주시 농업기술센터 축산과
진수농장,우제류,육우,경기도 양주시 남면 경신리 2022,경기도 양주시 남면 현석로785번길 147,76,양주시 농업기술센터 축산과
곡산농장,가금류,육계,경기도 양주시 은현면 선암리 761,경기도 양주시 은현면 화합로941번길 6218,  ,양주시 농업기술센터 축산과
성한목장,우제류,젖소,경기도 양주시 백석읍 홍죽리 172,경기도 양주시 백석읍 양주산성로 918137,167,양주시 농업기술센터 축산과
해오름팜,우제류,돼지,경기도 양주시 남면 한산리 116,경기도 양주시 남면 은남로 7685,4225,양주시 농업기술센터 축산과
애정농장,가금류,육계,경기도 양주시 남면 입암리 229,경기도 양주시 남면 삼일로 834,  ,양주시 농업기술센터 축산과
시후농장,우제류,한우,경기도 양주시 고읍동 202,경기도 양주시 청담로84번길 7229 (고읍동),57,양주시 농업기술센터 축산과
담현농장,우제류,한우,경기도 양주시 남면 한산리 354,경기도 양주시 남면 삼육사로375번길 87,46,양주시 농업기술센터 축산과
항아뜰,우제류,한우,경기도 양주시 백석읍 오산리 1133,경기도 양주시 백석읍 꿈나무로 13088,42,양주시 농업기술센터 축산과
팜스플랜 양주 제2농장,우제류,돼지,경기도 양주시 백석읍 연곡리 552,경기도 양주시 백석읍 연곡로124번길 185,910,양주시 농업기술센터 축산과
관우제2농장,가금류,육계,경기도 양주시 백석읍 가업리 2351,경기도 양주시 백석읍 양주산성로732번길 69,  ,양주시 농업기술센터 축산과
광도목장,우제류,한우,경기도 양주시 남면 한산리 211,경기도 양주시 남면 은남로119번길 295,78,양주시 농업기술센터 축산과
칠봉산농장,우제류,한우,경기도 양주시 봉양동 3301,경기도 양주시 회천북로 39 (봉양동),54,양주시 농업기술센터 축산과
제2 푸른농장,우제류,염소,경기도 양주시 광적면 효촌리 4151,경기도 양주시 남면 휴암로 36535,75,양주시 농업기술센터 축산과
무림농원,우제류,돼지,경기도 양주시 남면 입암리 64,경기도 양주시 남면 삼일로 70854,2009,양주시 농업기술센터 축산과
들판목장,우제류,한우,경기도 양주시 백석읍 가업리 671,경기도 양주시 백석읍 양주산성로 66015,50,양주시 농업기술센터 축산과
덕계농장,우제류,산양,경기도 양주시 덕정동 4611,경기도 양주시 고덕로139번길 145 (덕계동),27,양주시 농업기술센터 축산과
항아뜰 연곡목장,우제류,한우,경기도 양주시 백석읍 연곡리 314,경기도 양주시 백석읍 부흥로 48854,39,양주시 농업기술센터 축산과
양지 2농장,우제류,한우,경기도 양주시 남면 상수리 5474,경기도 양주시 남면 감악산로83번길 43980,110,양주시 농업기술센터 축산과
장흥사슴목장,우제류,사슴,경기도 양주시 장흥면 울대리 55,경기도 양주시 장흥면 호국로785번길 1868,7,양주시 농업기술센터 축산과
황방제2농장,우제류,젖소,경기도 양주시 남면 황방리 4511,경기도 양주시 남면 삼육사로327번길 45780,52,양주시 농업기술센터 축산과
우리웰농장,우제류,산양,경기도 양주시 남면 매곡리 1685,경기도 양주시 남면 감악산로215번길 1884,500,양주시 농업기술센터 축산과
명품염소농장,우제류,산양,경기도 양주시 은현면 용암리 5793,경기도 양주시 은현면 용암로 167,24,양주시 농업기술센터 축산과
한산농장,우제류,한우,경기도 양주시 남면 한산리 22,경기도 양주시 남면 은남로119번길 24146,8,양주시 농업기술센터 축산과
월암농장,가금류,육계,경기도 양주시 백석읍 오산리 7041,경기도 양주시 백석읍 연곡로 30,  ,양주시 농업기술센터 축산과
해주농장,우제류,한우,경기도 양주시 남면 황방리 3298,경기도 양주시 남면 삼육사로327번길 470,27,양주시 농업기술센터 축산과
대동목장,우제류,한우,경기도 양주시 백석읍 복지리 85  ,경기도 양주시 백석읍 중앙로137번길 12,64,양주시 농업기술센터 축산과
유림농장,가금류,육계,경기도 양주시 은현면 선암리 34232,경기도 양주시 은현면 은현로 7384,  ,양주시 농업기술센터 축산과
한빛농장,우제류,한우,경기도 양주시 백석읍 방성리 3371,경기도 양주시 백석읍 부흥로1148번길 8437,  ,양주시 농업기술센터 축산과
도하 2농장,가금류,산란계,경기도 양주시 은현면 도하리 2513,경기도 양주시 은현면 그루고개로410번길 38,  ,양주시 농업기술센터 축산과
양지농장,우제류,돼지,경기도 양주시 은현면 선암리 191,경기도 양주시 은현면 용암로161번길 25430,1000,양주시 농업기술센터 축산과
영흥농장,가금류,산란계,경기도 양주시 남면 한산리 251,경기도 양주시 남면 은남로119번길 24125,39300,양주시 농업기술센터 축산과
유천1농장,가금류,산란계,경기도 양주시 은현면 도하리 243,경기도 양주시 은현면 그루고개로384번길 1113,41263,양주시 농업기술센터 축산과
운하목장,우제류,젖소,경기도 양주시 광적면 석우리 5983,경기도 양주시 광적면 현석로 6101,61,양주시 농업기술센터 축산과
장천농장,우제류,육우,경기도 양주시 장흥면 부곡리 308,경기도 양주시 장흥면 가마골로147번길 5418,4,양주시 농업기술센터 축산과
절골농장,우제류,한우,경기도 양주시 장흥면 일영리 444,경기도 양주시 장흥면 호국로73번길 8732,4,양주시 농업기술센터 축산과
도담농장,우제류,돼지,경기도 양주시 은현면 봉암리 13,경기도 양주시 은현면 은현로 37690,2197,양주시 농업기술센터 축산과
황제목장,우제류,젖소,경기도 양주시 봉양동 6603,경기도 양주시 칠봉산로321번길 20737 (봉양동),50,양주시 농업기술센터 축산과
행복한목장,우제류,젖소,경기도 양주시 광적면 가납리 263,경기도 양주시 광적면 그루고개로221번길 13351,67,양주시 농업기술센터 축산과
에그트리,가금류,산란계,경기도 양주시 광적면 석우리 63,경기도 양주시 광적면 삼일로 26613,100000,양주시 농업기술센터 축산과
웅원목장,우제류,젖소,경기도 양주시 은현면 선암리 56,경기도 양주시 은현면 화합로941번길 193,127,양주시 농업기술센터 축산과
양주농장,우제류,돼지,경기도 양주시 은현면 운암리 5291,경기도 양주시 은현면 화합로720번길 1343,596,양주시 농업기술센터 축산과
천성1농장,우제류,젖소,경기도 양주시 광적면 효촌리 153,경기도 양주시 광적면 화합로147번길 16710,161,양주시 농업기술센터 축산과
늘푸른목장,우제류,한우,경기도 양주시 남면 입암리 1371,경기도 양주시 남면 삼일로 876139,166,양주시 농업기술센터 축산과
이화팜,가금류,산란계,경기도 양주시 남면 한산리 555119,경기도 양주시 남면 삼육사로 28699,29243,양주시 농업기술센터 축산과
이레에듀팜,우제류,돼지,경기도 양주시 남면 상수리 16222,경기도 양주시 남면 삼일로 69061,1614,양주시 농업기술센터 축산과
아들목장,우제류,한우,경기도 양주시 백석읍 홍죽리 338,경기도 양주시 백석읍 양주산성로 88070,17,양주시 농업기술센터 축산과
한우농장,우제류,한우,경기도 양주시 남면 매곡리 1676,경기도 양주시 남면 휴암로500번길 13374,117,양주시 농업기술센터 축산과
참사랑목장,우제류,한우,경기도 양주시 백석읍 연곡리 1,경기도 양주시 백석읍 연곡로 68120,67,양주시 농업기술센터 축산과
고구려목장,우제류,한우,경기도 양주시 은현면 하패리 5682,경기도 양주시 은현면 운하로 42292,  ,양주시 농업기술센터 축산과
153농축,우제류,육우,경기도 양주시 남면 상수리 2291  ,경기도 양주시 남면 검준2길 16834,  ,양주시 농업기술센터 축산과
만복목장,우제류,젖소,경기도 양주시 광적면 효촌리 152,경기도 양주시 광적면 화합로81번길 240,77,양주시 농업기술센터 축산과
천성2농장,우제류,젖소,경기도 양주시 광적면 효촌리 159,경기도 양주시 광적면 화합로147번길 16711,13,양주시 농업기술센터 축산과
원율농장,우제류,한우,경기도 양주시 남면 한산리 611,경기도 양주시 남면 삼육사로327번길 10940,26,양주시 농업기술센터 축산과
현대목장,우제류,한우,경기도 양주시 광적면 석우리 2852,경기도 양주시 광적면 광적로188번길 16624,11,양주시 농업기술센터 축산과
익성목장,우제류,한우,경기도 양주시 남면 황방리 455,경기도 양주시 남면 삼육사로327번길 45756,3,양주시 농업기술센터 축산과
이레팜,우제류,돼지,경기도 양주시 남면 매곡리 3723,"경기도 동두천시 동두천로 63,405동 602호 (송내동,송내주공아파트)",1562,양주시 농업기술센터 축산과
태지목장,우제류,젖소,경기도 양주시 남면 상수리 5610,경기도 양주시 남면 운하로 5967,85,양주시 농업기술센터 축산과
세환농장,우제류,육우,경기도 양주시 백석읍 홍죽리 596,"경기도 양주시 백석읍 호명로 10322,505동 1003호 (가야5차아파트)",7,양주시 농업기술센터 축산과
함민2목장,우제류,한우,경기도 양주시 광적면 효촌리 2367,경기도 양주시 광적면 화합로81번길 379,1,양주시 농업기술센터 축산과
송림목장,우제류,육우,경기도 양주시 백석읍 홍죽리 1456,경기도 양주시 백석읍 양주산성로 93454,82,양주시 농업기술센터 축산과
영광농장,가금류,산란계,경기도 양주시 백석읍 가업리 3461,경기도 양주시 백석읍 중앙로 38345,21000,양주시 농업기술센터 축산과
자연농장,우제류,한우,경기도 양주시 광적면 덕도리 921,경기도 양주시 광적면 삼일로 29942,9,양주시 농업기술센터 축산과
용勇택擇목장,우제류,한우,경기도 양주시 광적면 가납리 3104,경기도 양주시 광적면 그루고개로143번길 82,35,양주시 농업기술센터 축산과
운암팜,우제류,돼지,경기도 양주시 은현면 운암리 539,경기도 양주시 은현면 화합로720번길 17864,2300,양주시 농업기술센터 축산과
더품한우,우제류,한우,경기도 양주시 남면 한산리 555157 ,경기도 양주시 남면 삼육사로 28648,119,양주시 농업기술센터 축산과
경신농장,우제류,한우,경기도 양주시 남면 신산리 1483,경기도 양주시 남면 감악산로244번길 70108,18,양주시 농업기술센터 축산과
창대목장,우제류,젖소,경기도 양주시 남면 한산리 55587,경기도 양주시 남면 삼육사로 304120,55,양주시 농업기술센터 축산과
동관농장,우제류,한우,경기도 양주시 남면 신산리 1107,경기도 양주시 남면 삼육사로 87,97,양주시 농업기술센터 축산과
하늘목장,우제류,젖소,경기도 양주시 은현면 운암리 4002,경기도 양주시 은현면 운하로147번길 4322,54,양주시 농업기술센터 축산과
지훈목장,우제류,젖소,경기도 양주시 광적면 효촌리 66,경기도 양주시 광적면 화합로147번길 3456,24,양주시 농업기술센터 축산과
주니농장,우제류,한우,경기도 양주시 남면 경신리 35 6,경기도 양주시 남면 현석로 84644,191,양주시 농업기술센터 축산과
삼도농장,우제류,육우,경기도 양주시 백석읍 홍죽리 5218,경기도 양주시 백석읍 월암로111번길 42,  ,양주시 농업기술센터 축산과
흥한농장,가금류,산란계,경기도 양주시 남면 입암리 173,경기도 양주시 남면 삼일로 91660,56800,양주시 농업기술센터 축산과
현진농장,우제류,육우,경기도 양주시 남면 구암리 1442,경기도 양주시 남면 감악산로215번길 21142,  ,양주시 농업기술센터 축산과
칠봉농장,우제류,한우,경기도 양주시 봉양동 4153,경기도 양주시 칠봉산로228번길 698 (봉양동),11,양주시 농업기술센터 축산과
봉산농장,우제류,한우,경기도 양주시 남면 구암리 591,경기도 양주시 남면 감악산로215번길 8227,37,양주시 농업기술센터 축산과
선태농장,우제류,한우,경기도 양주시 백석읍 가업리 3362,경기도 양주시 백석읍 양주산성로800번길 17742,114,양주시 농업기술센터 축산과
신태평목장,우제류,젖소,경기도 양주시 은현면 도하리 9,"경기도 양주시 옥정서로 254,304동 606호 (옥정동,양주옥정3단지)",91,양주시 농업기술센터 축산과
응용목장,우제류,젖소,경기도 양주시 은현면 도하리 688,경기도 양주시 은현면 그루고개로143번길 34623,101,양주시 농업기술센터 축산과
별님목장,우제류,한우,경기도 양주시 백석읍 홍죽리 148,경기도 양주시 백석읍 양주산성로 934104,26,양주시 농업기술센터 축산과
영만목장,우제류,한우,경기도 양주시 장흥면 부곡리 176,경기도 양주시 장흥면 가마골로147번길 21,  ,양주시 농업기술센터 축산과
영만2목장,우제류,한우,경기도 양주시 장흥면 부곡리 1979,경기도 양주시 장흥면 가마골로147번길 21,6,양주시 농업기술센터 축산과
세린목장,우제류,산양,경기도 양주시 남면 신암리 243,경기도 양주시 남면 감악산로489번길 6370,  ,양주시 농업기술센터 축산과
조안농장,우제류,한우,경기도 양주시 만송동 1471,경기도 양주시 만송로366번길 22 (만송동),19,양주시 농업기술센터 축산과
월드농장,우제류,한우,경기도 양주시 광적면 가납리 3171,경기도 양주시 광적면 그루고개로221번길 15108,  ,양주시 농업기술센터 축산과
정교한우,우제류,한우,경기도 양주시 광적면 효촌리 2054,경기도 양주시 광적면 화합로81번길 320,135,양주시 농업기술센터 축산과
송추농장,우제류,한우,경기도 양주시 은현면 운암리 5236,경기도 양주시 은현면 화합로720번길 158,42,양주시 농업기술센터 축산과
운암농장,우제류,한우,경기도 양주시 은현면 운암리 5292,경기도 양주시 은현면 화합로720번길 13410,27,양주시 농업기술센터 축산과
(주)원천오복 덕도농장,가금류,산란계,경기도 양주시 광적면 덕도리 4941,경기도 양주시 광적면 현석로719번길 249,  ,양주시 농업기술센터 축산과
삼밭뜰목장,우제류,육우,경기도 양주시 광적면 우고리 646,경기도 양주시 광적면 현석로 196,145,양주시 농업기술센터 축산과
용수목장,우제류,젖소,경기도 양주시 광적면 덕도리 1105,경기도 양주시 광적면 현석로720번길 270,80,양주시 농업기술센터 축산과
성림농장,우제류,한우,경기도 양주시 광적면 덕도리 94,경기도 양주시 광적면 삼일로 29932,47,양주시 농업기술센터 축산과
신용암목장,우제류,젖소,경기도 양주시 은현면 도하리 6882,경기도 양주시 은현면 그루고개로143번길 34619,62,양주시 농업기술센터 축산과
장흥목장,우제류,한우,경기도 양주시 장흥면 일영리 4775,경기도 양주시 장흥면 호국로 7437,22,양주시 농업기술센터 축산과
서현농장,우제류,한우,경기도 양주시 남면 입암리 188,경기도 양주시 남면 운하로99번길 21140,100,양주시 농업기술센터 축산과
대보농장,우제류,한우,경기도 양주시 광적면 효촌리 2521,경기도 양주시 광적면 화합로81번길 443,18,양주시 농업기술센터 축산과
우이목장,우제류,한우,경기도 양주시 남면 입암리 134,경기도 양주시 남면 은남로 1619,38,양주시 농업기술센터 축산과
명운목장,우제류,한우,경기도 양주시 은현면 운암리 4032,경기도 양주시 은현면 운하로147번길 33,72,양주시 농업기술센터 축산과
풍영제2목장,우제류,젖소,경기도 양주시 남면 두곡리 21,경기도 양주시 남면 감악산로83번길 273,86,양주시 농업기술센터 축산과
김옥임 목장,우제류,육우,경기도 양주시 백석읍 홍죽리 1723,경기도 양주시 백석읍 양주산성로 918127,87,양주시 농업기술센터 축산과
꿀과된장,우제류,한우,경기도 양주시 광사동 298,경기도 양주시 부흥로 1896 (광사동),4,양주시 농업기술센터 축산과
엄지2목장,우제류,젖소,경기도 양주시 광적면 광석리 1403,경기도 양주시 광적면 권율로 1471132,162,양주시 농업기술센터 축산과
농장이야기,우제류,한우,경기도 양주시 백석읍 가업리 351,경기도 양주시 백석읍 양주산성로732번길 144,16,양주시 농업기술센터 축산과
꼬꼬농장,가금류,산란계,경기도 양주시 은현면 하패리 623,경기도 양주시 은현면 은현로 13877,12900,양주시 농업기술센터 축산과
오산목장,우제류,한우,경기도 양주시 백석읍 오산리 832,경기도 양주시 백석읍 고릉말로128번길 88,2,양주시 농업기술센터 축산과
광범목장,우제류,한우,경기도 양주시 백석읍 가업리 691,경기도 양주시 백석읍 양주산성로 672,2,양주시 농업기술센터 축산과
평산목장,우제류,한우,경기도 양주시 은현면 운암리 22,경기도 양주시 은현면 은현로105번길 61,3,양주시 농업기술센터 축산과
두곡농장,우제류,한우,경기도 양주시 남면 두곡리 3910,경기도 양주시 남면 화합로 387,4,양주시 농업기술센터 축산과
감악2목장,우제류,육우,경기도 양주시 남면 황방리 3933,경기도 양주시 남면 삼육사로327번길 42670,  ,양주시 농업기술센터 축산과
정효농장,우제류,한우,경기도 양주시 은현면 용암리 439,경기도 양주시 은현면 화합로1162번길 33,4,양주시 농업기술센터 축산과
묵은논농장,우제류,한우,경기도 양주시 은현면 용암리 3771,경기도 양주시 은현면 화합로1198번길 31,6,양주시 농업기술센터 축산과
팔칠2목장,우제류,한우,경기도 양주시 은현면 운암리 5236,경기도 양주시 은현면 화합로720번길 158,3,양주시 농업기술센터 축산과
신명성2목장,우제류,육우,경기도 양주시 남면 경신리 20214,경기도 양주시 남면 현석로785번길 161,11,양주시 농업기술센터 축산과
황방제3농장,우제류,한우,경기도 양주시 남면 황방리 4511,경기도 양주시 남면 삼육사로327번길 45780,28,양주시 농업기술센터 축산과
산내음목장,우제류,한우,경기도 양주시 은현면 운암리 18,경기도 양주시 은현면 은현로105번길 58,  ,양주시 농업기술센터 축산과
황우목장,우제류,한우,경기도 양주시 은현면 용암리 6922,경기도 양주시 은현면 화합로1125번길 50,3,양주시 농업기술센터 축산과
덕도농장,우제류,한우,경기도 양주시 광적면 덕도리 3892,경기도 양주시 광적면 화합로 37222,4,양주시 농업기술센터 축산과
영목장,우제류,사슴,경기도 양주시 율정동 61714,경기도 양주시 어하고개로 18919 (율정동),5,양주시 농업기술센터 축산과
다경농장,우제류,한우,경기도 양주시 남면 상수리 162 48,경기도 양주시 남면 삼일로 69020,18,양주시 농업기술센터 축산과
한방사슴목장,우제류,사슴,경기도 양주시 율정동 61721,경기도 양주시 어하고개로 18921 (율정동),13,양주시 농업기술센터 축산과
안수명목장,우제류,한우,경기도 양주시 남면 한산리 5372,경기도 양주시 남면 한산리 5372,186,양주시 농업기술센터 축산과
덕도리농장,우제류,염소,경기도 양주시 광적면 덕도리 486,경기도 양주시 광적면 현석로719번길 224,12,양주시 농업기술센터 축산과
양주염소농장,우제류,염소,경기도 양주시 마전동 35,경기도 양주시 부흥로 1729 (마전동),34,양주시 농업기술센터 축산과
한우미소,우제류,한우,경기도 양주시 광적면 덕도리 7023,경기도 양주시 광적면 화합로248번길 109,5,양주시 농업기술센터 축산과
만길농장,우제류,염소,경기도 양주시 은현면 운암리 583,경기도 양주시 은현면 화합로 8329,100,양주시 농업기술센터 축산과
신도레미목장,우제류,젖소,경기도 양주시 은현면 선암리 177,경기도 양주시 은현면 용암로161번길 254254,37,양주시 농업기술센터 축산과
