사업장명,축산인허가번호,소재지도로명주소,소재지지번주소,위도,경도,면적,주사육업종,사육두수,허가일자,관리기관명,관리부서전화번호,데이터기준일자
일품농장,4060000-033-2005-0270,경기도 파주시 파평면 자장로17번길 82,경기도 파주시 파평면 장파리 554,37.9530491893,126.838758122,3804.95,한우,180,2005-04-14,경기도 파주시청,031-940-4914,2026-05-20
바산목장,4060000-033-2005-0272,경기도 파주시 법원읍 자운서원로 399,경기도 파주시 법원읍 동문리 437-1,37.8636702106,126.8475749204,571.79,젖소,26,2005-04-14,경기도 파주시청,031-940-4914,2026-05-20
문평목장,4060000-033-2005-0273,,경기도 파주시 법원읍 동문리 산 16-7,37.8686444197,126.8596695858,2943.48,젖소,95,2005-04-14,경기도 파주시청,031-940-4914,2026-05-20
연준목장,4060000-033-2005-0274,경기도 파주시 법원읍 사임당로530번길 69,경기도 파주시 법원읍 동문리 672-1,37.854825603,126.8404498222,1077.35,젖소,58,2005-04-14,경기도 파주시청,031-940-4914,2026-05-20
하부곡목장,4060000-033-2005-0277,경기도 파주시 파주읍 정문로 676,경기도 파주시 파주읍 부곡리 347-1,37.8162887428,126.8195773441,3236.33,젖소,120,2005-04-14,경기도 파주시청,031-940-4914,2026-05-20
호진목장,4060000-033-2005-0282,경기도 파주시 광탄면 만장산로 390-19,경기도 파주시 광탄면 창만리 841-2,37.7992907835,126.8779670853,1917.9,육우,3,2005-04-15,경기도 파주시청,031-940-4914,2026-05-20
박필목장,4060000-033-2005-0284,경기도 파주시 광탄면 토란길 157,경기도 파주시 광탄면 발랑리 254-1,37.7975193616,126.8949343625,2000.01,젖소,90,2005-04-15,경기도 파주시청,031-940-4914,2026-05-20
유니나목장,4060000-033-2005-0286,경기도 파주시 광탄면 만장산로 390-44,경기도 파주시 광탄면 창만리 205,37.798244086,126.878264813,2593.29,젖소,107,2005-04-15,경기도 파주시청,031-940-4914,2026-05-20
높은골목장,4060000-033-2005-0287,경기도 파주시 광탄면 만장산로 390-56,경기도 파주시 광탄면 창만리 206-3,37.7981435228,126.879036386,2706.2,젖소,90,2005-04-15,경기도 파주시청,031-940-4914,2026-05-20
농지목장,4060000-033-2005-0288,,경기도 파주시 법원읍 대능리 184,37.8410571698,126.8699702683,1940.72,젖소,67,2005-04-15,경기도 파주시청,031-940-4914,2026-05-20
고령목장,4060000-033-2005-0290,경기도 파주시 법원읍 둔방이길 147,경기도 파주시 법원읍 삼방리 251-2,37.834218963,126.8781937954,2644.65,젖소,60,2005-04-15,경기도 파주시청,031-940-4914,2026-05-20
태희농장,4060000-033-2005-0296,경기도 파주시 파주읍 정문로 711-1,경기도 파주시 파주읍 부곡리 469,37.820029858,126.8180042205,1168.78,돼지,1300,2005-04-18,경기도 파주시청,031-940-4914,2026-05-20
주현목장,4060000-033-2005-0301,경기도 파주시 파주읍 오봉골길 119-20,경기도 파주시 파주읍 부곡리 223,37.8250321372,126.8259276856,1610.51,한우,47,2005-04-18,경기도 파주시청,031-940-4914,2026-05-20
종식목장,4060000-033-2005-0303,경기도 파주시 파주읍 오봉골길 159,경기도 파주시 파주읍 부곡리 220-2,37.8241330058,126.8257597648,486,육우,39,2005-04-18,경기도 파주시청,031-940-4914,2026-05-20
애축목장,4060000-033-2005-0305,,경기도 파주시 파주읍 부곡리 266-27,37.8238190015,126.8250767406,1371.65,젖소,50,2005-04-18,경기도 파주시청,031-940-4914,2026-05-20
이명목장,4060000-033-2005-0308,경기도 파주시 적성면 아랫배우니길 131-17,경기도 파주시 적성면 객현리 107-5,37.9675225473,126.9592641202,1701.06,젖소,75,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
박찬목장,4060000-033-2005-0309,경기도 파주시 적성면 아랫배우니길 200,경기도 파주시 적성면 객현리 24,37.9658424522,126.9638522269,2351.27,젖소,63,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
다시원목장,4060000-033-2005-0310,경기도 파주시 적성면 아랫배우니길 55 ,경기도 파주시 적성면 객현리 114-1,37.9685148826,126.9568663944,2496.8,젖소,227,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
해마루목장,4060000-033-2005-0311,경기도 파주시 적성면 아랫배우니길 132-65,경기도 파주시 적성면 객현리 95-3,37.9645520209,126.9601565749,2373.84,젖소,180,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
선환목장,4060000-033-2005-0313,경기도 파주시 적성면 아랫배우니길 70-19,경기도 파주시 적성면 객현리 108-18,37.9666923133,126.9569236787,3234.66,젖소,50,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
삼남목장,4060000-033-2005-0314,,경기도 파주시 적성면 객현리 108-7,37.967725468,126.9562966537,3572.51,젖소,90,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
민영농장,4060000-033-2005-0315,,경기도 파주시 적성면 객현리 396-1,37.9754075872,126.9465966905,503.31,한우,35,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
일포목장,4060000-033-2005-0318,,경기도 파주시 적성면 객현리 148-12,37.9763240608,126.9535373019,95,육우,4,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
수민목장,4060000-033-2005-0319,경기도 파주시 적성면 배우니안길 76,경기도 파주시 적성면 객현리 127,37.9705559949,126.9590111568,1651.37,젖소,80,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
객현목장,4060000-033-2005-0320,경기도 파주시 적성면 배우니안길 8,경기도 파주시 적성면 객현리 107-1,37.9678200379,126.9590106295,4104.31,젖소,105,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
증환목장,4060000-033-2005-0323,경기도 파주시 적성면 배우니안길 150,경기도 파주시 적성면 객현리 132-1,37.9733056561,126.958274517,2770.61,젖소,61,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
임천농장,4060000-033-2005-0324,경기도 파주시 적성면 장뜰길 407,경기도 파주시 적성면 장현리 179-1,37.9706246769,126.9789419262,2046.59,한우,82,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
흥수목장,4060000-033-2005-0326,경기도 파주시 적성면 윗배우니길 101-49,경기도 파주시 적성면 객현리 152-3,37.9738366346,126.9524903693,4190,젖소,105,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
야당목장,4060000-033-2005-0327,경기도 파주시 적성면 배우니안길 219-114,경기도 파주시 적성면 객현리 193,37.9706130543,126.954673344,2139.26,젖소,75,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
최강목장,4060000-033-2005-0329,경기도 파주시 적성면 율곡로2663번길 70,경기도 파주시 적성면 장현리 366,37.9861654835,126.9704942437,1544.49,젖소,70,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
경지양돈,4060000-033-2005-0335,경기도 파주시 적성면 산덕골길 395,경기도 파주시 적성면 장현리 153-2,37.9787226054,126.9773731045,7013.17,돼지,4500,2005-04-21,경기도 파주시청,031-940-4914,2026-05-20
승록목장,4060000-033-2005-0339,경기도 파주시 적성면 율곡로 2533-45,경기도 파주시 적성면 율포리 188-11,37.9805351495,126.9533621471,2389.01,젖소,50,2005-04-22,경기도 파주시청,031-940-4914,2026-05-20
통진목장,4060000-033-2005-0340,경기도 파주시 적성면 윗배우니길 244,경기도 파주시 적성면 객현리 207-4,37.96769822,126.9534108,4331,젖소,110,2005-04-22,경기도 파주시청,031-940-4914,2026-05-20
수옥목장,4060000-033-2005-0341,경기도 파주시 적성면 아랫배우니길 51,경기도 파주시 적성면 객현리 110-1,37.9683022002,126.9557296154,3349.36,젖소,92,2005-04-22,경기도 파주시청,031-940-4914,2026-05-20
경승목장,4060000-033-2005-0342,,경기도 파주시 적성면 장현리 39-3,37.9863224475,126.9846337399,473.96,한우,5,2005-04-22,경기도 파주시청,031-940-4914,2026-05-20
청운농장,4060000-033-2005-0344,경기도 파주시 적성면 배우니안길 38-20,경기도 파주시 적성면 객현리 117-4,37.9684459142,126.9597857445,1583.74,육계,25000,2005-04-26,경기도 파주시청,031-940-4914,2026-05-20
신한농장,4060000-033-2005-0353,경기도 파주시 적성면 서녘놀길 33-65,경기도 파주시 적성면 어유지리 339,37.9946262393,126.9811186096,8265.75,종계/산란계,134000,2005-04-28,경기도 파주시청,031-940-4914,2026-05-20
관정목장,4060000-033-2005-0355,경기도 파주시 적성면 구읍로 76-16,경기도 파주시 적성면 구읍리 254-9,37.9725434604,126.9309098509,1402.57,젖소,26,2005-04-28,경기도 파주시청,031-940-4914,2026-05-20
재종목장,4060000-033-2005-0358,경기도 파주시 적성면 달빛길 167,경기도 파주시 적성면 가월리 358-2,37.9795297148,126.912097947,853.6,젖소,57,2005-04-28,경기도 파주시청,031-940-4914,2026-05-20
두지목장,4060000-033-2005-0359,경기도 파주시 적성면 말굽두리길 68-22,경기도 파주시 적성면 마지리 201-4,37.9597408907,126.9087955442,2489.29,젖소,100,2005-04-28,경기도 파주시청,031-940-4914,2026-05-20
백산목장,4060000-033-2005-0360,,경기도 파주시 적성면 가월리 116-14,37.9775250844,126.917109598,1557.95,젖소,79,2005-04-28,경기도 파주시청,031-940-4914,2026-05-20
봉서농장,4060000-033-2005-0365,경기도 파주시 파주읍 우계로 109-64,경기도 파주시 파주읍 파주리 322,37.8381650361,126.8130280187,1955.44,한우,116,2005-04-28,경기도 파주시청,031-940-4914,2026-05-20
완호목장,4060000-033-2005-0371,경기도 파주시 광탄면 보광로553번길 58,경기도 파주시 광탄면 영장리 67-3,37.7561860953,126.90530508,2582.83,젖소,95,2005-04-30,경기도 파주시청,031-940-4914,2026-05-20
돌풍목장,4060000-033-2005-0372,경기도 파주시 광탄면 보광로 1239,경기도 파주시 광탄면 창만리 395-1,37.7902746036,126.8634370695,2159.78,젖소,76,2005-04-30,경기도 파주시청,031-940-4914,2026-05-20
소령목장,4060000-033-2005-0373,,경기도 파주시 광탄면 영장리 246,37.7750547213,126.9077831725,2021.01,젖소,148,2005-04-30,경기도 파주시청,031-940-4914,2026-05-20
불빛목장,4060000-033-2005-0374,경기도 파주시 광탄면 보광로553번길 61,경기도 파주시 광탄면 영장리 67-1,37.7561399521,126.9058502888,1940.45,한우,70,2005-04-30,경기도 파주시청,031-940-4914,2026-05-20
희망농장,4060000-033-2005-0375,경기도 파주시 광탄면 보광로 804-15,경기도 파주시 광탄면 마장리 7-2,37.773171836,126.8929136019,608.5,한우,7,2005-04-30,경기도 파주시청,031-940-4914,2026-05-20
앞동산목장,4060000-033-2005-0378,경기도 파주시 광탄면 보광로553번길 58-1,경기도 파주시 광탄면 영장리 69-6,37.757174241,126.9045921879,3317.77,젖소,112,2005-04-30,경기도 파주시청,031-940-4914,2026-05-20
마장목장,4060000-033-2005-0380,경기도 파주시 광탄면 보광로 762-17,경기도 파주시 광탄면 마장리 17-13,37.7725250104,126.8983809706,3279.3,젖소,140,2005-05-02,경기도 파주시청,031-940-4914,2026-05-20
원광농장,4060000-033-2005-0387,경기도 파주시 광탄면 보광로 1237,경기도 파주시 광탄면 창만리 423,37.7897447733,126.8640819849,408.3,한우,25,2005-05-02,경기도 파주시청,031-940-4914,2026-05-20
미현목장,4060000-033-2005-0396,경기도 파주시 법원읍 칡울길 274,경기도 파주시 법원읍 갈곡리 91-5,37.8566435136,126.916442331,1428.5,젖소,55,2005-05-06,경기도 파주시청,031-940-4914,2026-05-20
지원목장,4060000-033-2005-0409,경기도 파주시 파평면 장마루1길 127-18,경기도 파주시 파평면 덕천리 655,37.9375234409,126.843773901,1561.1,육우,40,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
혜진목장,4060000-033-2005-0410,경기도 파주시 파평면 장마루1길 127-32,경기도 파주시 파평면 덕천리 635,37.938059718,126.8438709385,6214.46,젖소,100,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
선망목장,4060000-033-2005-0411,경기도 파주시 파평면 장마루1길 127-38,경기도 파주시 파평면 덕천리 633,37.9382707196,126.8441441933,3859.36,젖소,103,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
금곡목장,4060000-033-2005-0413,경기도 파주시 파평면 장마루1길 127-12,경기도 파주시 파평면 덕천리 657,37.9372213261,126.8437512205,3764.09,젖소,80,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
왕솔방울목장,4060000-033-2005-0414,경기도 파주시 파평면 장마루1길 199,경기도 파주시 파평면 덕천리 646,37.9375662298,126.8454753823,3816.76,젖소,121,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
새영랑목장,4060000-033-2005-0415,,경기도 파주시 파평면 덕천리 631-1,37.9384397203,126.8445523175,2819.04,젖소,103,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
대양농장,4060000-033-2005-0416,경기도 파주시 파평면 파산서원길 130,경기도 파주시 파평면 눌노리 280-8,37.934547457,126.8522100189,3428.97,돼지,3000,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
전진농장,4060000-033-2005-0417,경기도 파주시 파평면 파산서원길 241,경기도 파주시 파평면 덕천리 508-3,37.9382009023,126.8551478887,959.51,돼지,900,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
고도농장,4060000-033-2005-0418,경기도 파주시 파평면 듸링거리길 117-204,경기도 파주시 파평면 덕천리 199,37.940710759,126.8654892308,1338.34,돼지,1200,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
풍덕목장,4060000-033-2005-0419,경기도 파주시 파평면 장마루1길 171,경기도 파주시 파평면 덕천리 650,37.9367872441,126.8456551542,2805.44,젖소,80,2005-05-10,경기도 파주시청,031-940-4914,2026-05-20
목진목장,4060000-033-2005-0421,경기도 파주시 법원읍 술이홀로 1012-22,경기도 파주시 법원읍 법원리 561,37.860133581,126.8814424453,1104.74,젖소,34,2005-05-18,경기도 파주시청,031-940-4914,2026-05-20
제일목장,4060000-033-2005-0422,경기도 파주시 법원읍 파평산로 64,경기도 파주시 법원읍 금곡리 462-6,37.8925364132,126.8744588685,1707.91,젖소,89,2005-05-18,경기도 파주시청,031-940-4914,2026-05-20
백호목장,4060000-033-2005-0423,,경기도 파주시 법원읍 금곡리 457-1,37.8917044562,126.874183342,2408.5,젖소,92,2005-05-18,경기도 파주시청,031-940-4914,2026-05-20
반달농장,4060000-033-2005-0425,경기도 파주시 법원읍 파평산로 36,경기도 파주시 법원읍 금곡리 291,37.8898378704,126.8762169005,2984.83,돼지,3600,2005-05-18,경기도 파주시청,031-940-4914,2026-05-20
상신축산,4060000-033-2005-0447,경기도 파주시 파평면 청송로266번길 50-43,경기도 파주시 파평면 금파리 113,37.9236110375,126.8448574358,2051.73,한우,55,2005-05-26,경기도 파주시청,031-940-4914,2026-05-20
평광농장,4060000-033-2005-0449,,경기도 파주시 파평면 금파리 116-9,37.9246170897,126.8449234155,1099,돼지,500,2005-05-26,경기도 파주시청,031-940-4914,2026-05-20
은창목장,4060000-033-2005-0452,경기도 파주시 파평면 청송로402번길 123-10,경기도 파주시 파평면 눌노리 121,37.9257068155,126.8576238054,4595.76,젖소,165,2005-05-26,경기도 파주시청,031-940-4914,2026-05-20
새땅농장,4060000-033-2005-0455,경기도 파주시 적성면 청송로661번길 90-17,경기도 파주시 적성면 식현리 40-1,37.9466213083,126.8801975327,1902.59,젖소,52,2005-05-27,경기도 파주시청,031-940-4914,2026-05-20
평남목장,4060000-033-2005-0458,,경기도 파주시 적성면 객현리 128-1,37.9705041894,126.9587480626,2166.55,젖소,90,2005-05-27,경기도 파주시청,031-940-4914,2026-05-20
도상목장,4060000-033-2005-0459,경기도 파주시 탄현면 열살미길 81-12,경기도 파주시 탄현면 축현리 603-4,37.8078178765,126.7232953671,2031.67,젖소,93,2005-05-27,경기도 파주시청,031-940-4914,2026-05-20
베텔목장,4060000-033-2005-0461,경기도 파주시 적성면 청송로699번길 52-21,경기도 파주시 적성면 식현리 201-4,37.9465446425,126.8833395441,1367.45,젖소,80,2005-05-27,경기도 파주시청,031-940-4914,2026-05-20
석청목장,4060000-033-2005-0462,경기도 파주시 적성면 청송로661번길 106,경기도 파주시 적성면 식현리 19-5,37.9461348416,126.8793543774,1161.73,젖소,46,2005-05-27,경기도 파주시청,031-940-4914,2026-05-20
다아름목장,4060000-033-2005-0465,경기도 파주시 적성면 장마루16길 255-9,경기도 파주시 적성면 답곡리 439-7,37.9507874094,126.8490966366,678.05,젖소,32,2005-06-01,경기도 파주시청,031-940-4914,2026-05-20
임진강목장,4060000-033-2005-0466,경기도 파주시 파평면 파산서원길 133-72,경기도 파주시 파평면 눌노리 619,37.936946123,126.8479026345,1902.5,젖소,72,2005-06-01,경기도 파주시청,031-940-4914,2026-05-20
금산목장,4060000-033-2005-0469,,경기도 파주시 파평면 덕천리 74-19,37.9400106681,126.8840820689,1798.33,젖소,60,2005-06-01,경기도 파주시청,031-940-4914,2026-05-20
누엘목장,4060000-033-2005-0475,경기도 파주시 파평면 듸링거리길 117-32,경기도 파주시 파평면 덕천리 210-1,37.944968433,126.8734692408,3616.57,젖소,71,2005-06-01,경기도 파주시청,031-940-4914,2026-05-20
밤고지목장,4060000-033-2005-0478,,경기도 파주시 파평면 마산리 269-4,37.8902899951,126.8482929934,2304.18,젖소,71,2005-06-08,경기도 파주시청,031-940-4914,2026-05-20
새일목장,4060000-033-2005-0479,,경기도 파주시 파평면 율곡리 281,37.8804099303,126.8156500036,2056.5,젖소,150,2005-06-08,경기도 파주시청,031-940-4914,2026-05-20
파주양돈단지(3),4060000-033-2005-0484,경기도 파주시 파평면 듸링거리길 117-76,경기도 파주시 파평면 덕천리 207,37.9440714374,126.8716188845,1919.4,돼지,570,2005-06-08,경기도 파주시청,031-940-4914,2026-05-20
파주양돈단지(1),4060000-033-2005-0486,경기도 파주시 파평면 듸링거리길 117-76,경기도 파주시 파평면 덕천리 208,37.9440714374,126.8716188845,3371.62,돼지,2000,2005-06-08,경기도 파주시청,031-940-4914,2026-05-20
영상농장,4060000-033-2005-0487,,경기도 파주시 파평면 덕천리 582-10,37.9398920533,126.845211377,1267.85,한우,42,2005-06-08,경기도 파주시청,031-940-4914,2026-05-20
미리농장,4060000-033-2005-0489,경기도 파주시 파평면 배머리길 751-15,경기도 파주시 파평면 마산리 334-3,37.8830479775,126.8526653816,4174,육계,69300,2005-06-08,경기도 파주시청,031-940-4914,2026-05-20
유한농장,4060000-033-2005-0491,경기도 파주시 파평면 배머리길 857-153,경기도 파주시 파평면 마산리 366,37.8822645987,126.8465257239,1253.92,돼지,1200,2005-06-08,경기도 파주시청,031-940-4914,2026-05-20
새신한목장,4060000-033-2005-0493,경기도 파주시 적성면 구읍로 62,경기도 파주시 적성면 구읍리 254-10,37.9717440695,126.9300079774,1363.56,한우,14,2005-06-16,경기도 파주시청,031-940-4914,2026-05-20
답곡목장,4060000-033-2005-0496,경기도 파주시 적성면 듸링거리길 294,경기도 파주시 적성면 답곡리 752,37.9494891912,126.8675108037,3627.32,젖소,110,2005-06-16,경기도 파주시청,031-940-4914,2026-05-20
근환목장,4060000-033-2005-0497,경기도 파주시 적성면 배우니안길 112-20,경기도 파주시 적성면 객현리 131-10,37.972229668,126.9590350369,1918.17,젖소,78,2005-06-16,경기도 파주시청,031-940-4914,2026-05-20
문안목장,4060000-033-2005-0501,경기도 파주시 적성면 율곡로3064번길 218,경기도 파주시 적성면 적암리 230-1,37.9841073046,126.998691313,3465.72,젖소,95,2005-06-16,경기도 파주시청,031-940-4914,2026-05-20
새용성목장,4060000-033-2005-0502,경기도 파주시 적성면 술이홀로 2052-51,경기도 파주시 적성면 마지리 358-3,37.9409983815,126.9036459538,2333.17,젖소,72,2005-06-16,경기도 파주시청,031-940-4914,2026-05-20
함박농장,4060000-033-2005-0511,경기도 파주시 교하로 1393-56,경기도 파주시 교하동 579,37.7550665246,126.7445943669,340.8,한우,32,2005-06-23,경기도 파주시청,031-940-4914,2026-05-20
원진목장,4060000-033-2005-0522,경기도 파주시 광탄면 보광로553번길 36,경기도 파주시 광탄면 영장리 71,37.75737125,126.9064689,2578.05,젖소,114,2005-07-05,경기도 파주시청,031-940-4914,2026-05-20
새대한목장,4060000-033-2005-0523,,경기도 파주시 광탄면 방축리 20-2,37.8104639636,126.8678869317,3262.99,젖소,115,2005-07-05,경기도 파주시청,031-940-4914,2026-05-20
안드레아목장,4060000-033-2005-0527,경기도 파주시 적성면 담안길 10-31,경기도 파주시 적성면 장현리 474,37.9779857925,126.9624601828,2667.88,젖소,112,2005-07-08,경기도 파주시청,031-940-4914,2026-05-20
장성목장,4060000-033-2005-0528,경기도 파주시 적성면 배우니안길 114,경기도 파주시 적성면 객현리 131-1,37.9720910688,126.9581658331,2303.17,젖소,64,2005-07-08,경기도 파주시청,031-940-4914,2026-05-20
호서목장,4060000-033-2005-0531,,경기도 파주시 적성면 장현리 478-1,37.9783186619,126.9628285736,1108,한우,54,2005-07-08,경기도 파주시청,031-940-4914,2026-05-20
상훈농장,4060000-033-2005-0533,경기도 파주시 적성면 어삼로182번길 76,경기도 파주시 적성면 어유지리 458,38.0049919229,126.9777366759,956.85,종계/산란계,11478,2005-07-08,경기도 파주시청,031-940-4914,2026-05-20
성우목장,4060000-033-2005-0537,경기도 파주시 탄현면 방촌로1076번길 19,경기도 파주시 탄현면 낙하리 609,37.8267648707,126.7403512646,1778.32,한우,80,2005-07-14,경기도 파주시청,031-940-4914,2026-05-20
정인목장,4060000-033-2005-0557,,경기도 파주시 법원읍 웅담리 254-7,37.8993834789,126.8889032582,1603.45,한우,33,2005-07-20,경기도 파주시청,031-940-4914,2026-05-20
민이목장,4060000-033-2005-0559,경기도 파주시 법원읍 둔방이길 477,경기도 파주시 법원읍 삼방리 109-1,37.8347324937,126.8960400871,792,젖소,44,2005-07-20,경기도 파주시청,031-940-4914,2026-05-20
현윤목장,4060000-033-2005-0563,경기도 파주시 파주읍 정문로 641-56,경기도 파주시 파주읍 백석리 203-1,37.8148863843,126.8152813331,890.41,젖소,43,2005-08-19,경기도 파주시청,031-940-4914,2026-05-20
여명농장,4060000-033-2005-0569,경기도 파주시 파주읍 약수골길 5,경기도 파주시 파주읍 연풍리 336-17,37.8243988707,126.837607973,356.5,한우,9,2005-08-19,경기도 파주시청,031-940-4914,2026-05-20
경춘목장,4060000-033-2005-0580,경기도 파주시 적성면 구읍로106번길 55,경기도 파주시 적성면 구읍리 57-1,37.9735102499,126.9338845641,1018.46,젖소,48,2005-08-23,경기도 파주시청,031-940-4914,2026-05-20
심경목장,4060000-033-2005-0581,경기도 파주시 적성면 아랫배우니길 80-33,경기도 파주시 적성면 객현리 92-4,37.9656866755,126.957130472,1608.27,젖소,58,2005-08-23,경기도 파주시청,031-940-4914,2026-05-20
진배목장,4060000-033-2005-0582,경기도 파주시 파주읍 오봉골길 119-12,경기도 파주시 파주읍 부곡리 222-1,37.825343775,126.8257430609,1949.88,한우,36,2005-08-23,경기도 파주시청,031-940-4914,2026-05-20
술이홀농장,4060000-033-2005-0585,경기도 파주시 적성면 배우니안길 115,경기도 파주시 적성면 객현리 130,37.9720917797,126.9578857463,1432,돼지,1040,2005-08-23,경기도 파주시청,031-940-4914,2026-05-20
문바위목장,4060000-033-2005-0591,경기도 파주시 적성면 율곡로3064번길 102-1,경기도 파주시 적성면 적암리 106-1,37.9837828766,127.0015035549,1513.23,젖소,60,2005-08-23,경기도 파주시청,031-940-4914,2026-05-20
종남목장,4060000-033-2005-0602,경기도 파주시 파주읍 섬다리길 53,경기도 파주시 파주읍 연풍리 329-2,37.8238887184,126.8416211452,49.02,한우,,2005-09-22,경기도 파주시청,031-940-4914,2026-05-20
홍정목장,4060000-033-2005-0614,경기도 파주시 조리읍 둑방길 284,경기도 파주시 조리읍 대원리 1216,37.7320810001,126.82781957,1552,한우,60,2005-09-27,경기도 파주시청,031-940-4914,2026-05-20
호수농장,4060000-033-2005-0619,경기도 파주시 파평면 금마루4길 67,경기도 파주시 파평면 금파리 200,37.9327532554,126.8363994498,2905.26,한우,200,2005-10-05,경기도 파주시청,031-940-4914,2026-05-20
삼도농장,4060000-033-2005-0625,,경기도 파주시 문산읍 마정리 455-2,37.8958559026,126.7577657155,1594.2,육계,32700,2005-10-13,경기도 파주시청,031-940-4914,2026-05-20
수현목장,4060000-033-2005-0648,,경기도 파주시 적성면 객현리 6,37.9672408459,126.9622433435,1504.46,젖소,54,2005-10-26,경기도 파주시청,031-940-4914,2026-05-20
서원목장,4060000-033-2005-0660,경기도 파주시 광탄면 부흥로 194-20,경기도 파주시 광탄면 방축리 548,37.8026177015,126.8678119999,1639.88,한우,32,2005-11-03,경기도 파주시청,031-940-4914,2026-05-20
덕일농장,4060000-033-2005-0668,경기도 파주시 파평면 술이홀로 1976-13,경기도 파주시 파평면 덕천리 1-2,37.9357634512,126.9047201409,4847.78,종계/산란계,67158,2005-11-04,경기도 파주시청,031-940-4914,2026-05-20
영하목장,4060000-033-2005-0675,경기도 파주시 법원읍 화합로377번길 23-11,경기도 파주시 법원읍 갈곡리 272-3,37.850720455,126.9073800704,356.83,한우,23,2005-11-23,경기도 파주시청,031-940-4914,2026-05-20
파랑새목장,4060000-033-2005-0677,경기도 파주시 조리읍 둑방길 296-5,경기도 파주시 조리읍 대원리 1245,37.7316654502,126.8284218824,4382.89,젖소,128,2005-12-12,경기도 파주시청,031-940-4914,2026-05-20
왕증목장,4060000-033-2005-0678,경기도 파주시 적성면 배우니안길 45-14,경기도 파주시 적성면 객현리 115,37.9699934701,126.9577892988,1429.87,젖소,40,2005-12-23,경기도 파주시청,031-940-4914,2026-05-20
변산농장,4060000-033-2006-0001,경기도 파주시 적성면 말굽두리길 170,경기도 파주시 적성면 마지리 228-6,37.9557492857,126.9064882602,1932.72,돼지,415,2006-01-06,경기도 파주시청,031-940-4914,2026-05-20
영신농장,4060000-033-2006-0003,,경기도 파주시 월롱면 도내리 490-1,37.7926549556,126.8096615845,966,한우,13,2006-01-06,경기도 파주시청,031-940-4914,2026-05-20
현국농장,4060000-033-2006-0008,경기도 파주시 파평면 청송로652번길 167,경기도 파주시 파평면 덕천리 84-4,37.939107466,126.8853305948,423.5,한우,2,2006-01-06,경기도 파주시청,031-940-4914,2026-05-20
대종목장,4060000-033-2006-0009,경기도 파주시 적성면 장뜰길 311,경기도 파주시 적성면 장현리 207-5,37.9730825318,126.9748980693,1388.41,젖소,74,2006-01-12,경기도 파주시청,031-940-4914,2026-05-20
한국농장,4060000-033-2006-0012,경기도 파주시 적성면 술이홀로 2052-112,경기도 파주시 적성면 마지리 331-6,37.9421901965,126.9049307254,1231.7,돼지,300,2006-01-19,경기도 파주시청,031-940-4914,2026-05-20
상골목장,4060000-033-2006-0020,경기도 파주시 방촌로396번길 83-4,경기도 파주시 맥금동 1213,37.7836443789,126.727129408,1342.48,젖소,32,2006-05-04,경기도 파주시청,031-940-4914,2026-05-20
이천농장,4060000-033-2006-0022,경기도 파주시 문산읍 배머리길 356,경기도 파주시 문산읍 이천리 23-1,37.8725199642,126.8418389688,1462.5,육계,18000,2006-07-13,경기도 파주시청,031-940-4914,2026-05-20
해동농장,4060000-033-2006-0027,,경기도 파주시 법원읍 웅담리 460-6,37.9001567025,126.8868944183,3423.89,돼지,2100,2006-11-16,경기도 파주시청,031-940-4914,2026-05-20
소화목장,4060000-033-2006-0031,,경기도 파주시 광탄면 방축리 688,37.8086342988,126.855442562,3967.8,젖소,120,2006-12-05,경기도 파주시청,031-940-4914,2026-05-20
소래축산,4060000-033-2006-0034,,경기도 파주시 광탄면 용미리 120-2,37.7478266535,126.8825786943,3426.81,육계,10000,2006-12-19,경기도 파주시청,031-940-4914,2026-05-20
삼마농장,4060000-033-2007-0001,경기도 파주시 적성면 듸링거리길 326-80,경기도 파주시 적성면 답곡리 2,37.9535803435,126.8705215278,2242.4,돼지,2600,2007-01-10,경기도 파주시청,031-940-4914,2026-05-20
