번호,사업장명,주사육업종,소재지전체주소,사육두수,최종수정시점
243,초하원목장,젖소,충청남도 천안시 서북구 성환읍 어룡리 ***번지 **호  ,115 ,2025-11-28
244,칠성목장,젖소,충청남도 천안시 서북구 성환읍 어룡리 ***-**번지  ,45 ,2025-11-28
245,연순목장,젖소,"충청남도 천안시 서북구 성환읍 어룡리 ***번지 *호 ,* 번지 ",40 ,2025-11-28
246,복지목장,젖소,충청남도 천안시 서북구 성환읍 어룡리 ***번지 *호  ,74 ,2025-11-28
247,유일1목장,젖소,충청남도 천안시 서북구 성환읍 와룡리 ***번지 **호  ,189 ,2025-11-28
248,선규목장,젖소,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호 외*(***-*) ,166 ,2025-11-28
249,추풍목장,한우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,70 ,2025-11-28
250,수향목장,한우,충청남도 천안시 서북구 성환읍 수향리 **번지 ***호  ,0 ,2025-11-28
251,모자목장,한우,충청남도 천안시 서북구 성환읍 송덕리 ***번지 **호  ,18 ,2025-11-28
252,세일목장,한우,"충청남도 천안시 서북구 직산읍 군서리 ***번지 *호 ,***-* 번지 ",110 ,2025-11-28
253,삼보목장,젖소,충청남도 천안시 서북구 직산읍 군서리 **번지 *호 외 *필지 ,30 ,2025-11-28
254,칠보목장,한우,충청남도 천안시 서북구 성환읍 율금리 ***번지 **호  ,97 ,2025-11-28
255,태현목장,젖소,충청남도 천안시 서북구 성환읍 율금리 ***번지 **호  ,60 ,2025-11-28
256,충남농장,돼지,충청남도 천안시 서북구 성환읍 성환리 ***번지 *호  ,1000 ,2025-11-28
257,황금목장,젖소,"충청남도 천안시 서북구 성환읍 송덕리 ***번지 외 *필지(***,**,**-*) ",100 ,2025-11-28
258,연암대학교,한우,충청남도 천안시 서북구 성환읍 수향리 **번지 *호 외 **필지 ,145 ,2025-11-28
259,연암대학교,젖소,충청남도 천안시 서북구 성환읍 수향리 **번지 *호 외 **필지 ,90 ,2025-11-28
260,연암대학교,돼지,충청남도 천안시 서북구 성환읍 수향리 **번지 *호 외 **필지 ,3100 ,2025-11-28
261,연암대학교,종계/산란계,충청남도 천안시 서북구 성환읍 수향리 **번지 *호 외 **필지 ,33249 ,2025-11-28
262,열쇠목장,젖소,충청남도 천안시 서북구 성환읍 어룡리 ***번지 *호 외 *필지 ,117 ,2025-11-28
263,한진1농장,돼지,"충청남도 천안시 서북구 성환읍 왕림리 **번지 *호 ,***-*,***-* ",220 ,2025-11-28
264,한진2농장,돼지,"충청남도 천안시 서북구 성환읍 왕림리 ***번지 *호 ,* ",1600 ,2025-11-28
265,소우목장,젖소,충청남도 천안시 서북구 성거읍 소우리 ***번지 *호  ,50 ,2025-11-28
266,진우농장,종계/산란계,충청남도 천안시 동남구 풍세면 가송리 ***번지  ,35000 ,2025-11-28
267,혜선목장,젖소,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호 외 *필지(***-*) ,48 ,2025-11-28
268,충무농장,돼지,충청남도 천안시 동남구 성남면 신사리 ***번지 외 *필지(***-*.*.**.**) ,6000 ,2025-11-28
269,예천농장,육계,"충청남도 천안시 동남구 성남면 용원리 ***번지 *호 외 *필지(***, ***, ***) ",34955 ,2025-11-28
270,경희농장,육계,"충청남도 천안시 동남구 성남면 대흥리 ***번지 *호 외 *필지(***, ***-*) ",26800 ,2025-11-28
271,자연알로(수신),종계/산란계,"충청남도 천안시 동남구 수신면 백자리 **번지 *호 , **, **-* 번지 ",22824 ,2025-11-28
272,케이앤피에그팜,종계/산란계,충청남도 천안시 동남구 동면 행암리 ***번지 외 *필지 ,120000 ,2025-11-28
273,석현1농장,돼지,충청남도 천안시 동남구 광덕면 매당리 **번지  ,600 ,2025-11-28
274,대길2농장,돼지,"충청남도 천안시 동남구 병천면 매성리 **번지 *호 외 *필지(**-*, **-*) ",1800 ,2025-11-28
275,농업회사법인 주식회사 서연농장 지점(관성농장),돼지,충청남도 천안시 동남구 병천면 관성리 ***번지 *호 외 *필지 ,2000 ,2025-11-28
276,청산축산,돼지,"충청남도 천안시 동남구 성남면 봉양리 ***번지 외 *필지(***,***-*) ",1276 ,2025-11-28
277,늘푸른농장,돼지,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호 외*필지(***-*) ,2000 ,2025-11-28
278,그린농장,돼지,충청남도 천안시 서북구 성환읍 율금리 ***번지  ,2000 ,2025-11-28
279,대홍농장,한우,충청남도 천안시 서북구 성환읍 복모리 ***번지 **호  ,20 ,2025-11-28
280,천안오골계농장,육계,충청남도 천안시 동남구 목천읍 석천리 ***번지 천안오골계농장 ,35000 ,2025-11-28
281,혜경축산,한우,"충청남도 천안시 동남구 성남면 신사리 **번지 외*(**-*,*,*) ",67 ,2025-11-28
282,준농장,한우,충청남도 천안시 동남구 병천면 송정리 ***번지 *호  ,32 ,2025-11-28
283,상대목장,한우,충청남도 천안시 서북구 직산읍 군서리 **번지 *호 외 *필지 ,40 ,2025-11-28
284,송림양돈,돼지,충청남도 천안시 서북구 직산읍 부송리 ***번지 *호  ,742 ,2025-11-28
285,정우농장,돼지,"충청남도 천안시 동남구 풍세면 용정리 **번지 *호 외 *필지(**-*,***-**,***-**,***-*) ",2400 ,2025-11-28
286,신촌농장,돼지,충청남도 천안시 동남구 병천면 병천리 **번지 *호 외 *필지 ,1000 ,2025-11-28
287,천일목장,한우,충청남도 천안시 동남구 풍세면 풍서리 ***번지 *호  ,0 ,2025-11-28
288,도종목장,한우,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,20 ,2025-11-28
289,영월목장,한우,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호 외 *필지(***-*) ,27 ,2025-11-28
290,다복목장,한우,충청남도 천안시 서북구 성환읍 와룡리 **번지 *호 외 *필지 ,60 ,2025-11-28
291,진용목장,젖소,충청남도 천안시 서북구 직산읍 양당리 **번지 *호 외 *필지 ,50 ,2025-11-28
292,온누리목장,한우,충청남도 천안시 서북구 직산읍 마정리 **번지 *호  ,70 ,2025-11-28
293,서울목장,한우,"충청남도 천안시 서북구 직산읍 군동리 ***번지 외 *필지(***-*,-*,-*,***) ",92 ,2025-11-28
294,호선목장,젖소,충청남도 천안시 서북구 성환읍 대홍리 ***번지 *호  ,90 ,2025-11-28
295,진홍목장,젖소,충청남도 천안시 서북구 성환읍 어룡리 ***번지  ,70 ,2025-11-28
296,유현목장,한우,충청남도 천안시 서북구 성환읍 와룡리 **번지 *호  ,24 ,2025-11-28
297,성목장,젖소,충청남도 천안시 서북구 성환읍 왕림리 ***번지  ,60 ,2025-11-28
298,성희목장,젖소,충청남도 천안시 서북구 성환읍 신방리 ***번지 **호  ,70 ,2025-11-28
299,국립축산과학원 축산자원개발부,젖소,충청남도 천안시 서북구 성환읍 신방리 *번지 *호  ,450 ,2025-11-28
300,국립축산과학원 축산자원개발부,돼지,충청남도 천안시 서북구 성환읍 신방리 *번지 *호  ,1200 ,2025-11-28
301,대흥농장,한우,충청남도 천안시 동남구 성남면 대흥리 ***번지 *호  ,11 ,2025-11-28
302,대흥농장,한우,충청남도 천안시 동남구 성남면 대흥리 ***번지 *호  ,21 ,2025-11-28
303,현수목장,한우,충청남도 천안시 동남구 병천면 송정리 ***-*번지  ,50 ,2025-11-28
304,우민양계,종계/산란계,"충청남도 천안시 동남구 병천면 용두리 ***번지 *호 외 *필지(***-*,***-*,***-*) ",65000 ,2025-11-28
305,명섭농장,오리,충청남도 천안시 동남구 병천면 봉항리 ***번지 *호 외 *필지(***-*) ,16400 ,2025-11-28
306,성원농산,돼지,충청남도 천안시 동남구 동면 장송리 ***번지 **호 외*필지 ,5000 ,2025-11-28
307,개구리목장,젖소,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호 외 *필지 ,32 ,2025-11-28
308,희성농장,한우,충청남도 천안시 동남구 풍세면 용정리 ***번지 **호  ,130 ,2025-11-28
309,송림한우농장,한우,충청남도 천안시 동남구 성남면 신사리 ***번지  ,30 ,2025-11-28
310,선농장,한우,"충청남도 천안시 동남구 동면 수남리 ***번지 *호 ***-*, ***-* ",95 ,2025-11-28
311,음메농장,한우,"충청남도 천안시 동남구 병천면 관성리 ***번지 **호 외 *(***-**, ***-**, ***-**) ",150 ,2025-11-28
312,대표목장,젖소,충청남도 천안시 서북구 성환읍 어룡리 ***번지 외 *필지 ,95 ,2025-11-28
313,청와대목장,한우,충청남도 천안시 서북구 입장면 신두리 ***번지 *호  ,23 ,2025-11-28
314,옥목장,젖소,충청남도 천안시 서북구 직산읍 판정리 ***번지 *호  ,149 ,2025-11-28
315,현대농장(3),한우,충청남도 천안시 서북구 직산읍 수헐리 *번지 *호 외 **필지 ,30 ,2025-11-28
316,불당농장,육계,충청남도 천안시 서북구 불당동 ***번지 *호  ,2000 ,2025-11-28
317,천안제일고 제2농장,한우,충청남도 천안시 동남구 수신면 장산리 산 **번지 *호  ,7 ,2025-11-28
318,천안제일고 제2농장,돼지,충청남도 천안시 동남구 수신면 장산리 산 **번지 *호  ,60 ,2025-11-28
319,천안제일고 제2농장,종계/산란계,충청남도 천안시 동남구 수신면 장산리 산 **번지 *호  ,3960 ,2025-11-28
320,예은목장,젖소,충청남도 천안시 서북구 성환읍 대홍리 **번지 *호 외 *필지 ,201 ,2025-11-28
321,진세목장,육우,충청남도 천안시 서북구 성환읍 양령리 ***번지  ,23 ,2025-11-28
322,진왕영농조합법인,돼지,충청남도 천안시 동남구 성남면 용원리 ***번지  ,10000 ,2025-11-28
323,화성농장,돼지,충청남도 천안시 동남구 풍세면 삼태리 ***번지 *호  ,2000 ,2025-11-28
324,성록농장,육계,충청남도 천안시 동남구 성남면 신덕리 ***번지  ,72000 ,2025-11-28
325,인영농장,육우,충청남도 천안시 동남구 용곡동 ***번지 *호 외 *필지 ,12 ,2025-11-28
326,토종꼬꼬1농장,종계/산란계,충청남도 천안시 동남구 풍세면 삼태리 ***번지 *호  ,10000 ,2025-11-28
327,농업회사법인천안농산주식회사,돼지,"충청남도 천안시 동남구 목천읍 신계리 **번지 *호 외 *필지(**-*,*,*,*,**) ",9800 ,2025-11-28
328,원목장,젖소,충청남도 천안시 서북구 성환읍 신방리 ***번지 **호  ,85 ,2025-11-28
329,장자농장,육계,충청남도 천안시 동남구 동면 화덕리 ***번지 *호  ,30000 ,2025-11-28
330,우목원,한우,충청남도 천안시 서북구 직산읍 석곡리 ***번지 *호  ,50 ,2025-11-28
331,오곡농장,한우,충청남도 천안시 동남구 북면 오곡리 ***번지 *호  ,70 ,2025-11-28
332,신진농장,한우,충청남도 천안시 동남구 북면 대평리 ***번지 외 *필지 ,70 ,2025-11-28
333,정표농장,한우,충청남도 천안시 동남구 수신면 백자리 ***번지 *호  ,20 ,2025-11-28
334,관성농장,한우,충청남도 천안시 동남구 병천면 관성리 ***번지 **호  ,190 ,2025-11-28
335,인섭2농장,한우,충청남도 천안시 동남구 병천면 봉항리 **번지  ,150 ,2025-11-28
336,구룡동농장,한우,충청남도 천안시 동남구 구룡동 ***번지 *호  ,32 ,2025-11-28
337,덕우농장,한우,"충청남도 천안시 동남구 병천면 봉항리 ***번지 *호 외 *(***-*,*,*) ",0 ,2025-11-28
338,한우진주농장,한우,충청남도 천안시 서북구 성환읍 어룡리 **번지 **호 외 * (**-*) ,50 ,2025-11-28
339,농업회사법인 동화농산 주식회사,돼지,충청남도 천안시 동남구 광덕면 대평리 ***번지 *호  ,14500 ,2025-11-28
340,부부농장,한우,충청남도 천안시 동남구 성남면 신덕리 **번지 *호 외 *(**-*) ,70 ,2025-11-28
341,명호농장,한우,충청남도 천안시 동남구 병천면 매성리 **번지  ,25 ,2025-11-28
342,한양목장,젖소,충청남도 천안시 서북구 성환읍 왕림리 **번지  ,57 ,2025-11-28
343,금성목장,한우,충청남도 천안시 동남구 동면 광덕리 ***번지 *호 외*필지 ,50 ,2025-11-28
344,송원목장,한우,충청남도 천안시 동남구 수신면 속창리 **번지 *호  ,30 ,2025-11-28
345,누리목장,한우,충청남도 천안시 동남구 북면 납안리 ***번지 *호  ,30 ,2025-11-28
346,부대동면농장,돼지,충청남도 천안시 동남구 동면 송연리 **번지 *호  ,7500 ,2025-11-28
347,털보농장,한우,충청남도 천안시 동남구 동면 덕성리 ***번지  ,40 ,2025-11-28
348,동진2농장,한우,충청남도 천안시 동남구 병천면 탑원리 ***번지 *호  ,16 ,2025-11-28
349,두성한우농장,한우,충청남도 천안시 동남구 성남면 대흥리 **번지 *호  ,8 ,2025-11-28
350,효섭목장,한우,충청남도 천안시 서북구 성환읍 율금리 ***번지  ,16 ,2025-11-28
351,건영농장,한우,충청남도 천안시 동남구 목천읍 소사리 ***번지 *호  ,47 ,2025-11-28
352,흥인농장,종계/산란계,충청남도 천안시 서북구 직산읍 판정리 ***번지 *호  ,34944 ,2025-11-28
353,천안자연농원,한우,충청남도 천안시 동남구 목천읍 신계리 ***번지  ,9 ,2025-11-28
354,진원농장,종계/산란계,"충청남도 천안시 동남구 병천면 도원리 ***번지 외 *필지(***-*, ***-*, ***-*, ***, ***-*, ***-*) ",23432 ,2025-11-28
355,보성목장,젖소,충청남도 천안시 서북구 성환읍 와룡리 ***번지 **호  ,55 ,2025-11-28
356,포일농장,한우,충청남도 천안시 서북구 성환읍 신방리 ***번지 *호  ,21 ,2025-11-28
357,충청농장,한우,충청남도 천안시 서북구 직산읍 군서리 ***번지 *호  ,20 ,2025-11-28
358,송림농장,한우,충청남도 천안시 동남구 수신면 장산리 ***번지  ,196 ,2025-11-28
359,오곡2농장,한우,충청남도 천안시 동남구 북면 용암리 ***번지 *호  ,90 ,2025-11-28
360,송이농장,한우,충청남도 천안시 서북구 입장면 효계리 ***번지 *호  ,47 ,2025-11-28
361,만나축산,돼지,"충청남도 천안시 동남구 수신면 해정리 ***번지 외 *(***-*,*,***,***) ",3000 ,2025-11-28
362,상훈2농장,돼지,충청남도 천안시 서북구 직산읍 부송리 ***번지 *호  ,1000 ,2025-11-28
363,제일축산,한우,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호 외 *필지(***-*) ,150 ,2025-11-28
364,세유농장,한우,충청남도 천안시 서북구 성거읍 천흥리 **번지  ,17 ,2025-11-28
365,주형목장,한우,충청남도 천안시 동남구 목천읍 소사리 ***번지 *호  ,79 ,2025-11-28
366,성훈농장,한우,충청남도 천안시 서북구 입장면 홍천리 **번지 *호  ,2 ,2025-11-28
367,버들농장,한우,충청남도 천안시 동남구 수신면 백자리 ***번지 *호  ,32 ,2025-11-28
368,신성목장,한우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,60 ,2025-11-28
369,금잔디농원,육계,충청남도 천안시 동남구 병천면 병천리 ***번지 ***호  ,36720 ,2025-11-28
370,승진농장,한우,충청남도 천안시 동남구 광덕면 신덕리 **번지 *호  ,0 ,2025-11-28
371,가마골농장,한우,충청남도 천안시 서북구 성거읍 정촌리 ***번지 *호  ,58 ,2025-11-28
372,재환목장,한우,충청남도 천안시 동남구 병천면 병천리 ***번지 *호  ,21 ,2025-11-28
373,팜스월드지지피천안 유전자연구소,돼지,충청남도 천안시 동남구 병천면 가전리 ***번지 **호  ,130 ,2025-11-28
374,경섭목장,한우,충청남도 천안시 동남구 동면 송연리 ***번지 *호  ,26 ,2025-11-28
375,상명목장,젖소,"충청남도 천안시 서북구 성환읍 왕림리 ***번지 **호 ***-*,*,*,* ",32 ,2025-11-28
376,유명목장,한우,충청남도 천안시 서북구 성환읍 와룡리 **번지 *호  ,75 ,2025-11-28
377,미죽농장,한우,충청남도 천안시 동남구 풍세면 미죽리 ***번지 *호  ,3 ,2025-11-28
378,지유농장,한우,충청남도 천안시 동남구 동면 화덕리 ***번지  ,35 ,2025-11-28
379,대동목장,한우,충청남도 천안시 동남구 광덕면 매당리 ***번지 *호  ,11 ,2025-11-28
380,다롱농장,한우,충청남도 천안시 동남구 풍세면 남관리 ***번지 *호  ,19 ,2025-11-28
381,청정한우농장,한우,충청남도 천안시 동남구 광덕면 매당리 **번지 **호  ,12 ,2025-11-28
382,준목장,한우,충청남도 천안시 동남구 풍세면 보성리 ***번지  ,16 ,2025-11-28
383,혈통우농장,한우,충청남도 천안시 동남구 광덕면 매당리 **번지 **호  ,10 ,2025-11-28
384,천우농장,한우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호 외 *(***-*) ,94 ,2025-11-28
385,불당목장,한우,충청남도 천안시 서북구 불당동 ***번지  ,27 ,2025-11-28
386,수향농장,한우,충청남도 천안시 서북구 성환읍 수향리 ***번지 *호  ,9 ,2025-11-28
387,동열목장,한우,"충청남도 천안시 서북구 성환읍 와룡리 **번지 **호 , **-**, **-** ",4 ,2025-11-28
388,현진농장,한우,충청남도 천안시 서북구 성환읍 왕림리 ***번지  ,10 ,2025-11-28
389,한우농장,한우,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호  ,8 ,2025-11-28
390,금버들축산,육계,"충청남도 천안시 동남구 병천면 봉항리 ***번지 *호 외 *필지(***-*, ***-*) ",52800 ,2025-11-28
391,교림목장,젖소,"충청남도 천안시 서북구 입장면 연곡리 ***번지 *호 ,***-*, ***-* ",33 ,2025-11-28
392,용암농장,한우,충청남도 천안시 동남구 북면 용암리 ***번지 *호  ,10 ,2025-11-28
393,자연농장,한우,충청남도 천안시 동남구 목천읍 동리 **번지 *호  ,9 ,2025-11-28
394,헌형농장,한우,충청남도 천안시 동남구 북면 양곡리 ***번지  ,20 ,2025-11-28
395,동선목장,젖소,"충청남도 천안시 동남구 동면 동산리 ***번지 ***,*** ",80 ,2025-11-28
396,운전교차로목장,한우,충청남도 천안시 동남구 목천읍 운전리 ***번지 *호  ,30 ,2025-11-28
397,소사목장,한우,충청남도 천안시 동남구 목천읍 소사리 ***번지 *호  ,10 ,2025-11-28
398,문화농장,육계,충청남도 천안시 동남구 성남면 석곡리 **번지 **호 외 *필지(**-**) ,100000 ,2025-11-28
399,밤골2농장,한우,충청남도 천안시 동남구 광덕면 원덕리 ***번지 *호  ,10 ,2025-11-28
400,모산목장,한우,충청남도 천안시 동남구 동면 동산리 산 **번지  ,10 ,2025-11-28
401,동영목장,젖소,"충청남도 천안시 동남구 동면 동산리 ***번지 *호 외 *(***-*,*,*) ",266 ,2025-11-28
402,대전충남양돈농협인공수정센터,돼지,충청남도 천안시 동남구 목천읍 천정리 **번지  ,109 ,2025-11-28
403,광덕중부권영농조합법인,한우,충청남도 천안시 동남구 광덕면 무학리 ***번지 외 *필지(***-*) ,200 ,2025-11-28
404,은행목장,한우,"충청남도 천안시 동남구 목천읍 소사리 ***번지 *호 외 *필지(***-*, ***) ",46 ,2025-11-28
405,태산농장,한우,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,2 ,2025-11-28
406,애플축산,종계/산란계,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호  ,13000 ,2025-11-28
407,성공농장,한우,충청남도 천안시 동남구 북면 양곡리 ***번지  ,4 ,2025-11-28
408,진솔2농장,돼지,충청남도 천안시 동남구 수신면 장산리 ***번지 *호  ,2300 ,2025-11-28
409,초우축산,한우,충청남도 천안시 서북구 성환읍 신방리 ***번지 *호  ,43 ,2025-11-28
410,삼보농장,종계/산란계,충청남도 천안시 동남구 풍세면 가송리 ***번지  ,197280 ,2025-11-28
411,풍일농장,돼지,충청남도 천안시 서북구 성환읍 송덕리 ***번지 **호  ,2200 ,2025-11-28
412,은희농장,한우,충청남도 천안시 동남구 광덕면 매당리 **번지 *호  ,42 ,2025-11-28
413,이산리목장,한우,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,20 ,2025-11-28
414,로하농장,종계/산란계,충청남도 천안시 동남구 병천면 도원리 ***번지 *호 외 ***-* ,36675 ,2025-11-28
415,형제농장,산란육성계,"충청남도 천안시 동남구 풍세면 풍서리 ***번지 *호 외*(***-*,*, ***-**,**,**) ",86400 ,2025-11-28
416,한오리농장,오리,충청남도 천안시 동남구 동면 덕성리 ***번지 *호  ,12000 ,2025-11-28
417,명우농장,한우,충청남도 천안시 동남구 광덕면 매당리 **번지 *호  ,78 ,2025-11-28
418,대영농장,돼지,충청남도 천안시 동남구 동면 화덕리 ***번지 *호  ,1200 ,2025-11-28
419,안성2목장,젖소,충청남도 천안시 동남구 풍세면 남관리 ***번지 *호  ,78 ,2025-11-28
420,삼조우농장,젖소,충청남도 천안시 서북구 입장면 연곡리 ***번지 *호  ,37 ,2025-11-28
421,승현농장,육우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,206 ,2025-11-28
422,유일목장,한우,충청남도 천안시 동남구 풍세면 남관리 ***번지 *호  ,6 ,2025-11-28
423,가조농장,한우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,0 ,2025-11-28
424,진동목장,한우,충청남도 천안시 동남구 성남면 신덕리 **번지  ,9 ,2025-11-28
425,태균목장,한우,충청남도 천안시 동남구 병천면 송정리 ***번지 *호  ,24 ,2025-11-28
426,행복2농장,한우,충청남도 천안시 동남구 병천면 송정리 ***번지 *호  ,170 ,2025-11-28
427,수민목장,육우,충청남도 천안시 동남구 북면 은지리 ***번지 *호 외 *필지 ,59 ,2025-11-28
428,도현농장,한우,충청남도 천안시 동남구 수신면 장산리 ***번지 *호 외 *필지 ,14 ,2025-11-28
429,신대진목장,젖소,충청남도 천안시 동남구 동면 죽계리 ***번지  ,160 ,2025-11-28
430,농업회사법인 투게더팜주식회사,돼지,충청남도 천안시 동남구 병천면 병천리 ***번지  ,7000 ,2025-11-28
431,아우내농장,오리,"충청남도 천안시 동남구 병천면 도원리 ***번지 외*필지(***-*,***) ",12341 ,2025-11-28
432,해성2농장,돼지,"충청남도 천안시 동남구 동면 구도리 *번지 *호 외*필지(*-*,*-*,*-*,**,**,**) ",3200 ,2025-11-28
433,병천농장,한우,충청남도 천안시 동남구 병천면 용두리 ***번지 *호  ,21 ,2025-11-28
434,이레농장,종계/산란계,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호  ,94600 ,2025-11-28
435,행복농장,한우,충청남도 천안시 동남구 북면 매송리 ***번지  ,0 ,2025-11-28
436,태영농장,한우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,20 ,2025-11-28
437,한빛농장,종계/산란계,"충청남도 천안시 서북구 입장면 가산리 *번지 *호 *-*, *-*, **-** ",360000 ,2025-11-28
438,신성목장,젖소,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,46 ,2025-11-28
439,롯데목장,한우,충청남도 천안시 서북구 입장면 가산리 ***번지 *호  ,18 ,2025-11-28
440,고센목장,육우,충청남도 천안시 서북구 입장면 신두리 **번지 *호  ,30 ,2025-11-28
441,황진목장,젖소,충청남도 천안시 서북구 성환읍 양령리 **번지 *호  ,45 ,2025-11-28
442,매성축산,한우,충청남도 천안시 동남구 병천면 매성리 **번지 *호  ,95 ,2025-11-28
443,주현2농장,종계/산란계,충청남도 천안시 동남구 풍세면 보성리 **번지 *호  ,129000 ,2025-11-28
444,동혁목장,한우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,30 ,2025-11-28
445,한울목장,한우,충청남도 천안시 동남구 수신면 백자리 ***번지 **호  ,168 ,2025-11-28
446,새벽농장,한우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,296 ,2025-11-28
447,농업회사법인 주식회사 돈우정(행암농장지점),돼지,충청남도 천안시 동남구 동면 행암리 ***번지 외 *필지(***) ,1200 ,2025-11-28
448,덕현1목장,젖소,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호 ***-** ,510 ,2025-11-28
449,신명축산,한우,충청남도 천안시 동남구 수신면 발산리 ***번지 *호  ,0 ,2025-11-28
450,한우농장,한우,충청남도 천안시 동남구 병천면 송정리 ***번지 *호  ,90 ,2025-11-28
451,윤선목장,젖소,충청남도 천안시 서북구 성환읍 왕림리 ***번지 **호  ,50 ,2025-11-28
452,평원목장,젖소,충청남도 천안시 서북구 직산읍 상덕리 ***번지  ,0 ,2025-11-28
453,지민목장,한우,충청남도 천안시 서북구 성환읍 대홍리 **번지 *호  ,25 ,2025-11-28
454,제일목장,젖소,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,145 ,2025-11-28
455,석곡농장,오리,충청남도 천안시 동남구 성남면 대흥리 **번지 *호  ,24878 ,2025-11-28
456,모산농장,오리,충청남도 천안시 동남구 동면 동산리 *번지 *호 외*필지 ,15000 ,2025-11-28
457,새경근목장,젖소,충청남도 천안시 서북구 성환읍 왕림리 ***번지 *호  ,28 ,2025-11-28
458,정필농장,육계,"충청남도 천안시 서북구 성환읍 성환리 **번지 **호 외 *(**-*,**,**) ",176465 ,2025-11-28
459,가송농장,육계,충청남도 천안시 동남구 풍세면 가송리 ***번지  ,33000 ,2025-11-28
460,번영농장,육계,충청남도 천안시 서북구 성환읍 성환리 **번지 **호 외*필지 ,125873 ,2025-11-28
461,성환축산,육계,충청남도 천안시 서북구 성환읍 신가리 ***번지 *호  ,75000 ,2025-11-28
462,다원농장,육계,"충청남도 천안시 동남구 목천읍 운전리 **번지 *호 , **-* ",86500 ,2025-11-28
463,블랙잭목장,젖소,"충청남도 천안시 서북구 성환읍 양령리 ***번지 *호 ***-*, ***-* ",200 ,2025-11-28
464,한국염소연구소,염소,충청남도 천안시 동남구 동면 장송리 ***번지  ,300 ,2025-11-28
465,승현2농장,육우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,200 ,2025-11-28
466,도원양계,종계/산란계,"충청남도 천안시 동남구 병천면 도원리 ***번지 외 *필지(***-*, ***-*) ",110208 ,2025-11-28
467,흑성산흑염소농장,염소,충청남도 천안시 동남구 목천읍 신계리 **번지 *호 신계리 **-*(도로명주소없음) ,30 ,2025-11-28
468,태양목장,한우,충청남도 천안시 동남구 성남면 대흥리 ***번지 *호  ,337 ,2025-11-28
469,관성2농장,한우,충청남도 천안시 동남구 성남면 대흥리 *번지 *호  ,150 ,2025-11-28
470,더나농장,한우,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,180 ,2025-11-28
471,원농장,염소,"충청남도 천안시 동남구 풍세면 보성리 ***번지 *호 외 *필지(***-*, ***-*) ",300 ,2025-11-28
472,가온팜 농업회사법인(주),종계/산란계,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,145600 ,2025-11-28
473,라파농장,종계/산란계,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호  ,172800 ,2025-11-28
474,대명2목장,젖소,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,90 ,2025-11-28
475,상령목장,젖소,충청남도 천안시 서북구 성환읍 양령리 ***번지 **호  ,64 ,2025-11-28
476,현대농장(4),한우,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호  ,0 ,2025-11-28
477,장수농장,육우,충청남도 천안시 서북구 입장면 흑암리 ***번지 *호  ,161 ,2025-11-28
478,경훈농장,한우,충청남도 천안시 동남구 풍세면 보성리 ***번지  ,80 ,2025-11-28
479,도영목장,젖소,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,105 ,2025-11-28
480,YT목장,젖소,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,150 ,2025-11-28
481,성화목장,한우,충청남도 천안시 동남구 북면 대평리 ***번지 *호  ,83 ,2025-11-28
482,산우물목장,젖소,충청남도 천안시 서북구 성환읍 도하리 ***번지  ,90 ,2025-11-28
483,영풍농장,육계,충청남도 천안시 동남구 광덕면 대평리 ***번지 *호  ,80000 ,2025-11-28
484,한진목장,육우,충청남도 천안시 서북구 성환읍 안궁리 ***번지 *호  ,406 ,2025-11-28
485,해솔목장,젖소,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,100 ,2025-11-28
486,대로2목장,한우,충청남도 천안시 서북구 성환읍 수향리 ***번지 *호  ,85 ,2025-11-28
