농장명,소재지,상세소재지,축종,데이터 기준일자
황우축산,현경면,평산리,한우,2025-11-25
청파농장,몽탄면,내리 1,한우,2025-11-25
이천농장,일로읍,용산리,한우,2025-11-25
병두농장,일로읍,의산리,한우,2025-11-25
송정오리농장,현경면,송정리,오리,2025-11-25
보인농장,일로읍,망월리,한우,2025-11-25
다산축산,몽탄면,다산리,한우,2025-11-25
춘식농장,몽탄면,몽강리,한우,2025-11-25
복용농장,무안읍,성동리,한우,2025-11-25
덕성축산,청계면,서호리,한우,2025-11-25
산수농장,몽탄면,달산리,한우,2025-11-25
태봉농장,청계면,태봉리,한우,2025-11-25
우필농장,무안읍,고절리,한우,2025-11-25
명종농장,일로읍,복룡리,한우,2025-11-25
고실농장,현경면,외반리,한우,2025-11-25
우리축산,무안읍,신학리,한우,2025-11-25
간방산농장,현경면,평산리,한우,2025-11-25
동산축산,해제면,용학리,한우,2025-11-25
금동농장,삼향읍,왕산리,한우,2025-11-25
푸른농장,몽탄면,사천리,한우,2025-11-25
정수농장,무안읍,고절리,한우,2025-11-25
상문농장,몽탄면,학산리,한우,2025-11-25
화산농장,몽탄면,내리 3,한우,2025-11-25
근화농장,삼향읍,왕산리,한우,2025-11-25
영철농장,삼향읍,왕산리,한우,2025-11-25
성인농장,삼향읍,왕산리,한우,2025-11-25
문헌농장,몽탄면,양장리,한우,2025-11-25
성철농장,일로읍,감돈리,한우,2025-11-25
월암축산,일로읍,월암리,한우,2025-11-25
에벤에셀,망운면,목서리,한우,2025-11-25
기동축산,청계면,서호리,한우,2025-11-25
구원농장,삼향읍,왕산리,한우,2025-11-25
일신축산,일로읍,지장리,한우,2025-11-25
대기농장,몽탄면,내리 1,한우,2025-11-25
탁규농장,몽탄면,내리 9,한우,2025-11-25
송가네농장,몽탄면,봉명리,한우,2025-11-25
상섭농장,몽탄면,청용리,한우,2025-11-25
부흥농장,일로읍,월암리,한우,2025-11-25
용남농장,일로읍,월암리,한우,2025-11-25
석윤농장,무안읍,고절리,한우,2025-11-25
진흥축산,현경면,해운리,한우,2025-11-25
약실농장,몽탄면,약곡리,한우,2025-11-25
홍규농장,해제면,용학리,한우,2025-11-25
기환농장,몽탄면,내리 4,한우,2025-11-25
한재목장,몽탄면,대치리,한우,2025-11-25
봉암축산,몽탄면,대치리,한우,2025-11-25
감돈축산,일로읍,감돈리,한우,2025-11-25
유교축산,삼향읍,유교리,한우,2025-11-25
양수농장,현경면,평산리,한우,2025-11-25
재남농장,청계면,태봉리,한우,2025-11-25
의산축산,일로읍,의산리,한우,2025-11-25
의산농장,일로읍,의산리,한우,2025-11-25
천명농장,청계면,태봉리,한우,2025-11-25
우카축산유통,현경면,현화리,육우,2025-11-25
영심농장,청계면,도림리,한우,2025-11-25
용뫼농장,몽탄면,다산리,한우,2025-11-25
영호농장,몽탄면,달산리,한우,2025-11-25
남영축산,일로읍,산정리,한우,2025-11-25
건우농장,무안읍,성남리,한우,2025-11-25
덕산농장,해제면,천장리,한우,2025-11-25
주희농장,현경면,용정리,한우,2025-11-25
영춘농장,일로읍,의산리,한우,2025-11-25
형식농장,청계면,태봉리,한우,2025-11-25
두리축산,삼향읍,지산리,한우,2025-11-25
햇빛농장,현경면,평산리,한우,2025-11-25
현웅농장,현경면,동산리,한우,2025-11-25
인의축산,일로읍,의산리,한우,2025-11-25
정우농장,무안읍,교촌리,한우,2025-11-25
에벤에셀농장,일로읍,복룡리,한우,2025-11-25
이천농원,몽탄면,봉명리,한우,2025-11-25
인의농장,일로읍,의산리,한우,2025-11-25
정성농장,몽탄면,내리 3,한우,2025-11-25
월암축산,일로읍,월암리,한우,2025-11-25
유진농장,현경면,오류리,오리,2025-11-25
인선농장,청계면,서호리,한우,2025-11-25
상순농장,무안읍,용월리,한우,2025-11-25
영일농장,해제면,천장리,한우,2025-11-25
대흥농장,몽탄면,봉명리,한우,2025-11-25
우영농장,청계면,청천리,한우,2025-11-25
성돌농장,일로읍,감돈리,한우,2025-11-25
남천축사,몽탄면,내리 8,한우,2025-11-25
정일농장,현경면,양학리,한우,2025-11-25
보람농장,무안읍,교촌리,한우,2025-11-25
창승농장,몽탄면,양장리,한우,2025-11-25
샤론농장,청계면,복길리,한우,2025-11-25
지.시온농장,현경면,현화리,한우,2025-11-25
주민축산,일로읍,복룡리,한우,2025-11-25
에그린농장,삼향읍,왕산리,종계+산란계,2025-11-25
무룡축산,일로읍,의산리,한우,2025-11-25
정원축산,일로읍,의산리,한우,2025-11-25
보림축산,망운면,피서리,한우,2025-11-25
서당농장,일로읍,감돈리,한우,2025-11-25
용동농장,운남면,동암리,한우,2025-11-25
약곡농장,무안읍,용월리,한우,2025-11-25
송배농장,일로읍,상신기,한우,2025-11-25
기향농장,몽탄면,봉명리,한우,2025-11-25
영선농장,몽탄면,당호리,한우,2025-11-25
양성농장,삼향읍,맥포리,한우,2025-11-25
탁근농장,몽탄면,약곡리,한우,2025-11-25
형규농장,몽탄면,약곡리,한우,2025-11-25
용희농장,삼향읍,지산리,돼지,2025-11-25
용동농장,망운면,송현리,한우,2025-11-25
대덕농장,일로읍,구정리,한우,2025-11-25
해천농장,무안읍,고절리,한우,2025-11-25
사천농장,몽탄면,사천리,한우,2025-11-25
웅지농장,삼향읍,왕산리,돼지,2025-11-25
오대양축산,삼향읍,왕산리,육우,2025-11-25
상길농장,몽탄면,사창리,한우,2025-11-25
무안SP센타,현경면,평산리,돼지,2025-11-25
성적골농장,몽탄면,약곡리,한우,2025-11-25
주혁목장,현경면,동산리,한우,2025-11-25
대성농장,현경면,오류리,한우,2025-11-25
이장네농장,몽탄면,당호리,한우,2025-11-25
청용농장,몽탄면,청용리,한우,2025-11-25
가두계농장,몽탄면,양장리,한우,2025-11-25
평용축산,무안읍,평용리,한우,2025-11-25
영태농장,몽탄면,구산리,한우,2025-11-25
수성농장,몽탄면,다산리,한우,2025-11-25
정착농장,망운면,피서리,한우,2025-11-25
기호농장,해제면,용학리,한우,2025-11-25
샘골농장,일로읍,산정리,한우,2025-11-25
이농장,몽탄면,귀학리,한우,2025-11-25
소쿠리농장,청계면,도림리,한우,2025-11-25
대진축산,해제면,양매리,한우,2025-11-25
상길농장,일로읍,상신기,한우,2025-11-25
추석농장,일로읍,용산리,한우,2025-11-25
광선축산,일로읍,용산리,한우,2025-11-25
농원축산,망운면,피서리,한우,2025-11-25
옥환축산,청계면,상마리,한우,2025-11-25
장호축산,청계면,청계리,한우,2025-11-25
장부농장,청계면,청계리,한우,2025-11-25
압창축산,망운면,목동리,한우,2025-11-25
내동축산,운남면,내리 3,한우,2025-11-25
평월축산,무안읍,용월리,한우,2025-11-25
석포축사,해제면,임수리,한우,2025-11-25
시원축산,망운면,목서리,한우,2025-11-25
용일축산,망운면,목서리,한우,2025-11-25
신기축사,현경면,마산리,한우,2025-11-25
바다농장,해제면,창매리,한우,2025-11-25
청암농장,해제면,만풍리,한우,2025-11-25
병식축산,무안읍,용월리,한우,2025-11-25
성오축산,몽탄면,명산리,한우,2025-11-25
사천농장,몽탄면,사천리,한우,2025-11-25
구정축산,일로읍,월암리,한우,2025-11-25
덕수농장,일로읍,용산리,한우,2025-11-25
신안축산,무안읍,신학리,한우,2025-11-25
선돌축산,일로읍,감돈리,한우,2025-11-25
유명축산,몽탄면,봉산리,한우,2025-11-25
두무동축산,일로읍,구정리,한우,2025-11-25
구정축산,일로읍,구정리,한우,2025-11-25
대성농장,일로읍,죽산리,한우,2025-11-25
대성축산,청계면,송현리,한우,2025-11-25
와동축산,삼향읍,용포리,한우,2025-11-25
의산축산,일로읍,의산리,한우,2025-11-25
당두농장,현경면,동산리,한우,2025-11-25
현서축산,운남면,성내리,한우,2025-11-25
동산축사,현경면,동산리,한우,2025-11-25
형열축산,무안읍,매곡리,한우,2025-11-25
너루네축사,해제면,광산리,한우,2025-11-25
유달축산,청계면,남성리,한우,2025-11-25
순일농장,운남면,동암리,한우,2025-11-25
사창축산,몽탄면,사창리,한우,2025-11-25
태부축산,몽탄면,사창리,한우,2025-11-25
진봉농장,삼향면,지산리,돼지,2025-11-25
갈산농장,몽탄면,당호리,한우,2025-11-25
중흥축산,몽탄면,봉명리,한우,2025-11-25
해운양계,현경면,해운리,육계,2025-11-25
남도축산,현경면,평산리,한우,2025-11-25
용성축산,현경면,동산리,한우,2025-11-25
상일축산,몽탄면,양장리,한우,2025-11-25
림축산,삼향읍,맥포리,한우,2025-11-25
오현정축사,일로읍,죽산리,한우,2025-11-25
진우농장,운남면,동암리,한우,2025-11-25
남권축산,몽탄면,내리 6,한우,2025-11-25
대성축산,몽탄면,학산리,한우,2025-11-25
김성배축산,몽탄면,사창리,한우,2025-11-25
오뚜기축산,운남면,하묘리,한우,2025-11-25
정원농장,몽탄면,내리 6,한우,2025-11-25
정농장,몽탄면,귀학리,한우,2025-11-25
동연축산,망운면,송현리,한우,2025-11-25
진주축산,몽탄면,다산리,한우,2025-11-25
노정순축산,일로읍,월암리,한우,2025-11-25
지엽정축산,현경면,양학리,한우,2025-11-25
꽃회사농장,망운면,송현리,한우,2025-11-25
이배축산,해제면,양매리,한우,2025-11-25
승달농장,몽탄면,달산리,한우,2025-11-25
곤이준이축산,망운면,송현리,한우,2025-11-25
해철축산,몽탄면,내리 7,한우,2025-11-25
일석농장,무안읍,매곡리,한우,2025-11-25
우돈축산,몽탄면,사창리,한우,2025-11-25
정범축산,몽탄면,내리 8,한우,2025-11-25
바우축산,몽탄면,대치리,한우,2025-11-25
사천농장,몽탄면,사천리,한우,2025-11-25
관수축산,몽탄면,청용리,한우,2025-11-25
당호축산,몽탄면,당호리,한우,2025-11-25
병섭농장,일로읍,월암리,한우,2025-11-25
바우농장,청계면,남안리,한우,2025-11-25
민지농장,무안읍,고절리,한우,2025-11-25
우림농장,몽탄면,달산리,한우,2025-11-25
효심축산,현경면,용정리,한우,2025-11-25
원동축산,운남면,내리 8,한우,2025-11-25
광선이농장,몽탄면,사창리,한우,2025-11-25
구정농장,일로읍,구정리,한우,2025-11-25
거성농장,무안읍,매곡리,한우,2025-11-25
송우농장,청계면,남성리,한우,2025-11-25
청운축산,망운면,피서리,한우,2025-11-25
전원농장,현경면,해운리,한우,2025-11-25
승진농장,일로읍,지장리,한우,2025-11-25
해광축산,몽탄면,내리 3,한우,2025-11-25
일로축산,일로읍,의산리,한우,2025-11-25
의산축사,일로읍,의산리,한우,2025-11-25
수빈은성농장,몽탄면,달산리,한우,2025-11-25
하날농장,청계면,복길리,종계+산란계,2025-11-25
장현농장,청계면,청계리,육우,2025-11-25
우정축산,운남면,하묘리,육계,2025-11-25
미나축사,몽탄면,사창리,한우,2025-11-25
몽강축산,몽탄면,몽강리,한우,2025-11-25
학산축산,몽탄면,학산리,한우,2025-11-25
성욱목장,현경면,동산리,한우,2025-11-25
행운농장,삼향읍,맥포리,한우,2025-11-25
신기농장,청계면,서호리,한우,2025-11-25
영호농장,몽탄면,달산리,한우,2025-11-25
송현축사,청계면,복룡리,한우,2025-11-25
문정농장,몽탄면,사천리,한우,2025-11-25
우리농장,삼향읍,맥포리,한우,2025-11-25
장곡농장,삼향읍,지산리,한우,2025-11-25
청수농장,청계면,청수리,한우,2025-11-25
양학리태양축사,현경면,양학리,한우,2025-11-25
승민농장,현경면,송정리,한우,2025-11-25
다원농장,현경면,평산리,한우,2025-11-25
언창축산,해제면,유월리,한우,2025-11-25
고읍축산,해제면,신정리,한우,2025-11-25
한우지킴이정동일,일로읍,용산리,한우,2025-11-25
전주농장,현경면,동산리,한우,2025-11-25
형제농장,일로읍,망월리,한우,2025-11-25
덕영농장,몽탄면,내리 7,한우,2025-11-25
인동축산,일로읍,용산리,한우,2025-11-25
영민농장,운남면,동암리,한우,2025-11-25
정식 농장,망운면,피서리,오리,2025-11-25
태양농장,현경면,평산리,한우,2025-11-25
마루축산,현경면,현화리,한우,2025-11-25
중사지농장,무안읍,교촌리,한우,2025-11-25
승준축산,운남면,동암리,한우,2025-11-25
부부농장,일로읍,의산리,육계,2025-11-25
소원농장,무안읍,매곡리,한우,2025-11-25
금성농장,일로읍,감돈리,오리,2025-11-25
가온농장,일로읍,감돈리,오리,2025-11-25
무동농장,해제면,양매리,한우,2025-11-25
은지축산,청계면,도대리,한우,2025-11-25
소진농장,청계면,남성리,한우,2025-11-25
너물축산,현경면,가입리,한우,2025-11-25
행복축산,몽탄면,양장리,한우,2025-11-25
상화농장,청계면,태봉리,한우,2025-11-25
용계축산,삼향읍,용포리,한우,2025-11-25
양매축산,해제면,양매리,한우,2025-11-25
소홍원농장,운남면,동암리,한우,2025-11-25
승리농장,몽탄면,약곡리,한우,2025-11-25
도성축산,해제면,용학리,한우,2025-11-25
푸른농장,운남면,성내리,육계,2025-11-25
월명촌농장,현경면,해운리,한우,2025-11-25
화실농장,무안읍,신학리,한우,2025-11-25
어민농장,청계면,복길리,육계,2025-11-25
쇠똥구리 2농장,몽탄면,사천리,한우,2025-11-25
탁이농장,일로읍,월암리,한우,2025-11-25
현이네농장,현경면,동산리,한우,2025-11-25
도리포축산,해제면,송석리,한우,2025-11-25
청송농장,현경면,현화리,한우,2025-11-25
용산축사,일로읍,용산리,한우,2025-11-25
진학농장,일로읍,죽산리,한우,2025-11-25
복룡목장,일로읍,복룡리,한우,2025-11-25
남경농장,현경면,평산리,한우,2025-11-25
달건너농장,운남면,연리 5,한우,2025-11-25
준호농장,몽탄면,귀학리,한우,2025-11-25
양지촌축산,몽탄면,양장리,한우,2025-11-25
국민축산,해제면,천장리,오리,2025-11-25
훈호농장,청계면,강정리,한우,2025-11-25
유수정농장,현경면,평산리,한우,2025-11-25
봉담농장,망운면,피서리,한우,2025-11-25
광석농장,해제면,송석리,한우,2025-11-25
청마농장,현경면,마산리,한우,2025-11-25
옛고을농장,현경면,평산리,돼지,2025-11-25
세은농장,현경면,마산리,한우,2025-11-25
성실농장,일로읍,감돈리,한우,2025-11-25
재진농장,몽탄면,달산리,한우,2025-11-25
에덴농장,청계면,복길리,한우,2025-11-25
춘배농장,현경면,평산리,한우,2025-11-25
터프카우농장,운남면,성내리,한우,2025-11-25
형축산,운남면,동암리,한우,2025-11-25
밀양농장,몽탄면,명산리,한우,2025-11-25
유정축산,해제면,천장리,한우,2025-11-25
복룡축산,청계면,복룡리,한우,2025-11-25
우리농장,몽탄면,달산리,한우,2025-11-25
건이농장,청계면,태봉리,한우,2025-11-25
여울농장,청계면,사마리,육계,2025-11-25
태현농장,삼향읍,지산리,한우,2025-11-25
한우나라,망운면,목서리,한우,2025-11-25
영무농장,청계면,송현리,한우,2025-11-25
봉축산,일로읍,용산리,한우,2025-11-25
영성농장,청계면,청계리,한우,2025-11-25
진섬농장,일로읍,망월리,한우,2025-11-25
한울농장,일로읍,망월리,한우,2025-11-25
용일축산,무안읍,용월리,한우,2025-11-25
주형농장,일로읍,의산리,한우,2025-11-25
에덴농장,삼향읍,지산리,한우,2025-11-25
으뜸농원,해제면,만풍리,육계,2025-11-25
농업회사법인(주)행복한동행,운남면,성내리,돼지,2025-11-25
근수농장,현경면,용정리,한우,2025-11-25
마실농장,해제면,용학리,한우,2025-11-25
태영농장,일로읍,의산리,한우,2025-11-25
다산농장,몽탄면,다산리,한우,2025-11-25
은혜농장,일로읍,광암리,육용오리,2025-11-25
까치농장,운남면,연리 1,한우,2025-11-25
신광축산,해제면,천장리,한우,2025-11-25
사랑농장,일로읍,광암리,한우,2025-11-25
홍문농장,일로읍,감돈리,한우,2025-11-25
피서농장,망운면,피서리,한우,2025-11-25
참나무골농장,해제면,만풍리,한우,2025-11-25
백련농장,청계면,복길리,육계,2025-11-25
베베농장,삼향읍,맥포리,한우,2025-11-25
석영농장,청계면,복룡리,한우,2025-11-25
푸른농장,몽탄면,사창리,한우,2025-11-25
동산농장,현경면,평산리,한우,2025-11-25
차뫼농장,몽탄면,다산리,한우,2025-11-25
남안농장,청계면,남안리,육계,2025-11-25
한우사랑,해제면,산길리,한우,2025-11-25
진은농장,일로읍,복룡리,오리,2025-11-25
샛별농장,삼향읍,맥포리,육계,2025-11-25
양또농장,망운면,피서리,오리,2025-11-25
서영농장,망운면,피서리,한우,2025-11-25
분무골농장,청계면,상마리,한우,2025-11-25
동산축산,해제면,용학리,한우,2025-11-25
도율농장,운남면,동암리,종계+산란계,2025-11-25
자유한우농장영농조합법인,몽탄면,달산리,한우,2025-11-25
평산오리농장,현경면,평산리,오리,2025-11-25
아시레농장,해제면,석룡리,산양,2025-11-25
승미축사,운남면,성내리,한우,2025-11-25
인홍축산,현경면,평산리,한우,2025-11-25
남매한우농장,청계면,태봉리,한우,2025-11-25
진수농장,몽탄면,달산리,한우,2025-11-25
행복농장(김현옥),무안읍,신학리,한우,2025-11-25
무안농장,현경면,평산리,육계,2025-11-25
유화꼬꼬농장,무안읍,성암리,육계,2025-11-25
복산위탁합명회사,일로읍,복룡리,한우,2025-11-25
상순농장,몽탄면,구산리,한우,2025-11-25
복길 흑염소 농장,청계면,복길리,염소,2025-11-25
창우농장,해제면,유월리,한우,2025-11-25
시규농장,해제면,만풍리,한우,2025-11-25
하늘농장,망운면,목서리,한우,2025-11-25
한농장,망운면,목동리,한우,2025-11-25
두레농장,몽탄면,달산리,한우,2025-11-25
서정길농장,일로읍,감돈리,한우,2025-11-25
죽산농장,일로읍,죽산리,사슴,2025-11-25
유정농장,일로읍,산정리,한우,2025-11-25
장근농장,일로읍,산정리,한우,2025-11-25
태중농장,일로읍,광암리,한우,2025-11-25
수천농장,몽탄면,다산리,한우,2025-11-25
상빈농장,몽탄면,양장리,한우,2025-11-25
지구촌농장,몽탄면,달산리,한우,2025-11-25
종복농장,몽탄면,달산리,한우,2025-11-25
용남농장,삼향읍,지산리,한우,2025-11-25
우리축산,무안읍,신학리,한우,2025-11-25
맥포농장,삼향읍,맥포리,한우,2025-11-25
망월축사,일로읍,망월리,한우,2025-11-25
행순농장,일로읍,죽산리,한우,2025-11-25
춘식농장,일로읍,감돈리,한우,2025-11-25
용옥축산,해제면,용학리,한우,2025-11-25
철암농장,일로읍,감돈리,한우,2025-11-25
정태농장,일로읍,감돈리,한우,2025-11-25
정호축산,일로읍,감돈리,한우,2025-11-25
선축산,일로읍,감돈리,한우,2025-11-25
연임농장`,일로읍,감돈리,한우,2025-11-25
명화축산,몽탄면,구산리,한우,2025-11-25
정기농장,몽탄면,몽강리,한우,2025-11-25
푸른친환경영농조합법인,무안읍,성동리,한우,2025-11-25
정문농장,일로읍,월암리,한우,2025-11-25
태영농장,일로읍,죽산리,산양,2025-11-25
정애숙농장,일로읍,산정리,한우,2025-11-25
백제농장,삼향읍,맥포리,한우,2025-11-25
동부물산,무안읍,용월리,한우,2025-11-25
한무축산,무안읍,용월리,한우,2025-11-25
동규축산,무안읍,성동리,한우,2025-11-25
두안축산,무안읍,성암리,한우,2025-11-25
귀재농장,삼향읍,남악리,한우,2025-11-25
현이네농장,무안읍,고절리,한우,2025-11-25
박귀재농장,무안읍,매곡리,한우,2025-11-25
훈상농방,무안읍,용월리,한우,2025-11-25
평월농장,무안읍,용월리,한우,2025-11-25
미숙농장,무안읍,교촌리,한우,2025-11-25
행남농장,무안읍,성동리,한우,2025-11-25
문석농장,무안읍,매곡리,한우,2025-11-25
명규농장,무안읍,매곡리,한우,2025-11-25
송웅농장,일로읍,감돈리,한우,2025-11-25
원창농장,일로읍,월암리,한우,2025-11-25
준열농장,일로읍,감돈리,한우,2025-11-25
숙경농장,일로읍,감돈리,한우,2025-11-25
금영농장,일로읍,복룡리,한우,2025-11-25
복현농장,일로읍,용산리,한우,2025-11-25
유한택,일로읍,의산리,한우,2025-11-25
오현농장,일로읍,의산리,한우,2025-11-25
병일농장,일로읍,의산리,한우,2025-11-25
영조농장,일로읍,구정리,한우,2025-11-25
평호농장,일로읍,의산리,한우,2025-11-25
병구농장,일로읍,의산리,한우,2025-11-25
형근농장,일로읍,복룡리,한우,2025-11-25
성춘농장,일로읍,감돈리,한우,2025-11-25
회권농장,일로읍,구정리,한우,2025-11-25
창일농장,일로읍,의산리,한우,2025-11-25
안중농장,일로읍,구정리,한우,2025-11-25
재천농장,일로읍,감돈리,한우,2025-11-25
동네농장,일로읍,의산리,한우,2025-11-25
익균농장,일로읍,월암리,한우,2025-11-25
광수농장,삼향읍,용포리,한우,2025-11-25
이경자,삼향읍,유교리,한우,2025-11-25
성진농장,망운면,목서리,한우,2025-11-25
길순농장,운남면,동암리,한우,2025-11-25
만리농장,해제면,천장리,한우,2025-11-25
찬록농장,해제면,만풍리,한우,2025-11-25
채진농장,해제면,유월리,한우,2025-11-25
재길축산,현경면,마산리,한우,2025-11-25
성일농장,현경면,동산리,한우,2025-11-25
호농장,현경면,가입리,한우,2025-11-25
명심농장,현경면,수양리,한우,2025-11-25
은희농장,현경면,해운리,한우,2025-11-25
재관농장,현경면,현화리,한우,2025-11-25
상임농장,현경면,수양리,한우,2025-11-25
해숙농장,현경면,동산리,한우,2025-11-25
춘이농장,현경면,평산리,한우,2025-11-25
중규농장,현경면,오류리,한우,2025-11-25
이훈농장,현경면,마산리,한우,2025-11-25
진국농장,현경면,양학리,한우,2025-11-25
영복농장,현경면,외반리,한우,2025-11-25
삼호농장,현경면,외반리,한우,2025-11-25
오남농장,현경면,마산리,한우,2025-11-25
영석축사,몽탄면,사창리,한우,2025-11-25
종각농장,몽탄면,이산리,한우,2025-11-25
형철농장,몽탄면,사창리,한우,2025-11-25
철훈농장,몽탄면,다산리,한우,2025-11-25
기순농장,몽탄면,사천리,한우,2025-11-25
평환농장,몽탄면,귀학리,한우,2025-11-25
영수농장,몽탄면,약곡리,한우,2025-11-25
영환농장,몽탄면,대치리,한우,2025-11-25
진규농장,몽탄면,약곡리,한우,2025-11-25
경석농장,몽탄면,봉명리,한우,2025-11-25
영옥농장,몽탄면,달산리,한우,2025-11-25
만석농장,몽탄면,사천리,한우,2025-11-25
복희농장,몽탄면,당호리,한우,2025-11-25
연홍농장,몽탄면,당호리,한우,2025-11-25
남수농장,몽탄면,내리 8,한우,2025-11-25
홍기농장,몽탄면,사천리,한우,2025-11-25
성안농장,몽탄면,청용리,한우,2025-11-25
기택농장,몽탄면,명산리,한우,2025-11-25
한주농장,몽탄면,사창리,한우,2025-11-25
영란농장,청계면,월선리,한우,2025-11-25
남석농장,일로읍,지장리,한우,2025-11-25
만석농장,해제면,만풍리,한우,2025-11-25
동훈농장,해제면,광산리,한우,2025-11-25
상기축산,해제면,송석리,한우,2025-11-25
신월농장,해제면,양월리,한우,2025-11-25
장억농장,해제면,천장리,한우,2025-11-25
용문농장,해제면,덕산리,한우,2025-11-25
성준농장,해제면,용학리,한우,2025-11-25
남옥농장,해제면,덕산리,한우,2025-11-25
여순농장,해제면,신정리,한우,2025-11-25
상용농장,해제면,산길리,한우,2025-11-25
광식농장,망운면,목서리,한우,2025-11-25
장남농장,망운면,목동리,한우,2025-11-25
용민농장,망운면,목서리,한우,2025-11-25
성흠농장,망운면,목서리,한우,2025-11-25
진규농장,망운면,목서리,한우,2025-11-25
윤자농장,망운면,피서리,한우,2025-11-25
이철농장,현경면,수양리,한우,2025-11-25
호철농장,현경면,해운리,한우,2025-11-25
상모농장,현경면,해운리,한우,2025-11-25
기봉농장,현경면,현화리,한우,2025-11-25
용식농장,현경면,동산리,한우,2025-11-25
국환농장,현경면,수양리,한우,2025-11-25
참좋은농장,운남면,연리 3,한우,2025-11-25
우보농장,운남면,연리 2,한우,2025-11-25
기쁨이네농장,일로읍,복룡리,염소,2025-11-25
용모농장,망운면,송현리,한우,2025-11-25
최민영,현경면,해운리,한우,2025-11-25
정민농장,삼향읍,용포리,한우,2025-11-25
산옥농장,삼향읍,맥포리,한우,2025-11-25
신석농장,삼향읍,용포리,한우,2025-11-25
동영농장,삼향읍,왕산리,한우,2025-11-25
삼일농장,삼향읍,용포리,한우,2025-11-25
해인농장,삼향읍,지산리,한우,2025-11-25
진수농장,삼향읍,지산리,한우,2025-11-25
순정농장,삼향읍,지산리,한우,2025-11-25
정순농장,삼향읍,맥포리,한우,2025-11-25
병만농장,삼향읍,용포리,한우,2025-11-25
경삼농장,삼향읍,용포리,한우,2025-11-25
호근농장,삼향읍,맥포리,한우,2025-11-25
순학농장,몽탄면,사천리,한우,2025-11-25
준태농장,일로읍,지장리,한우,2025-11-25
삼례농장,일로읍,지장리,한우,2025-11-25
상훈농장,청계면,청천리,한우,2025-11-25
종업농장,청계면,남안리,한우,2025-11-25
경선농장,청계면,태봉리,한우,2025-11-25
경호농장,청계면,청수리,한우,2025-11-25
유빈농장,청계면,청수리,한우,2025-11-25
경남농장,청계면,청수리,한우,2025-11-25
규홍농장,청계면,상마리,한우,2025-11-25
종철농장,청계면,구로리,한우,2025-11-25
석광농장,현경면,가입리,한우,2025-11-25
순만농장,청계면,월선리,한우,2025-11-25
남규농장,청계면,월선리,한우,2025-11-25
화설농장,무안읍,신학리,육계,2025-11-25
상보농장,삼향읍,맥포리,한우,2025-11-25
청금축산,일로읍,지장리,오리,2025-11-25
상호농장,현경면,현화리,한우,2025-11-25
다올농축산,무안읍,신학리,한우,2025-11-25
유한회사 승지,현경면,용정리,돼지,2025-11-25
동현농장,일로읍,용산리,한우,2025-11-25
창구농장,운남면,동암리,육계,2025-11-25
총각농장,청계면,서호리,한우,2025-11-25
성훈농장,청계면,상마리,한우,2025-11-25
진원농장,망운면,피서리,한우,2025-11-25
희승농장,해제면,광산리,산양,2025-11-25
이화축산,운남면,내리 3,산양,2025-11-25
다온농장,일로읍,지장리,육계,2025-11-25
구남농장,청계면,남성리,산양,2025-11-25
은광 흑염소,삼향읍,왕산리,산양,2025-11-25
남석농장,현경면,동산리,사슴,2025-11-25
시골농장,현경면,평산리,산양,2025-11-25
GOAT농장,무안읍,고절리,염소,2025-11-25
수영농장,현경면,용정리,염소,2025-11-25
한밀알농장,일로읍,지장리,염소,2025-11-25
은평농장,청계면,송현리,한우,2025-11-25
농업회사법인 유한회사 진성축산(대표 : 박진성),현경면,오류리,돼지,2025-11-25
성아영농조합법인,청계면,서호리,돼지,2025-11-25
정완농장,몽탄면,달산리,한우,2025-11-25
대진농장,청계면,남성리,염소,2025-11-25
운남신개발흑염소농장,운남면,성내리,염소,2025-11-25
성오축산영농조합법인,일로읍,복룡리,돼지,2025-11-25
호야농장,청계면,서호리,염소,2025-11-25
진사골 흑염소,일로읍,광암리,염소,2025-11-25
한솔 흑염소,현경면,해운리,염소,2025-11-25
야무진 영농조합법인 한우농장,해제면,광산리,한우,2025-11-25
일로성실축산,일로읍,복룡리,돼지,2025-11-25
사또테마농장,일로읍,구정리,한우,2025-11-25
양학농장B,현경면,양학리,한우,2025-11-25
성희농장,청계면,서호리,한우,2025-11-25
용헌농장,청계면,복룡리,염소,2025-11-25
대명농장,무안읍,교촌리,사슴,2025-11-25
농업회사법인(주)승언팜스,무안읍,성암리,돼지,2025-11-25
베스트농장,몽탄면,다산리,한우,2025-11-25
승달목장,몽탄면,달산리,한우,2025-11-25
쾌청농장,몽탄면,당호리,육계,2025-11-25
진농장,현경면,송정리,한우,2025-11-25
오공주농장,청계면,청계리,한우,2025-11-25
승리농장,몽탄면,약곡리,한우,2025-11-25
승환농장,망운면,목서리,염소,2025-11-25
우리축산,무안읍,신학리,한우,2025-11-25
명자농장,몽탄면,명산리,한우,2025-11-25
베델염소농장,청계면,복길리,염소,2025-11-25
두모농장,망운면,송현리,염소,2025-11-25
두모농장,망운면,송현리,사슴,2025-11-25
새순농장,무안읍,신학리,한우,2025-11-25
윤영농장,몽탄면,사천리,한우,2025-11-25
옥농장,몽탄면,사창리,한우,2025-11-25
행복농장,해제면,만풍리,염소,2025-11-25
대성농장,무안읍,고절리,한우,2025-11-25
월호축산,삼향읍,지산리,한우,2025-11-25
장곡농장,삼향읍,지산리,한우,2025-11-25
