사업장명칭,주사육업종,사육두수,사업장소재지(도로명),사업장소재지(지번),전화,데이터기준일
한석농장,한우,24,,전라북도 순창군 구림면 구곡리 695번지  ,063-652-8612,2022-11-10
장군봉농장원,한우,25,,전라북도 순창군 쌍치면 탕곡리 185번지 1호 185-6번지 ,063-655-7640,2022-11-10
원식농장,한우,45,,전라북도 순창군 쌍치면 시산리 368번지 368-2번지 ,063-652-1606,2022-11-10
샘물농장,한우,60,,전라북도 순창군 팔덕면 산동리 759번지  ,063-652-5280,2022-11-10
순정목장,한우,73,,전라북도 순창군 금과면 방성리 597번지 1호  ,,2022-11-10
늘푸른 농장,한우,44,,전라북도 순창군 풍산면 삼촌리 60번지 1호 60-4번지 ,,2022-11-10
선순,한우,45,전라북도 순창군 순창읍 가잠로 112-34,전라북도 순창군 순창읍 가남리 311번지  ,,2022-11-10
진엽농장,한우,18,,전라북도 순창군 구림면 월정리 7번지 외 3필지 ,063-652-9014,2022-11-10
모산목장,한우,35,전라북도 순창군 풍산면 지내길 22-3,전라북도 순창군 풍산면 한내리 887번지 2호  ,,2022-11-10
금환농장,한우,20,,전라북도 순창군 복흥면 주평리 256번지  ,,2022-11-10
서울농장,종계/산란계,75000,전라북도 순창군 동계면 충효로 600-10,전라북도 순창군 동계면 신흥리 530번지  ,,2022-11-10
순이,한우,65,,"전라북도 순창군 순창읍 복실리 38번지 10호 38-11번지, 38-12번지 ",063-652-6517,2022-11-10
백아농장,한우,101,전라북도 순창군 순창읍 곡순로 2965-20,전라북도 순창군 순창읍 신남리 644번지  ,,2022-11-10
동곤농장,한우,22,전라북도 순창군 인계면 노동로 377-78,전라북도 순창군 인계면 갑동리 277번지 1호  ,,2022-11-10
언빈,한우,16,,전라북도 순창군 복흥면 대방리 828번지 2호  ,063-652-8026,2022-11-10
영은,한우,10,,전라북도 순창군 복흥면 서마리 462번지  ,,2022-11-10
동일농장,한우,200,전라북도 순창군 금과면 금풍로 87-35,전라북도 순창군 금과면 방축리 1171번지  ,,2022-11-10
길동,한우,17,,전라북도 순창군 구림면 운남리 381번지  ,063-652-8890,2022-11-10
한우사육,한우,6,전라북도 순창군 순창읍 곡순로 2999-56,전라북도 순창군 순창읍 신남리 1122번지  ,063-653-5451,2022-11-10
태은농장,한우,70,전라북도 순창군 복흥면 산정길 34-70,전라북도 순창군 복흥면 주평리 510번지  ,,2022-11-10
송정농장,한우,20,전라북도 순창군 복흥면 산정길 34-70,"전라북도 순창군 복흥면 주평리 510번지 , 511 ",,2022-11-10
양순자,한우,10,,전라북도 순창군 구림면 운남리 산 209번지 1호  ,063-652-8828,2022-11-10
효자농장,육계,70000,전라북도 순창군 팔덕면 팔덕로 78,전라북도 순창군 팔덕면 장안리 산 43번지 16호  ,,2022-11-10
참샘골,한우,60,전라북도 순창군 팔덕면 용두길 45-46,전라북도 순창군 팔덕면 덕천리 884번지 884-2 ,063-652-5669,2022-11-10
광암농장,한우,20,,전라북도 순창군 팔덕면 광암리 331번지  ,,2022-11-10
수만,한우,64,,"전라북도 순창군 팔덕면 월곡리 236번지 1호 234번지, 237번지 ",,2022-11-10
두수,한우,12,,전라북도 순창군 팔덕면 산동리 518번지  ,063-652-3903,2022-11-10
성영,한우,15,,전라북도 순창군 팔덕면 구룡리 5번지  ,,2022-11-10
용성농장,한우,15,전라북도 순창군 인계면 둔기길 28,전라북도 순창군 인계면 세룡리 309번지 3호  ,063-652-7285,2022-11-10
우들농장,한우,32,전라북도 순창군 구림면 율리길 89,전라북도 순창군 구림면 율북리 845번지  ,063-652-8511,2022-11-10
천양농장,한우,10,,전라북도 순창군 구림면 율북리 749번지  ,,2022-11-10
길권,한우,11,전라북도 순창군 구림면 남정2길 34-4,전라북도 순창군 구림면 운남리 818번지  ,,2022-11-10
현호,한우,9,전라북도 순창군 구림면 산내길 76-47,전라북도 순창군 구림면 안정리 457번지  ,063-652-8540,2022-11-10
중근,한우,5,전라북도 순창군 구림면 봉곡1길 43,전라북도 순창군 구림면 구암리 363번지  ,063-652-8531,2022-11-10
용규,한우,11,,전라북도 순창군 구림면 구암리 403번지 1호  ,063-652-8850,2022-11-10
축사,한우,5,,전라북도 순창군 구림면 금창리 481번지  ,063-652-9360,2022-11-10
현주,한우,15,,전라북도 순창군 구림면 금창리 170번지  ,063-652-8525,2022-11-10
동기,한우,32,,전라북도 순창군 구림면 금창리 229번지 외 1필지(230) ,,2022-11-10
명현,한우,10,,전라북도 순창군 구림면 율북리 670번지  ,063-653-6410,2022-11-10
복님,한우,5,전라북도 순창군 구림면 통안길 24-32,전라북도 순창군 구림면 율북리 125번지  ,063-652-9082,2022-11-10
종이,한우,4,,전라북도 순창군 구림면 율북리 119번지 1호  ,063-653-4076,2022-11-10
경원,한우,6,전라북도 순창군 구림면 봉곡2길 25-4,전라북도 순창군 구림면 구암리 327번지  ,063-652-8794,2022-11-10
상수,한우,8,전라북도 순창군 구림면 봉곡2길 24,전라북도 순창군 구림면 구암리 246번지  ,063-652-8549,2022-11-10
남수,한우,10,,전라북도 순창군 구림면 구곡리 570번지 1호  ,063-652-8621,2022-11-10
남순,한우,8,,전라북도 순창군 구림면 운북리 424번지 6호  ,063-652-9104,2022-11-10
종율,한우,5,,전라북도 순창군 구림면 운북리 360번지  ,,2022-11-10
한우,한우,25,,전라북도 순창군 구림면 운남리 915번지 2호  ,063-652-8885,2022-11-10
팔용,한우,20,,전라북도 순창군 구림면 운남리 915번지 3호 1238-1 ,063-652-9177,2022-11-10
경훈,한우,30,전라북도 순창군 구림면 구인로 54-27,전라북도 순창군 구림면 운남리 182번지  ,,2022-11-10
종문,한우,15,,전라북도 순창군 구림면 율북리 1125번지  ,063-653-9035,2022-11-10
종택,한우,15,,전라북도 순창군 구림면 율북리 1126번지  ,063-652-8928,2022-11-10
중배,한우,24,,전라북도 순창군 구림면 율북리 284번지  ,063-652-8521,2022-11-10
종안,한우,4,,전라북도 순창군 구림면 운남리 521번지  ,063-652-8430,2022-11-10
병현농장,한우,4,,전라북도 순창군 구림면 방화리 970번지  ,,2022-11-10
용정,한우,10,,전라북도 순창군 구림면 방화리 824번지  ,063-653-8915,2022-11-10
서운,한우,14,,전라북도 순창군 구림면 방화리 593번지 1호  ,063-652-9029,2022-11-10
낙인,한우,7,,전라북도 순창군 구림면 운남리 703번지 3호  ,063-652-8501,2022-11-10
인철,한우,10,전라북도 순창군 구림면 구림로 1206-7,전라북도 순창군 구림면 금창리 491번지  ,063-652-9079,2022-11-10
병수,한우,16,전라북도 순창군 구림면 구림로 1206-10,전라북도 순창군 구림면 금창리 490번지  ,063-652-8976,2022-11-10
창용,한우,15,,전라북도 순창군 팔덕면 산동리 587번지 2호  ,063-652-5383,2022-11-10
영석,한우,15,전라북도 순창군 구림면 성곡로 1-32,전라북도 순창군 구림면 구암리 527번지 1호  ,063-652-8918,2022-11-10
공현,한우,15,,"전라북도 순창군 구림면 율북리 816번지 816-1, 817-1, 818-8번지 ",063-653-4601,2022-11-10
선엽,한우,10,,전라북도 순창군 구림면 방화리 602번지 1호  ,063-652-9226,2022-11-10
월명농장,한우,60,전라북도 순창군 풍산면 월명길 63-15,전라북도 순창군 풍산면 반월리 362번지  ,,2022-11-10
으뜸농장,오리,20000,,"전라북도 순창군 인계면 쌍암리 37-4,탑리602,398-1,398-2 ",063-652-7132,2022-11-10
1호농장,한우,21,,전라북도 순창군 금과면 장장리 111번지 6호  ,063-652-6547,2022-11-10
최종훈,한우,5,,전라북도 순창군 구림면 자양리 562번지  ,063-652-8705,2022-11-10
재호,한우,6,,전라북도 순창군 구림면 자양리 455번지  ,063-653-7903,2022-11-10
창열,한우,70,전라북도 순창군 구림면 구림로 318-30,전라북도 순창군 구림면 운남리 1455번지  ,063-652-8149,2022-11-10
태식,한우,26,,전라북도 순창군 구림면 자양리 245번지  ,063-653-1893,2022-11-10
고재권,한우,12,전라북도 순창군 구림면 방화로 84-29,"전라북도 순창군 구림면 방화리 20번지 2호 , 산222번지 ",,2022-11-10
병호,염소,10,전라북도 순창군 구림면 밤재로 66-34,전라북도 순창군 구림면 월정리 287번지  ,,2022-11-10
현주,한우,19,전라북도 순창군 구림면 오룡길 37-16,전라북도 순창군 구림면 성곡리 263번지  ,063-653-1829,2022-11-10
영섭,한우,9,전라북도 순창군 구림면 오룡길 5,전라북도 순창군 구림면 성곡리 226번지  ,063-652-8834,2022-11-10
석전농장,한우,12,,전라북도 순창군 동계면 어치리 291번지  ,063-652-4500,2022-11-10
돌무덤농장,한우,18,,전라북도 순창군 동계면 어치리 282번지  ,063-653-1066,2022-11-10
보람농장,한우,20,전라북도 순창군 금과면 담순로 568-14,전라북도 순창군 금과면 방축리 994번지 1호  ,063-652-6971,2022-11-10
청송농장,한우,13,전라북도 순창군 금과면 내동1길 10-6,전라북도 순창군 금과면 내동리 504번지 3호  ,063-652-6097,2022-11-10
광주목장,한우,119,전라북도 순창군 금과면 담순로 745-38,전라북도 순창군 금과면 고례리 579번지  ,063-653-2366,2022-11-10
시온농장,한우,50,전라북도 순창군 인계면 동촌길 42-7,전라북도 순창군 인계면 노동리 67번지 1호  ,063-652-0556,2022-11-10
서호농장,한우,9,전라북도 순창군 동계면 서호길 39-4,전라북도 순창군 동계면 서호리 363번지 1호  ,063-652-4437,2022-11-10
풍이농장,한우,25,전라북도 순창군 유등면 유등로 210-15,전라북도 순창군 유등면 건곡리 1391번지 9호  ,,2022-11-10
영진농장,한우,17,,전라북도 순창군 유등면 건곡리 317번지 1호  ,,2022-11-10
옹달샘농장,한우,20,,전라북도 순창군 구림면 구산리 338번지 1호 339번지 ,063-652-9023,2022-11-10
성규농장,한우,11,,전라북도 순창군 구림면 화암리 1508번지 1509 ,,2022-11-10
풍호,한우,13,전라북도 순창군 구림면 오정길 11,전라북도 순창군 구림면 월정리 350번지  ,063-652-8950,2022-11-10
영기,한우,13,,전라북도 순창군 구림면 방화리 474번지 2호  ,,2022-11-10
용만,한우,20,,전라북도 순창군 구림면 월정리 370번지 1호  ,,2022-11-10
동은,한우,15,전라북도 순창군 팔덕면 광덕로 999,전라북도 순창군 팔덕면 월곡리 76번지 1호  ,,2022-11-10
병진,한우,17,전라북도 순창군 적성면 내월길 59-22,전라북도 순창군 적성면 내월리 572번지  ,063-653-1755,2022-11-10
덕림영농조합법인,한우,30,전라북도 순창군 구림면 방화로 112,전라북도 순창군 구림면 방화리 979번지  ,063-652-5512,2022-11-10
영분,한우,26,전라북도 순창군 구림면 운항길 143,전라북도 순창군 구림면 운북리 34번지 1호  ,,2022-11-10
도희농장,한우,170,,"전라북도 순창군 유등면 건곡리 1244,1245번지 ",063-653-3222,2022-11-10
건곡농장,한우,23,전라북도 순창군 유등면 유등로 156,전라북도 순창군 유등면 건곡리 1030번지  ,,2022-11-10
망월,한우,2,전라북도 순창군 구림면 연산2길 30,전라북도 순창군 구림면 운남리 339번지 1호  ,,2022-11-10
홍기네농장,한우,25,전라북도 순창군 구림면 연산2길 26-84,전라북도 순창군 구림면 성곡리 589번지  ,,2022-11-10
덕산농장,한우,19,,전라북도 순창군 동계면 구미리 487번지  ,063-652-4370,2022-11-10
주원농장,한우,28,전라북도 순창군 금과면 담순로 614-27,전라북도 순창군 금과면 방축리 1292번지  ,063-652-5869,2022-11-10
한성농장,한우,40,,전라북도 순창군 인계면 노동리 418번지 3호  ,063-652-0640,2022-11-10
연서농장,한우,20,,전라북도 순창군 복흥면 석보리 323번지  ,,2022-11-10
복남농장,젖소,40,전라북도 순창군 적성면 충효로 146-15,전라북도 순창군 적성면 괴정리 884번지 3호  ,063-652-4908,2022-11-10
경은농장,한우,24,,전라북도 순창군 복흥면 산정리 624번지  ,,2022-11-10
재식농장,한우,25,,전라북도 순창군 복흥면 정산리 728번지 10호  ,063-652-7425,2022-11-10
춘영농장,한우,10,,전라북도 순창군 복흥면 서마리 843번지  ,063-652-9902,2022-11-10
세은농장,염소,100,전라북도 순창군 동계면 주월2길 53-7,전라북도 순창군 동계면 주월리 73번지  ,063-652-4827,2022-11-10
도희농장,한우,10,,전라북도 순창군 구림면 운남리 226번지  ,063-652-8452,2022-11-10
길송농장,한우,15,전라북도 순창군 복흥면 가인로 445,전라북도 순창군 복흥면 답동리 622번지  ,063-653-7932,2022-11-10
복동농장,한우,25,전라북도 순창군 구림면 회룡길 16-12,전라북도 순창군 구림면 성곡리 388번지  ,063-652-0970,2022-11-10
아미산농장,육계,65000,전라북도 순창군 순창읍 아미로 635-29,    ,,2022-11-10
해인농장,오리,25000,"전라북도 순창군 순창읍 옥천로 128-29, 외 4필지","전라북도 순창군 순창읍 복실리 40번지 12호 , 40-13, 41-17, 41-19, 외1필지 ",,2022-11-10
아리농장,육계,54000,전라북도 순창군 순창읍 곡순로 3122-22,전라북도 순창군 순창읍 신남리 944번지  ,063-653-0979,2022-11-10
오교우사,한우,26,전라북도 순창군 유등면 학오길 197-15,전라북도 순창군 유등면 오교리 1352번지 1호  ,063-652-0405,2022-11-10
강현농장,한우,20,,전라북도 순창군 인계면 노동리 418번지 6호  ,,2022-11-10
도산오장,한우,10,,전라북도 순창군 인계면 도룡리 1070번지 외 1필지 ,063-652-7023,2022-11-10
둔기목장,한우,20,,전라북도 순창군 인계면 세룡리 181번지  ,063-652-7237,2022-11-10
백산농장,한우,35,전라북도 순창군 순창읍 백산길 35-25,전라북도 순창군 순창읍 백산리 448번지  ,063-653-3006,2022-11-10
한결농장,한우,43,,전라북도 순창군 유등면 건곡리 716번지 6호 716-7 ,063-653-7342,2022-11-10
인섭농장,한우,13,,전라북도 순창군 팔덕면 서흥리 172번지 외 1필지 ,063-652-5146,2022-11-10
매우축산,한우,9,,전라북도 순창군 금과면 매우리 490번지 1호  ,063-652-6135,2022-11-10
중앙농장,한우,3,전라북도 순창군 금과면 매우길 26,전라북도 순창군 금과면 매우리 335번지  ,063-652-6466,2022-11-10
윤농장,한우,5,,전라북도 순창군 금과면 매우리 174번지 3호  ,,2022-11-10
내동농장,한우,9,,전라북도 순창군 금과면 내동리 234번지 9호  ,063-653-5874,2022-11-10
매미터,한우,0,전라북도 순창군 적성면 임동길 98-7,전라북도 순창군 적성면 운림리 531번지  ,063-653-6909,2022-11-10
영만농장,한우,22,전라북도 순창군 적성면 괴정길 88,전라북도 순창군 적성면 괴정리 1218번지 2호  ,063-652-4661,2022-11-10
상섭농장,한우,21,전라북도 순창군 풍산면 풍산로 415-1,전라북도 순창군 풍산면 한내리 129번지 1호  ,063-653-8679,2022-11-10
형섭농장,한우,8,,전라북도 순창군 동계면 이동리 365번지  ,063-652-4545,2022-11-10
이동농장,한우,33,전라북도 순창군 동계면 이동길 49-127,전라북도 순창군 동계면 이동리 941번지  ,,2022-11-10
김상열,한우,5,전라북도 순창군 금과면 청용1길 15-8,전라북도 순창군 금과면 청용리 482번지  ,063-652-6538,2022-11-10
강섭농장,한우,16,,전라북도 순창군 금과면 발산리 124번지  ,063-652-5610,2022-11-10
무궁화농장,한우,15,전라북도 순창군 인계면 호계길 55-72,전라북도 순창군 인계면 갑동리 430번지  ,063-653-0219,2022-11-10
즐거운축사,한우,19,,전라북도 순창군 인계면 갑동리 142번지  ,,2022-11-10
호계축사,한우,10,전라북도 순창군 인계면 노동로 346-19,전라북도 순창군 인계면 갑동리 88번지  ,063-652-1214,2022-11-10
내령농장,한우,8,전라북도 순창군 동계면 내령길 115-7,전라북도 순창군 동계면 내령리 484번지  ,063-652-2600,2022-11-10
진성농장,한우,40,전라북도 순창군 팔덕면 팔덕로  184-25,    ,063-652-5566,2022-11-10
영락농장,한우,8,전라북도 순창군 순창읍 신촌길 104,전라북도 순창군 순창읍 백산리 72번지 5호  ,,2022-11-10
정숙농장,한우,5,,전라북도 순창군 순창읍 백산리 170번지  ,,2022-11-10
윤자농장,한우,10,전라북도 순창군 순창읍 신촌길 91,전라북도 순창군 순창읍 백산리 83번지 3호  ,063-653-4023,2022-11-10
정자농장,한우,13,,전라북도 순창군 팔덕면 서흥리 425번지 1호  ,,2022-11-10
금과농장,한우,70,,전라북도 순창군 금과면 발산리 524번지  ,063-652-6292,2022-11-10
사르우농장,한우,15,전라북도 순창군 유등면 유적로 186-21,전라북도 순창군 유등면 무수리 1474번지  ,,2022-11-10
수장농장,한우,4,전라북도 순창군 동계면 수장1길 98-10,전라북도 순창군 동계면 수장리 557번지 1호  ,063-652-4167,2022-11-10
건수농장,한우,10,전라북도 순창군 인계면 지산길 81-11,전라북도 순창군 인계면 지산리 657번지 1호  ,063-652-0497,2022-11-10
진섭농장,한우,2,전라북도 순창군 쌍치면 국사봉로 308-65,전라북도 순창군 쌍치면 종암리 31번지  ,063-652-2704,2022-11-10
갑중,염소,0,,전라북도 순창군 팔덕면 창덕리 922번지 1호  ,063-652-5261,2022-11-10
관석,한우,18,전라북도 순창군 팔덕면 평지길 5-20,전라북도 순창군 팔덕면 창덕리 569번지  ,063-652-1995,2022-11-10
영노농장,한우,12,전라북도 순창군 유등면 무수길 31,전라북도 순창군 유등면 무수리 198번지  ,063-652-3115,2022-11-10
드림한우,한우,41,,전라북도 순창군 구림면 구산리 887번지  ,,2022-11-10
홍권농장,한우,7,전라북도 순창군 구림면 방화2길 23,전라북도 순창군 구림면 방화리 158번지 1호  ,063-652-8837,2022-11-10
의섭농장,한우,6,,전라북도 순창군 구림면 방화리 180번지  ,063-652-8568,2022-11-10
미래축산,한우,18,,전라북도 순창군 인계면 지산리 513번지  ,063-653-0097,2022-11-10
삼화축사,한우,9,,전라북도 순창군 인계면 지산리 603번지 1호  ,063-652-0765,2022-11-10
복기농장,한우,15,,전라북도 순창군 쌍치면 도고리 산 80번지  ,063-652-3760,2022-11-10
기순농장,한우,14,,전라북도 순창군 적성면 운림리 180번지 번지 외 1필지 ,063-652-3057,2022-11-10
백수농장,한우,0,전라북도 순창군 금과면 내동1길 18-1,전라북도 순창군 금과면 내동리 597번지 1호  ,,2022-11-10
최재호,한우,11,전라북도 순창군 금과면 방성길 54,전라북도 순창군 금과면 방성리 545번지  ,063-652-6629,2022-11-10
용주농장,한우,7,전라북도 순창군 풍산면 죽곡로 113-33,전라북도 순창군 풍산면 반월리 835번지  ,,2022-11-10
야곱농장,한우,5,,전라북도 순창군 인계면 쌍암리 139번지  ,063-652-6994,2022-11-10
장자터 한우농장,한우,0,전라북도 순창군 팔덕면 팔덕로 156-16,전라북도 순창군 팔덕면 산동리 1094번지 1호  ,063-652-5073,2022-11-10
용락,한우,13,전라북도 순창군 적성면 괴정길 80,전라북도 순창군 적성면 괴정리 1210번지  ,063-652-4510,2022-11-10
산고을목장,한우,45,,전라북도 순창군 풍산면 우곡리 26번지 27번지 ,063-652-9854,2022-11-10
영탁농장,한우,45,전라북도 순창군 풍산면 월명길 63-45,전라북도 순창군 풍산면 반월리  ,,2022-11-10
섬진한우농장,한우,7,전라북도 순창군 적성면 임동길 151-63,전라북도 순창군 적성면 운림리 1005번지  ,063-653-4825,2022-11-10
승수농원,한우,34,전라북도 순창군 쌍치면 도고길 77,"전라북도 순창군 쌍치면 도고리 310번지 313번지, 314번지 316번지 ",,2022-11-10
희표,한우,25,,전라북도 순창군 쌍치면 운암리 365번지 4호  ,,2022-11-10
재근,한우,21,전라북도 순창군 쌍치면 방산1길 90-2,전라북도 순창군 쌍치면 방산리 448번지  ,,2022-11-10
준우축산,한우,50,전라북도 순창군 풍산면 죽곡로 171-12,전라북도 순창군 풍산면 죽곡리 766번지  ,,2022-11-10
을칠농장,한우,20,전라북도 순창군 팔덕면 광암마을길 7-5,전라북도 순창군 팔덕면 광암리 314번지 1호  ,,2022-11-10
삼수농장,한우,30,전라북도 순창군 팔덕면 구곡로 91-32,전라북도 순창군 팔덕면 월곡리 1197번지  ,,2022-11-10
용인농장,한우,10,전라북도 순창군 인계면 은행길 15-1,전라북도 순창군 인계면 중산리 153번지  ,,2022-11-10
창옥농장,한우,41,,전라북도 순창군 구림면 안정리 829번지  ,063-652-8571,2022-11-10
용기,한우,5,전라북도 순창군 구림면 구암둔기길 93-10,전라북도 순창군 구림면 구암리 790번지  ,063-652-9056,2022-11-10
점순농장,한우,1,전라북도 순창군 구림면 오정길 10-3,전라북도 순창군 구림면 월정리 333번지  ,,2022-11-10
태환농장,한우,7,,전라북도 순창군 구림면 구곡리 439번지  ,063-652-8631,2022-11-10
병호농장,한우,5,전라북도 순창군 구림면 연산1길 6-4,전라북도 순창군 구림면 운남리 309번지  ,063-652-8458,2022-11-10
기만,한우,6,,전라북도 순창군 구림면 율북리 816번지  ,063-652-6610,2022-11-10
익수,한우,50,,전라북도 순창군 구림면 금창리 452번지 1  호  ,063-652-9273,2022-11-10
우영농장,한우,0,,전라북도 순창군 풍산면 죽곡리 566번지  ,,2022-11-10
기영농장,한우,19,,전라북도 순창군 쌍치면 운암리 159번지 1호  ,063-653-1717,2022-11-10
지수농장,한우,46,"전라북도 순창군 복흥면 추령로 1020 (,주평리120번지)","전라북도 순창군 복흥면 대방리 688번지 ,주평리120번지 ",063-652-7435,2022-11-10
하늘농장,한우,95,전라북도 순창군 복흥면 산정길 127-12,전라북도 순창군 복흥면 산정리 729번지  ,,2022-11-10
판신,한우,15,,전라북도 순창군 팔덕면 광암리 산 20번지 1호  ,063-652-1140,2022-11-10
용대,한우,10,전라북도 순창군 쌍치면 만수길 91-7,전라북도 순창군 쌍치면 옥산리 123번지 1호  ,,2022-11-10
영석,한우,9,,전라북도 순창군 구림면 성곡리 578번지  ,063-652-8670,2022-11-10
석록,한우,4,,전라북도 순창군 구림면 방화리 133번지  ,063-653-4542,2022-11-10
재중농장,한우,6,,전라북도 순창군 팔덕면 용산리 187번지  ,063-652-5305,2022-11-10
종석농장,한우,3,전라북도 순창군 팔덕면 광암마을길 31-1,전라북도 순창군 팔덕면 광암리 305번지 1호  ,063-652-0473,2022-11-10
종호농장,한우,5,전라북도 순창군 팔덕면 광암마을길 6,전라북도 순창군 팔덕면 광암리 288번지 4호  ,063-652-0471,2022-11-10
기철농장,한우,8,,전라북도 순창군 팔덕면 광암리 498번지  ,063-652-5631,2022-11-10
규식,한우,14,,전라북도 순창군 동계면 주월리 101번지  ,063-652-3239,2022-11-10
성주농장,한우,15,,전라북도 순창군 복흥면 동산리 677번지  ,063-652-7804,2022-11-10
병순농장,한우,4,전라북도 순창군 복흥면 반월길 278-1,전라북도 순창군 복흥면 반월리 306번지 2호  ,063-653-7809,2022-11-10
벌매농장,한우,9,,전라북도 순창군 복흥면 반월리 631번지  ,063-652-5734,2022-11-10
병기농장,한우,17,,전라북도 순창군 복흥면 봉덕리 063-652번지  ,063-652-7388,2022-11-10
광성용,한우,19,,전라북도 순창군 복흥면 농암리 541번지 외 1필지(540번지) ,063-653-4141,2022-11-10
지선농장,한우,20,전라북도 순창군 복흥면 단풍로 2344-23,전라북도 순창군 복흥면 지선리 519번지  ,063-652-7609,2022-11-10
지선농장,한우,22,전라북도 순창군 복흥면 단풍로 2305,전라북도 순창군 복흥면 지선리 157번지 2호  ,063-653-0088,2022-11-10
영환농장,한우,4,,전라북도 순창군 복흥면 지선리 308번지  ,063-653-6902,2022-11-10
재복농장,한우,3,전라북도 순창군 복흥면 명지길 24-7,전라북도 순창군 복흥면 지선리 341번지  ,063-652-7614,2022-11-10
세종농장,한우,7,전라북도 순창군 복흥면 명지길 24-7,전라북도 순창군 복흥면 지선리 341번지  ,063-652-7842,2022-11-10
강두농장,한우,18,,전라북도 순창군 복흥면 금월리 883번지 1호  ,063-652-8118,2022-11-10
한신농장,한우,5,,전라북도 순창군 복흥면 어은리 475번지  ,063-652-8047,2022-11-10
정필농장,한우,8,전라북도 순창군 복흥면 동서길 24-28,전라북도 순창군 복흥면 정산리 882번지 1호  ,063-652-7370,2022-11-10
태엽농장,한우,14,전라북도 순창군 구림면 방화로 134,전라북도 순창군 구림면 방화리 96번지 1호  ,063-652-9209,2022-11-10
병남,한우,4,전라북도 순창군 구림면 방화1길 33,전라북도 순창군 구림면 방화리 783번지 13호  ,,2022-11-10
원식,한우,1,,전라북도 순창군 구림면 안정리 419번지  ,063-652-8551,2022-11-10
진관농장,한우,5,전라북도 순창군 구림면 안심길 61,전라북도 순창군 구림면 안정리 312번지  ,063-652-8947,2022-11-10
재근농장,한우,19,,전라북도 순창군 구림면 안정리 287번지  ,063-652-8946,2022-11-10
한우농장,한우,2,,전라북도 순창군 구림면 안정리 72번지  ,063-652-8948,2022-11-10
청계농장,한우,12,전라북도 순창군 팔덕면 광덕로 690,전라북도 순창군 팔덕면 청계리 863번지  ,063-652-4983,2022-11-10
한결농장,한우,4,전라북도 순창군 구림면 밤재로 70-3,전라북도 순창군 구림면 월정리 281번지 4호  ,,2022-11-10
주식,한우,8,,전라북도 순창군 풍산면 반월리 10번지 5호  ,063-652-9510,2022-11-10
시택,한우,4,전라북도 순창군 쌍치면 운암길 61,전라북도 순창군 쌍치면 운암리 458번지 1호  ,063-652-2117,2022-11-10
길량,한우,7,전라북도 순창군 쌍치면 삼암길 29-4,전라북도 순창군 쌍치면 전암리 461번지 1호  ,063-653-1567,2022-11-10
재일,한우,10,전라북도 순창군 인계면 호계길 70-54,전라북도 순창군 인계면 갑동리 97번지  ,,2022-11-10
병수,한우,2,전라북도 순창군 구림면 화암1길 73,전라북도 순창군 구림면 화암리 633번지  ,063-653-4584,2022-11-10
용섭,한우,1,전라북도 순창군 구림면 산내길 76,전라북도 순창군 구림면 안정리 421번지 1호  ,063-652-8979,2022-11-10
백수농장,한우,4,전라북도 순창군 구림면 구림로 291-25,전라북도 순창군 구림면 운남리 1155번지  ,063-652-8941,2022-11-10
원길,한우,2,,전라북도 순창군 구림면 안정리 417번지  ,063-652-9289,2022-11-10
토지농장,오리,10000,,"전라북도 순창군 동계면 현포리 847번지 15호 ,847-16번지 ",,2022-11-10
화산농장,한우,6,전라북도 순창군 적성면 마계길 29,전라북도 순창군 적성면 괴정리 1625번지  ,,2022-11-10
창열농장,한우,11,전라북도 순창군 복흥면 백방2길 34,전라북도 순창군 복흥면 서마리 344번지  ,,2022-11-10
장달문,한우,6,전라북도 순창군 복흥면 백방2길 31-4,전라북도 순창군 복흥면 서마리 357번지  ,,2022-11-10
병섭농장,한우,14,,전라북도 순창군 복흥면 서마리 852번지  ,,2022-11-10
태문농장,한우,23,전라북도 순창군 복흥면 백방2길 38-8,전라북도 순창군 복흥면 서마리 340번지  ,,2022-11-10
승만농장,한우,11,,전라북도 순창군 복흥면 금월리 143번지 20호  ,,2022-11-10
종현농장,한우,12,,전라북도 순창군 복흥면 대방리 569번지  ,063-652-8251,2022-11-10
성대농장,한우,10,,전라북도 순창군 복흥면 대방리 591번지 1호  ,063-652-8228,2022-11-10
금방동 농장,한우,4,,전라북도 순창군 복흥면 대방리 551번지  ,063-652-7529,2022-11-10
광수농장,한우,5,전라북도 순창군 복흥면 정동길 30-2,전라북도 순창군 복흥면 정산리 595번지  ,063-652-7629,2022-11-10
원대농장,한우,10,,전라북도 순창군 복흥면 정산리 612번지  ,,2022-11-10
동준농장,한우,15,전라북도 순창군 복흥면 무림길 47,전라북도 순창군 복흥면 정산리 675번지  ,063-652-7456,2022-11-10
찬호농장,한우,19,,전라북도 순창군 복흥면 산정리 352번지  ,,2022-11-10
영래농장,한우,3,전라북도 순창군 복흥면 순정로 73-6,전라북도 순창군 복흥면 하리 11번지 3호  ,063-653-7488,2022-11-10
한울타리농장,한우,5,,전라북도 순창군 복흥면 답동리 252번지  ,063-653-7938,2022-11-10
동식농장,한우,9,전라북도 순창군 동계면 귀미로 111-23,전라북도 순창군 동계면 구미리 96번지 1호  ,063-652-4835,2022-11-10
서호농장,육계,0,전라북도 순창군 동계면 창주길 120-11,전라북도 순창군 동계면 서호리 765번지  ,,2022-11-10
