농가명,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,데이터 기준일자
흥마농장,한우,경상북도 포항시 북구 흥해읍 용전리 714번지 외 1필(721번지) ,경상북도 포항시 북구 흥해읍 용연길 215-71,42,2025-08-14
안덕농장,젖소,경상북도 포항시 북구 신광면 안덕리 312번지  ,경상북도 포항시 북구 신광면 안덕길55번길 38,150,2025-08-14
계전한우농장,한우,경상북도 포항시 북구 기계면 계전리 698번지  ,경상북도 포항시 북구 기계면 계전길 333,18,2025-08-14
방축농장,한우,경상북도 포항시 북구 기계면 화대리 272번지 2호  ,,18,2025-08-14
기남낙농영농조합법인,육우,경상북도 포항시 북구 기계면 봉계리 671번지  ,경상북도 포항시 북구 기계면 봉좌산길 22,50,2025-08-14
한우사랑농장,한우,경상북도 포항시 북구 신광면 냉수리 459번지  ,경상북도 포항시 북구 신광면 비학로 458-1,100,2025-08-14
삼삼농장,한우,경상북도 포항시 북구 기북면 율산리 613번지 29호  ,경상북도 포항시 북구 기북면 기북로 523,70,2025-08-14
신성목장,한우,경상북도 포항시 북구 신광면 사정리 324번지 1호  ,경상북도 포항시 북구 신광면 사정길50번길 38,7,2025-08-14
한동원농장,한우,경상북도 포항시 북구 신광면 우각리 830번지 1호  ,경상북도 포항시 북구 신광면 비학로 630,13,2025-08-14
훈이농장,육우,경상북도 포항시 남구 호미곶면 강사리 264번지  ,경상북도 포항시 남구 호미곶면 호미로 891-2,10,2025-08-14
다산농장,한우,경상북도 포항시 남구 호미곶면 대보리 366번지 5호  ,경상북도 포항시 남구 호미곶면 해맞이로125번길 38,10,2025-08-14
까치농장,한우,경상북도 포항시 남구 호미곶면 대보리 301번지 11호  ,경상북도 포항시 남구 호미곶면 해맞이로141번길 34,20,2025-08-14
성림농장,한우,경상북도 포항시 남구 대송면 홍계리 314번지  ,경상북도 포항시 남구 대송면 홍계길 402-40,22,2025-08-14
덕운목장,한우,경상북도 포항시 남구 호미곶면 강사리 808번지 5호  ,경상북도 포항시 남구 호미곶면 호미로1133번길 44,20,2025-08-14
괴정농장,한우,경상북도 포항시 남구 장기면 방산리 1186번지 2호  ,경상북도 포항시 남구 장기면 방산로507번길 89-1,15,2025-08-14
한우사랑농장,한우,경상북도 포항시 북구 신광면 냉수리 458번지 1호  ,경상북도 포항시 북구 신광면 비학로 458-1,52,2025-08-14
진송농장,한우,경상북도 포항시 북구 신광면 상읍리 537번지 1호 외1필지 ,경상북도 포항시 북구 신광면 상읍길 136 (외1필지),87,2025-08-14
달성농장,육우,경상북도 포항시 북구 기계면 내단리 133번지 3호 외 1필지 ,경상북도 포항시 북구 기계면 내단천길 78,50,2025-08-14
유청농장,한우,경상북도 포항시 남구 동해면 발산리 506번지  ,경상북도 포항시 남구 동해면 호미로 2333-10,2,2025-08-14
남홍농장,한우,경상북도 포항시 북구 기계면 인비리 675번지 5호  ,경상북도 포항시 북구 기계면 기남길 476-27,15,2025-08-14
철우농장,한우,경상북도 포항시 북구 기계면 인비리 668번지 6호  ,경상북도 포항시 북구 기계면 기남길 476,15,2025-08-14
칠포농장,한우,경상북도 포항시 북구 송라면 광천리 76번지  ,경상북도 포항시 북구 송라면 동해대로2913번길 77,19,2025-08-14
상옥농장,한우,경상북도 포항시 북구 죽장면 상옥리 1160번지 1호  ,경상북도 포항시 북구 죽장면 죽장로 1611,28,2025-08-14
효창농장,한우,경상북도 포항시 북구 기계면 지가리 693번지 10호  ,경상북도 포항시 북구 기계면 기계로 509-61,145,2025-08-14
우현농장,한우,경상북도 포항시 북구 우현동 310번지  ,경상북도 포항시 북구 아치로 128-24 (우현동),20,2025-08-14
건재농장,한우,경상북도 포항시 북구 기계면 화대리 229번지 2호  ,경상북도 포항시 북구 기계면 기동지길 135,23,2025-08-14
계전농장,한우,경상북도 포항시 북구 기계면 계전리 96번지 7호  ,경상북도 포항시 북구 기계면 계전길 96,18,2025-08-14
시온농장,한우,경상북도 포항시 북구 기계면 인비리 629번지  ,경상북도 포항시 북구 기계면 기남길475번길 50,5,2025-08-14
이도목장,한우,경상북도 포항시 북구 기계면 문성리 55번지 1호  ,경상북도 포항시 북구 기계면 새마을발상지길75번길 100-20,256,2025-08-14
동남농장,한우,경상북도 포항시 북구 죽장면 상옥리 1565번지 4호  ,경상북도 포항시 북구 죽장면 죽장로1669번길 62,31,2025-08-14
억새풀농장,한우,경상북도 포항시 북구 기계면 지가리 556번지 15호  ,경상북도 포항시 북구 기계면 기남길186번길 65-11,0,2025-08-14
한우사랑농장,한우,경상북도 포항시 북구 신광면 우각리 669번지  ,경상북도 포항시 북구 신광면 비학로 644-9,59,2025-08-14
강우농장,한우,경상북도 포항시 북구 기계면 현내리 554번지  ,경상북도 포항시 북구 기계면 새마을로1531번길 14,18,2025-08-14
이인농장,한우,경상북도 포항시 북구 흥해읍 이인리 237번지  ,경상북도 포항시 북구 흥해읍 달전로 186-21,27,2025-08-14
문곡농장,한우,경상북도 포항시 북구 청하면 상대리 산 15번지  ,경상북도 포항시 북구 청하면 비학로1860번길 113,8,2025-08-14
창지농장,한우,경상북도 포항시 남구 장기면 창지리 169번지  ,,28,2025-08-14
상호농장,한우,경상북도 포항시 남구 동해면 금광리 168번지 5호  ,,33,2025-08-14
태순농장,한우,경상북도 포항시 북구 흥해읍 덕장리 1148번지  ,경상북도 포항시 북구 흥해읍 덕실마을길 132,7,2025-08-14
진주농장,한우,경상북도 포항시 남구 연일읍 우복리 295번지  ,경상북도 포항시 남구 연일읍 남성길1번길 138-8,21,2025-08-14
봉주목장,한우,경상북도 포항시 남구 오천읍 세계리 703번지 3호  ,경상북도 포항시 남구 오천읍 도솔로 11-10,18,2025-08-14
새터농장,한우,경상북도 포항시 남구 장기면 산서리 802번지  ,,40,2025-08-14
신창농장,한우,경상북도 포항시 남구 장기면 신창리 544번지  ,경상북도 포항시 남구 장기면 읍내길16번길 204-70,40,2025-08-14
광신농장,한우,경상북도 포항시 남구 장기면 임중리 115번지  ,경상북도 포항시 남구 장기면 읍내길 35,20,2025-08-14
대성농장,한우,경상북도 포항시 남구 장기면 정천리 575번지 외 1필지 ,경상북도 포항시 남구 장기면 장기로1404번길 10-3,0,2025-08-14
덕실농장,한우,경상북도 포항시 북구 흥해읍 덕성리 535번지  ,경상북도 포항시 북구 흥해읍 덕실마을길 510,1,2025-08-14
논골농장,한우,경상북도 포항시 북구 흥해읍 덕성리 559번지  ,경상북도 포항시 북구 흥해읍 덕실마을길 516-3,5,2025-08-14
석원농장,한우,경상북도 포항시 북구 흥해읍 성곡리 77번지  ,경상북도 포항시 북구 흥해읍 성곡북길 92,30,2025-08-14
새안농장,한우,경상북도 포항시 북구 신광면 안덕리 106번지  ,경상북도 포항시 북구 신광면 비학로1133번길 11-11,17,2025-08-14
청석골농장,한우,경상북도 포항시 북구 기계면 미현리 580번지  ,경상북도 포항시 북구 기계면 기동지길525번길 146-24,30,2025-08-14
화성농장,한우,경상북도 포항시 북구 기계면 성계리 696번지  ,,20,2025-08-14
인비농장,한우,경상북도 포항시 북구 기계면 인비리 876번지 12호  ,,21,2025-08-14
전원농장,한우,경상북도 포항시 북구 기계면 현내리 86번지  ,경상북도 포항시 북구 기계면 기동지길 34-27,8,2025-08-14
우리농장,한우,경상북도 포항시 북구 기계면 화봉리 577번지  ,경상북도 포항시 북구 기계면 기동지길263번길 39,16,2025-08-14
청록농장,한우,경상북도 포항시 북구 기계면 화봉리 639번지  ,경상북도 포항시 북구 기계면 기동지길263번길 102,15,2025-08-14
현내농장,한우,경상북도 포항시 북구 죽장면 현내리 387번지  ,경상북도 포항시 북구 죽장면 면봉산길 208-20,13,2025-08-14
우야농장,한우,경상북도 포항시 북구 기북면 율산리 1066번지 2호  ,경상북도 포항시 북구 기북면 율산남길 50,10,2025-08-14
최현식농장,한우,경상북도 포항시 북구 기북면 율산리 1085번지  ,,10,2025-08-14
정한재농장,한우,경상북도 포항시 북구 기북면 율산리 1062번지 8호  ,경상북도 포항시 북구 기북면 기북로416번길 53,25,2025-08-14
한우리농장,한우,경상북도 포항시 북구 신광면 사정리 118번지 (118-1번지) ,경상북도 포항시 북구 신광면 신흥로 187,203,2025-08-14
물밤농장,한우,경상북도 포항시 북구 기북면 율산리 1139번지  ,경상북도 포항시 북구 기북면 율산남길 76,10,2025-08-14
상송우리농장,한우,경상북도 포항시 북구 송라면 상송리 238번지  ,경상북도 포항시 북구 송라면 삼송길108번길 35-20,7,2025-08-14
대산농장,한우,경상북도 포항시 북구 신광면 안덕리 517번지  ,경상북도 포항시 북구 신광면 비학로1197번길 97-17,9,2025-08-14
한마음농장,한우,경상북도 포항시 북구 기북면 오덕리 776번지 1호  ,경상북도 포항시 북구 기북면 기북로 728,50,2025-08-14
태원농장,한우,경상북도 포항시 북구 기계면 학야리 445번지 3호  ,경상북도 포항시 북구 기계면 학야길 197,21,2025-08-14
명성농장,한우,경상북도 포항시 북구 흥해읍 덕성리 36번지  ,경상북도 포항시 북구 흥해읍 덕실마을길 247,16,2025-08-14
만복농장,한우,경상북도 포항시 남구 호미곶면 강사리 21번지  ,경상북도 포항시 남구 호미곶면 일출로642번길 19,40,2025-08-14
미소농장,한우,경상북도 포항시 남구 호미곶면 강사리 828번지 17호  ,경상북도 포항시 남구 호미곶면 호미로1111번길 49,56,2025-08-14
청구농장,한우,경상북도 포항시 북구 기계면 지가리 654번지 1호  ,경상북도 포항시 북구 기계면 봉덕길 60,120,2025-08-14
대성농장,한우,경상북도 포항시 남구 구룡포읍 석병리 921번지  ,경상북도 포항시 남구 구룡포읍 호미로 683-3,9,2025-08-14
억산농장,한우,경상북도 포항시 남구 장기면 산서리 산 11번지  ,경상북도 포항시 남구 장기면 초롱구비길 81,20,2025-08-14
오통골농장,한우,경상북도 포항시 북구 신광면 상읍리 517번지 외1필지 ,,44,2025-08-14
화봉농장,한우,경상북도 포항시 북구 기계면 화봉리 286번지  ,경상북도 포항시 북구 기계면 화대길114번길 140,48,2025-08-14
수지농장,한우,경상북도 포항시 남구 구룡포읍 삼정리 870번지 12호  ,,40,2025-08-14
태산농장,한우,경상북도 포항시 북구 흥해읍 성곡리 2-35외1필지 ,,47,2025-08-14
대림농장,한우,경상북도 포항시 북구 송라면 하송리 331번지 2호  ,,15,2025-08-14
참한우농장,한우,경상북도 포항시 북구 신광면 우각리 820-1외1필지 ,,30,2025-08-14
정해농장,한우,경상북도 포항시 북구 청하면 상대리 318번지  ,경상북도 포항시 북구 청하면 비학로1860번길 118,40,2025-08-14
성근농장,한우,경상북도 포항시 북구 기계면 화대리 303번지 3호  ,경상북도 포항시 북구 기계면 화대길 127,12,2025-08-14
태희농장,한우,경상북도 포항시 북구 기계면 화대리 314번지 2호  ,경상북도 포항시 북구 기계면 화대길 149,10,2025-08-14
수곡농장,한우,경상북도 포항시 북구 기북면 대곡리 1199번지 5호  ,경상북도 포항시 북구 기북면 기북로306번길 65,18,2025-08-14
유성농장,한우,경상북도 포항시 북구 기북면 대곡리 1548번지 5호  ,경상북도 포항시 북구 기북면 기북로264번길 31,25,2025-08-14
재완농장,한우,경상북도 포항시 북구 기북면 대곡리 1572번지 66호  ,,16,2025-08-14
민철농장,한우,경상북도 포항시 북구 기북면 대곡리 1572번지 112호  ,,15,2025-08-14
관암농장,한우,경상북도 포항시 북구 기북면 관천리 42번지  ,경상북도 포항시 북구 기북면 구관길245번길 46-13,18,2025-08-14
막실농장,한우,경상북도 포항시 북구 기북면 용기리 911번지  ,경상북도 포항시 북구 기북면 용기길49번길 35,16,2025-08-14
성원농장,한우,경상북도 포항시 북구 기북면 성법리 638번지  ,경상북도 포항시 북구 기북면 기북로1088번길 17,12,2025-08-14
민우농장,한우,경상북도 포항시 남구 장기면 서촌리 293번지 3호  ,경상북도 포항시 남구 장기면 장기로 459,14,2025-08-14
보순농장,한우,경상북도 포항시 남구 호미곶면 강사리 799번지 1호  ,경상북도 포항시 남구 호미곶면 호미로1133번길 34,20,2025-08-14
태영농장,종계/산란계,경상북도 포항시 북구 흥해읍 성곡리 180번지 1호  ,경상북도 포항시 북구 흥해읍 성곡길182번길 66-25,0,2025-08-14
한복농장,한우,경상북도 포항시 북구 청하면 미남리 748번지 1호  ,경상북도 포항시 북구 청하면 청하로 128-64,6,2025-08-14
용곡농장,한우,경상북도 포항시 북구 흥해읍 용곡리 65번지  ,경상북도 포항시 북구 흥해읍 용연길 274,23,2025-08-14
원재농장,한우,경상북도 포항시 북구 흥해읍 용전리 779번지  ,,10,2025-08-14
갈평농장,한우,경상북도 포항시 남구 오천읍 갈평리 326번지 1호  ,경상북도 포항시 남구 오천읍 기림로1785번길 36,25,2025-08-14
치호농장,한우,경상북도 포항시 남구 대송면 장동리 148번지  ,,4,2025-08-14
유빈농장,한우,경상북도 포항시 남구 장기면 산서리 36번지  ,,12,2025-08-14
양우농장,한우,경상북도 포항시 북구 우현동 254번지 외1필지 ,"경상북도 포항시 북구 소티재로126번길 51 (우현동,외1필지)",30,2025-08-14
인덕농장,한우,경상북도 포항시 북구 기계면 문성리 78번지 2호  ,경상북도 포항시 북구 기계면 새마을발상지길75번길 100-30,5,2025-08-14
운주산농장,한우,경상북도 포항시 북구 기계면 인비리 553번지  ,,11,2025-08-14
한푸른농장,한우,경상북도 포항시 남구 대송면 장동리 29번지  ,경상북도 포항시 남구 대송면 운제로 270-50,14,2025-08-14
준효목장,젖소,경상북도 포항시 북구 신광면 안덕리 250번지  ,경상북도 포항시 북구 신광면 안덕길55번길 35,78,2025-08-14
태경농장,한우,경상북도 포항시 북구 신광면 죽성리 344번지 2호  ,경상북도 포항시 북구 신광면 비학로 813-42,14,2025-08-14
대복농장,한우,경상북도 포항시 남구 호미곶면 강사리 76번지  ,경상북도 포항시 남구 호미곶면 일출로622번길 5,30,2025-08-14
진성목장,한우,경상북도 포항시 남구 호미곶면 강사리 820번지 14호  ,경상북도 포항시 남구 호미곶면 호미로1133번길 43,50,2025-08-14
신당농장,한우,경상북도 포항시 북구 신광면 냉수리 187번지  ,경상북도 포항시 북구 신광면 도음로 66-40,24,2025-08-14
종진농장,한우,경상북도 포항시 북구 청하면 하대리 234번지  ,경상북도 포항시 북구 청하면 청하로109번길 67-78,9,2025-08-14
부길농장,한우,경상북도 포항시 남구 호미곶면 구만리 358번지  ,경상북도 포항시 남구 호미곶면 호미로1495번길 43-5,0,2025-08-14
질경이농장,한우,경상북도 포항시 북구 기계면 가안리 835번지  ,,14,2025-08-14
태규농장,한우,경상북도 포항시 북구 기계면 봉계리 946번지  ,경상북도 포항시 북구 기계면 봉계길231번길 15-1,11,2025-08-14
지은농장,한우,경상북도 포항시 남구 대송면 남성리 429번지  ,경상북도 포항시 남구 대송면 남성길61번길 31,32,2025-08-14
다은농장,한우,경상북도 포항시 남구 장기면 학곡리 143번지 1호  ,,11,2025-08-14
도훈농장,한우,경상북도 포항시 남구 장기면 학곡리 613번지 1호  ,,14,2025-08-14
용전농장,한우,"경상북도 포항시 북구 흥해읍 양백리 93번지 양백리 94, 용전리 649, 용전리 650 ",경상북도 포항시 북구 흥해읍 용연길 133-50,8,2025-08-14
용찬농장,한우,경상북도 포항시 북구 흥해읍 학천리 산 24번지 2호  ,경상북도 포항시 북구 흥해읍 도음로 583,18,2025-08-14
상송농장,한우,경상북도 포항시 북구 송라면 하송리 428번지 6호 외1필지 ,경상북도 포항시 북구 송라면 삼송길74번길 12-29 (외1필지),80,2025-08-14
황제농원,한우,경상북도 포항시 북구 기계면 문성리 458번지 3호  ,경상북도 포항시 북구 기계면 새마을발상지길116번길 73-2,6,2025-08-14
창포농장,한우,경상북도 포항시 북구 기계면 봉계리 774번지  ,,12,2025-08-14
사랑농장,한우,경상북도 포항시 북구 죽장면 두마리 565번지  ,,22,2025-08-14
우물골농장,한우,경상북도 포항시 북구 창포동 539번지 3호  ,경상북도 포항시 북구 우창로125번길 90 (창포동),5,2025-08-14
두상농장,한우,경상북도 포항시 남구 동해면 상정리 338번지  ,경상북도 포항시 남구 동해면 상정길 32,0,2025-08-14
염준농장,한우,경상북도 포항시 남구 장기면 대곡리 360번지 3호  ,,10,2025-08-14
성림목장,한우,경상북도 포항시 남구 장기면 창지리 산 118번지 6호  ,경상북도 포항시 남구 장기면 장기로785번길 230,13,2025-08-14
용태농장,한우,경상북도 포항시 북구 흥해읍 금장리 183번지  ,경상북도 포항시 북구 흥해읍 칠포로265번길 36-11,15,2025-08-14
아부지농장,한우,경상북도 포항시 북구 흥해읍 용곡리 127번지 3호  ,경상북도 포항시 북구 흥해읍 용연길 237-54,40,2025-08-14
용달농장,한우,경상북도 포항시 북구 흥해읍 학천리 607번지  ,경상북도 포항시 북구 흥해읍 도음로821번길 91,17,2025-08-14
동진농장,한우,경상북도 포항시 북구 신광면 우각리 168번지 1호 외1필지 ,경상북도 포항시 북구 신광면 우각길75번길 13-1 (외1필지),16,2025-08-14
면봉산한우농장,한우,경상북도 포항시 북구 죽장면 두마리 804번지  ,경상북도 포항시 북구 죽장면 면봉산길 806-17,35,2025-08-14
두마농장,한우,경상북도 포항시 북구 죽장면 두마리 836번지  ,경상북도 포항시 북구 죽장면 면봉산길828번길 7-2,10,2025-08-14
이병대농장,한우,경상북도 포항시 북구 흥해읍 흥안리 172번지  ,경상북도 포항시 북구 흥해읍 칠포로 330-1,17,2025-08-14
기와골농장,한우,경상북도 포항시 남구 연일읍 자명리 55번지  ,,11,2025-08-14
일수농장,한우,경상북도 포항시 남구 장기면 양포리 351번지 1호  ,,11,2025-08-14
신성농장,한우,경상북도 포항시 북구 흥해읍 용전리 493번지 1호  ,경상북도 포항시 북구 흥해읍 용전길 120-5,30,2025-08-14
지원농장,한우,경상북도 포항시 북구 신광면 우각리 712번지  ,경상북도 포항시 북구 신광면 비학로 644-32,70,2025-08-14
여명농장,한우,경상북도 포항시 북구 기계면 계전리 212번지  ,경상북도 포항시 북구 기계면 계전길118번길 51,0,2025-08-14
현동농장,한우,경상북도 포항시 북구 죽장면 지동리 692번지 1호  ,경상북도 포항시 북구 죽장면 포은로 2749-1,16,2025-08-14
규홍농장,한우,경상북도 포항시 남구 장기면 읍내리 361번지 69호  ,경상북도 포항시 남구 장기면 읍내길77번길 73,0,2025-08-14
만석군농장,한우,경상북도 포항시 북구 신광면 반곡리 275번지 8호  ,경상북도 포항시 북구 신광면 기반길 26,40,2025-08-14
준희농장,한우,경상북도 포항시 북구 죽장면 두마리 107번지 1호  ,,14,2025-08-14
광희농장,한우,경상북도 포항시 북구 죽장면 매현리 363번지 2호  ,,18,2025-08-14
상근농장,한우,경상북도 포항시 북구 죽장면 두마리 637번지  ,경상북도 포항시 북구 죽장면 면봉산길840번길 19,17,2025-08-14
거산농장,한우,경상북도 포항시 북구 기북면 율산리 372번지  ,,15,2025-08-14
무봉농장,한우,경상북도 포항시 북구 기북면 율산리 742번지  ,경상북도 포항시 북구 기북면 율산북길68번길 8-2,3,2025-08-14
영우농장,한우,경상북도 포항시 남구 대송면 장동리 134번지  ,경상북도 포항시 남구 대송면 홍계길183번길 13,22,2025-08-14
태성농장,한우,경상북도 포항시 남구 대송면 홍계리 190번지 3호  ,경상북도 포항시 남구 대송면 홍계길 365,6,2025-08-14
인하농장,한우,경상북도 포항시 남구 장기면 신창리 547번지 1호  ,경상북도 포항시 남구 장기면 읍내길16번길 204-62,27,2025-08-14
덕골농장,한우,경상북도 포항시 북구 흥해읍 덕성리 433번지 6호  ,경상북도 포항시 북구 흥해읍 덕실마을길 448-21,50,2025-08-14
해철농장,한우,경상북도 포항시 북구 흥해읍 매산리 75번지  ,경상북도 포항시 북구 흥해읍 신흥로 598-9,20,2025-08-14
희망농장,한우,경상북도 포항시 북구 흥해읍 매산리 254번지  ,경상북도 포항시 북구 흥해읍 신흥로 656-33,3,2025-08-14
세영농장,한우,경상북도 포항시 북구 청하면 청진리 392번지 2호  ,경상북도 포항시 북구 청하면 해안로 1899-14,14,2025-08-14
부광농장,한우,경상북도 포항시 북구 기계면 미현리 265번지 3호  ,경상북도 포항시 북구 기계면 기동지길 689,20,2025-08-14
에벤에셀 농장,한우,경상북도 포항시 북구 신광면 토성리 257번지  ,경상북도 포항시 북구 신광면 토성길83번길 64-32,43,2025-08-14
명수농장,한우,경상북도 포항시 남구 장기면 산서리 84번지  ,경상북도 포항시 남구 장기면 초롱구비길84번길 25,17,2025-08-14
성남농장,한우,경상북도 포항시 북구 흥해읍 남송리 1052번지  ,경상북도 포항시 북구 흥해읍 성곡북길 119-28,40,2025-08-14
원하농장,한우,경상북도 포항시 북구 기계면 화봉리 518번지  ,경상북도 포항시 북구 기계면 기동지길263번길 29-27,4,2025-08-14
서달농장,한우,경상북도 포항시 북구 기계면 화봉리 614번지  ,경상북도 포항시 북구 기계면 기동지길263번길 70,10,2025-08-14
삼우농장,한우,경상북도 포항시 남구 장기면 서촌리 774번지 1호  ,경상북도 포항시 남구 장기면 장기로487번길 111,0,2025-08-14
서우목장,한우,경상북도 포항시 북구 기계면 화대리 590번지  ,경상북도 포항시 북구 기계면 기동지길 55-50,67,2025-08-14
기계한우농장,한우,경상북도 포항시 북구 기계면 문성리 210번지  ,경상북도 포항시 북구 기계면 새마을발상지길116번길 52,74,2025-08-14
일광농장,한우,경상북도 포항시 북구 신광면 사정리 1075번지 2호  ,경상북도 포항시 북구 신광면 사정안길 136,130,2025-08-14
대동농장,한우,경상북도 포항시 남구 장기면 산서리 535번지  ,경상북도 포항시 남구 장기면 산서길 60-12,20,2025-08-14
서연농장,한우,경상북도 포항시 북구 기계면 현내리 1153번지 6호  ,,30,2025-08-14
전원농장,한우,경상북도 포항시 남구 구룡포읍 석병리 836번지 2호  ,,13,2025-08-14
크로포드,한우,경상북도 포항시 북구 청하면 미남리 341번지  ,경상북도 포항시 북구 청하면 미남길 63,12,2025-08-14
한솔농장,한우,경상북도 포항시 남구 호미곶면 구만리 240번지  ,경상북도 포항시 남구 호미곶면 호미로1495번길 43-6,24,2025-08-14
초록농장2,한우,경상북도 포항시 남구 오천읍 갈평리 24번지  ,경상북도 포항시 남구 오천읍 기림로1673번길 16,10,2025-08-14
동오푸른 농장,한우,경상북도 포항시 북구 흥해읍 용천리 632번지 22호  ,경상북도 포항시 북구 흥해읍 흥해로 162-77,38,2025-08-14
상길농장,한우,경상북도 포항시 북구 신광면 사정리 305번지  ,경상북도 포항시 북구 신광면 사정길50번길 16-50,10,2025-08-14
푸른농장,한우,경상북도 포항시 북구 신광면 죽성리 52번지  ,경상북도 포항시 북구 신광면 비학로 815,21,2025-08-14
한일농장,한우,경상북도 포항시 북구 흥해읍 남송리 1056번지 7호  ,,4,2025-08-14
버들골농장,한우,경상북도 포항시 북구 기북면 율산리 868번지  ,경상북도 포항시 북구 기북면 기북로460번길 61,10,2025-08-14
김봉농장,한우,경상북도 포항시 북구 기북면 율산리 621번지 2호  ,경상북도 포항시 북구 기북면 기북로498번길 9,5,2025-08-14
상운농장,한우,경상북도 포항시 북구 기계면 성계리 913번지  ,경상북도 포항시 북구 기계면 성계길128번길 47,5,2025-08-14
푸른농장,한우,경상북도 포항시 북구 신광면 흥곡리 219번지 1호  ,경상북도 포항시 북구 신광면 흥곡길 47,44,2025-08-14
솔밭농장,한우,경상북도 포항시 북구 기계면 내단리 814번지  ,경상북도 포항시 북구 기계면 새마을로 1438,20,2025-08-14
복상농장,한우,경상북도 포항시 남구 장기면 창지리 697번지  ,,7,2025-08-14
뒷골농장,한우,경상북도 포항시 북구 흥해읍 금장리 산 78번지  ,,9,2025-08-14
성칠농장,한우,경상북도 포항시 북구 흥해읍 금장리 440번지  ,경상북도 포항시 북구 흥해읍 용금길 183-47,10,2025-08-14
벌재농장,한우,경상북도 포항시 북구 흥해읍 용천리 1047번지 5호  ,경상북도 포항시 북구 흥해읍 용금길83번길 50,25,2025-08-14
우각농장,한우,경상북도 포항시 북구 신광면 우각리 504번지 2호  ,,18,2025-08-14
성우농장,한우,경상북도 포항시 북구 기계면 학야리 448번지 4호  ,경상북도 포항시 북구 기계면 학야길 199,0,2025-08-14
만직농장,한우,경상북도 포항시 북구 기계면 인비리 14번지 7호  ,경상북도 포항시 북구 기계면 기북로 134-7,7,2025-08-14
우견농장,한우,경상북도 포항시 남구 동해면 중산리 309번지  ,경상북도 포항시 남구 동해면 정동길 551-22,22,2025-08-14
한우리농장,한우,경상북도 포항시 남구 장기면 창지리 464번지  ,경상북도 포항시 남구 장기면 장기로781번길 37,8,2025-08-14
새말농장,한우,경상북도 포항시 북구 신광면 냉수리 326번지 1호  ,경상북도 포항시 북구 신광면 비학로438번길 79,16,2025-08-14
냉수농장,한우,경상북도 포항시 북구 신광면 냉수리 602번지 1호  ,경상북도 포항시 북구 신광면 비학로438번길 8,12,2025-08-14
행복농장,한우,경상북도 포항시 북구 기계면 인비리 641번지 3호  ,,7,2025-08-14
삼정농산,한우,경상북도 포항시 북구 죽장면 하사리 547번지  ,경상북도 포항시 북구 죽장면 병보천길 504-1,13,2025-08-14
태원축산,한우,경상북도 포항시 북구 창포동 583번지 3호  ,경상북도 포항시 북구 우창로125번길 117 (창포동),53,2025-08-14
동신농장,한우,경상북도 포항시 북구 기계면 고지리 231번지 1호  ,경상북도 포항시 북구 기계면 기남길 75,3,2025-08-14
춘달농장,한우,경상북도 포항시 북구 우현동 430번지  ,경상북도 포항시 북구 아치로 196 (우현동),9,2025-08-14
경인축산,한우,경상북도 포항시 북구 장성동 707번지 1호  ,경상북도 포항시 북구 침촌마을길 75-29 (장성동),11,2025-08-14
럭키축산,한우,경상북도 포항시 북구 양덕동 1114번지  ,,10,2025-08-14
안덕농장,한우,경상북도 포항시 북구 신광면 안덕리 16번지 1호  ,경상북도 포항시 북구 신광면 비학로1197번길 44-85,17,2025-08-14
아리랑농장,한우,경상북도 포항시 북구 송라면 하송리 481번지  ,,4,2025-08-14
산서농장,한우,경상북도 포항시 남구 장기면 산서리 450번지  ,경상북도 포항시 남구 장기면 산서길98번길 6,12,2025-08-14
덕장농장,한우,경상북도 포항시 북구 흥해읍 덕장리 1155번지 외3필지 ,경상북도 포항시 북구 흥해읍 덕실마을길 132-60,0,2025-08-14
어래산농장,한우,경상북도 포항시 북구 기계면 학야리 366번지  ,,13,2025-08-14
태양농장,사슴,경상북도 포항시 남구 호미곶면 대보리 707번지  ,경상북도 포항시 남구 호미곶면 해맞이로167번길 77,20,2025-08-14
한화농장,한우,경상북도 포항시 북구 청하면 하대리 297번지  ,경상북도 포항시 북구 청하면 청하로109번길 67-77,40,2025-08-14
대현농장,한우,경상북도 포항시 남구 호미곶면 강사리 869번지  ,경상북도 포항시 남구 호미곶면 일출로687번길 68,2,2025-08-14
경성목장,한우,경상북도 포항시 북구 흥해읍 덕장리 1067번지  ,경상북도 포항시 북구 흥해읍 덕장길 271-23,17,2025-08-14
일출농장,한우,경상북도 포항시 북구 흥해읍 용전리 751번지  ,경상북도 포항시 북구 흥해읍 용연길 215-86,4,2025-08-14
에벤에셀,한우,경상북도 포항시 북구 신광면 만석리 306번지  ,경상북도 포항시 북구 신광면 비학로1242번길 10-26,20,2025-08-14
강산해 농장,한우,경상북도 포항시 북구 신광면 우각리 431번지  ,경상북도 포항시 북구 신광면 비학로720번길 23-89,84,2025-08-14
동진농원,한우,경상북도 포항시 북구 기계면 내단리 945번지 1호  ,경상북도 포항시 북구 기계면 새마을로1525번길 43,30,2025-08-14
한들농장,한우,경상북도 포항시 북구 기북면 대곡리 1546번지 2호  ,경상북도 포항시 북구 기북면 기북로 232-9,0,2025-08-14
봉산농장,한우,경상북도 포항시 남구 장기면 창지리 568번지 3호  ,경상북도 포항시 남구 장기면 장기로781번길 33-8,10,2025-08-14
창남목장,한우,경상북도 포항시 남구 장기면 창지리 559번지 2호  ,경상북도 포항시 남구 장기면 장기로781번길 9-6,7,2025-08-14
