농장명,행정동명,소재지주소,축종,사육두수,관리기관명,데이터기준일자
농장,성동면,충청남도 논산시 성동면 원봉리 112-1,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 시묘리 598-10,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 도산리 220,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 신당리 32-3,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 연서리 127-1,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 임화리 589,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 296-39,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 방축리 675,염소,10,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 산직리 산 2-3,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 충곡리 312-1,염소,10,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 산26-14,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 산101,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 182-1,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 호암리 666,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 왕암리 227-1,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원봉리 884,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원남리 26-6,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 장구리 126-16,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대촌리 400번지 3,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 목곡리 224,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 종연리 723,한우,11,충청남도 논산시 축수산과,2024-09-30
김** 축사,광석면,충청남도 논산시 광석면 이사리 376-5,염소,10,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 141-2,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 득윤리 789-12,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 봉동리 113-2,한우,12,충청남도 논산시 축수산과,2024-09-30
부부목장,강경읍,충청남도 논산시 강경읍 채운리 160,한우,10,충청남도 논산시 축수산과,2024-09-30
양** 축사,성동면,충청남도 논산시 성동면 원봉리 838,한우,10,충청남도 논산시 축수산과,2024-09-30
전** 축사,노성면,충청남도 논산시 노성면 읍내리 339-5,한우,10,충청남도 논산시 축수산과,2024-09-30
권** 축사,양촌면,충청남도 논산시 양촌면 반암리 245-2,한우,10,충청남도 논산시 축수산과,2024-09-30
승화목장,연산면,충청남도 논산시 연산면 장전리 447,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 효죽리 629,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 가곡리 45-1,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 등리 381,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 토양리 473-2,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 315,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대촌리 46-1,한우,12,충청남도 논산시 축수산과,2024-09-30
종근축산,양촌면,충청남도 논산시 양촌면 반암리 373,한우,11,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마산리 152-1,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대명리 432번지,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 장전리 672-12,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 중산리 582,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,덕지동,충청남도 논산시 덕지동 330-1,산양,12,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 광리 180-5,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,채운면,충청남도 논산시 채운면 용화리 328-7,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 산직리 15-15,한우,13,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 교촌리 381-2,한우,13,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 신흥리 266-1,한우,13,충청남도 논산시 축수산과,2024-09-30
농장,채운면,충청남도 논산시 채운면 화정리 46-1,한우,13,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 득윤리 236-1,한우,13,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 만목리 376,한우,13,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 외성리 189번지 3,한우,13,충청남도 논산시 축수산과,2024-09-30
윤** 축사,은진면,충청남도 논산시 은진면 토양리 288,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 광석면 득윤리 236-1,한우,13,충청남도 논산시 축수산과,2024-09-30
농장,강경읍,충청남도 논산시 강경읍 채운리 443-1,한우,13,충청남도 논산시 축수산과,2024-09-30
장** 축사,성동면,충청남도 논산시 성동면 정지리 326,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 육곡리 325-1,한우,13,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 마구평리 28,한우,14,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 대덕리 305-1,한우,14,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 임화리 671-3,한우,14,충청남도 논산시 축수산과,2024-09-30
신** 축사,광석면,충청남도 논산시 광석면 천동리 243-9,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 등리 415,한우,14,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 89-1,한우,14,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대명리 205번지 108,한우,14,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 덕평리 289-11,한우,14,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 한삼천리 25-2,한우,14,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원봉리 315,한우,14,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 덕평리 23-21,한우,14,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 숙진리 566,한우,14,충청남도 논산시 축수산과,2024-09-30
정** 축사,연산면,충청남도 논산시 연산면 신암리 216,한우,12,충청남도 논산시 축수산과,2024-09-30
농장,채운면,충청남도 논산시 채운면 우기리 159-2,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 표정리 352-2,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 신흥리 302-1,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 238,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 중산리 476,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 덕평리 322-6,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 조동리 47,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마전리 801-16,산양,15,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 안심리 841-12,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 장구리 55,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마전리 556,한우,15,충청남도 논산시 축수산과,2024-09-30
 ,벌곡면,충청남도 논산시 벌곡면 신양리 615,한우,13,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 백석리 3-4,사슴,15,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 조동리 285,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 연서리 143-1,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 득윤리 480-6,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 소룡리 562-4,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 병사리 148-5,산양,15,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 신당리 669-1,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 산직리 531-4,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 우곤리 1308-1,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 병사리 산46-5,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 등리 376-3,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 인천리 23-1,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 소룡리 638-77,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 월성리 335,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 득윤리 480-14,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 남산리 55,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 269-17,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 261,한우,17,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 임리 132-4,한우,17,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 1043,한우,17,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 산252-2,한우,17,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 채광리 103-3,한우,17,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 효죽리 358-2,한우,17,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 교촌리 428-4,한우,17,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 장전리 775-1,한우,18,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 133-1,한우,18,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 항월리 69-1,한우,18,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 외성리 27,한우,19,충청남도 논산시 축수산과,2024-09-30
서림농원,가야곡면,충청남도 논산시 가야곡면 양촌리 527,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 용산리 129-2,한우,19,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 외성리 271-1,한우,19,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 만목리 327,한우,19,충청남도 논산시 축수산과,2024-09-30
농장,등화동,충청남도 논산시 등화동 313-1,한우,19,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 산 162-1,한우,19,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 장전리 143-2,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 야촌리 338,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반곡리 266-2,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 반송리 326,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 송당리 154,한우,20,충청남도 논산시 축수산과,2024-09-30
이** 축사,채운면,충청남도 논산시 채운면 화정리 182-3,한우,15,충청남도 논산시 축수산과,2024-09-30
권**축사,광석면,충청남도 논산시 광석면 산동리 81-1,한우,15,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 항월리 490,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 항월리 655-1,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 신충리 425,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 장전리 166-1,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 사월리 306-3,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 화정리 76,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 아호리 691-4,한우,20,충청남도 논산시 축수산과,2024-09-30
김**축사,부적면,충청남도 논산시 부적면 덕평리 239-1,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 율리 310-2,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 반송리 194,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 두월리 394-2,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마전리 13-2,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 산 112,산양,20,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 장전리 315,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,강경읍,충청남도 논산시 강경읍 채운리 371,한우,21,충청남도 논산시 축수산과,2024-09-30
증산축산,광석면,충청남도 논산시 광석면 왕전리 607,한우,16,충청남도 논산시 축수산과,2024-09-30
양** 축사,은진면,충청남도 논산시 은진면 토양리 204,한우,16,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 389,한우,21,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 봉동리 1101-7,한우,21,충청남도 논산시 축수산과,2024-09-30
항월목장,광석면,충청남도 논산시 광석면 항월리 453,한우,17,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 170,한우,21,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 270-1,한우,21,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 효죽리 184-4,한우,22,충청남도 논산시 축수산과,2024-09-30
윤**축사,연무읍,충청남도 논산시 연무읍 고내리 146-1,한우,17,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 덕평리 349-2,한우,22,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 240,한우,22,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 340-1,한우,22,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마전리 697-2,한우,22,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 고정리 276,한우,23,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 임화리 285-3,한우,23,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 항월리 366,한우,23,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 육곡리 109-8,한우,23,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 용산리 541-1,한우,23,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 안심리 27-9,한우,24,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 읍내리 63-3,한우,24,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 덕암리 496-1,한우,24,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 중리 142-23,한우,24,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 호암리 230-4,한우,24,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 왕암리 140-5,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,강경읍,충청남도 논산시 강경읍 채운리 209,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 왕전리 594-3,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 반송리 482-7,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 임화리 323-1,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 중리 3-1,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마전리 862,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 송정리 164-18,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 등리 515-1,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 신풍리 580,한우,25,충청남도 논산시 축수산과,2024-09-30
노**축사,광석면,충청남도 논산시 광석면 갈산리 426,한우,19,충청남도 논산시 축수산과,2024-09-30
서**축사,가야곡면,충청남도 논산시 가야곡면 육곡리 188,한우,19,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대명리 135-3,한우,26,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 한전리 31,한우,26,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 341-5,한우,26,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 병사리 산 46-4,한우,27,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 임화리 129-1,한우,27,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 읍내리 23,한우,28,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 153,한우,28,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 육곡리 109-6,한우,28,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 아호리 658,한우,29,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 146,한우,29,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 임화리 585-1,한우,29,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 백석리 556,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 덕암리 133,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 신화리 304-19,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 178,한우,30,충청남도 논산시 축수산과,2024-09-30
김**축사,광석면,충청남도 논산시 광석면 항월리 17,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 효죽리 336-1,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 신교리 707-1,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 석서리 203,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 득윤리 678,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 득윤리 173-1,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 신화리 75-1,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 도평리 519-85,한우,30,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 578-6,한우,31,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 570-34,한우,31,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 어은리 256,한우,31,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 외성리 202,한우,31,충청남도 논산시 축수산과,2024-09-30
윤석농원,광석면,충청남도 논산시 광석면 광리 181-32,염소,20,충청남도 논산시 축수산과,2024-09-30
농장,등화동,충청남도 논산시 등화동 68,한우,31,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 마구평리 343-1,한우,33,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 고정리 산8-11,한우,33,충청남도 논산시 축수산과,2024-09-30
아침축산,상월면,충청남도 논산시 상월면 대명리 467-1,한우,20,충청남도 논산시 축수산과,2024-09-30
이** 축사,양촌면,충청남도 논산시 양촌면 반곡리 233,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 용산리 145-22,한우,33,충청남도 논산시 축수산과,2024-09-30
김** 축사,은진면,충청남도 논산시 은진면 시묘리 476-2,염소,20,충청남도 논산시 축수산과,2024-09-30
형제축사,가야곡면,충청남도 논산시 가야곡면 등리 724-1,한우,20,충청남도 논산시 축수산과,2024-09-30
오**축사,상월면,충청남도 논산시 상월면 대명리 205-108,한우,20,충청남도 논산시 축수산과,2024-09-30
안** 축사,성동면,충청남도 논산시 성동면 정지리 240,한우,20,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 319-1,한우,33,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 신교리 199-1,한우,35,충청남도 논산시 축수산과,2024-09-30
태길목장,상월면,충청남도 논산시 상월면 대명리 273-6,한우,21,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 왕전리 552-2,한우,35,충청남도 논산시 축수산과,2024-09-30
농 장,상월면,충청남도 논산시 상월면 대명리 161-13,한우,21,충청남도 논산시 축수산과,2024-09-30
농장,채운면,충청남도 논산시 채운면 장화리 237,한우,35,충청남도 논산시 축수산과,2024-09-30
정** 축사,양촌면,충청남도 논산시 양촌면 임화리 65-1,한우,21,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 외성리 504-36,한우,36,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 오강리 372-2,한우,36,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 신암리 217,한우,37,충청남도 논산시 축수산과,2024-09-30
삼전축산,가야곡면,충청남도 논산시 가야곡면 삼전리 226-5,한우,22,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 오강리 381-1,한우,37,충청남도 논산시 축수산과,2024-09-30
농장,등화동,충청남도 논산시 등화동 425-6,한우,37,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 갈산리 600,한우,40,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마전리 776-11,돼지,40,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 797-8,한우,40,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 아호리 119-4,한우,40,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 조동리 121-1,한우,40,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 동산리 835-3,한우,40,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원남리 1061-25,한우,40,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대명리 47-4,산양,40,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 상도리 411-1,염소,40,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마산리 332,한우,41,충청남도 논산시 축수산과,2024-09-30
농장,채운면,충청남도 논산시 채운면 삼거리 796,한우,41,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 효죽리 62-1,한우,45,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원봉리 419-2,한우,45,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 우곤리 186-2,한우,46,충청남도 논산시 축수산과,2024-09-30
우암목장,연산면,충청남도 논산시 연산면 덕암리 173-2,한우,24,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마산리 358-16,한우,46,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 병사리 414-6,한우,47,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원봉리 871-6,한우,50,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 1097-33,한우,50,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 덕암리 130-1,한우,50,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 임리 145-1,한우,50,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 신화리 816-5,한우,50,충청남도 논산시 축수산과,2024-09-30
허** 축사,양촌면,충청남도 논산시 양촌면 신기리 359-3,한우,24,충청남도 논산시 축수산과,2024-09-30
광석 한우 단지,광석면,충청남도 논산시 광석면 신당리 66-1,한우,25,충청남도 논산시 축수산과,2024-09-30
조** 축사,광석면,충청남도 논산시 광석면 율리 297-1,한우,25,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 육곡리 224-1,한우,50,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 1020-10,산양,50,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 명암리 234,한우,50,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 반송리 산 14-1,염소,50,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 항월리 8,염소,50,충청남도 논산시 축수산과,2024-09-30
