사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수(계),면적(계),데이터기준일자
민이농장,한우,강원특별자치도 강릉시 강동면 하시동리 1394번지  ,,3,1,465.00 ,2023-12-08
종오농장,한우,강원특별자치도 강릉시 강동면 모전리 842번지 88호  ,강원특별자치도 강릉시 강동면 아래장작골길 21,49,1,595.38 ,2023-12-08
김남각 농장,한우,강원특별자치도 강릉시 연곡면 동덕리 618번지 1호  ,강원특별자치도 강릉시 연곡면 도방길 75-4,120,2,1398.00 ,2023-12-08
지재농장 2,한우,강원특별자치도 강릉시 사천면 산대월리 462번지  ,,20,1,401.00 ,2023-12-08
남강릉농장,한우,강원특별자치도 강릉시 구정면 어단리 478번지 46호 외 3필지 ,,15,1,94.00 ,2023-12-08
동녁골농장,종계산란계,강원특별자치도 강릉시 연곡면 신왕리 114번지 1호  ,,50,1,14.00 ,2023-12-08
강원도 감자원종장,한우,강원특별자치도 강릉시 왕산면 대기리 1147번지 강원도감자종자진흥원 ,"강원특별자치도 강릉시 왕산면 안반데기길 11, 강원특별자치도감자종자진흥원",4,1,90.00 ,2023-12-08
부흥농장,종계산란계+육계+칠면조+거위,강원특별자치도 강릉시 구정면 학산리 886번지 3호  ,강원특별자치도 강릉시 구정면 구정중앙로 158-51,258,1,48.00 ,2023-12-08
선화농장,한우,강원특별자치도 강릉시 구정면 여찬리 971번지 1호  ,,4,1,48.00 ,2023-12-08
대관령 곤이농장,염소,강원특별자치도 강릉시 성산면 어흘리 305번지  ,,30,1,80.00 ,2023-12-08
옥계 백봉이네,종계산란계,강원특별자치도 강릉시 옥계면 남양리 69번지 3호  ,강원특별자치도 강릉시 옥계면 올밑길 235,800,1,191.10 ,2023-12-08
김순덕 농장,한우,강원특별자치도 강릉시 주문진읍 향호리 860번지  ,,20,1,328.73 ,2023-12-08
올래 농장,종계산란계,강원특별자치도 강릉시 성산면 관음리 624번지  ,강원특별자치도 강릉시 성산면 괴일길 287-20,500,1,176.00 ,2023-12-08
엄지농장,한우,강원특별자치도 강릉시 주문진읍 향호리 795번지 외 1번지 ,강원특별자치도 강릉시 주문진읍 거문동길 342,20,1,317.87 ,2023-12-08
혜기목장,기타,강원특별자치도 강릉시 구정면 학산리 1444번지  ,강원특별자치도 강릉시 구정면 칠성로 171,0,1,49.95 ,2023-12-08
청솔목장,기타,강원특별자치도 강릉시 구정면 여찬리 669번지 29호  ,강원특별자치도 강릉시 구정면 말미길 171-25,0,1,1708.00 ,2023-12-08
안인농장,한우,강원특별자치도 강릉시 강동면 안인리 423번지 1호  ,,30,2,363.14 ,2023-12-08
방축농장,한우,강원특별자치도 강릉시 연곡면 유등리 210번지 3호  ,,30,1,214.20 ,2023-12-08
주택농장,한우,강원특별자치도 강릉시 강동면 임곡리 산 45번지  ,강원특별자치도 강릉시 강동면 임곡로 697-27,5,1,48.00 ,2023-12-08
병산농원,염소,강원특별자치도 강릉시 병산동 770번지 외 2필지 ,,100,8,1517.34 ,2023-12-08
월기농장,한우,강원특별자치도 강릉시 구정면 여찬리 130번지 1호  ,강원특별자치도 강릉시 구정면 새끼미길 32-3,7,1,38.00 ,2023-12-08
해강목장,한우,강원특별자치도 강릉시 구정면 학산리 1209번지 2호  ,강원특별자치도 강릉시 구정면 금평로 91-16,18,1,179.00 ,2023-12-08
판교해안농장,기타,강원특별자치도 강릉시 사천면 판교리 873번지 1호  ,강원특별자치도 강릉시 사천면 해안로 1121-312,0,1,333.00 ,2023-12-08
한우2농장,한우,강원특별자치도 강릉시 구정면 여찬리 664번지 2호  ,강원특별자치도 강릉시 구정면 말미길 143,10,1,633.60 ,2023-12-08
최희선 농장,한우,강원특별자치도 강릉시 주문진읍 향호리 511번지 6호  ,강원특별자치도 강릉시 주문진읍 참샘길 149-95,20,1,289.00 ,2023-12-08
하남농장,한우,강원특별자치도 강릉시 안현동 307번지 외 1필지 ,강원특별자치도 강릉시 하남길127번길 127 (안현동),20,1,166.50 ,2023-12-08
수목원목장,한우,강원특별자치도 강릉시 구정면 여찬리 657번지 9호  ,,27,1,407.40 ,2023-12-08
덕현농장,한우,강원특별자치도 강릉시 담산동 584번지  ,,30,1,377.00 ,2023-12-08
향호농장,염소,강원특별자치도 강릉시 주문진읍 향호리 459번지 6호  ,,100,1,301.95 ,2023-12-08
향호목장,한우,강원특별자치도 강릉시 주문진읍 향호리 511번지 10호  ,강원특별자치도 강릉시 주문진읍 참샘길 149-95,40,2,579.92 ,2023-12-08
산막골 농장,한우,강원특별자치도 강릉시 주문진읍 향호리 819번지 1호  ,강원특별자치도 강릉시 주문진읍 거문동길 298-41,30,1,437.10 ,2023-12-08
지혜목장,한우,강원특별자치도 강릉시 구정면 금광리 1401번지  ,,7,1,49.00 ,2023-12-08
강릉 쌍둥이 동물농장,한우+육우,강원특별자치도 강릉시 옥계면 천남리 383번지  ,,5,2,40.00 ,2023-12-08
어단농원,한우,강원특별자치도 강릉시 구정면 어단리 862번지 4호  ,강원특별자치도 강릉시 구정면 구정둔지길 29-13,6,1,48.00 ,2023-12-08
대관령 옛길 사슴 목장,기타,강원특별자치도 강릉시 성산면 어흘리 602번지  ,강원특별자치도 강릉시 성산면 망월길 46,0,1,56.00 ,2023-12-08
대관령 옛길 사슴 목장,기타,강원특별자치도 강릉시 성산면 어흘리 602번지  ,강원특별자치도 강릉시 성산면 망월길 46,0,3,330.00 ,2023-12-08
엄지농장,기타,강원특별자치도 강릉시 주문진읍 향호리 795번지 1필지 ,,0,1,350.00 ,2023-12-08
송파 사슴 농장,사슴,강원특별자치도 강릉시 사천면 노동리 84번지 1호  ,강원특별자치도 강릉시 사천면 샛돌1길 12,5,0,28.00 ,2023-12-08
이화농장,기타,강원특별자치도 강릉시 구정면 학산리 79번지 2호  ,강원특별자치도 강릉시 구정면 미륵굼길 86,0,3,477.66 ,2023-12-08
대관령 농장,기타,강원특별자치도 강릉시 왕산면 대기리 1906번지 31호  ,강원특별자치도 강릉시 왕산면 바람부리길 126-55,0,1,60.00 ,2023-12-08
왕산골 사슴농장,기타,강원특별자치도 강릉시 왕산면 왕산리 759번지  ,강원특별자치도 강릉시 왕산면 왕산큰골길 182-29,0,1,40.00 ,2023-12-08
대우농장,기타,강원특별자치도 강릉시 강동면 하시동리 727번지  ,강원특별자치도 강릉시 강동면 풍호길 240,0,1,198.00 ,2023-12-08
정돈교 흑염소 농장,기타,강원특별자치도 강릉시 왕산면 대기리 산 560번지  ,,0,1,192.00 ,2023-12-08
