연번,농장구분,소재지,한우,젖소,육우,데이터기준일
361,개인,충청남도 청양군 비봉면 양사리 166-1,29,0,0,2026-05-18
362,개인,충청남도 청양군 장평면 죽림리 180,88,0,0,2026-05-18
363,개인,충청남도 청양군 남양면 대봉리 79,5,0,0,2026-05-18
364,개인,충청남도 청양군 남양면 신왕리 350,7,0,0,2026-05-18
365,개인,충청남도 청양군 비봉면 중묵리 519-10,4,0,0,2026-05-18
366,개인,충청남도 청양군 남양면 봉암리 202-1,4,0,0,2026-05-18
367,개인,충청남도 청양군 청남면 동강리 677-13,88,0,0,2026-05-18
368,개인,충청남도 청양군 비봉면 장재리 572-4,142,0,0,2026-05-18
369,개인,충청남도 청양군 청양읍 청수리 269-3,2,0,0,2026-05-18
370,개인,충청남도 청양군 청양읍 장승리 555-2,44,0,0,2026-05-18
371,개인,충청남도 청양군 운곡면 미량리 1069-5,87,0,0,2026-05-18
372,개인,충청남도 청양군 청양읍 학당리 359-5,212,0,0,2026-05-18
373,개인,충청남도 청양군 장평면 관현리 643-1,2,0,0,2026-05-18
374,개인,충청남도 청양군 정산면 역촌리 28,0,0,0,2026-05-18
375,개인,충청남도 청양군 화성면 매산리 47,0,0,0,2026-05-18
376,개인,충청남도 청양군 청남면 대흥리 166,9,0,0,2026-05-18
377,개인,충청남도 청양군 비봉면 양사리 620-3,93,0,0,2026-05-18
378,개인,충청남도 청양군 비봉면 방한리 351-2,12,0,0,2026-05-18
379,개인,충청남도 청양군 화성면 수정리 300-2,0,0,0,2026-05-18
380,개인,충청남도 청양군 비봉면 방한리 44-4,0,0,0,2026-05-18
381,개인,충청남도 청양군 남양면 매곡리 95,11,0,0,2026-05-18
382,개인,충청남도 청양군 장평면 구룡리 59-8,0,0,0,2026-05-18
383,개인,충청남도 청양군 청양읍 적누리 103,6,0,0,2026-05-18
384,개인,충청남도 청양군 장평면 화산리 94-2,19,0,0,2026-05-18
385,개인,충청남도 청양군 목면 대평리 27,14,0,0,2026-05-18
386,개인,충청남도 청양군 목면 본의리 374,17,0,0,2026-05-18
387,개인,충청남도 청양군 정산면 백곡리 164,3,0,0,2026-05-18
388,개인,충청남도 청양군 목면 화양리 1053-5,54,0,0,2026-05-18
389,개인,충청남도 청양군 장평면 구룡리 60-10,141,0,0,2026-05-18
390,개인,충청남도 청양군 정산면 덕성리 26-2,8,0,0,2026-05-18
391,개인,충청남도 청양군 목면 송암리 377,3,0,0,2026-05-18
392,개인,충청남도 청양군 장평면 락지리 32-1,0,0,0,2026-05-18
393,개인,충청남도 청양군 정산면 백곡리 656-8,201,0,0,2026-05-18
394,개인,충청남도 청양군 장평면 구룡리 60-12,120,0,0,2026-05-18
395,개인,충청남도 청양군 대치면 시전리 491,7,0,0,2026-05-18
396,개인,충청남도 청양군 장평면 분향리 325,7,0,0,2026-05-18
397,개인,충청남도 청양군 청양읍 정좌리 648,8,0,0,2026-05-18
398,개인,충청남도 청양군 정산면 역촌리 782-2,39,0,0,2026-05-18
399,개인,충청남도 청양군 남양면 신왕리 294,52,0,0,2026-05-18
400,개인,충청남도 청양군 장평면 은곡리 614,184,0,0,2026-05-18
401,개인,충청남도 청양군 청남면 지곡리 292-3,228,0,0,2026-05-18
402,개인,충청남도 청양군 청남면 천내리 826-1,118,0,0,2026-05-18
403,개인,충청남도 청양군 장평면 적곡리 1002-7,73,0,0,2026-05-18
404,개인,충청남도 청양군 비봉면 장재리 572-2,85,0,0,2026-05-18
405,개인,충청남도 청양군 남양면 백금리 747-1,45,0,0,2026-05-18
406,개인,충청남도 청양군 목면 화양리 1049-2,175,0,0,2026-05-18
407,개인,충청남도 청양군 목면 화양리 1049-1,178,0,0,2026-05-18
408,개인,충청남도 청양군 대치면 주정리 68,0,0,0,2026-05-18
409,개인,충청남도 청양군 대치면 광금리 421-1,12,0,0,2026-05-18
410,개인,충청남도 청양군 남양면 흥산리 451,0,0,0,2026-05-18
411,개인,충청남도 청양군 운곡면 미량리 575,0,0,0,2026-05-18
412,개인,충청남도 청양군 장평면 화산리 472-1,17,0,0,2026-05-18
413,개인,충청남도 청양군 운곡면 추광리 215-1,0,0,0,2026-05-18
414,개인,충청남도 청양군 운곡면 추광리 563-7,2,0,0,2026-05-18
415,개인,충청남도 청양군 대치면 형산리 234,0,0,0,2026-05-18
416,개인,충청남도 청양군 청양읍 장승리 409-2,8,0,0,2026-05-18
417,개인,충청남도 청양군 목면 화양리 188,10,0,0,2026-05-18
418,개인,충청남도 청양군 목면 대평리 506,3,0,0,2026-05-18
419,개인,충청남도 청양군 비봉면 장재리 215,0,0,0,2026-05-18
420,개인,충청남도 청양군 정산면 해남리 121-6,46,0,0,2026-05-18
421,개인,충청남도 청양군 청양읍 장승리 81-2,8,0,0,2026-05-18
422,개인,충청남도 청양군 비봉면 강정리 506-2,7,0,0,2026-05-18
423,개인,충청남도 청양군 정산면 와촌리 178,30,0,0,2026-05-18
424,개인,충청남도 청양군 비봉면 록평리 257-8,6,0,0,2026-05-18
425,개인,충청남도 청양군 청남면 대흥리 170,1,0,0,2026-05-18
426,개인,충청남도 청양군 정산면 남천리 209-2,24,0,0,2026-05-18
427,개인,충청남도 청양군 청양읍 학당리 24,2,0,0,2026-05-18
428,개인,충청남도 청양군 장평면 죽림리 188-4,23,0,0,2026-05-18
429,개인,충청남도 청양군 화성면 구재리 227-5,2,0,0,2026-05-18
430,개인,충청남도 청양군 청남면 지곡리 467-8,1,0,0,2026-05-18
431,개인,충청남도 청양군 장평면 화산리 328,0,0,0,2026-05-18
432,개인,충청남도 청양군 비봉면 장재리 243,0,0,0,2026-05-18
433,개인,충청남도 청양군 청양읍 학당리 499,3,0,0,2026-05-18
434,개인,충청남도 청양군 장평면 락지리 326-1,0,0,0,2026-05-18
435,개인,충청남도 청양군 화성면 신정리 386,14,0,0,2026-05-18
436,개인,충청남도 청양군 청양읍 장승리 122,45,0,0,2026-05-18
437,개인,충청남도 청양군 청양읍 학당리 131,4,0,0,2026-05-18
438,개인,충청남도 청양군 비봉면 강정리 277-16,37,0,0,2026-05-18
439,개인,충청남도 청양군 운곡면 영양리 7-2,22,0,0,2026-05-18
440,개인,충청남도 청양군 운곡면 위라리 683,4,0,0,2026-05-18
441,개인,충청남도 청양군 장평면 분향리 853-1,87,0,0,2026-05-18
442,개인,충청남도 청양군 청양읍 학당리 109-2,109,8,17,2026-05-18
443,개인,충청남도 청양군 청양읍 장승리 224,22,0,0,2026-05-18
444,개인,충청남도 청양군 장평면 구룡리 276-5,26,0,0,2026-05-18
445,개인,충청남도 청양군 정산면 내초리 4,14,0,0,2026-05-18
446,개인,충청남도 청양군 장평면 적곡리 290,8,0,0,2026-05-18
447,개인,충청남도 청양군 운곡면 영양리 243,26,0,0,2026-05-18
448,개인,충청남도 청양군 청양읍 송방리 7,27,0,0,2026-05-18
449,개인,충청남도 청양군 화성면 화암리 391,3,0,0,2026-05-18
450,개인,충청남도 청양군 화성면 장계리 403-3,6,0,0,2026-05-18
451,개인,충청남도 청양군 목면 송암리 185-1,0,0,0,2026-05-18
452,개인,충청남도 청양군 비봉면 양사리 615,103,0,0,2026-05-18
453,개인,충청남도 청양군 남양면 온암리 508-2,15,0,0,2026-05-18
454,개인,충청남도 청양군 목면 대평리 689-1,9,0,0,2026-05-18
455,개인,충청남도 청양군 정산면 와촌리 94-3,26,0,0,2026-05-18
456,개인,충청남도 청양군 목면 대평리 378-3,17,0,0,2026-05-18
457,개인,충청남도 청양군 청남면 아산리 598-12,124,0,0,2026-05-18
458,개인,충청남도 청양군 청남면 지곡리 700-1,25,0,0,2026-05-18
459,개인,충청남도 청양군 운곡면 미량리 1058,56,0,0,2026-05-18
460,개인,충청남도 청양군 대치면 대치면 ,1,0,0,2026-05-18
461,개인,충청남도 청양군 정산면 남천리 321,20,0,0,2026-05-18
462,개인,충청남도 청양군 운곡면 영양리 1264-4,72,0,0,2026-05-18
463,개인,충청남도 청양군 대치면 주정리 350,15,0,0,2026-05-18
464,개인,충청남도 청양군 비봉면 장재리 569-1,0,0,0,2026-05-18
465,개인,충청남도 청양군 운곡면 미량리 320,7,0,0,2026-05-18
466,개인,충청남도 청양군 목면 본의리 97-2,11,0,0,2026-05-18
467,개인,충청남도 청양군 남양면 신왕리 666-21,13,0,0,2026-05-18
468,개인,충청남도 청양군 목면 화양리 1173,127,0,0,2026-05-18
469,개인,충청남도 청양군 장평면 죽림리 143,56,0,0,2026-05-18
470,개인,충청남도 청양군 운곡면 미량리 1068-6,45,0,0,2026-05-18
471,개인,충청남도 청양군 청남면 지곡리 288-5,0,0,0,2026-05-18
472,개인,충청남도 청양군 목면 대평리 526-9,47,0,0,2026-05-18
473,개인,충청남도 청양군 화성면 광평리 50,12,0,0,2026-05-18
474,개인,충청남도 청양군 청남면 상장리 675-3,39,0,0,2026-05-18
475,개인,충청남도 청양군 정산면 용두리 354-4,0,0,0,2026-05-18
476,개인,충청남도 청양군 청남면 지곡리 689-10,38,0,0,2026-05-18
477,개인,충청남도 청양군 운곡면 영양리 893,8,0,0,2026-05-18
478,개인,충청남도 청양군 비봉면 양사리 665,5,0,0,2026-05-18
479,개인,충청남도 청양군 정산면 마치리 450-3,6,0,0,2026-05-18
480,개인,충청남도 청양군 운곡면 미량리 1060-2,144,0,0,2026-05-18
481,개인,충청남도 청양군 비봉면 양사리 657,6,0,0,2026-05-18
482,개인,충청남도 청양군 청남면 중산리 788-8,81,0,0,2026-05-18
483,개인,충청남도 청양군 화성면 화암리 479,23,0,0,2026-05-18
484,개인,충청남도 청양군 목면 화양리 1045-7,285,0,0,2026-05-18
485,개인,충청남도 청양군 청양읍 학당리 123-2,7,0,0,2026-05-18
486,개인,충청남도 청양군 청남면 지곡리 292-6,8,0,0,2026-05-18
487,개인,충청남도 청양군 운곡면 추광리 397,0,0,0,2026-05-18
488,개인,충청남도 청양군 청양읍 학당리 623-6,9,0,0,2026-05-18
489,개인,충청남도 청양군 장평면 중추리 645-9,133,0,0,2026-05-18
490,개인,충청남도 청양군 비봉면 장재리 산24-13,38,0,0,2026-05-18
491,개인,충청남도 청양군 목면 화양리 1067-1,263,0,0,2026-05-18
492,개인,충청남도 청양군 청남면 청소리 657-2,96,0,0,2026-05-18
493,개인,충청남도 청양군 목면 화양리 1048-2,243,0,0,2026-05-18
494,개인,충청남도 청양군 화성면 용당리 487,9,0,0,2026-05-18
495,개인,충청남도 청양군 남양면 대봉리 629-1,8,0,0,2026-05-18
496,개인,충청남도 청양군 비봉면 중묵리 522-1,0,0,0,2026-05-18
497,개인,충청남도 청양군 청남면 왕진리 898-1,1,0,0,2026-05-18
498,개인,충청남도 청양군 청남면 상장리 648-1,42,0,0,2026-05-18
499,개인,충청남도 청양군 청남면 지곡리 467-8,0,0,0,2026-05-18
500,개인,충청남도 청양군 정산면 마치리 499-1,39,0,0,2026-05-18
501,개인,충청남도 청양군 정산면 광생리 389-6,213,0,0,2026-05-18
502,개인,충청남도 청양군 대치면 이화리 488,5,0,0,2026-05-18
503,개인,충청남도 청양군 정산면 역촌리 118,28,0,0,2026-05-18
504,개인,충청남도 청양군 화성면 신정리 622-10,111,0,0,2026-05-18
505,개인,충청남도 청양군 대치면 시전리 491-4,8,0,0,2026-05-18
506,개인,충청남도 청양군 운곡면 광암리 374-1,71,0,0,2026-05-18
507,개인,충청남도 청양군 목면 대평리 123-4,6,0,0,2026-05-18
508,개인,충청남도 청양군 비봉면 중묵리 608-4,10,0,0,2026-05-18
509,개인,충청남도 청양군 운곡면 영양리 1238-8,10,0,0,2026-05-18
510,개인,충청남도 청양군 장평면 관현리 215-1,5,0,0,2026-05-18
511,개인,충청남도 청양군 화성면 신정리 525,6,0,0,2026-05-18
512,개인,충청남도 청양군 장평면 미당리 17,9,0,0,2026-05-18
513,개인,충청남도 청양군 비봉면 양사리 255-2,6,0,0,2026-05-18
514,개인,충청남도 청양군 남양면 온암리 323,2,0,0,2026-05-18
515,개인,충청남도 청양군 청양읍 학당리 64-2,25,0,0,2026-05-18
516,개인,충청남도 청양군 비봉면 방한리 1026-9,28,0,0,2026-05-18
517,개인,충청남도 청양군 대치면 주정리 147-2,12,0,0,2026-05-18
518,개인,충청남도 청양군 화성면 농암리 453,0,0,0,2026-05-18
519,개인,충청남도 청양군 비봉면 양사리 580-1,0,0,0,2026-05-18
520,개인,충청남도 청양군 비봉면 중묵리 114-1,69,0,0,2026-05-18
521,개인,충청남도 청양군 장평면 화산리 ,1,0,0,2026-05-18
522,개인,충청남도 청양군 청남면 중산리 766-11,34,0,0,2026-05-18
523,개인,충청남도 청양군 목면 대평리 26-1,0,0,0,2026-05-18
524,개인,충청남도 청양군 비봉면 장재리 568-13,49,0,0,2026-05-18
525,개인,충청남도 청양군 정산면 남천리 343-1,35,0,0,2026-05-18
526,개인,충청남도 청양군 장평면 적곡리 271-1,78,0,0,2026-05-18
527,개인,충청남도 청양군 비봉면 중묵리 15-1,12,0,0,2026-05-18
528,개인,충청남도 청양군 목면 본의리 378-1,18,0,0,2026-05-18
529,개인,충청남도 청양군 장평면 죽림리 268,23,0,0,2026-05-18
530,개인,충청남도 청양군 남양면 온암리 424,95,0,0,2026-05-18
531,개인,충청남도 청양군 정산면 역촌리 791,7,0,0,2026-05-18
532,개인,충청남도 청양군 청양읍 적누리 137-6,10,0,0,2026-05-18
533,개인,충청남도 청양군 목면 안심리 436,0,0,0,2026-05-18
534,개인,충청남도 청양군 장평면 은곡리 419,1,0,0,2026-05-18
535,개인,충청남도 청양군 장평면 지천리 32,2,0,0,2026-05-18
536,개인,충청남도 청양군 운곡면 광암리 45,10,0,0,2026-05-18
537,개인,충청남도 청양군 정산면 남천리 189-1,18,0,0,2026-05-18
538,개인,충청남도 청양군 목면 송암리 315,7,0,0,2026-05-18
539,개인,충청남도 청양군 청양읍 학당리 169-4,0,0,0,2026-05-18
540,개인,충청남도 청양군 운곡면 광암리 480,6,0,0,2026-05-18
541,개인,충청남도 청양군 화성면 구재리 20,0,0,0,2026-05-18
542,개인,충청남도 청양군 장평면 구룡리 137,0,0,0,2026-05-18
543,개인,충청남도 청양군 정산면 백곡리 576-1,0,0,0,2026-05-18
544,개인,충청남도 청양군 비봉면 중묵리 18,0,0,0,2026-05-18
545,개인,충청남도 청양군 화성면 매산리 365,8,0,0,2026-05-18
546,개인,충청남도 청양군 운곡면 영양리 575-1,4,0,0,2026-05-18
547,개인,충청남도 청양군 운곡면 광암리 682-1,7,0,0,2026-05-18
548,개인,충청남도 청양군 목면 안심리 561-2,0,0,0,2026-05-18
549,개인,충청남도 청양군 운곡면 영양리 508-9,0,0,0,2026-05-18
550,개인,충청남도 청양군 정산면 광생리 377-15,0,0,0,2026-05-18
551,개인,충청남도 청양군 비봉면 양사리 171-2,16,0,0,2026-05-18
552,개인,충청남도 청양군 화성면 장계리 216,14,0,0,2026-05-18
553,개인,충청남도 청양군 운곡면 광암리 281-4,15,0,0,2026-05-18
554,개인,충청남도 청양군 비봉면 방한리 1026-5,76,0,0,2026-05-18
555,개인,충청남도 청양군 청양읍 적누리 71,5,0,0,2026-05-18
556,개인,충청남도 청양군 남양면 신왕리 35-19,26,0,0,2026-05-18
557,개인,충청남도 청양군 남양면 봉암리 580-2,16,0,0,2026-05-18
558,개인,충청남도 청양군 장평면 중추리 645-10,119,0,0,2026-05-18
559,개인,충청남도 청양군 장평면 적곡리 345,11,0,0,2026-05-18
560,개인,충청남도 청양군 비봉면 양사리 163-7,12,0,0,2026-05-18
561,개인,충청남도 청양군 운곡면 미량리 1070-4,96,0,0,2026-05-18
562,개인,충청남도 청양군 화성면 용당리 146,7,0,0,2026-05-18
563,개인,충청남도 청양군 비봉면 사점리 83-1,8,0,0,2026-05-18
564,개인,충청남도 청양군 장평면 장평면 ,47,0,0,2026-05-18
565,개인,충청남도 청양군 비봉면 용천리 53,14,0,0,2026-05-18
566,개인,충청남도 청양군 남양면 온직리 598,2,0,0,2026-05-18
567,개인,충청남도 청양군 정산면 학암리 159,231,0,0,2026-05-18
568,개인,충청남도 청양군 비봉면 비봉면 ,2,0,0,2026-05-18
569,개인,충청남도 청양군 목면 목면 ,0,0,0,2026-05-18
570,개인,충청남도 청양군 남양면 봉암리 345-1,0,0,0,2026-05-18
571,개인,충청남도 청양군 운곡면 미량리 222-1,55,0,0,2026-05-18
572,개인,충청남도 청양군 목면 본의리 122-3,21,0,0,2026-05-18
573,개인,충청남도 청양군 남양면 대봉리 673-2,80,0,0,2026-05-18
574,개인,충청남도 청양군 장평면 구룡리 505-2,5,0,0,2026-05-18
575,개인,충청남도 청양군 대치면 탄정리 225-1,79,0,0,2026-05-18
576,개인,충청남도 청양군 목면 대평리 712-7,2,0,0,2026-05-18
577,개인,충청남도 청양군 운곡면 위라리 680-2,10,0,0,2026-05-18
578,개인,충청남도 청양군 목면 화양리 1056-7,76,0,0,2026-05-18
579,개인,충청남도 청양군 장평면 지천리 249-1,4,0,0,2026-05-18
580,개인,충청남도 청양군 비봉면 강정리 45,0,0,0,2026-05-18
581,개인,충청남도 청양군 화성면 신정리 403,0,0,0,2026-05-18
582,개인,충청남도 청양군 남양면 구룡리 53-3,30,0,0,2026-05-18
583,개인,충청남도 청양군 화성면 신정리 534,0,0,0,2026-05-18
584,개인,충청남도 청양군 목면 안심리 793-4,122,0,0,2026-05-18
585,개인,충청남도 청양군 화성면 기덕리 378-21,38,0,0,2026-05-18
586,개인,충청남도 청양군 장평면 죽림리 산13,4,0,0,2026-05-18
587,개인,충청남도 청양군 남양면 흥산리 602-1,41,0,0,2026-05-18
588,개인,충청남도 청양군 운곡면 영양리 844,54,0,0,2026-05-18
589,개인,충청남도 청양군 운곡면 영양리 193-3,9,0,0,2026-05-18
590,개인,충청남도 청양군 청남면 내직리 364-2,1,0,0,2026-05-18
591,개인,충청남도 청양군 남양면 흥산리 496,18,0,0,2026-05-18
592,개인,충청남도 청양군 청남면 대흥리 617-3,90,0,0,2026-05-18
593,개인,충청남도 청양군 목면 화양리 1047-5,114,0,0,2026-05-18
594,개인,충청남도 청양군 목면 화양리 1053-4,111,0,0,2026-05-18
595,개인,충청남도 청양군 운곡면 위라리 963-8,124,0,0,2026-05-18
596,개인,충청남도 청양군 남양면 온암리 490-1,20,0,0,2026-05-18
597,개인,충청남도 청양군 목면 송암리 342-5,9,0,0,2026-05-18
598,개인,충청남도 청양군 장평면 분향리 910,4,0,0,2026-05-18
599,개인,충청남도 청양군 청남면 청소리 656-1,34,0,0,2026-05-18
600,개인,충청남도 청양군 운곡면 미량리 726-2,3,0,0,2026-05-18
601,개인,충청남도 청양군 장평면 지천리 37,3,0,0,2026-05-18
602,개인,충청남도 청양군 대치면 탄정리 449-1,34,0,0,2026-05-18
603,개인,충청남도 청양군 장평면 분향리 832-9,80,0,0,2026-05-18
604,개인,충청남도 청양군 남양면 백금리 26-12,71,0,0,2026-05-18
605,개인,충청남도 청양군 정산면 와촌리 38,12,0,0,2026-05-18
606,개인,충청남도 청양군 목면 대평리 15-1,0,0,0,2026-05-18
607,개인,충청남도 청양군 정산면 남천리 55-1,1,0,0,2026-05-18
608,개인,충청남도 청양군 장평면 화산리 247,28,0,0,2026-05-18
609,개인,충청남도 청양군 청남면 상장리 182,44,0,0,2026-05-18
610,개인,충청남도 청양군 정산면 학암리 392,2,0,0,2026-05-18
611,개인,충청남도 청양군 운곡면 영양리 839,15,0,0,2026-05-18
612,개인,충청남도 청양군 장평면 화산리 49-1,1,0,0,2026-05-18
613,개인,충청남도 청양군 청양읍 벽천리 192-14,4,0,0,2026-05-18
614,개인,충청남도 청양군 정산면 백곡리 558-1,3,0,0,2026-05-18
615,개인,충청남도 청양군 장평면 중추리 206,10,0,0,2026-05-18
616,개인,충청남도 청양군 청양읍 장승리 ,9,0,0,2026-05-18
617,개인,충청남도 청양군 장평면 분향리 163-3,5,0,0,2026-05-18
618,개인,충청남도 청양군 장평면 분향리 373,5,0,0,2026-05-18
619,개인,충청남도 청양군 목면 대평리 713-4,104,0,0,2026-05-18
620,개인,충청남도 청양군 남양면 용두리 190,98,0,0,2026-05-18
621,개인,충청남도 청양군 대치면 형산리 166,106,0,0,2026-05-18
622,개인,충청남도 청양군 청양읍 장승리 119-15,26,0,0,2026-05-18
623,개인,충청남도 청양군 대치면 시전리 715,118,0,0,2026-05-18
624,개인,충청남도 청양군 장평면 적곡리 355-1,21,0,0,2026-05-18
625,개인,충청남도 청양군 비봉면 사점리 152-1,20,0,0,2026-05-18
626,개인,충청남도 청양군 비봉면 장재리 215,0,0,0,2026-05-18
627,개인,충청남도 청양군 비봉면 록평리 96-1,18,0,0,2026-05-18
628,개인,충청남도 청양군 장평면 관현리 537,7,0,0,2026-05-18
629,개인,충청남도 청양군 정산면 와촌리 196-2,34,0,0,2026-05-18
630,개인,충청남도 청양군 청양읍 정좌리 355-5,13,0,0,2026-05-18
631,개인,충청남도 청양군 정산면 송학리 295-6,18,0,0,2026-05-18
632,개인,충청남도 청양군 남양면 용마리 534,26,0,0,2026-05-18
633,개인,충청남도 청양군 비봉면 신원리 287-2,0,0,0,2026-05-18
634,개인,충청남도 청양군 장평면 관현리 83-7,143,0,0,2026-05-18
635,개인,충청남도 청양군 정산면 정산면 ,1,0,0,2026-05-18
636,개인,충청남도 청양군 장평면 락지리 337,2,0,0,2026-05-18
637,개인,충청남도 청양군 화성면 수정리 170,0,0,0,2026-05-18
638,개인,충청남도 청양군 화성면 산정리 411-1,0,0,0,2026-05-18
639,개인,충청남도 청양군 목면 본의리 341,3,0,0,2026-05-18
640,개인,충청남도 청양군 청남면 중산리 502-1,0,0,0,2026-05-18
641,개인,충청남도 청양군 청양읍 장승리 281-1,29,0,0,2026-05-18
642,개인,충청남도 청양군 장평면 화산리 160,41,0,0,2026-05-18
643,개인,충청남도 청양군 운곡면 위라리 778,0,0,0,2026-05-18
644,개인,충청남도 청양군 청양읍 적누리 337-4,8,0,0,2026-05-18
645,개인,충청남도 청양군 목면 대평리 310-4,0,0,0,2026-05-18
646,개인,충청남도 청양군 운곡면 광암리 517-5,16,0,0,2026-05-18
647,개인,충청남도 청양군 비봉면 강정리 612-1,6,0,0,2026-05-18
648,개인,충청남도 청양군 남양면 신왕리 379,0,0,0,2026-05-18
649,개인,충청남도 청양군 장평면 미당리 86-13,0,0,0,2026-05-18
650,개인,충청남도 청양군 비봉면 관산리 204,8,0,0,2026-05-18
651,개인,충청남도 청양군 운곡면 광암리 589-1,8,0,0,2026-05-18
652,개인,충청남도 청양군 장평면 은곡리 378-1,18,0,0,2026-05-18
653,개인,충청남도 청양군 청양읍 청수리 228-5,5,0,0,2026-05-18
654,개인,충청남도 청양군 정산면 해남리 341-2,5,0,0,2026-05-18
655,개인,충청남도 청양군 운곡면 미량리 581,0,0,0,2026-05-18
656,개인,충청남도 청양군 화성면 화암리 445,3,0,0,2026-05-18
657,개인,충청남도 청양군 청남면 청소리 196-2,0,0,0,2026-05-18
658,개인,충청남도 청양군 비봉면 비봉면 ,0,0,0,2026-05-18
659,개인,충청남도 청양군 장평면 은곡리 ,7,0,0,2026-05-18
660,개인,충청남도 청양군 남양면 용두리 250,29,0,0,2026-05-18
661,개인,충청남도 청양군 대치면 수석리 357-1,7,0,0,2026-05-18
662,개인,충청남도 청양군 장평면 은곡리 36,24,0,0,2026-05-18
663,개인,충청남도 청양군 정산면 백곡리 492-1,45,0,0,2026-05-18
664,개인,충청남도 청양군 비봉면 신원리 122-2,27,0,0,2026-05-18
665,개인,충청남도 청양군 청양읍 청수리 8,177,0,0,2026-05-18
666,개인,충청남도 청양군 운곡면 위라리 산39,126,0,0,2026-05-18
667,개인,충청남도 청양군 청남면 아산리 274-1,36,0,0,2026-05-18
668,개인,충청남도 청양군 비봉면 양사리 247-1,34,0,0,2026-05-18
669,개인,충청남도 청양군 청남면 아산리 9-1,36,0,0,2026-05-18
670,개인,충청남도 청양군 정산면 용두리 16,46,0,0,2026-05-18
671,개인,충청남도 청양군 비봉면 용천리 1,0,0,0,2026-05-18
672,개인,충청남도 청양군 목면 화양리 1046-12,58,0,0,2026-05-18
673,개인,충청남도 청양군 운곡면 광암리 728,8,0,0,2026-05-18
674,개인,충청남도 청양군 청남면 상장리 676-5,44,0,0,2026-05-18
675,개인,충청남도 청양군 비봉면 양사리 643,0,0,0,2026-05-18
676,개인,충청남도 청양군 장평면 화산리 336,2,0,0,2026-05-18
677,개인,충청남도 청양군 운곡면 신대리 191-2,6,0,0,2026-05-18
678,개인,충청남도 청양군 운곡면 광암리 277-6,0,0,0,2026-05-18
679,개인,충청남도 청양군 비봉면 사점리 495-2,146,0,0,2026-05-18
680,개인,충청남도 청양군 장평면 관현리 529,1,0,0,2026-05-18
681,개인,충청남도 청양군 장평면 락지리 258-6,10,0,0,2026-05-18
682,개인,충청남도 청양군 목면 화양리 1051-4,80,0,0,2026-05-18
683,개인,충청남도 청양군 목면 대평리 714-5,60,0,0,2026-05-18
684,개인,충청남도 청양군 남양면 흥산리 422,5,0,0,2026-05-18
685,개인,충청남도 청양군 운곡면 미량리 535-2,0,0,0,2026-05-18
686,개인,충청남도 청양군 비봉면 중묵리 527-1,9,0,0,2026-05-18
687,개인,충청남도 청양군 장평면 화산리 92,3,0,0,2026-05-18
688,개인,충청남도 청양군 청양읍 적누리 99-3,17,0,0,2026-05-18
689,개인,충청남도 청양군 목면 대평리 689-2,162,0,0,2026-05-18
690,개인,충청남도 청양군 운곡면 미량리 1060-1,111,0,0,2026-05-18
691,개인,충청남도 청양군 운곡면 미량리 1068-4,60,0,0,2026-05-18
692,개인,충청남도 청양군 정산면 덕성리 318,6,0,0,2026-05-18
693,개인,충청남도 청양군 청양읍 학당리 52-1,8,0,0,2026-05-18
694,개인,충청남도 청양군 청남면 왕진리 898-13,19,0,0,2026-05-18
695,개인,충청남도 청양군 장평면 구룡리 73-6,126,0,0,2026-05-18
696,개인,충청남도 청양군 정산면 광생리 385-9,54,0,0,2026-05-18
697,개인,충청남도 청양군 장평면 구룡리 50-12,26,0,0,2026-05-18
698,개인,충청남도 청양군 청양읍 벽천리 629-1,162,0,0,2026-05-18
699,개인,충청남도 청양군 화성면 화암리 374-1,3,0,0,2026-05-18
700,개인,충청남도 청양군 목면 화양리 1044-13,143,0,0,2026-05-18
701,개인,충청남도 청양군 정산면 해남리 419,0,0,0,2026-05-18
702,개인,충청남도 청양군 정산면 마치리 83-2,5,0,0,2026-05-18
703,개인,충청남도 청양군 장평면 중추리 425-1,0,0,0,2026-05-18
704,개인,충청남도 청양군 정산면 백곡리 492-1,75,0,0,2026-05-18
705,개인,충청남도 청양군 장평면 화산리 93,0,0,0,2026-05-18
706,개인,충청남도 청양군 청남면 동강리 13,0,0,0,2026-05-18
707,개인,충청남도 청양군 청남면 상장리 8-1,18,0,0,2026-05-18
708,개인,충청남도 청양군 청남면 중산리 788-11,139,0,0,2026-05-18
709,개인,충청남도 청양군 청양읍 학당리 132,0,0,0,2026-05-18
710,개인,충청남도 청양군 청양읍 벽천리 625-2,194,0,0,2026-05-18
711,개인,충청남도 청양군 비봉면 용천리 419-1,0,0,0,2026-05-18
712,개인,충청남도 청양군 목면 화양리 1046-9,61,0,0,2026-05-18
713,개인,충청남도 청양군 목면 화양리 1045-2,192,0,0,2026-05-18
714,개인,충청남도 청양군 목면 화양리 5,93,0,0,2026-05-18
715,개인,충청남도 청양군 청남면 지곡리 702-5,33,0,0,2026-05-18
716,개인,충청남도 청양군 남양면 대봉리 220-17,25,0,0,2026-05-18
717,개인,충청남도 청양군 청양읍 백천리 310-2,4,0,0,2026-05-18
718,개인,충청남도 청양군 운곡면 위라리 295-1,9,0,0,2026-05-18
719,개인,충청남도 청양군 장평면 관현리 476-1,21,0,0,2026-05-18
720,개인,충청남도 청양군 운곡면 신대리 138,8,0,0,2026-05-18
