사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육신고두수
조재준농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 내월길,21
박병일농장,한우,전북특별자치도 완주군 삼례읍 신금리,전북특별자치도 완주군 삼례읍 별산농원길,45
임재옥농장,한우,전북특별자치도 완주군 이서면 이문리,전북특별자치도 완주군 이서면 이문길,20
수홍농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 구상중하길,13
흥일농장,육계,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 신지송광로,6000
오현용농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,50
두리농장,돼지,전북특별자치도 완주군 소양면 신촌리,전북특별자치도 완주군 소양면 월상길,2000
정승철농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 가목길,21
국진환농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,6
구준회농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화산남로,21
국석호농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 반곡서원길,16
정동목장,젖소,전북특별자치도 완주군 봉동읍 구미리,전북특별자치도 완주군 봉동읍 서정길,60
반석목장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,97
임대빈 농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 다리,6
최대운농장,한우,전북특별자치도 완주군 봉동읍 성덕리,전북특별자치도 완주군 봉동읍 신중길,24
국운호농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 반곡서원길,15
화산골농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 화산로,300
홍남귀농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,24
죽림농장,한우,전북특별자치도 완주군 고산면 양야리,전북특별자치도 완주군 고산면 제비실길,11
백장현농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,45
유운장농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,30
민경관농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,53
장중은농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,10
박승배농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 화산남로,70
박규순농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 라복1길,15
여금농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 성재길,30
영진목장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 궁평가양길,85
서살리농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,15
대상농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,22
김종길농장 3,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,30
순지농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,32
권덕남농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화산로,11
정주영농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 서봉소농길,46
세영농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,79
양승만농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,11
홍정란농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,30
국원호농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,10
정근중농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 천호로,30
대광농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 눈기러기로,135
해피농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,40
문수농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 대치로,50
대명축산,육우,전북특별자치도 완주군 구이면 평촌리,전북특별자치도 완주군 구이면 평촌로,80
조정천농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 천호로,1
깨끗한농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,90
노성숙농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,96
김선배농장,한우,전북특별자치도 완주군 상관면 용암리,전북특별자치도 완주군 상관면 춘향로,18
권혁만농장,한우,전북특별자치도 완주군 삼례읍 신금리,전북특별자치도 완주군 삼례읍 별산농원길,17
정명호농장,한우,전북특별자치도 완주군 삼례읍 하리,전북특별자치도 완주군 삼례읍 삼례나들목로,15
조준호농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉로,24
그린농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,30
성진농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 화산로,41
소농농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 서봉소농길,30
세영농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,29
김성곤농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 운제로,26
정병태농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 내월길,71
용호농장,한우,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 고산로,120
임성규농장,한우,전북특별자치도 완주군 화산면 성북리,,15
화월,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,27
이경희농장,한우,전북특별자치도 완주군 삼례읍 해전리,전북특별자치도 완주군 삼례읍 해전1길,47
천명희농장,한우,전북특별자치도 완주군 삼례읍 해전리,전북특별자치도 완주군 삼례읍 해전1길,70
몽실농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,13
조남희농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,100
대성농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지1길,35
노일환농장,한우,전북특별자치도 완주군 용진읍 운곡리,전북특별자치도 완주군 용진읍 지암안길,9
에덴농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,60
최강자농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 양전지동길,24
문석권농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,4
정광수농장,한우,전북특별자치도 완주군 구이면 평촌리,전북특별자치도 완주군 구이면 소용길,35
이용복농장,한우,전북특별자치도 완주군 구이면 덕천리,전북특별자치도 완주군 구이면 내청명길,16
김기주농장,한우,전북특별자치도 완주군 구이면 백여리,전북특별자치도 완주군 구이면 백여호동길,8
김순봉농장,한우,전북특별자치도 완주군 구이면 덕천리,전북특별자치도 완주군 구이면 덕천지등1길,22
연순농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,22
김양석농장,한우,전북특별자치도 완주군 소양면 대흥리,전북특별자치도 완주군 소양면 대흥봉덕길,15
솔밭농장,한우,전북특별자치도 완주군 봉동읍 장기리,전북특별자치도 완주군 봉동읍 학다리,2
튼튼이농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,10
옥규농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 누하길,35
박영석농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,40
조중선농장,한우,전북특별자치도 완주군 고산면 어우리,전북특별자치도 완주군 고산면 천호로,12
구생회농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,40
푸른들농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,48
장원영농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,27
이명환농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 돈의길,10
윤종근농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,20
샬롬농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 돈의길,12
예봉농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,104
박청래농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,45
윤철중농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신공길,40
양광호농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 돈의길,15
권조안농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,12
차성규농장,한우,전북특별자치도 완주군 상관면 마치리,전북특별자치도 완주군 상관면 마치신덕길,17
광태농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화평3길,8
박정미농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,50
국문호농장,한우,전북특별자치도 완주군 화산면 종리,,30
변성오 농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 승치로,13
조중선농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지1길,10
호원농장,젖소,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,70
김복태농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,28
임문식농장,한우,전북특별자치도 완주군 화산면 화월리,,50
이한철,한우,전북특별자치도 완주군 봉동읍 낙평리,전북특별자치도 완주군 봉동읍 낙평2길,35
박옥규농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 누하길,22
최명식농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화월정자길,45
김순희농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 가정길,29
권순정농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,20
정현근농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지1길,25
우솔농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 화전1길,30
대건농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,100
박은순농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,70
양철규농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,56
조점호농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 죽산길,22
백춘이농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,8
박남재농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,258
정명복농장,한우,전북특별자치도 완주군 비봉면 소농리,,7
가은농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화산로,9
박상민농장,한우,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 북치길,65
흥빈이네 농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 고산천로,3
김흥섭농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,7
대성농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,12
으뜸농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,30
효재농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,35
고산농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 완주로,28
화산농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,14
이창현 농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,32
이동문농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 라복2길,67
소홍섭농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,24
김병기농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 밤실길,60
유민상농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 원소농길,15
기철농장,한우,전북특별자치도 완주군 비봉면 대치리,,12
맑은농장,한우,전북특별자치도 완주군 비봉면 소농리,,15
백주완농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 운제로,15
송은혜농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,30
신토불이농장,한우,전북특별자치도 완주군 삼례읍 후정리,전북특별자치도 완주군 삼례읍 원후정3길,10
최창영농장,한우,전북특별자치도 완주군 봉동읍 구암리,전북특별자치도 완주군 봉동읍 신수로,14
밤실농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 밤실길,9
태범농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,22
성남복농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,10
국만호농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 구상중하길,15
박현수농장,한우,전북특별자치도 완주군 비봉면 소농리,,20
이해수농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,120
이연숙농장,한우,전북특별자치도 완주군 봉동읍 낙평리,,30
문서옥농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,37
예봉농장 2,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,60
원준구농장,한우,전북특별자치도 완주군 봉동읍 율소리,전북특별자치도 완주군 봉동읍 율소3길,25
희망농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 용수길,11
이해주농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,17
상모농장,한우,전북특별자치도 완주군 구이면 안덕리,전북특별자치도 완주군 구이면 장파길,14
이철운농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 용수번대길,13
이규욱농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,26
고한창농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,6
주재규농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 화산로,32
오메농장,한우,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 원오산길,15
신상농장,한우,전북특별자치도 완주군 고산면 소향리,전북특별자치도 완주군 고산면 대아저수로,32
국형중농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,20
엘지농원 2,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 화산로,30
샬롬농장,육계,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 율백로,50000
유원근농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 석천길,25
하늘뜰 농장,한우,전북특별자치도 완주군 고산면 삼기리,전북특별자치도 완주군 고산면 고산천로,53
표길운농장,한우,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 내정길,15
이문성농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 라복2길,25
김종성농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,10
준영농장,한우,전북특별자치도 완주군 소양면 황운리,전북특별자치도 완주군 소양면 망표길,38
나상이농장,한우,전북특별자치도 완주군 운주면 구제리,전북특별자치도 완주군 운주면 원구제길,30
진성축산,한우,전북특별자치도 완주군 운주면 구제리,전북특별자치도 완주군 운주면 원구제안길,22
김용권농장,한우,전북특별자치도 완주군 이서면 용서리,,10
임동석농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,73
능굴농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 하용마안길,39
유성걸농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 수선길,10
김형수농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,33
오경태농장,한우,전북특별자치도 완주군 상관면 신리,전북특별자치도 완주군 상관면 상관소양로,18
임갑철농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,10
박정자농장,한우,전북특별자치도 완주군 고산면 삼기리,전북특별자치도 완주군 고산면 대아저수로,35
전광태농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,21
수청농장,육계,전북특별자치도 완주군 운주면 구제리,전북특별자치도 완주군 운주면 원구제길,30000
518농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 봉산길,14
조명식농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화월정자길,40
권삼노농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,23
김미애농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,8
이봉수농장,한우,전북특별자치도 완주군 이서면 은교리,전북특별자치도 완주군 이서면 팥죽이로,50
남순옥농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,30
허주영농장,한우,전북특별자치도 완주군 동상면 사봉리,전북특별자치도 완주군 동상면 밤티길,2
백석농장,한우,전북특별자치도 완주군 운주면 구제리,전북특별자치도 완주군 운주면 원구제길,14
최기태농장,한우,전북특별자치도 완주군 고산면 양야리,전북특별자치도 완주군 고산면 양화로,6
양덕수농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,11
이원자농장 2,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,15
양희화농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,9
정화농장,한우,전북특별자치도 완주군 화산면 운제리,전북특별자치도 완주군 화산면 운제로,11
이동철농장,한우,전북특별자치도 완주군 소양면 황운리,전북특별자치도 완주군 소양면 송광수만로,13
산정농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 반곡서원길,33
이병훈농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,14
고산농장,한우,전북특별자치도 완주군 고산면 읍내리,전북특별자치도 완주군 고산면 읍내6길,8
김종열농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,17
김인석 농장,한우,전북특별자치도 완주군 동상면 사봉리,전북특별자치도 완주군 동상면 묵계길,20
박정근농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 송수길,30
효림농장,돼지,전북특별자치도 완주군 소양면 황운리,전북특별자치도 완주군 소양면 망표길,1500
국영호농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,20
장경숙농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지1길,14
봄빛농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,11
황창서농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 문장길,13
동상농장,한우,전북특별자치도 완주군 동상면 사봉리,전북특별자치도 완주군 동상면 묵계길,51
청호농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,25
덕암농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,8
조헌용농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 죽산길,22
낙천농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 눈기러기로,40
버들한우농장,한우,전북특별자치도 완주군 삼례읍 하리,전북특별자치도 완주군 삼례읍 버드리,70
정충부농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 죽산길,12
송재호,한우,전북특별자치도 완주군 이서면 이성리,전북특별자치도 완주군 이서면 이서남로,18
박환식농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 반곡서원길,10
방영선농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,4
조수남농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 죽산길,27
고산목장2,육우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 원성재길,10
심재민농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신공길,11
김경철농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 밀파길,30
최규현농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 봉비로,33
한일농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 죽산길,8
이종란농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,17
해피힐농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,20
임용기농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,40
백용기농장,한우,전북특별자치도 완주군 상관면 신리,전북특별자치도 완주군 상관면 상관소양로,28
유희춘농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 장승길,3
소병엽농장,한우,전북특별자치도 완주군 이서면 이성리,,12
국종훈농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,17
김철수농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,44
조쌍봉농장,한우,전북특별자치도 완주군 비봉면 봉산리,,20
청수농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 봉산길,34
조범희 농장,한우,전북특별자치도 완주군 고산면 어우리,전북특별자치도 완주군 고산면 천호로,25
임영철농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 대치로,10
이병덕농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 밤실길,28
김재권농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 천호로,12
이종만농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 천호로,4
이레농장,한우,전북특별자치도 완주군 고산면 어우리,전북특별자치도 완주군 고산면 천호로,10
박종관농장,한우,전북특별자치도 완주군 경천면 용복리,,20
이경숙농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,4
임석조농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 상용길,9
유해백농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,20
윤신농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 성재길,11
이희철농장,한우,전북특별자치도 완주군 이서면 상개리,전북특별자치도 완주군 이서면 상개길,12
임재금농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 화산로,8
김춘자농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 가정길,25
고남철농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 상호길,34
상호농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 상호길,13
연석산농장,사슴,전북특별자치도 완주군 동상면 사봉리,전북특별자치도 완주군 동상면 동상로,98
권인택농장,한우,전북특별자치도 완주군 삼례읍 석전리,,8
강재원농장,한우,전북특별자치도 완주군 이서면 은교리,전북특별자치도 완주군 이서면 이서남로,6
권성로농장,한우,전북특별자치도 완주군 고산면 어우리,전북특별자치도 완주군 고산면 어우길,38
임종집농장,한우,전북특별자치도 완주군 고산면 삼기리,,5
이상목농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 봉산길,18
백상운농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 이전길,17
박호근 농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,62
인종수농장,한우,전북특별자치도 완주군 비봉면 봉산리,,10
김철상농장,한우,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 고산로,20
김유자농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화평3길,41
한광석농장,한우,전북특별자치도 완주군 이서면 은교리,,13
이미숙농장,육계,전북특별자치도 완주군 상관면 신리,전북특별자치도 완주군 상관면 상관소양로,3000
윤대현농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,10
웅이농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 율백로,110
구재근농장,한우,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 원오산길,3
정병학농장,한우,전북특별자치도 완주군 용진읍 상운리,전북특별자치도 완주군 용진읍 신기서계길,10
이종현농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 백암길,80
마더농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 율백로,36
샬롬농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,10
이금철농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,55
김희태농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 밤실길,40
박순식농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,10
최태중농장,한우,전북특별자치도 완주군 상관면 용암리,전북특별자치도 완주군 상관면 춘향로,8
이종화농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,10
김영식농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 상호길,80
봉황농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,12
고전성농장,한우,전북특별자치도 완주군 고산면 어우리,전북특별자치도 완주군 고산면 봉산길,30
락송농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,22
유한식농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,15
