축산업종류,사업장명칭,주사육업종,사업장소재지, 사육두수 ,데이터기준일자
가축사육업,장권축산,한우,전북특별자치도 부안군 하서면 장신리 701번지 2호  ,9,2025-11-14
가축사육업,고OO 농장,한우,전북특별자치도 부안군 보안면 하입석리 1082번지  ,50,2025-11-14
가축사육업,이OO 농장,한우,전북특별자치도 부안군 계화면 창북리 3972번지 2호  ,200,2025-11-14
가축사육업,노을한우농장,한우,전북특별자치도 부안군 행안면 신기리 803번지 1호 외 6필지 ,44,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 부안읍 모산리 50번지 4호  ,25,2025-11-14
가축사육업,동촌농장,육계,전북특별자치도 부안군 하서면 청호리 657번지 1호  ,1000,2025-11-14
가축사육업,새OO 한우농장,한우,전북특별자치도 부안군 보안면 하입석리 79번지 1호  ,42,2025-11-14
가축사육업,상운농장,육계,전북특별자치도 부안군 보안면 월천리 830번지 외 9필 ,60000,2025-11-14
가축사육업,보리목장,한우,전북특별자치도 부안군 상서면 고잔리 403번지 외 2필지 ,50,2025-11-14
가축사육업,해바라기농장,오리,"전북특별자치도 부안군 줄포면 줄포리 36번지 15호 외 2필지(35, 우포리 58-7) ",19192,2025-11-14
가축사육업,조OO농장,한우,전북특별자치도 부안군 백산면 죽림리 597번지  ,82,2025-11-14
가축사육업,송OO농장,한우,전북특별자치도 부안군 보안면 영전리 319번지 19호  ,16,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 보안면 영전리 292번지 1호  ,40,2025-11-14
가축사육업,강OO농장,한우,"전북특별자치도 부안군 보안면 남포리 143번지 1호 외 3필지(138-4,142,144-1) ",59,2025-11-14
가축사육업,갑진농장,한우,전북특별자치도 부안군 주산면 갈촌리 742번지 4호  ,5,2025-11-14
가축사육업,당그레농장,한우,전북특별자치도 부안군 계화면 궁안리 2282번지 3호  ,30,2025-11-14
가축사육업,고OO농장,한우,전북특별자치도 부안군 보안면 남포리 424번지 6호  ,15,2025-11-14
가축사육업,상규농장,한우,전북특별자치도 부안군 백산면 하청리 143번지 3호  ,30,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 하서면 석상리 553번지  ,19,2025-11-14
가축사육업,권OO농장,한우,"전북특별자치도 부안군 하서면 석상리 187번지 4호 , 주1동 ",30,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 진서면 석포리 497번지 3호  ,4,2025-11-14
가축사육업,이OO농장,염소,전북특별자치도 부안군 보안면 유천리 145번지 18호  ,110,2025-11-14
가축사육업,유OO농장,한우,전북특별자치도 부안군 변산면 마포리 514번지 36호  ,14,2025-11-14
가축사육업,Finf Food,한우,전북특별자치도 부안군 부안읍 연곡리 320번지 3호  ,5,2025-11-14
가축사육업,하늘농장,한우,전북특별자치도 부안군 백산면 하청리 435번지 4호  ,40,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 보안면 하입석리 1097번지 2호  ,32,2025-11-14
가축사육업,유OO농장,한우,전북특별자치도 부안군 부안읍 봉덕리 19번지 6호  ,6,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 변산면 마포리 519번지 27호  ,12,2025-11-14
가축사육업,웅이농장,한우,전북특별자치도 부안군 하서면 백련리 414번지 4호 외 1필지(414-2) ,65,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 변산면 마포리 417번지 5호  ,53,2025-11-14
가축사육업,연중농장,오리,전북특별자치도 부안군 줄포면 대동리 639번지 8호  ,10000,2025-11-14
가축사육업,천금오리농장,오리,전북특별자치도 부안군 줄포면 파산리 483번지 3호  ,27000,2025-11-14
가축사육업,송OO농장,한우,전북특별자치도 부안군 백산면 죽림리 143번지  ,10,2025-11-14
가축사육업,새변산농장,한우,전북특별자치도 부안군 변산면 운산리 497번지 1호  ,46,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 부안읍 신흥리 425번지 1호  ,8,2025-11-14
가축사육업,김OO농장,육계,전북특별자치도 부안군 동진면 증산리 102번지 5호  ,5000,2025-11-14
가축사육업,조은한우농장,한우,전북특별자치도 부안군 부안읍 연곡리 7번지 3호 외 1필지(4-5) ,107,2025-11-14
가축사육업,정자농장,한우,전북특별자치도 부안군 부안읍 모산리 794번지  ,50,2025-11-14
가축사육업,보석농장,한우,전북특별자치도 부안군 부안읍 옹중리 648번지  ,20,2025-11-14
가축사육업,영전농장,한우,전북특별자치도 부안군 보안면 영전리 211번지  ,14,2025-11-14
가축사육업,태양농장,한우,전북특별자치도 부안군 계화면 계화리 1928번지 2호  ,35,2025-11-14
가축사육업,상현농장,한우,"전북특별자치도 부안군 부안읍 신흥리 272번지 9호 외 5필지(272-10,704-1,719-3,719-4,719-5) ",104,2025-11-14
가축사육업,부안사슴농장,사슴,전북특별자치도 부안군 하서면 백련리 20번지 3호  ,150,2025-11-14
가축사육업,동훈농장,한우,전북특별자치도 부안군 주산면 사산리 1174번지 23호 외1필지 ,66,2025-11-14
가축사육업,순자농장,한우,전북특별자치도 부안군 부안읍 행중리 572번지  ,50,2025-11-14
가축사육업,평권농장,한우,전북특별자치도 부안군 동진면 동전리 1602번지  ,13,2025-11-14
가축사육업,초연농장,한우,전북특별자치도 부안군 상서면 용서리 237번지 4호 초연목장 ,60,2025-11-14
가축사육업,재민농장,한우,"전북특별자치도 부안군 계화면 창북리 1073번지 12호 외 2필지(1073-10, 1073-13) ",40,2025-11-14
가축사육업,대농농장,한우,전북특별자치도 부안군 보안면 하입석리 1번지 28호  ,15,2025-11-14
가축사육업,푸른농원,한우,전북특별자치도 부안군 줄포면 줄포리 1003번지 1호  ,10,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 보안면 남포리 719번지 2호  ,26,2025-11-14
가축사육업,종호농장,한우,전북특별자치도 부안군 상서면 감교리 809번지 9호  ,41,2025-11-14
가축사육업,대농농장,한우,전북특별자치도 부안군 동진면 봉황리 1382번지 8호  ,42,2025-11-14
가축사육업,쌍둥이농장,한우,전북특별자치도 부안군 줄포면 줄포리 976번지 1호  ,14,2025-11-14
가축사육업,백영농장,한우,전북특별자치도 부안군 줄포면 줄포리 970번지  ,30,2025-11-14
가축사육업,수인농장,한우,"전북특별자치도 부안군 보안면 남포리 558번지 3호 외 4필지(558-4,559-1,559-2,560-1) ",23,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 줄포면 줄포리 1007번지 5호  ,4,2025-11-14
가축사육업,가족농장,한우,전북특별자치도 부안군 보안면 월천리 474번지 5호  ,17,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 줄포면 줄포리 1023번지  ,10,2025-11-14
가축사육업,상록농장,한우,전북특별자치도 부안군 줄포면 줄포리 927번지 4호 외 2필 ,17,2025-11-14
가축사육업,한우농장,한우,전북특별자치도 부안군 줄포면 줄포리 1007번지 5호  ,5,2025-11-14
가축사육업,가우농장,한우,전북특별자치도 부안군 보안면 상림리 674번지 1호  ,22,2025-11-14
가축사육업,누림농장,한우,전북특별자치도 부안군 부안읍 내요리 1146번지  ,150,2025-11-14
가축사육업,대성농장,한우,전북특별자치도 부안군 보안면 영전리 146번지 3호 주1동 ,261,2025-11-14
가축사육업,소연농장,한우,전북특별자치도 부안군 보안면 상입석리 1125번지  ,60,2025-11-14
가축사육업,아롱다롱농장,한우,전북특별자치도 부안군 상서면 감교리 799번지 55호  ,9,2025-11-14
가축사육업,비안농장,한우,전북특별자치도 부안군 보안면 월천리 38번지 2호  ,40,2025-11-14
가축사육업,영이농장,한우,전북특별자치도 부안군 줄포면 장동리 730번지 20호  ,5,2025-11-14
가축사육업,해풍농장,한우,전북특별자치도 부안군 계화면 창북리 4231번지 2호 외 1필지(4231-18) ,100,2025-11-14
가축사육업,유정농장,한우,전북특별자치도 부안군 상서면 감교리 799번지 89호  ,35,2025-11-14
가축사육업,한우농장,한우,전북특별자치도 부안군 상서면 감교리 589번지 3호  ,31,2025-11-14
가축사육업,천수농장,한우,전북특별자치도 부안군 주산면 백석리 424번지 8호  ,11,2025-11-14
가축사육업,합동농장,한우,전북특별자치도 부안군 하서면 장신리 1231번지  ,15,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 보안면 영전리 160번지  ,50,2025-11-14
가축사육업,유유농장,한우,전북특별자치도 부안군 변산면 마포리 78번지 1호 외 1필지(78-2) ,60,2025-11-14
가축사육업,하은농장,한우,전북특별자치도 부안군 보안면 우동리 819번지 외 1필지(819-11) ,125,2025-11-14
가축사육업,석구농장,한우,전북특별자치도 부안군 주산면 백석리 945번지 3호  ,25,2025-11-14
가축사육업,월륜농장,한우,전북특별자치도 부안군 행안면 신기리 107번지 1호 외 1필지 ,37,2025-11-14
가축사육업,계수농장,한우,전북특별자치도 부안군 보안면 유천리 228번지 17호  ,5,2025-11-14
가축사육업,제일농장,한우,전북특별자치도 부안군 변산면 마포리 429번지 5호  ,7,2025-11-14
가축사육업,일월성농장,오리,전북특별자치도 부안군 줄포면 파산리 583번지 2호 외 2필지 ,17000,2025-11-14
가축사육업,백룡농장,한우,전북특별자치도 부안군 백산면 대죽리 235번지 외 2필지 ,102,2025-11-14
가축사육업,부송농장,한우,전북특별자치도 부안군 주산면 소산리 86번지  ,28,2025-11-14
가축사육업,봉옥농장,한우,전북특별자치도 부안군 주산면 사산리 296번지 2호  ,16,2025-11-14
가축사육업,심훈농장,한우,전북특별자치도 부안군 백산면 원천리 191번지 9호  ,45,2025-11-14
가축사육업,한주농장,한우,전북특별자치도 부안군 백산면 원천리 546번지  ,35,2025-11-14
가축사육업,서OO농장,한우,전북특별자치도 부안군 하서면 장신리 45번지  ,6,2025-11-14
가축사육업,경준농장,한우,전북특별자치도 부안군 변산면 마포리 378번지 3호  ,16,2025-11-14
가축사육업,태용농장,한우,전북특별자치도 부안군 백산면 오곡리 86번지  ,32,2025-11-14
가축사육업,정동농장,한우,전북특별자치도 부안군 동진면 당상리 962번지  ,22,2025-11-14
가축사육업,신목농장,한우,전북특별자치도 부안군 행안면 진동리 521번지 2호  ,14,2025-11-14
가축사육업,웅진농장,한우,전북특별자치도 부안군 부안읍 신흥리 249번지 3호  ,10,2025-11-14
가축사육업,남포농장,한우,전북특별자치도 부안군 보안면 남포리 319번지 1호  ,3,2025-11-14
가축사육업,하린농장,한우,전북특별자치도 부안군 부안읍 신흥리 219번지  ,5,2025-11-14
가축사육업,변산구룡농장,한우,전북특별자치도 부안군 보안면 남포리 393번지 1호  ,285,2025-11-14
가축사육업,마포농장,한우,전북특별자치도 부안군 변산면 마포리 630번지 1호  ,9,2025-11-14
가축사육업,분남농장,한우,전북특별자치도 부안군 주산면 백석리 산 18번지 2호  ,17,2025-11-14
가축사육업,우리농장,한우,전북특별자치도 부안군 부안읍 내요리 807번지 4호  ,35,2025-11-14
가축사육업,증동농장,한우,전북특별자치도 부안군 동진면 본덕리 236번지  ,20,2025-11-14
가축사육업,귀순농장,한우,"전북특별자치도 부안군 하서면 석상리 187번지 4호 , 주2동 ",30,2025-11-14
가축사육업,신성농장,한우,"전북특별자치도 부안군 줄포면 파산리 682번지 외 3필지(680-6, 681-2, 684) ",23,2025-11-14
가축사육업,봉서농장,한우,전북특별자치도 부안군 백산면 원천리 337번지 22호 외 1필지 ,20,2025-11-14
가축사육업,순정농장,한우,전북특별자치도 부안군 백산면 용계리 1184번지 2호  ,17,2025-11-14
가축사육업,동진농장,한우,전북특별자치도 부안군 동진면 장등리 655번지 5호  ,20,2025-11-14
가축사육업,곡강농장,한우,전북특별자치도 부안군 백산면 원천리 337번지 18호  ,0,2025-11-14
가축사육업,하청농장,한우,전북특별자치도 부안군 백산면 하청리 31번지 4호  ,20,2025-11-14
가축사육업,기성농장,한우,전북특별자치도 부안군 백산면 덕신리 823번지 외 1필지(822) ,22,2025-11-14
가축사육업,서광농장,한우,전북특별자치도 부안군 하서면 백련리 916번지 1호  ,6,2025-11-14
가축사육업,별이농장,한우,전북특별자치도 부안군 상서면 감교리 807번지 15호  ,30,2025-11-14
가축사육업,성덕농장,한우,전북특별자치도 부안군 주산면 소산리 347번지 3호  ,19,2025-11-14
가축사육업,유OO농장,한우,전북특별자치도 부안군 변산면 마포리 429번지 29호  ,8,2025-11-14
가축사육업,부용농장,한우,전북특별자치도 부안군 주산면 갈촌리 111번지 1호  ,25,2025-11-14
가축사육업,이가네농장,염소,전북특별자치도 부안군 주산면 백석리 415번지 16호  ,2,2025-11-14
가축사육업,현수농장,한우,전북특별자치도 부안군 주산면 갈촌리 575번지 2호  ,10,2025-11-14
가축사육업,동순농장,한우,전북특별자치도 부안군 줄포면 줄포리 34번지  ,6,2025-11-14
가축사육업,주산농장,사슴,전북특별자치도 부안군 주산면 백석리 426번지 2호  ,27,2025-11-14
가축사육업,해피덕농장,오리,전북특별자치도 부안군 줄포면 신리 352번지 47호  ,10000,2025-11-14
가축사육업,월포농장,한우,전북특별자치도 부안군 하서면 백련리 413번지 11호  ,6,2025-11-14
가축사육업,한빛농장,한우,전북특별자치도 부안군 보안면 신복리 204번지 1호  ,4,2025-11-14
가축사육업,동선농장,한우,전북특별자치도 부안군 백산면 대수리 486번지 3호 외 2필 ,55,2025-11-14
가축사육업,석교농장,한우,전북특별자치도 부안군 백산면 대수리 150번지 21호  ,13,2025-11-14
가축사육업,제일농장,한우,전북특별자치도 부안군 주산면 백석리 419번지 5호  ,26,2025-11-14
가축사육업,한홍농장,한우,전북특별자치도 부안군 계화면 창북리 4143번지 6호  ,10,2025-11-14
가축사육업,신활농장,한우,"전북특별자치도 부안군 보안면 신복리 460번지 11호 외 2필지(460-1, 460-12) ",42,2025-11-14
가축사육업,관표농장,한우,전북특별자치도 부안군 보안면 우동리 190번지  ,4,2025-11-14
가축사육업,준석농장,한우,전북특별자치도 부안군 상서면 가오리 1059번지 3호  ,151,2025-11-14
가축사육업,용진농장,한우,전북특별자치도 부안군 상서면 감교리 845번지 10호  ,35,2025-11-14
가축사육업,기만농장,한우,전북특별자치도 부안군 상서면 감교리 866번지 37호  ,4,2025-11-14
가축사육업,내요농장,한우,전북특별자치도 부안군 부안읍 내요리 830번지  ,6,2025-11-14
가축사육업,야룡농장,한우,전북특별자치도 부안군 행안면 대초리 888번지 1호  ,7,2025-11-14
가축사육업,유천농장,한우,전북특별자치도 부안군 보안면 유천리 166번지 33호  ,3,2025-11-14
가축사육업,신흥농장,한우,전북특별자치도 부안군 주산면 사산리 841번지 58호  ,8,2025-11-14
가축사육업,제언농장,한우,전북특별자치도 부안군 변산면 마포리 467번지 1호  ,6,2025-11-14
가축사육업,봉래농장,한우,전북특별자치도 부안군 보안면 유천리 708번지  ,5,2025-11-14
가축사육업,동수농장,한우,전북특별자치도 부안군 보안면 남포리 184번지 2호  ,14,2025-11-14
가축사육업,상입석농장,한우,전북특별자치도 부안군 보안면 상입석리 487번지 19호  ,18,2025-11-14
가축사육업,만회농장,한우,전북특별자치도 부안군 보안면 남포리 517번지  ,6,2025-11-14
가축사육업,황진농장,한우,전북특별자치도 부안군 백산면 죽림리 1051번지 5호  ,202,2025-11-14
가축사육업,상림농장,한우,전북특별자치도 부안군 보안면 상림리 137번지 1호  ,14,2025-11-14
가축사육업,장OO농장,한우,전북특별자치도 부안군 보안면 하입석리 451번지 1호  ,5,2025-11-14
가축사육업,사산농장,한우,전북특별자치도 부안군 주산면 사산리 236번지  ,7,2025-11-14
가축사육업,허OO농장,한우,전북특별자치도 부안군 행안면 신기리 684번지 14호  ,40,2025-11-14
가축사육업,금산농장,한우,전북특별자치도 부안군 하서면 백련리 산 73번지  ,8,2025-11-14
가축사육업,서OO농장,한우,전북특별자치도 부안군 줄포면 파산리 459번지 3호  ,25,2025-11-14
가축사육업,유천농장,한우,전북특별자치도 부안군 보안면 유천리 640번지  ,3,2025-11-14
가축사육업,월포농장,한우,전북특별자치도 부안군 하서면 백련리 544번지 67호  ,7,2025-11-14
가축사육업,월천농장,한우,전북특별자치도 부안군 보안면 월천리 146번지 2호  ,22,2025-11-14
가축사육업,종호농장,한우,전북특별자치도 부안군 백산면 하청리 308번지 외 1필 ,15,2025-11-14
가축사육업,은정농장,한우,전북특별자치도 부안군 주산면 소주리 674번지 3호  ,21,2025-11-14
가축사육업,평지농장,한우,전북특별자치도 부안군 하서면 장신리 1231번지  ,14,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 보안면 하입석리 408번지 3호  ,180,2025-11-14
가축사육업,화봉농장,한우,"전북특별자치도 부안군 주산면 동정리 595번지 1호 외 2필지(593-1, 594-1) ",29,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 변산면 마포리 438번지  ,10,2025-11-14
가축사육업,원사산농장,한우,전북특별자치도 부안군 주산면 사산리 261번지  ,5,2025-11-14
가축사육업,이OO농장,한우,"전북특별자치도 부안군 상서면 감교리 814번지 4호 외3필지(814-11,814-12,815-7) ",70,2025-11-14
가축사육업,오육오농장,한우,전북특별자치도 부안군 하서면 석상리 565번지  ,15,2025-11-14
가축사육업,전OO농장,한우,전북특별자치도 부안군 백산면 원천리 117번지 1호  ,7,2025-11-14
가축사육업,관문농장,한우,전북특별자치도 부안군 계화면 창북리 4229번지 6호  ,106,2025-11-14
가축사육업,영원농장,한우,전북특별자치도 부안군 주산면 백석리 416번지 2호  ,4,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 부안읍 신흥리 286번지 외 2필지(313-10) ,15,2025-11-14
가축사육업,키움농장,한우,전북특별자치도 부안군 계화면 창북리 4129번지 2호  ,130,2025-11-14
가축사육업,한민농장,한우,전북특별자치도 부안군 보안면 신복리 667번지 1호  ,10,2025-11-14
가축사육업,세일농장,한우,전북특별자치도 부안군 주산면 사산리 638번지 12호  ,11,2025-11-14
가축사육업,에덴농장,한우,전북특별자치도 부안군 하서면 백련리 14번지 1호  ,4,2025-11-14
가축사육업,형제농장,한우,전북특별자치도 부안군 보안면 하입석리 1087번지 5호  ,26,2025-11-14
가축사육업,형길농장,한우,전북특별자치도 부안군 부안읍 내요리 903번지 20호  ,6,2025-11-14
가축사육업,한우드림농장,한우,"전북특별자치도 부안군 계화면 계화리 1913번지 1호 외 2필지(1913-2, 1962-1) ",11,2025-11-14
가축사육업,명현농장,한우,전북특별자치도 부안군 줄포면 줄포리 927번지 7호  ,3,2025-11-14
가축사육업,신형농장,한우,전북특별자치도 부안군 보안면 영전리 164번지 3호  ,46,2025-11-14
가축사육업,우현농장,한우,전북특별자치도 부안군 보안면 상입석리 826번지 1호  ,66,2025-11-14
가축사육업,우리농장,한우,전북특별자치도 부안군 계화면 양산리 2332번지 7호  ,5,2025-11-14
가축사육업,오신농장,한우,전북특별자치도 부안군 백산면 오곡리 226번지 외 1필지(227) ,17,2025-11-14
가축사육업,이OO농장,육계,전북특별자치도 부안군 행안면 대초리 1133번지 1호  ,25000,2025-11-14
가축사육업,부광농장,오리,"전북특별자치도 부안군 백산면 하청리 611번지 611-1,2,3 ",17000,2025-11-14
가축사육업,대광농장,한우,전북특별자치도 부안군 하서면 백련리 839번지 2호  ,5,2025-11-14
가축사육업,부서농장,한우,전북특별자치도 부안군 주산면 동정리 102번지 3호 외 1필지 ,3,2025-11-14
가축사육업,성훈농장,한우,전북특별자치도 부안군 주산면 소주리 715번지 1호 번지외 2필 ,5,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 보안면 영전리 465번지 1호 외 1필지 ,16,2025-11-14
가축사육업,세포농장,한우,"전북특별자치도 부안군 계화면 양산리 2460번지 12호 외 2필지(2502-1, 2513-1) ",62,2025-11-14
가축사육업,계곡농장,한우,전북특별자치도 부안군 하서면 청호리 492번지  ,2,2025-11-14
가축사육업,이OO 한우농장,한우,전북특별자치도 부안군 보안면 남포리 778번지 4호 외 3필 ,54,2025-11-14
가축사육업,조OO 한우농장,한우,전북특별자치도 부안군 행안면 삼간리 1768번지 외 1필지(2231-1) ,90,2025-11-14
가축사육업,어OO농장,한우,전북특별자치도 부안군 보안면 유천리 667번지 1호  ,4,2025-11-14
가축사육업,금산농장,한우,전북특별자치도 부안군 하서면 백련리 398번지  ,5,2025-11-14
가축사육업,감불농장,한우,전북특별자치도 부안군 보안면 우동리 838번지 7호  ,32,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 부안읍 내요리 97번지  ,20,2025-11-14
가축사육업,송영농장,한우,전북특별자치도 부안군 줄포면 줄포리 20번지 8호  ,12,2025-11-14
가축사육업,형근농장,한우,전북특별자치도 부안군 보안면 하입석리 81번지  ,10,2025-11-14
가축사육업,은자농장,한우,전북특별자치도 부안군 보안면 하입석리 81번지  ,11,2025-11-14
가축사육업,거룡농장,한우,전북특별자치도 부안군 백산면 거룡리 996번지 3호  ,10,2025-11-14
가축사육업,서해농장,한우,전북특별자치도 부안군 줄포면 우포리 7번지 21호  ,4,2025-11-14
가축사육업,완주농장,염소,전북특별자치도 부안군 변산면 마포리 635번지 84호  ,10,2025-11-14
가축사육업,동성농장,한우,전북특별자치도 부안군 동진면 장등리 114번지 3호  ,6,2025-11-14
가축사육업,장기농장,한우,전북특별자치도 부안군 동진면 장등리 114번지 1호  ,10,2025-11-14
가축사육업,대성농장,한우,전북특별자치도 부안군 행안면 진동리 1169번지 8호 외 1필지(1169-9) ,150,2025-11-14
가축사육업,증산농장,한우,전북특별자치도 부안군 동진면 증산리 160번지 1호 외 1필지(159-1) ,6,2025-11-14
가축사육업,증산농장,한우,전북특별자치도 부안군 동진면 증산리 31번지  ,4,2025-11-14
가축사육업,정안농장,한우,전북특별자치도 부안군 하서면 청호리 521번지 2호  ,5,2025-11-14
가축사육업,병택농장,한우,전북특별자치도 부안군 보안면 영전리 345번지 12호  ,11,2025-11-14
가축사육업,성중농장,한우,전북특별자치도 부안군 보안면 유천리 472번지  ,30,2025-11-14
가축사육업,최OO농장,한우,전북특별자치도 부안군 하서면 언독리 20번지 2호  ,8,2025-11-14
가축사육업,권OO농장,한우,전북특별자치도 부안군 하서면 석상리 562번지 1호 외 1필지(566-1) ,54,2025-11-14
가축사육업,이석농장,한우,전북특별자치도 부안군 백산면 오곡리 85번지 외 2필지 ,32,2025-11-14
가축사육업,오름농장,한우,"전북특별자치도 부안군 부안읍 연곡리 290번지 외 3필지(84-15, 84-16, 84-21) ",26,2025-11-14
가축사육업,정일농장,한우,전북특별자치도 부안군 주산면 사산리 1020번지  ,15,2025-11-14
가축사육업,유천농장,한우,전북특별자치도 부안군 보안면 유천리 201번지 1호 외 1필지(204-2) ,62,2025-11-14
가축사육업,종암농장,한우,전북특별자치도 부안군 변산면 마포리 664번지 59호  ,3,2025-11-14
가축사육업,형제축산,육계,전북특별자치도 부안군 백산면 평교리 873번지  ,40000,2025-11-14
가축사육업,드림농장,육계,전북특별자치도 부안군 주산면 돈계리 739번지 외 1필 ,75000,2025-11-14
가축사육업,홍근농장,한우,전북특별자치도 부안군 백산면 금판리 850번지 5호  ,6,2025-11-14
가축사육업,국제농장,한우,전북특별자치도 부안군 부안읍 옹중리 452번지  ,5,2025-11-14
가축사육업,주OO농장,한우,전북특별자치도 부안군 하서면 석상리 383번지 4호  ,8,2025-11-14
가축사육업,신지농장,오리,전북특별자치도 부안군 하서면 언독리 386번지 4호  ,40000,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 보안면 남포리 721번지 7호 외 1필지(740-2) ,142,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 소산리 504번지  ,201,2025-11-14
가축사육업,병철농장,한우,전북특별자치도 부안군 주산면 소주리 741번지 36호  ,10,2025-11-14
가축사육업,삼일농장,한우,전북특별자치도 부안군 보안면 상림리 517번지 5호  ,11,2025-11-14
가축사육업,중앙농장,한우,"전북특별자치도 부안군 보안면 상림리 472번지 외 3필지(517-7,741-23,741-24) ",21,2025-11-14
가축사육업,부자농장,돼지,전북특별자치도 부안군 백산면 덕신리 897번지  ,1500,2025-11-14
가축사육업,유현농장,한우,전북특별자치도 부안군 주산면 덕림리 1164-1번지  ,8,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 동진면 증산리 169번지  ,19,2025-11-14
가축사육업,만OO농장,한우,전북특별자치도 부안군 계화면 창북리 4518번지 16호  ,5,2025-11-14
가축사육업,병덕농장,한우,전북특별자치도 부안군 계화면 창북리 4514번지 1호  ,88,2025-11-14
가축사육업,대공농장,한우,전북특별자치도 부안군 보안면 월천리 991번지 - 8 ,19,2025-11-14
가축사육업,소라농장,한우,전북특별자치도 부안군 보안면 하입석리 565번지  ,4,2025-11-14
가축사육업,본덕농장,한우,전북특별자치도 부안군 동진면 본덕리 436번지 - 1 ,7,2025-11-14
가축사육업,형제농장,한우,"전북특별자치도 부안군 동진면 장등리 1009번지 ,591-6번지 ",1,2025-11-14
가축사육업,성실농장,오리,"전북특별자치도 부안군 줄포면 신리 775번지 59호 외 5필지(775-21,775-37,788-6,788-7,788-9) ",19512,2025-11-14
가축사육업,소금애피농장,오리,전북특별자치도 부안군 줄포면 장동리 200번지 외 7필지 ,8000,2025-11-14
가축사육업,장OO농장,한우,전북특별자치도 부안군 백산면 평교리 402번지  ,12,2025-11-14
가축사육업,영삼농장,한우,전북특별자치도 부안군 동진면 하장리 2003번지 7호  ,118,2025-11-14
가축사육업,크로바농장,돼지,전북특별자치도 부안군 부안읍 내요리 381번지 -11 외 1필지 ,2000,2025-11-14
가축사육업,서우농장,한우,전북특별자치도 부안군 계화면 창북리 4225번지 - 9 ,53,2025-11-14
가축사육업,덕호농장,한우,전북특별자치도 부안군 상서면 가오리 1059번지 2호 외 1필지(1059-1) ,40,2025-11-14
가축사육업,푸른농장,한우,전북특별자치도 부안군 하서면 석상리 351번지 11호  ,7,2025-11-14
가축사육업,옛살비농장,한우,전북특별자치도 부안군 보안면 상입석리 474번지 0002호  ,7,2025-11-14
가축사육업,예동농장,육계,전북특별자치도 부안군 주산면 백석리 407번지 15호 외 1필지(407-17) ,70000,2025-11-14
가축사육업,진숙농장,젖소,전북특별자치도 부안군 보안면 상입석리 178번지 0006호  ,8,2025-11-14
가축사육업,우리농장,한우,전북특별자치도 부안군 부안읍 옹중리 557번지  ,19,2025-11-14
가축사육업,선옥농장,한우,전북특별자치도 부안군 백산면 대죽리 391번지 3호  ,11,2025-11-14
가축사육업,세경농장,한우,전북특별자치도 부안군 보안면 우동리 835번지 0001호  ,55,2025-11-14
가축사육업,수진농장,한우,전북특별자치도 부안군 주산면 덕림리 690번지  ,20,2025-11-14
가축사육업,순덕농장,한우,전북특별자치도 부안군 하서면 석상리 775번지 0003호  ,103,2025-11-14
가축사육업,목화농장,한우,전북특별자치도 부안군 줄포면 파산리 136번지  ,2,2025-11-14
가축사육업,그집농장,한우,전북특별자치도 부안군 보안면 남포리 547번지  ,15,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 주산면 돈계리 68번지  ,6,2025-11-14
가축사육업,참한우농장,한우,전북특별자치도 부안군 보안면 우동리 824번지 6호  ,8,2025-11-14
가축사육업,비안농장,한우,전북특별자치도 부안군 줄포면 신리 914번지 3호 914-4 ,208,2025-11-14
가축사육업,형석농장,한우,전북특별자치도 부안군 부안읍 행중리 470번지  ,60,2025-11-14
가축사육업,문성농장,한우,전북특별자치도 부안군 부안읍 옹중리 812번지  ,30,2025-11-14
가축사육업,정배농장,한우,전북특별자치도 부안군 주산면 덕림리 245번지  ,39,2025-11-14
가축사육업,푸름목장,한우,"전북특별자치도 부안군 줄포면 난산리 709번지 7호 외 3필지(706-2,706-75,709-8), 주5동 ",160,2025-11-14
가축사육업,철민농장,한우,전북특별자치도 부안군 계화면 창북리 4557번지 15호  ,12,2025-11-14
가축사육업,금OO농장,육용오리,전북특별자치도 부안군 주산면 백석리 51번지 8호 1-7동 ,20000,2025-11-14
