사업장명칭,사업장소재지(지번),주사육업종,사육두수,데이터기준일자
삼휘축산,전라남도 영암군 삼호읍 망산리 ,한우,150,2025-05-01
월송농장,전라남도 영암군 시종면 월송리 ,한우,14,2025-05-01
쌍둥이축산,전라남도 영암군 신북면 유곡리 ,한우,70,2025-05-01
창구축산,전라남도 영암군 신북면 유곡리 ,한우,50,2025-05-01
원항농장,전라남도 영암군 도포면 원항리 ,한우,22,2025-05-01
성실농장,전라남도 영암군 도포면 구학리 ,한우,80,2025-05-01
정동축산,전라남도 영암군 시종면 신학리 ,한우,30,2025-05-01
황토한우영농조합법인,전라남도 영암군 도포면 영호리 ,한우,8,2025-05-01
종민농장,전라남도 영암군 도포면 영호리 ,한우,40,2025-05-01
광훈농장,전라남도 영암군 도포면 영호리 ,한우,52,2025-05-01
안산축산,전라남도 영암군 시종면 월악리 ,한우,90,2025-05-01
화산농장,전라남도 영암군 도포면 영호리 ,한우,40,2025-05-01
전원농장,전라남도 영암군 신북면 행정리 ,한우,270,2025-05-01
희연축산,전라남도 영암군 신북면 월평리 ,한우,80,2025-05-01
제일농장,전라남도 영암군 신북면 이천리 ,한우,40,2025-05-01
신북한우단지,전라남도 영암군 신북면 갈곡리 ,한우,600,2025-05-01
세진농장,전라남도 영암군 도포면 원항리 ,한우,40,2025-05-01
영재농장,전라남도 영암군 도포면 원항리 ,한우,20,2025-05-01
영암농장,전라남도 영암군 도포면 수산리 ,한우,28,2025-05-01
서율농장,전라남도 영암군 도포면 수산리 ,한우,90,2025-05-01
한아름농장,전라남도 영암군 도포면 수산리 ,한우,45,2025-05-01
목우천농장,전라남도 영암군 도포면 수산리 ,한우,20,2025-05-01
일선목장,전라남도 영암군 서호면 성재리 ,한우,25,2025-05-01
와우농장,전라남도 영암군 시종면 신학리 ,한우,70,2025-05-01
태매목장,전라남도 영암군 시종면 구산리 ,한우,100,2025-05-01
월악축산,전라남도 영암군 시종면 월악리 ,한우,67,2025-05-01
율태목장,전라남도 영암군 학산면 용산리 ,한우,12,2025-05-01
영우목장,전라남도 영암군 학산면 상월리 ,한우,80,2025-05-01
희석농장,전라남도 영암군 학산면 용산리 ,한우,11,2025-05-01
버들샘농장,전라남도 영암군 학산면 상월리 ,한우,50,2025-05-01
정동농장,전라남도 영암군 시종면 신학리 ,한우,42,2025-05-01
서울농장,전라남도 영암군 영암읍 망호리 ,한우,10,2025-05-01
정현농장,전라남도 영암군 시종면 신연리 ,한우,280,2025-05-01
영찬농장,전라남도 영암군 서호면 소산리 ,한우,32,2025-05-01
진흥축산,전라남도 영암군 덕진면 금강리 ,한우,253,2025-05-01
재학축산,전라남도 영암군 서호면 화송리 ,한우,45,2025-05-01
새터농장,전라남도 영암군 서호면 쌍풍리 ,한우,32,2025-05-01
밀양축산,전라남도 영암군 시종면 옥야리 ,한우,31,2025-05-01
서호축산,전라남도 영암군 서호면 몽해리 ,한우,14,2025-05-01
양지촌마을 농장,전라남도 영암군 군서면 성양리 ,한우,13,2025-05-01
우리목장,전라남도 영암군 시종면 월악리 ,한우,5,2025-05-01
청용축산,전라남도 영암군 서호면 청용리 ,한우,60,2025-05-01
영승농장,전라남도 영암군 영암읍 송평리 ,한우,30,2025-05-01
장천목장,전라남도 영암군 서호면 쌍풍리 ,한우,100,2025-05-01
서울축산,전라남도 영암군 덕진면 운암리 ,한우,63,2025-05-01
반석축산,전라남도 영암군 덕진면 노송리 ,한우,50,2025-05-01
도깨비농장,전라남도 영암군 덕진면 노송리 ,한우,13,2025-05-01
제일축산,전라남도 영암군 덕진면 덕진리 ,한우,124,2025-05-01
찬직축산,전라남도 영암군 덕진면 백계리 ,한우,20,2025-05-01
영화축산,전라남도 영암군 덕진면 장선리 ,한우,24,2025-05-01
혜진축산,전라남도 영암군 덕진면 운암리 ,한우,7,2025-05-01
두희농장,전라남도 영암군 덕진면 영등리 ,한우,50,2025-05-01
광산축산,전라남도 영암군 학산면 독천리 ,한우,40,2025-05-01
문일농장,전라남도 영암군 신북면 이천리 ,한우,10,2025-05-01
신덕축산,전라남도 영암군 학산면 신덕리 ,한우,210,2025-05-01
학산창업축산,전라남도 영암군 학산면 독천리 ,한우,15,2025-05-01
정수농장,전라남도 영암군 영암읍 망호리 ,한우,500,2025-05-01
순오농장,전라남도 영암군 서호면 금강리 ,한우,35,2025-05-01
청계축산,전라남도 영암군 덕진면 백계리 ,한우,23,2025-05-01
원희농장,전라남도 영암군 미암면 신포리 ,한우,47,2025-05-01
성림목장,전라남도 영암군 도포면 성산리 ,한우,30,2025-05-01
현재목장,전라남도 영암군 시종면 만수리 ,한우,50,2025-05-01
박윤재,전라남도 영암군 학산면 용소리 ,한우,40,2025-05-01
양장농장,전라남도 영암군 군서면 양장리 ,한우,170,2025-05-01
정관농장,전라남도 영암군 도포면 영호리 ,한우,30,2025-05-01
봉학농장,전라남도 영암군 도포면 영호리 ,한우,20,2025-05-01
한대축산,전라남도 영암군 영암읍 한대리 ,한우,5,2025-05-01
화헌농장,전라남도 영암군 삼호읍 서창리 ,한우,12,2025-05-01
에벤에셀농장,전라남도 영암군 도포면 봉호리 ,한우,150,2025-05-01
용호농장,전라남도 영암군 도포면 봉호리 ,한우,70,2025-05-01
성호축산,전라남도 영암군 학산면 용산리 ,한우,20,2025-05-01
정우축산,전라남도 영암군 시종면 신학리 ,한우,35,2025-05-01
동준축산,전라남도 영암군 도포면 원항리 ,한우,32,2025-05-01
석연농장,전라남도 영암군 도포면 영호리 ,한우,60,2025-05-01
만철축산,전라남도 영암군 도포면 원항리 ,한우,45,2025-05-01
구시농장,전라남도 영암군 도포면 영호리 ,한우,109,2025-05-01
성채축산,전라남도 영암군 도포면 수산리 ,한우,14,2025-05-01
희망농장,전라남도 영암군 덕진면 금강리 ,한우,60,2025-05-01
박종록농장,전라남도 영암군 도포면 영호리 ,한우,30,2025-05-01
이한우농장,전라남도 영암군 도포면 영호리 ,한우,15,2025-05-01
원우농장,전라남도 영암군 도포면 원항리 ,한우,132,2025-05-01
크로바농장,전라남도 영암군 시종면 구산리 ,한우,40,2025-05-01
손양순농장,전라남도 영암군 시종면 옥야리 ,한우,21,2025-05-01
종복농장,전라남도 영암군 시종면 신연리 ,한우,41,2025-05-01
자연축산,전라남도 영암군 시종면 월악리 ,한우,132,2025-05-01
홍연농장,전라남도 영암군 시종면 옥야리 ,한우,12,2025-05-01
광암농장,전라남도 영암군 서호면 화송리 ,한우,120,2025-05-01
선경농장,전라남도 영암군 도포면 성산리 ,한우,600,2025-05-01
푸른축산,전라남도 영암군 신북면 금수리 ,한우,300,2025-05-01
벧엘농장,전라남도 영암군 신북면 이천리 ,한우,15,2025-05-01
서호축산,전라남도 영암군 서호면 쌍풍리 ,한우,12,2025-05-01
대성농장,전라남도 영암군 신북면 학동리 ,한우,80,2025-05-01
풀잎목장,전라남도 영암군 삼호읍 동호리 ,한우,6,2025-05-01
청용농장,전라남도 영암군 신북면 모산리 ,한우,35,2025-05-01
유번농장,전라남도 영암군 학산면 용산리 ,한우,50,2025-05-01
송림축산영농법인,전라남도 영암군 덕진면 노송리 ,한우,120,2025-05-01
우리농장,전라남도 영암군 군서면 동호리 ,한우,38,2025-05-01
달맞이목장,전라남도 영암군 서호면 소산리 ,한우,110,2025-05-01
송원농장(松圓農場),전라남도 영암군 덕진면 노송리 ,한우,100,2025-05-01
농민축산,전라남도 영암군 도포면 수산리 ,한우,50,2025-05-01
황토축산,전라남도 영암군 도포면 영호리 ,한우,160,2025-05-01
황토축산,전라남도 영암군 도포면 영호리 ,한우,150,2025-05-01
영식농장,전라남도 영암군 도포면 봉호리 ,한우,20,2025-05-01
금호농장,전라남도 영암군 도포면 덕화리 ,한우,40,2025-05-01
오장성목장,전라남도 영암군 신북면 유곡리 ,한우,100,2025-05-01
유순농장,전라남도 영암군 삼호읍 망산리 ,한우,30,2025-05-01
부부농장,전라남도 영암군 도포면 원항리 ,한우,70,2025-05-01
미주목장,전라남도 영암군 신북면 학동리 ,한우,73,2025-05-01
잘크는농장,전라남도 영암군 군서면 동호리 ,한우,10,2025-05-01
우두농장,전라남도 영암군 군서면 동호리 ,한우,40,2025-05-01
신안농장,전라남도 영암군 학산면 용소리 ,한우,21,2025-05-01
황토축산,전라남도 영암군 도포면 영호리 ,한우,200,2025-05-01
홍갑표농장,전라남도 영암군 서호면 엄길리 ,한우,17,2025-05-01
오장성농장,전라남도 영암군 신북면 유곡리 ,한우,30,2025-05-01
영원농장,전라남도 영암군 도포면 영호리 ,한우,30,2025-05-01
이레농장,전라남도 영암군 미암면 신한리 ,한우,20,2025-05-01
상현농장,전라남도 영암군 시종면 신흥리 ,한우,25,2025-05-01
현민복합영농조합법인,전라남도 영암군 덕진면 노송리 ,한우,39,2025-05-01
선일농장,전라남도 영암군 서호면 화송리 ,한우,100,2025-05-01
농업경영인영암군농장,전라남도 영암군 미암면 남산리 ,한우,47,2025-05-01
대원농장,전라남도 영암군 영암읍 망호리 ,한우,74,2025-05-01
금수농장,전라남도 영암군 신북면 금수리 ,한우,30,2025-05-01
산아래농장,전라남도 영암군 학산면 용산리 ,한우,11,2025-05-01
선아농장,전라남도 영암군 덕진면 영보리 ,한우,12,2025-05-01
가정축산,전라남도 영암군 신북면 학동리 ,한우,10,2025-05-01
안기농장,전라남도 영암군 금정면 용흥리 ,한우,575,2025-05-01
형제농장,전라남도 영암군 도포면 수산리 ,한우,30,2025-05-01
영국2농장,전라남도 영암군 도포면 원항리 ,한우,30,2025-05-01
형민농장,전라남도 영암군 영암읍 망호리 ,한우,400,2025-05-01
천해농장,전라남도 영암군 학산면 용소리 ,한우,14,2025-05-01
사등농장,전라남도 영암군 학산면 금계리 ,한우,18,2025-05-01
삼동농장,전라남도 영암군 도포면 원항리 ,한우,9,2025-05-01
상이농장,전라남도 영암군 영암읍 망호리 ,한우,10,2025-05-01
건운축산,전라남도 영암군 학산면 용산리 ,한우,12,2025-05-01
순복농장,전라남도 영암군 덕진면 금강리 ,한우,10,2025-05-01
서진농장,전라남도 영암군 서호면 쌍풍리 ,한우,40,2025-05-01
대선농장,전라남도 영암군 금정면 용흥리 ,한우,14,2025-05-01
용훈농장,전라남도 영암군 도포면 봉호리 ,한우,35,2025-05-01
연지농장,전라남도 영암군 서호면 쌍풍리 ,한우,30,2025-05-01
성림농장,전라남도 영암군 덕진면 노송리 ,한우,75,2025-05-01
주호농장,전라남도 영암군 군서면 성양리 ,한우,8,2025-05-01
가온목장,전라남도 영암군 학산면 은곡리 ,한우,12,2025-05-01
해성농원,전라남도 영암군 덕진면 금강리 ,한우,40,2025-05-01
정호농장,전라남도 영암군 군서면 마산리 ,한우,15,2025-05-01
성신농장,전라남도 영암군 도포면 수산리 ,한우,50,2025-05-01
신영농장,전라남도 영암군 덕진면 백계리 ,한우,280,2025-05-01
경주농장,전라남도 영암군 신북면 장산리 ,한우,4,2025-05-01
창규농장,전라남도 영암군 군서면 모정리 ,한우,10,2025-05-01
우진농장,전라남도 영암군 금정면 연보리 ,한우,10,2025-05-01
해미축산,전라남도 영암군 학산면 신덕리 ,한우,9,2025-05-01
형심농장,전라남도 영암군 금정면 남송리 ,한우,7,2025-05-01
대산축산,전라남도 영암군 서호면 소산리 ,한우,23,2025-05-01
성재축산,전라남도 영암군 서호면 성재리 ,한우,16,2025-05-01
동춘농장,전라남도 영암군 금정면 용흥리 ,한우,10,2025-05-01
덕진농장,전라남도 영암군 덕진면 백계리 ,한우,26,2025-05-01
명동축사,전라남도 영암군 신북면 명동리 ,한우,7,2025-05-01
화정농장,전라남도 영암군 서호면 성재리 ,한우,11,2025-05-01
경진농장,전라남도 영암군 서호면 금강리 ,한우,20,2025-05-01
이슬목장,전라남도 영암군 서호면 몽해리 ,한우,74,2025-05-01
성산농장,전라남도 영암군 군서면 마산리 ,한우,20,2025-05-01
희호농장,전라남도 영암군 신북면 월평리 ,한우,83,2025-05-01
곽순자농장,전라남도 영암군 서호면 성재리 ,한우,13,2025-05-01
주인농장,전라남도 영암군 서호면 쌍풍리 ,한우,24,2025-05-01
샬롬농장,전라남도 영암군 도포면 성산리 ,한우,5,2025-05-01
동진농장,전라남도 영암군 신북면 금수리 ,한우,15,2025-05-01
청림농장,전라남도 영암군 덕진면 금강리 ,한우,190,2025-05-01
선현농장,전라남도 영암군 덕진면 금강리 ,한우,60,2025-05-01
우리농장,전라남도 영암군 삼호읍 서호리 ,한우,15,2025-05-01
숙용농장,전라남도 영암군 시종면 월송리 ,한우,15,2025-05-01
남송농장,전라남도 영암군 금정면 남송리 ,한우,11,2025-05-01
기선농장,전라남도 영암군 덕진면 운암리 ,한우,10,2025-05-01
길성농장,전라남도 영암군 덕진면 덕진리 ,한우,7,2025-05-01
한울농장,전라남도 영암군 미암면 채지리 ,한우,20,2025-05-01
대천농장,전라남도 영암군 시종면 신연리 ,한우,25,2025-05-01
양준농장,전라남도 영암군 시종면 옥야리 ,한우,25,2025-05-01
도윤농장,전라남도 영암군 학산면 금계리 ,한우,20,2025-05-01
명수축산,전라남도 영암군 미암면 호포리 ,한우,20,2025-05-01
영민축사,전라남도 영암군 도포면 수산리 ,한우,30,2025-05-01
대주축사,전라남도 영암군 도포면 원항리 ,한우,10,2025-05-01
영흥농장,전라남도 영암군 학산면 독천리 ,한우,24,2025-05-01
정자농장,전라남도 영암군 영암읍 송평리 ,한우,16,2025-05-01
경표농장,전라남도 영암군 시종면 금지리 ,한우,10,2025-05-01
재성농장,전라남도 영암군 서호면 장천리 ,한우,13,2025-05-01
용현농장,전라남도 영암군 학산면 금계리 ,한우,36,2025-05-01
정희농장,전라남도 영암군 신북면 이천리 ,한우,9,2025-05-01
경순농장,전라남도 영암군 도포면 구학리 ,한우,51,2025-05-01
세광농장,전라남도 영암군 학산면 독천리 ,한우,38,2025-05-01
광민농장,전라남도 영암군 학산면 상월리 ,한우,20,2025-05-01
송정농장,전라남도 영암군 서호면 화송리 ,한우,7,2025-05-01
신안농장,전라남도 영암군 서호면 소산리 ,한우,15,2025-05-01
신기한농장,전라남도 영암군 영암읍 망호리 ,한우,11,2025-05-01
영주농장,전라남도 영암군 영암읍 회문리 ,한우,13,2025-05-01
병호농장,전라남도 영암군 서호면 몽해리 ,한우,12,2025-05-01
성재축사,전라남도 영암군 서호면 성재리 ,한우,11,2025-05-01
운산농장,전라남도 영암군 도포면 봉호리 ,한우,28,2025-05-01
재국농장,전라남도 영암군 서호면 성재리 ,한우,4,2025-05-01
산골농장,전라남도 영암군 금정면 연소리 ,한우,15,2025-05-01
훈이네농장,전라남도 영암군 덕진면 운암리 ,한우,40,2025-05-01
청우축산,전라남도 영암군 도포면 수산리 ,한우,25,2025-05-01
헌호농장,전라남도 영암군 도포면 봉호리 ,한우,30,2025-05-01
방균농장,전라남도 영암군 덕진면 백계리 ,한우,12,2025-05-01
광태농장,전라남도 영암군 학산면 용산리 ,한우,7,2025-05-01
양빈네 농장,전라남도 영암군 서호면 소산리 ,한우,21,2025-05-01
오진농장,전라남도 영암군 덕진면 노송리 ,한우,18,2025-05-01
상희농장,전라남도 영암군 덕진면 운암리 ,한우,44,2025-05-01
종록농장,전라남도 영암군 도포면 원항리 ,한우,31,2025-05-01
영지축산,전라남도 영암군 시종면 구산리 ,한우,70,2025-05-01
안정축산,전라남도 영암군 금정면 용흥리 ,한우,14,2025-05-01
길용농장,전라남도 영암군 신북면 월지리 ,한우,39,2025-05-01
봉호농장,전라남도 영암군 도포면 봉호리 ,한우,48,2025-05-01
정림농장,전라남도 영암군 삼호읍 서창리 ,한우,50,2025-05-01
재출농장,전라남도 영암군 삼호읍 난전리 ,한우,25,2025-05-01
순기농장,전라남도 영암군 시종면 월악리 ,한우,24,2025-05-01
경관농장,전라남도 영암군 금정면 와운리 ,한우,19,2025-05-01
문화농장,전라남도 영암군 신북면 모산리 ,한우,8,2025-05-01
정우농장,전라남도 영암군 군서면 모정리 ,한우,13,2025-05-01
유촌축산,전라남도 영암군 도포면 덕화리 ,한우,10,2025-05-01
은준농장,전라남도 영암군 도포면 영호리 ,한우,60,2025-05-01
관승농장,전라남도 영암군 도포면 영호리 ,한우,45,2025-05-01
진열농장,전라남도 영암군 도포면 영호리 ,한우,37,2025-05-01
화재농장,전라남도 영암군 신북면 양계리 ,한우,7,2025-05-01
경석농장,전라남도 영암군 덕진면 노송리 ,한우,10,2025-05-01
광호농장,전라남도 영암군 학산면 독천리 ,한우,4,2025-05-01
오순희농장,전라남도 영암군 학산면 금계리 ,한우,90,2025-05-01
최창규 농장,전라남도 영암군 도포면 성산리 ,한우,20,2025-05-01
화자농장,전라남도 영암군 학산면 상월리 ,한우,6,2025-05-01
용소농장,전라남도 영암군 학산면 용소리 ,한우,5,2025-05-01
승현농장,전라남도 영암군 시종면 옥야리 ,한우,10,2025-05-01
만수농장,전라남도 영암군 시종면 만수리 ,한우,9,2025-05-01
만철농장,전라남도 영암군 서호면 금강리 ,한우,13,2025-05-01
낙안농장,전라남도 영암군 군서면 마산리 ,한우,130,2025-05-01
순향농장,전라남도 영암군 서호면 청용리 ,한우,30,2025-05-01
장산농장,전라남도 영암군 신북면 장산리 ,한우,41,2025-05-01
신덕농장,전라남도 영암군 군서면 해창리 ,한우,6,2025-05-01
박종복농장,전라남도 영암군 영암읍 교동리 ,한우,16,2025-05-01
영용농장,전라남도 영암군 군서면 해창리 ,한우,13,2025-05-01
원목농장,전라남도 영암군 도포면 원항리 ,한우,5,2025-05-01
꿀벌농장,전라남도 영암군 삼호읍 망산리 ,한우,4,2025-05-01
은순농장,전라남도 영암군 학산면 묵동리 ,한우,4,2025-05-01
주형농장,전라남도 영암군 영암읍 농덕리 ,한우,5,2025-05-01
계수농장,전라남도 영암군 신북면 이천리 ,한우,6,2025-05-01
영식농장,전라남도 영암군 도포면 영호리 ,한우,150,2025-05-01
양우농장,전라남도 영암군 군서면 마산리 ,한우,5,2025-05-01
참샘골농장,전라남도 영암군 서호면 장천리 ,한우,5,2025-05-01
호산농장,전라남도 영암군 신북면 이천리 ,한우,33,2025-05-01
성진농장,전라남도 영암군 시종면 봉소리 ,한우,20,2025-05-01
백두축산,전라남도 영암군 미암면 남산리 ,한우,11,2025-05-01
창수농장,전라남도 영암군 군서면 동호리 ,한우,4,2025-05-01
월암농장,전라남도 영암군 군서면 월곡리 ,한우,2,2025-05-01
서현농장,전라남도 영암군 도포면 성산리 ,한우,35,2025-05-01
청용축산,전라남도 영암군 서호면 청용리 ,한우,25,2025-05-01
봉영농장,전라남도 영암군 학산면 용산리 ,한우,9,2025-05-01
류홍기오농장,전라남도 영암군 도포면 성산리 ,한우,40,2025-05-01
소망농장,전라남도 영암군 영암읍 교동리 ,한우,15,2025-05-01
해석농장,전라남도 영암군 군서면 모정리 ,한우,7,2025-05-01
종일농장,전라남도 영암군 덕진면 금강리 ,한우,52,2025-05-01
명성농장,전라남도 영암군 미암면 신포리 ,한우,230,2025-05-01
성윤농장,전라남도 영암군 시종면 봉소리 ,한우,2,2025-05-01
금성농장,전라남도 영암군 도포면 영호리 ,한우,45,2025-05-01
한반동농장,전라남도 영암군 도포면 봉호리 ,한우,35,2025-05-01
성보축산,전라남도 영암군 덕진면 영등리 ,한우,80,2025-05-01
봉수농장,전라남도 영암군 미암면 호포리 ,한우,2,2025-05-01
광암축산,전라남도 영암군 신북면 행정리 ,한우,8,2025-05-01
광염농장,전라남도 영암군 도포면 구학리 ,한우,82,2025-05-01
서남열농장,전라남도 영암군 덕진면 덕진리 ,한우,10,2025-05-01
상현축산,전라남도 영암군 군서면 월곡리 ,한우,24,2025-05-01
샘골농장,전라남도 영암군 신북면 이천리 ,한우,10,2025-05-01
창원한우농장,전라남도 영암군 도포면 수산리 ,한우,62,2025-05-01
신한농장,전라남도 영암군 미암면 신한리 ,한우,40,2025-05-01
진서농장,전라남도 영암군 미암면 신한리 ,한우,30,2025-05-01
새별농장,전라남도 영암군 군서면 모정리 ,한우,5,2025-05-01
원일농장,전라남도 영암군 군서면 모정리 ,한우,3,2025-05-01
행운농장,전라남도 영암군 신북면 행정리 ,한우,18,2025-05-01
금성축산,전라남도 영암군 학산면 용산리 ,한우,16,2025-05-01
순곤농장,전라남도 영암군 학산면 용산리 ,한우,14,2025-05-01
다만축산,전라남도 영암군 서호면 쌍풍리 ,한우,11,2025-05-01
안우농장,전라남도 영암군 신북면 모산리 ,한우,46,2025-05-01
혜림축산,전라남도 영암군 신북면 월지리 ,한우,20,2025-05-01
유호정축산,전라남도 영암군 신북면 행정리 ,한우,12,2025-05-01
신기농장,전라남도 영암군 군서면 양장리 ,한우,12,2025-05-01
난전농장,전라남도 영암군 미암면 두억리 ,한우,46,2025-05-01
칠성목장,전라남도 영암군 신북면 행정리 ,한우,6,2025-05-01
고광율농장,전라남도 영암군 학산면 용산리 ,한우,2,2025-05-01
희망농장,전라남도 영암군 신북면 용산리 ,한우,8,2025-05-01
등너머농장,전라남도 영암군 미암면 호포리 ,한우,14,2025-05-01
호포농장,전라남도 영암군 미암면 호포리 ,한우,24,2025-05-01
고향농장,전라남도 영암군 삼호읍 망산리 ,한우,5,2025-05-01
성민축산,전라남도 영암군 신북면 유곡리 ,한우,15,2025-05-01
서현농장,전라남도 영암군 학산면 금계리 ,한우,10,2025-05-01
성재축산,전라남도 영암군 서호면 성재리 ,한우,6,2025-05-01
삼묵농장,전라남도 영암군 영암읍 용흥리 ,한우,9,2025-05-01
호범농장,전라남도 영암군 도포면 원항리 ,한우,23,2025-05-01
형임농장,전라남도 영암군 서호면 몽해리 ,한우,20,2025-05-01
영신축산,전라남도 영암군 금정면 아천리 ,한우,4,2025-05-01
형제농장,전라남도 영암군 덕진면 노송리 ,한우,140,2025-05-01
성화축산,전라남도 영암군 삼호읍 용앙리 ,한우,10,2025-05-01
윤남축산,전라남도 영암군 학산면 학계리 ,한우,240,2025-05-01
성산축산,전라남도 영암군 도포면 성산리 ,한우,19,2025-05-01
진주농장,전라남도 영암군 군서면 도갑리 ,한우,116,2025-05-01
남렬축산,전라남도 영암군 삼호읍 난전리 ,한우,8,2025-05-01
삼휘축산,전라남도 영암군 삼호읍 망산리 ,한우,130,2025-05-01
인성축산,전라남도 영암군 시종면 신흥리 ,한우,70,2025-05-01
대동산업영농조합법인,전라남도 영암군 덕진면 노송리 ,한우,455,2025-05-01
선산농장,전라남도 영암군 신북면 행정리 ,한우,52,2025-05-01
서해안농장,전라남도 영암군 삼호읍 용당리 ,한우,8,2025-05-01
솔안축산,전라남도 영암군 덕진면 노송리 ,한우,25,2025-05-01
상월농장,전라남도 영암군 학산면 상월리 ,한우,3,2025-05-01
성원축산,전라남도 영암군 군서면 도갑리 ,한우,18,2025-05-01
형제농장,전라남도 영암군 삼호읍 난전리 ,한우,6,2025-05-01
신월축산,전라남도 영암군 미암면 신포리 ,한우,12,2025-05-01
순화축산,전라남도 영암군 삼호읍 서호리 ,한우,6,2025-05-01
돈호농장,전라남도 영암군 미암면 선황리 ,한우,5,2025-05-01
영금농장,전라남도 영암군 덕진면 노송리 ,한우,19,2025-05-01
오진농장,전라남도 영암군 덕진면 노송리 ,한우,18,2025-05-01
동진축산,전라남도 영암군 삼호읍 난전리 ,한우,50,2025-05-01
기용축산,전라남도 영암군 덕진면 노송리 ,한우,28,2025-05-01
삼아농장,전라남도 영암군 학산면 묵동리 ,한우,10,2025-05-01
수정축산,전라남도 영암군 시종면 월롱리 ,한우,80,2025-05-01
성주농장,전라남도 영암군 학산면 용산리 ,한우,50,2025-05-01
달무리농장,전라남도 영암군 영암읍 망호리 ,한우,60,2025-05-01
광님축산,전라남도 영암군 덕진면 금강리 ,한우,50,2025-05-01
푸른축산,전라남도 영암군 신북면 금수리 ,한우,7,2025-05-01
기동축산,전라남도 영암군 군서면 모정리 ,한우,11,2025-05-01
송아네농장,전라남도 영암군 덕진면 백계리 ,한우,20,2025-05-01
믿음농장,전라남도 영암군 덕진면 백계리 ,한우,200,2025-05-01
불치목장,전라남도 영암군 영암읍 학송리 ,한우,120,2025-05-01
승철농장,전라남도 영암군 시종면 금지리 ,한우,50,2025-05-01
삼동축산,전라남도 영암군 서호면 화송리 ,한우,2,2025-05-01
성산축사,전라남도 영암군 도포면 성산리 ,한우,10,2025-05-01
신천농장,전라남도 영암군 서호면 화송리 ,한우,11,2025-05-01
한길농장,전라남도 영암군 서호면 쌍풍리 ,한우,30,2025-05-01
신우축산,전라남도 영암군 시종면 봉소리 ,한우,90,2025-05-01
창운축산,전라남도 영암군 학산면 용산리 ,한우,6,2025-05-01
구구축산,전라남도 영암군 덕진면 노송리 ,한우,130,2025-05-01
민석축산,전라남도 영암군 학산면 묵동리 ,한우,6,2025-05-01
일동농장,전라남도 영암군 군서면 마산리 ,한우,140,2025-05-01
매화농장,전라남도 영암군 미암면 호포리 ,한우,8,2025-05-01
지윤농장,전라남도 영암군 시종면 봉소리 ,한우,20,2025-05-01
준평농원,전라남도 영암군 삼호읍 동호리 ,한우,5,2025-05-01
기증축산,전라남도 영암군 학산면 독천리 ,한우,45,2025-05-01
거목축산,전라남도 영암군 서호면 몽해리 ,한우,70,2025-05-01
성자축산,전라남도 영암군 삼호읍 동호리 ,한우,11,2025-05-01
흥부농장,전라남도 영암군 도포면 수산리 ,한우,70,2025-05-01
부평농장,전라남도 영암군 도포면 영호리 ,한우,110,2025-05-01
광주농장,전라남도 영암군 시종면 구산리 ,한우,41,2025-05-01
매음농장,전라남도 영암군 서호면 쌍풍리 ,한우,6,2025-05-01
영풍농장,전라남도 영암군 서호면 쌍풍리 ,한우,8,2025-05-01
문찬농장,전라남도 영암군 군서면 해창리 ,한우,24,2025-05-01
용성농장,전라남도 영암군 군서면 월곡리 ,한우,100,2025-05-01
명당농장,전라남도 영암군 도포면 봉호리 ,한우,6,2025-05-01
해성목장,전라남도 영암군 학산면 용산리 ,한우,44,2025-05-01
우주농장,전라남도 영암군 덕진면 백계리 ,한우,70,2025-05-01
찬민농장,전라남도 영암군 군서면 해창리 ,한우,18,2025-05-01
금지농장,전라남도 영암군 시종면 금지리 ,한우,28,2025-05-01
혜인농장,전라남도 영암군 덕진면 노송리 ,한우,40,2025-05-01
창조영농조합법인,전라남도 영암군 신북면 유곡리 ,한우,24,2025-05-01
조귀일농장,전라남도 영암군 미암면 채지리 ,한우,45,2025-05-01
박학윤,전라남도 영암군 신북면 이천리 ,한우,6,2025-05-01
금수농장,전라남도 영암군 신북면 갈곡리 ,한우,70,2025-05-01
울타리영농조합법인,전라남도 영암군 학산면 신덕리 ,한우,73,2025-05-01
안산농장,전라남도 영암군 시종면 월악리 ,한우,168,2025-05-01
가나농장,전라남도 영암군 미암면 선황리 ,한우,170,2025-05-01
이레축산,전라남도 영암군 신북면 이천리 ,한우,213,2025-05-01
세빈농장,전라남도 영암군 시종면 옥야리 ,한우,80,2025-05-01
삼부자농장,전라남도 영암군 미암면 춘동리 ,한우,5,2025-05-01
태성농장,전라남도 영암군 덕진면 백계리 ,한우,23,2025-05-01
현대농장,전라남도 영암군 신북면 이천리 ,한우,20,2025-05-01
대성농장,전라남도 영암군 신북면 학동리 ,한우,100,2025-05-01
아름축산,전라남도 영암군 도포면 성산리 ,한우,14,2025-05-01
한샘농장,전라남도 영암군 학산면 용산리 ,한우,140,2025-05-01
은평농장,전라남도 영암군 서호면 금강리 ,한우,6,2025-05-01
행복농장,전라남도 영암군 군서면 동호리 ,한우,11,2025-05-01
오성농장,전라남도 영암군 학산면 용산리 ,한우,15,2025-05-01
BK농장,전라남도 영암군 덕진면 금강리 ,한우,10,2025-05-01
사랑의농장,전라남도 영암군 미암면 호포리 ,한우,5,2025-05-01
자연에축산,전라남도 영암군 학산면 용산리 ,한우,11,2025-05-01
길근농장,전라남도 영암군 서호면 쌍풍리 ,한우,10,2025-05-01
